policy,mode,size,length,indexedCandidates,uniqueCanonicalAnswers
"approved-only","ar_to_en","11","2","15","15"
"approved-only","ar_to_en","11","3","120","120"
"approved-only","ar_to_en","11","4","269","269"
"approved-only","ar_to_en","11","5","266","266"
"approved-only","ar_to_en","11","6","239","239"
"approved-only","ar_to_en","11","7","219","219"
"approved-only","ar_to_en","11","8","167","167"
"approved-only","ar_to_en","11","9","78","78"
"approved-only","ar_to_en","11","10","54","54"
"approved-only","ar_to_en","11","11","28","28"
"approved-only","ar_to_en","11","12","0","0"
"approved-only","ar_to_en","11","13","0","0"
"approved-only","ar_to_en","13","2","15","15"
"approved-only","ar_to_en","13","3","120","120"
"approved-only","ar_to_en","13","4","269","269"
"approved-only","ar_to_en","13","5","266","266"
"approved-only","ar_to_en","13","6","239","239"
"approved-only","ar_to_en","13","7","219","219"
"approved-only","ar_to_en","13","8","167","167"
"approved-only","ar_to_en","13","9","78","78"
"approved-only","ar_to_en","13","10","54","54"
"approved-only","ar_to_en","13","11","28","28"
"approved-only","ar_to_en","13","12","14","14"
"approved-only","ar_to_en","13","13","8","8"
