"size","mode","seed","beforeCount","afterCount","removedCanonicalAnswers","removedPairs","beforeSuccess","afterSuccess","lostSuccess","gainedSuccess"
"9","en_to_ar","10","2000","2000","808","942","true","true","false","false"
"9","en_to_ar","11","2000","2000","837","967","true","true","false","false"
"9","en_to_ar","12","2000","2000","818","932","true","true","false","false"
"9","en_to_ar","13","2000","2000","832","957","false","false","false","false"
"9","en_to_ar","14","2000","2000","866","987","true","true","false","false"
"9","en_to_ar","15","2000","2000","825","957","true","true","false","false"
"9","en_to_ar","16","2000","2000","864","987","true","true","false","false"
"9","en_to_ar","17","2000","2000","870","988","true","true","false","false"
"9","en_to_ar","18","2000","2000","830","955","true","true","false","false"
"9","en_to_ar","19","2000","2000","845","966","true","true","false","false"
"9","en_to_ar","20","2000","2000","837","981","false","false","false","false"
"9","en_to_ar","21","2000","2000","862","990","true","true","false","false"
"9","en_to_ar","22","2000","2000","834","977","true","true","false","false"
"9","en_to_ar","23","2000","2000","841","982","true","true","false","false"
"9","en_to_ar","24","2000","2000","845","966","true","true","false","false"
"9","en_to_ar","25","2000","2000","843","959","true","true","false","false"
"9","en_to_ar","26","2000","2000","842","987","true","true","false","false"
"9","en_to_ar","27","2000","2000","845","966","true","true","false","false"
"9","en_to_ar","28","2000","2000","828","956","true","false","true","false"
"9","en_to_ar","29","2000","2000","839","975","true","true","false","false"
"9","en_to_ar","30","2000","2000","823","955","true","true","false","false"
"11","ar_to_en","1","2373","2426","0","0","true","false","true","false"
"11","ar_to_en","2","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","3","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","4","2373","2426","0","0","true","true","false","false"
"11","ar_to_en","5","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","6","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","7","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","8","2373","2426","0","0","true","true","false","false"
"11","ar_to_en","9","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","10","2373","2426","0","0","true","false","true","false"
"11","ar_to_en","11","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","12","2373","2426","0","0","false","true","false","true"
"11","ar_to_en","13","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","14","2373","2426","0","0","false","true","false","true"
"11","ar_to_en","15","2373","2426","0","0","false","true","false","true"
"11","ar_to_en","16","2373","2426","0","0","false","true","false","true"
"11","ar_to_en","17","2373","2426","0","0","true","false","true","false"
"11","ar_to_en","18","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","19","2373","2426","0","0","true","false","true","false"
"11","ar_to_en","20","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","21","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","22","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","23","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","24","2373","2426","0","0","false","true","false","true"
"11","ar_to_en","25","2373","2426","0","0","true","false","true","false"
"11","ar_to_en","26","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","27","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","28","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","29","2373","2426","0","0","false","false","false","false"
"11","ar_to_en","30","2373","2426","0","0","true","false","true","false"
"11","en_to_ar","1","2000","2000","834","977","true","true","false","false"
"11","en_to_ar","2","2000","2000","815","930","true","false","true","false"
"11","en_to_ar","3","2000","2000","843","954","true","true","false","false"
"11","en_to_ar","4","2000","2000","852","967","true","true","false","false"
"11","en_to_ar","5","2000","2000","862","967","true","false","true","false"
"11","en_to_ar","6","2000","2000","849","951","false","false","false","false"
"11","en_to_ar","7","2000","2000","857","973","false","true","false","true"
"11","en_to_ar","8","2000","2000","847","958","true","true","false","false"
"11","en_to_ar","9","2000","2000","830","960","false","false","false","false"
"11","en_to_ar","10","2000","2000","843","974","true","true","false","false"
"11","en_to_ar","11","2000","2000","844","968","false","false","false","false"
"11","en_to_ar","12","2000","2000","861","982","false","false","false","false"
"11","en_to_ar","13","2000","2000","841","957","false","true","false","true"
"11","en_to_ar","14","2000","2000","843","965","false","false","false","false"
"11","en_to_ar","15","2000","2000","868","977","true","true","false","false"
"11","en_to_ar","16","2000","2000","831","957","true","false","true","false"
"11","en_to_ar","17","2000","2000","845","974","true","true","false","false"
"11","en_to_ar","18","2000","2000","877","977","true","false","true","false"
"11","en_to_ar","19","2000","2000","848","979","true","true","false","false"
"11","en_to_ar","20","2000","2000","834","961","true","true","false","false"
"11","en_to_ar","21","2000","2000","863","987","false","false","false","false"
"11","en_to_ar","22","2000","2000","855","981","false","true","false","true"
"11","en_to_ar","23","2000","2000","828","945","true","true","false","false"
"11","en_to_ar","24","2000","2000","843","960","true","true","false","false"
"11","en_to_ar","25","2000","2000","851","966","true","true","false","false"
"11","en_to_ar","26","2000","2000","887","1006","false","false","false","false"
"11","en_to_ar","27","2000","2000","839","969","true","true","false","false"
"11","en_to_ar","28","2000","2000","828","951","true","true","false","false"
"11","en_to_ar","29","2000","2000","865","1010","false","true","false","true"
"11","en_to_ar","30","2000","2000","817","948","true","true","false","false"
"13","ar_to_en","1","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","2","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","3","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","4","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","5","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","6","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","7","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","8","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","9","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","10","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","11","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","12","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","13","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","14","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","15","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","16","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","17","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","18","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","19","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","20","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","21","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","22","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","23","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","24","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","25","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","26","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","27","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","28","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","29","2417","2477","0","0","false","false","false","false"
"13","ar_to_en","30","2417","2477","0","0","false","false","false","false"
"13","en_to_ar","1","2000","2000","894","1006","false","true","false","true"
"13","en_to_ar","2","2000","2000","876","1002","false","false","false","false"
"13","en_to_ar","3","2000","2000","859","978","false","false","false","false"
"13","en_to_ar","4","2000","2000","849","975","false","true","false","true"
"13","en_to_ar","5","2000","2000","876","997","true","false","true","false"
"13","en_to_ar","6","2000","2000","884","999","true","false","true","false"
"13","en_to_ar","7","2000","2000","852","982","true","true","false","false"
"13","en_to_ar","8","2000","2000","860","989","false","false","false","false"
"13","en_to_ar","9","2000","2000","851","967","false","false","false","false"
"13","en_to_ar","10","2000","2000","848","977","true","true","false","false"
"13","en_to_ar","11","2000","2000","871","1008","false","false","false","false"
"13","en_to_ar","12","2000","2000","870","985","true","true","false","false"
"13","en_to_ar","13","2000","2000","877","1004","true","true","false","false"
"13","en_to_ar","14","2000","2000","857","976","false","false","false","false"
"13","en_to_ar","15","2000","2000","868","1001","false","true","false","true"
"13","en_to_ar","16","2000","2000","866","995","true","true","false","false"
"13","en_to_ar","17","2000","2000","849","981","true","false","true","false"
"13","en_to_ar","18","2000","2000","873","990","true","true","false","false"
"13","en_to_ar","19","2000","2000","849","971","true","true","false","false"
"13","en_to_ar","20","2000","2000","869","981","false","false","false","false"
"13","en_to_ar","21","2000","2000","864","989","false","true","false","true"
"13","en_to_ar","22","2000","2000","860","992","true","false","true","false"
"13","en_to_ar","23","2000","2000","882","1006","true","true","false","false"
"13","en_to_ar","24","2000","2000","854","976","false","false","false","false"
"13","en_to_ar","25","2000","2000","856","975","true","true","false","false"
"13","en_to_ar","26","2000","2000","863","968","true","true","false","false"
"13","en_to_ar","27","2000","2000","852","986","false","true","false","true"
"13","en_to_ar","28","2000","2000","862","988","false","false","false","false"
"13","en_to_ar","29","2000","2000","859","976","false","true","false","true"
"13","en_to_ar","30","2000","2000","866","1004","true","true","false","false"
