"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","effectiveTranslation","sense"
"1098","4","STATISTICS","احصائيات","review","msa","medium","","","","","noun","orthography-review","STATISTICS — احصائيات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:4","الإحصاءات","false","{""arabic"":""احصائيات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1103","0","FOLLOW","متابعه","review","msa","medium","","","","","verb","orthography-review","FOLLOW — متابعه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1103:0","تابع","false","{""arabic"":""متابعه"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1105","0","INVESTMENT","للاستثمار","review","msa","medium","","","","","noun","construction-or-sense-review","INVESTMENT — للاستثمار: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1105:0","الاستثمار","false","{""arabic"":""للاستثمار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1105","1","INVESTMENT","الاستثمارات","review","msa","medium","","","","","noun","construction-or-sense-review","INVESTMENT — الاستثمارات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1105:1","الاستثمار","false","{""arabic"":""الاستثمارات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1105","2","INVESTMENT","استثمارات","review","msa","medium","","","","","noun","construction-or-sense-review","INVESTMENT — استثمارات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1105:2","الاستثمار","false","{""arabic"":""استثمارات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1106","0","SENT","ارسلت","review","msa","medium","","","","","verb","orthography-review","SENT — ارسلت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1106:0","مرسلة","false","{""arabic"":""ارسلت"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1106","1","SENT","ارسل","review","msa","medium","","","","","verb","orthography-review","SENT — ارسل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1106:1","مرسلة","false","{""arabic"":""ارسل"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1107","0","SHOWN","يظهر","review","msa","medium","","","","","verb","construction-or-sense-review","SHOWN — يظهر: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1107:0","يظهر","true","{""arabic"":""يظهر"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1109","0","CHRISTMAS","الكريسماس","review","uncertain","medium","","","","","noun","register-review","CHRISTMAS — الكريسماس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1109:0","عيد الميلاد","false","{""arabic"":""الكريسماس"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"1109","1","CHRISTMAS","كريسماس","review","uncertain","medium","","","","","noun","register-review","CHRISTMAS — كريسماس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1109:1","عيد الميلاد","false","{""arabic"":""كريسماس"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"1111","1","CULTURE","ثقافته","review","msa","medium","","","","","noun","construction-or-sense-review","CULTURE — ثقافته: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1111:1","الثقافة","false","{""arabic"":""ثقافته"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1113","2","FLASH","فلاش","review","uncertain","medium","","","","","noun","register-review","FLASH — فلاش: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1113:2","فلاش","true","{""arabic"":""فلاش"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"1117","0","WENT","رحت","review","uncertain","medium","","","","","verb","register-review","WENT — رحت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1117:0","ذهب","false","{""arabic"":""رحت"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""verb""}",""
"1125","0","FOREIGN","اجنبي","review","msa","medium","","","","","adjective","orthography-review","FOREIGN — اجنبي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1125:0","الأجانب","false","{""arabic"":""اجنبي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1125","1","FOREIGN","الاجنبي","review","msa","medium","","","","","adjective","orthography-review","FOREIGN — الاجنبي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1125:1","الأجانب","false","{""arabic"":""الاجنبي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1125","2","FOREIGN","اجنبية","review","msa","medium","","","","","adjective","orthography-review","FOREIGN — اجنبية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1125:2","الأجانب","false","{""arabic"":""اجنبية"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1125","3","FOREIGN","الأجانب","review","msa","medium","","","","","noun","construction-or-sense-review","FOREIGN — الأجانب: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1125:3","الأجانب","true","{""arabic"":""الأجانب"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1128","0","FURNITURE","اثاث","review","msa","medium","","","","","noun","orthography-review","FURNITURE — اثاث: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1128:0","الأثاث","false","{""arabic"":""اثاث"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1128","1","FURNITURE","الاثاث","review","msa","medium","","","","","noun","orthography-review","FURNITURE — الاثاث: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1128:1","الأثاث","false","{""arabic"":""الاثاث"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1132","0","MODE","مود","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","MODE — مود: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1132:0","وضع","false","{""arabic"":""مود"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}",""
"1134","0","IDEAS","افكار","review","msa","medium","","","","","noun","orthography-review","IDEAS — افكار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1134:0","أفكار","false","{""arabic"":""افكار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1134","1","IDEAS","الافكار","review","msa","medium","","","","","noun","orthography-review","IDEAS — الافكار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1134:1","أفكار","false","{""arabic"":""الافكار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1135","0","WEDNESDAY","الاربعاء","review","msa","medium","","","","","noun","orthography-review","WEDNESDAY — الاربعاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1135:0","الأربعاء، الأربعاء","false","{""arabic"":""الاربعاء"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1138","3","SUMMER","سمر","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","SUMMER — سمر: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1138:3","الصيف","false","{""arabic"":""سمر"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}",""
"1140","0","DEGREE","بدرجة","review","msa","medium","","","","","noun","construction-or-sense-review","DEGREE — بدرجة: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1140:0","الدرجة العلمية","false","{""arabic"":""بدرجة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1143","0","RELEASES","اصدارات","review","msa","medium","","","","","noun","orthography-review","RELEASES — اصدارات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1143:0","إصدارات","false","{""arabic"":""اصدارات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1143","1","RELEASES","الاصدارات","review","msa","medium","","","","","noun","orthography-review","RELEASES — الاصدارات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1143:1","إصدارات","false","{""arabic"":""الاصدارات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1146","0","SUPER","سوبر","review","uncertain","medium","","","","","adjective","register-review","SUPER — سوبر: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1146:0","سوبر","true","{""arabic"":""سوبر"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""adjective""}",""
"1146","1","SUPER","السوبر","review","uncertain","medium","","","","","adjective","register-review","SUPER — السوبر: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1146:1","سوبر","false","{""arabic"":""السوبر"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""adjective""}",""
"1147","3","MALE","الذكور","review","msa","medium","","","","","noun","construction-or-sense-review","MALE — الذكور: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1147:3","ذكر","false","{""arabic"":""الذكور"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1147","4","MALE","ذكور","review","msa","medium","","","","","noun","construction-or-sense-review","MALE — ذكور: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1147:4","ذكر","false","{""arabic"":""ذكور"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1148","0","MATTER","مسالة","review","msa","medium","","","","","noun","orthography-review","MATTER — مسالة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1148:0","المسألة","false","{""arabic"":""مسالة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1148","1","MATTER","المسالة","review","msa","medium","","","","","noun","orthography-review","MATTER — المسالة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1148:1","المسألة","false","{""arabic"":""المسالة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1152","0","TOOK","اخذت","review","msa","medium","","","","","verb","orthography-review","TOOK — اخذت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1152:0","أخذ","false","{""arabic"":""اخذت"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1153","0","LOCATED","الموقع","review","msa","medium","","","","","uncertain","construction-or-sense-review","LOCATED — الموقع: الموقع could be vocalized as situated, or mean location/site. Leave both POS and the intended reading unresolved.","AI-assisted linguistic review","[]","1153:0","الموقع","true","{""arabic"":""الموقع"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""uncertain""}",""
"1154","1","MULTIPLE","تعدد","review","msa","medium","","","","","noun","construction-or-sense-review","MULTIPLE — تعدد: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1154:1","متعددة","false","{""arabic"":""تعدد"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1161","0","POTENTIAL","امكانية","review","msa","medium","","","","","noun","orthography-review","POTENTIAL — امكانية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1161:0","الإمكانات المحتملة","false","{""arabic"":""امكانية"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1161","1","POTENTIAL","الإمكانات المحتملة","review","msa","medium","","","","","noun","construction-or-sense-review","POTENTIAL — الإمكانات المحتملة: الإمكانات المحتملة is redundant potential possibilities; preserve for sense review without deleting words.","AI-assisted linguistic review","[]","1161:1","الإمكانات المحتملة","true","{""arabic"":""الإمكانات المحتملة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1162","0","SONG","سونغ","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","SONG — سونغ: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1162:0","أغنية","false","{""arabic"":""سونغ"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}",""
"1162","1","SONG","الاغنيه","review","msa","medium","","","","","noun","orthography-review","SONG — الاغنيه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1162:1","أغنية","false","{""arabic"":""الاغنيه"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1162","2","SONG","اغنيه","review","msa","medium","","","","","noun","orthography-review","SONG — اغنيه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1162:2","أغنية","false","{""arabic"":""اغنيه"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1162","3","SONG","الاغنية","review","msa","medium","","","","","noun","orthography-review","SONG — الاغنية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1162:3","أغنية","false","{""arabic"":""الاغنية"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1162","4","SONG","اغنية","review","msa","medium","","","","","noun","orthography-review","SONG — اغنية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1162:4","أغنية","false","{""arabic"":""اغنية"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1166","0","LATE","اواخر","review","msa","medium","","","","","adverb","orthography-review","LATE — اواخر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1166:0","متأخر","false","{""arabic"":""اواخر"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adverb""}",""
"1166","1","LATE","تاخر","review","msa","medium","","","","","verb","orthography-review","LATE — تاخر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1166:1","متأخر","false","{""arabic"":""تاخر"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1166","2","LATE","متاخرة","review","msa","medium","","","","","adjective","orthography-review","LATE — متاخرة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1166:2","متأخر","false","{""arabic"":""متاخرة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1166","3","LATE","متاخر","review","msa","medium","","","","","adjective","orthography-review","LATE — متاخر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1166:3","متأخر","false","{""arabic"":""متاخر"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1167","1","FALL","اسقط","review","msa","medium","","","","","verb","orthography-review","FALL — اسقط: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1167:1","سقوط","false","{""arabic"":""اسقط"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1168","1","FEATURED","الموصى","review","msa","medium","","","","","adjective","construction-or-sense-review","FEATURED — الموصى: الموصى means recommended in context, not every featured sense; leave the relationship unresolved.","AI-assisted linguistic review","[]","1168:1","المميزات","false","{""arabic"":""الموصى"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1168","2","FEATURED","المميزات","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","A potentially misleading or malformed relationship remains excluded pending review; a categorical rejection is not sufficiently established. Second pass: المميزات means features/advantages; a nominal featured-items construction is not established, but morphology alone is insufficient to reject. Keep excluded pending sense review.","AI-assisted linguistic review","[]","1168:2","المميزات","true","{""arabic"":""المميزات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}",""
"1169","0","IDEA","فكره","review","msa","medium","","","","","noun","orthography-review","IDEA — فكره: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1169:0","فكرة","false","{""arabic"":""فكره"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1171","0","FEMALE","الانثى","review","msa","medium","","","","","adjective","orthography-review","FEMALE — الانثى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1171:0","أنثى","false","{""arabic"":""الانثى"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1171","1","FEMALE","انثى","review","msa","medium","","","","","adjective","orthography-review","FEMALE — انثى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1171:1","أنثى","false","{""arabic"":""انثى"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1171","2","FEMALE","اناث","review","msa","medium","","","","","noun","construction-or-sense-review","FEMALE — اناث: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1171:2","أنثى","false","{""arabic"":""اناث"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1171","3","FEMALE","الاناث","review","msa","medium","","","","","noun","construction-or-sense-review","FEMALE — الاناث: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1171:3","أنثى","false","{""arabic"":""الاناث"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1179","0","NUMBERS","الارقام","review","msa","medium","","","","","noun","orthography-review","NUMBERS — الارقام: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1179:0","أرقام","false","{""arabic"":""الارقام"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1179","1","NUMBERS","الاعداد","review","msa","medium","","","","","noun","orthography-review","NUMBERS — الاعداد: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1179:1","أرقام","false","{""arabic"":""الاعداد"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1179","2","NUMBERS","ارقام","review","msa","medium","","","","","noun","orthography-review","NUMBERS — ارقام: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1179:2","أرقام","false","{""arabic"":""ارقام"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1181","0","TOOL","الاداة","review","msa","medium","","","","","noun","orthography-review","TOOL — الاداة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1181:0","أداة","false","{""arabic"":""الاداة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1181","1","TOOL","اداة","review","msa","medium","","","","","noun","orthography-review","TOOL — اداة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1181:1","أداة","false","{""arabic"":""اداة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1184","0","FOUNDATION","الاساس","review","msa","medium","","","","","noun","orthography-review","FOUNDATION — الاساس (base): Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1184:0","مؤسسة","false","{""arabic"":""الاساس"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun"",""sense"":""base""}","base"
"1185","0","ANSWER","اجابة","review","msa","medium","","","","","noun","orthography-review","ANSWER — اجابة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1185:0","الإجابة","false","{""arabic"":""اجابة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1185","1","ANSWER","الاجابة","review","msa","medium","","","","","noun","orthography-review","ANSWER — الاجابة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1185:1","الإجابة","false","{""arabic"":""الاجابة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1186","2","VOICE","صو","review","uncertain","high","false","false","false","false","uncertain","unsuitable-unclassified","VOICE — صو: صو is a truncated fragment and does not supply voice. Keep both directions excluded while its register is unclassifiable.","AI-assisted linguistic review","[]","1186:2","صوت","false","{""arabic"":""صو"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""uncertain"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}",""
