# Fresh same-assistant second pass from English/Arabic-only view. Index|code+controlledPOS|short sense or empty|reason. Original choices hidden in the review view, not erased from conversational memory.
0|Dn||ولاد is the colloquial boys form, not the standard أولاد entry. Keep rejection without rewriting.
73|Uu||مكه does not provide a recognizable fish meaning. Keep uncertain register and both exclusions.
74|Un||وود is a transliterated name/English form, not a certified natural general wood equivalent here.
75|Rn||الكريسماس is a familiar borrowing, but this review does not establish its MSA learner-register status. Keep unresolved, not rejected.
76|Rn||لورد is a title borrowing; MSA use is possible and should not be rejected merely because it is borrowed. Leave register review.
77|Rn||ماستر is used in several borrowed senses; the intended MSA master relationship remains uncertain.
78|Hn||الظلام الداكن is redundant dark darkness. Retain review with exclusions; do not mechanically delete an adjective or certify the phrase.
79|Cn||الهواء الطلق is open air, naturally involved in outdoor constructions. Keep the bare adjective-to-noun relationship unresolved without a blanket POS rejection.
80|Cn||سيدي is my master/sir; a vocative master use is possible but the isolated sense/possession requires review.
81|Pn||قيمة legitimately expresses WORTH as a noun meaning value. This is a clear English noun use, not a forced adjective-to-noun mapping; allow both directions and prefer the natural equivalent.
82|Cn||وظائف is jobs, while careers may encompass professional trajectories; leave that sense distinction unresolved, not synonym-only exclusion.
83|Cn||الإمكانات المحتملة redundantly combines potential and possible capabilities. Review the naturalness of the expression before approval.
84|Rn||فلتر is widely used; this review lacks enough evidence to certify the register or reject it as dialect.
85|Cj||الأساسية has hamza and ordinary feminine morphology. Its written form itself is not defective; it can represent CORE as an essential adjective, but the intended isolated construction needs review.
86|Pn||بطارية is a natural battery noun; preserve it independently from the malformed repeated alternative.
87|Pn||مرضى naturally means patients; Arabic broken plural causes no direction problem.
88|Pn||النتيجة is score/result, a natural noun relation with fair crossword synonym ambiguity.
89|An||الاستحقاق can express benefit/entitlement. It remains allowed even when منفعة is preferred.
90|An|objective|الهدف is a target/objective noun; separate it from the targeting action.
91|An||الفرصة is opportunity/chance. The definite article is a valid variant.
92|Av||اكتملت is a natural completed past form; subject agreement does not make it misleading.
93|Pj||تقليدي is traditional, a direct natural adjective relation.
94|Pj||مستقل is independent, a natural adjective.
95|Pn||حركة المرور is traffic; the spaced Arabic expression is correct and useful.
96|An||المواصلات naturally expresses transportation, an ordinary plural-form collective noun.
97|Aj||الخارجية is external feminine definite in the intended adjective relationship.
98|Pn||الاتصالات naturally expresses communications. No separate verbose sense is necessary.
99|Aj||متوسطة is medium feminine; a valid adjective relation, independent of medium as a substance noun.
# QA preference proposal at index 31 has MEDIUM confidence; see reviews.json. It remains unapplied. CORE at index 85 corrects the diagnostic reason, but retains review status and unknown allowance.
