"sourceId","originalDecision","revisedDecision","reason","confidence"
"1575:0","{""headwordIndex"":1575,""translationIndex"":0,""english"":""BLOCK"",""original"":""كتلة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""solid piece"",""reasonCode"":""natural-preferred"",""reason"":""BLOCK — كتلة (solid piece): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1575,""translationIndex"":0,""english"":""BLOCK"",""original"":""كتلة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""solid piece"",""reasonCode"":""natural-preferred"",""reason"":""كتلة naturally expresses a block/mass; retain the concrete noun sense."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","كتلة naturally expresses a block/mass; retain the concrete noun sense.","high"
"1183:1","{""headwordIndex"":1183,""translationIndex"":1,""english"":""SPRING"",""original"":""الربيع"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""season"",""reasonCode"":""valid-alternative"",""reason"":""SPRING — الربيع (season): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1183,""translationIndex"":1,""english"":""SPRING"",""original"":""الربيع"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""season"",""reasonCode"":""valid-alternative"",""reason"":""الربيع identifies the spring season, a distinct sense from a coil or water source."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","الربيع identifies the spring season, a distinct sense from a coil or water source.","high"
"1114:0","{""headwordIndex"":1114,""translationIndex"":0,""english"":""LEAD"",""original"":""الرصاص"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""metal"",""reasonCode"":""natural-preferred"",""reason"":""LEAD — الرصاص (metal): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1114,""translationIndex"":0,""english"":""LEAD"",""original"":""الرصاص"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""metal"",""reasonCode"":""natural-preferred"",""reason"":""الرصاص is the metal lead; it cannot express the leadership verb."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","الرصاص is the metal lead; it cannot express the leadership verb.","high"
"1601:3","{""headwordIndex"":1601,""translationIndex"":3,""english"":""FAT"",""original"":""سمين"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""sense"":""overweight"",""reasonCode"":""natural-preferred"",""reason"":""FAT — سمين (overweight): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1601,""translationIndex"":3,""english"":""FAT"",""original"":""سمين"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""sense"":""overweight"",""reasonCode"":""natural-preferred"",""reason"":""سمين is the fat adjective applied to body build, separate from the substance noun."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","سمين is the fat adjective applied to body build, separate from the substance noun.","high"
"1484:2","{""headwordIndex"":1484,""translationIndex"":2,""english"":""MISSION"",""original"":""بعثة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""delegation"",""reasonCode"":""valid-alternative"",""reason"":""MISSION — بعثة (delegation): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1484,""translationIndex"":2,""english"":""MISSION"",""original"":""بعثة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""delegation"",""reasonCode"":""valid-alternative"",""reason"":""بعثة is a mission/delegation; valid alongside task/مهمة."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","بعثة is a mission/delegation; valid alongside task/مهمة.","high"
"1500:3","{""headwordIndex"":1500,""translationIndex"":3,""english"":""RACE"",""original"":""عرق"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""ancestry"",""reasonCode"":""natural-preferred"",""reason"":""RACE — عرق (ancestry): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1500,""translationIndex"":3,""english"":""RACE"",""original"":""عرق"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""ancestry"",""reasonCode"":""natural-preferred"",""reason"":""عرق expresses race/ancestry in this context; sweat and vein readings do not bar it."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","عرق expresses race/ancestry in this context; sweat and vein readings do not bar it.","high"
"1480:2","{""headwordIndex"":1480,""translationIndex"":2,""english"":""FACULTY"",""original"":""أعضاء هيئة التدريس"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""teaching staff"",""reasonCode"":""natural-preferred"",""reason"":""FACULTY — أعضاء هيئة التدريس (teaching staff): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1480,""translationIndex"":2,""english"":""FACULTY"",""original"":""أعضاء هيئة التدريس"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""teaching staff"",""reasonCode"":""natural-preferred"",""reason"":""أعضاء هيئة التدريس naturally names faculty as the teaching staff, not a university division."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","أعضاء هيئة التدريس naturally names faculty as the teaching staff, not a university division.","high"
"1484:3","{""headwordIndex"":1484,""translationIndex"":3,""english"":""MISSION"",""original"":""البعثة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""delegation"",""reasonCode"":""valid-alternative"",""reason"":""MISSION — البعثة (delegation): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1484,""translationIndex"":3,""english"":""MISSION"",""original"":""البعثة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""delegation"",""reasonCode"":""valid-alternative"",""reason"":""البعثة is the definite mission/delegation noun; preserve the shared sense with بعثة."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","البعثة is the definite mission/delegation noun; preserve the shared sense with بعثة.","high"
"1466:4","{""headwordIndex"":1466,""translationIndex"":4,""english"":""REST"",""original"":""بقية"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""remainder"",""reasonCode"":""natural-preferred"",""reason"":""REST — بقية (remainder): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1466,""translationIndex"":4,""english"":""REST"",""original"":""بقية"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""remainder"",""reasonCode"":""natural-preferred"",""reason"":""بقية is the rest/remainder, distinct from repose."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","بقية is the rest/remainder, distinct from repose.","high"
"1102:0","{""headwordIndex"":1102,""translationIndex"":0,""english"":""CAPITAL"",""original"":""العاصمة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""capital city"",""reasonCode"":""valid-alternative"",""reason"":""CAPITAL — العاصمة (capital city): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1102,""translationIndex"":0,""english"":""CAPITAL"",""original"":""العاصمة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""capital city"",""reasonCode"":""valid-alternative"",""reason"":""العاصمة is the city sense of capital, not financial assets."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","العاصمة is the city sense of capital, not financial assets.","high"
"1444:2","{""headwordIndex"":1444,""translationIndex"":2,""english"":""FILTER"",""original"":""مرشح"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""filtering device"",""reasonCode"":""natural-preferred"",""reason"":""FILTER — مرشح (filtering device): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1444,""translationIndex"":2,""english"":""FILTER"",""original"":""مرشح"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""filtering device"",""reasonCode"":""natural-preferred"",""reason"":""مرشح can denote a filter; different Arabic readings do not make this legitimate sense unsuitable."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","مرشح can denote a filter; different Arabic readings do not make this legitimate sense unsuitable.","high"
"1102:2","{""headwordIndex"":1102,""translationIndex"":2,""english"":""CAPITAL"",""original"":""رأس المال"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""financial capital"",""reasonCode"":""natural-preferred"",""reason"":""CAPITAL — رأس المال (financial capital): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1102,""translationIndex"":2,""english"":""CAPITAL"",""original"":""رأس المال"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""financial capital"",""reasonCode"":""natural-preferred"",""reason"":""رأس المال is the natural financial-capital expression; preserve both source spaces and the distinct sense."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","رأس المال is the natural financial-capital expression; preserve both source spaces and the distinct sense.","high"
"1503:2","{""headwordIndex"":1503,""translationIndex"":2,""english"":""TARGET"",""original"":""استهداف"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""verb"",""sense"":""aim at"",""reasonCode"":""natural-preferred"",""reason"":""TARGET — استهداف (aim at): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1503,""translationIndex"":2,""english"":""TARGET"",""original"":""استهداف"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""verb"",""sense"":""aim at"",""reasonCode"":""natural-preferred"",""reason"":""استهداف is an Arabic action noun naturally citing TARGET as a verb; not the objective noun sense."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","استهداف is an Arabic action noun naturally citing TARGET as a verb; not the objective noun sense.","high"
"1223:1","{""headwordIndex"":1223,""translationIndex"":1,""english"":""READY"",""original"":""جاهزة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective"",""reasonCode"":""valid-alternative"",""reason"":""READY — جاهزة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1223,""translationIndex"":1,""english"":""READY"",""original"":""جاهزة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective"",""reasonCode"":""valid-alternative"",""reason"":""جاهزة is ready feminine, a natural adjective relation."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","جاهزة is ready feminine, a natural adjective relation.","high"
"1289:2","{""headwordIndex"":1289,""translationIndex"":2,""english"":""CLASSIC"",""original"":""كلاسيكية"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective"",""reasonCode"":""valid-alternative"",""reason"":""CLASSIC — كلاسيكية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1289,""translationIndex"":2,""english"":""CLASSIC"",""original"":""كلاسيكية"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective"",""reasonCode"":""valid-alternative"",""reason"":""كلاسيكية is a conventional classic/classical adjective form; no noun sense is needed here."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","كلاسيكية is a conventional classic/classical adjective form; no noun sense is needed here.","high"
