"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","stratum","sense"
"2217","0","BROTHER","اخي","review","msa","medium","","","","","noun","orthography-review","BROTHER — اخي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","reference-conflict",""
"2295","1","ESTIMATED","تقديرات","review","msa","medium","","","","","noun","construction-or-sense-review","ESTIMATED — تقديرات: تقديرات means estimates as a noun, not estimated; a construction would be needed to license this mapping.","AI-assisted linguistic review","[]","reference-conflict",""
"2734","3","CIRCUIT","دائرة الدائرة","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","CIRCUIT — دائرة الدائرة: دائرة الدائرة is a duplicated genitive construction, not the natural circuit label; preserve pending repair.","AI-assisted linguistic review","[]","reference-conflict",""
"4458","1","TOE","اصبع القدم","review","msa","medium","","","","","noun","orthography-review","TOE — اصبع القدم: The intended toe expression is recognizable but اصبع lacks its initial hamza; defer text correction.","AI-assisted linguistic review","[]","reference-conflict",""
"1823","0","STONE","ستون","review","uncertain","medium","","","","","uncertain","register-review","STONE — ستون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register-review",""
"3969","0","JET","جيت","review","uncertain","medium","","","","","uncertain","register-review","JET — جيت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register-review",""
"2609","1","TIP","تيب","review","uncertain","medium","","","","","noun","register-review","TIP — تيب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register-review",""
"1740","1","SKIP","سكيب","review","uncertain","medium","","","","","uncertain","register-review","SKIP — سكيب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register-review",""
"2317","0","MIX","ميكس","review","uncertain","medium","","","","","noun","register-review","MIX — ميكس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register-review",""
"3509","0","WOW","واو","review","uncertain","medium","","","","","interjection","register-review","WOW — واو: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register-review",""
"2687","0","HEY","هيه","review","uncertain","medium","","","","","interjection","register-review","HEY — هيه: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register-review",""
"5493","1","TIN","تن","review","uncertain","medium","","","","","uncertain","register-review","TIN — تن: تن may be a borrowing/abbreviation; the metal sense is not established. Preserve as uncertain.","AI-assisted linguistic review","[]","register-review",""
"3784","0","MECHANISM","الالية","review","msa","medium","","","","","noun","orthography-review","MECHANISM — الالية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"2197","0","YESTERDAY","امس","review","msa","medium","","","","","adverb","orthography-review","YESTERDAY — امس: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"1836","1","AMATEUR","هاوية","review","msa","medium","","","","","noun","construction-or-sense-review","AMATEUR — هاوية: هاوية may be female amateur or abyss without vowels; the word is valid MSA but the isolated sense needs review.","AI-assisted linguistic review","[]","review",""
"1927","1","BROUGHT","احضرت","review","msa","medium","","","","","verb","orthography-review","BROUGHT — احضرت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"4141","1","EXHIBIT","معرض","review","msa","medium","","","","","noun","construction-or-sense-review","EXHIBIT — معرض: معرض can be an exhibition/showroom; defer the individual-exhibit mapping rather than broadly reject secondary uses.","AI-assisted linguistic review","[]","review",""
"1656","0","INTERESTING","للاهتمام","review","msa","high","false","false","false","false","adjective","unsuitable-pending-review","INTERESTING — للاهتمام: A potentially misleading or malformed relationship remains excluded pending review; a categorical rejection is not sufficiently established.","AI-assisted linguistic review","[]","review",""
"2107","1","PROCEDURE","الاجراءات","review","msa","medium","","","","","noun","orthography-review","PROCEDURE — الاجراءات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"2769","1","FEELING","الاحساس","review","msa","medium","","","","","noun","orthography-review","FEELING — الاحساس: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"2107","2","PROCEDURE","اجراء","review","msa","medium","","","","","noun","orthography-review","PROCEDURE — اجراء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"2322","2","CREDITS","الاعتمادات","review","msa","medium","","","","","noun","orthography-review","CREDITS — الاعتمادات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"2574","0","AGRICULTURE","الزراعة","approved","msa","high","true","true","false","false","noun","valid-alternative","AGRICULTURE — الزراعة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"2099","1","ELEMENT","عنصر","approved","msa","high","true","true","true","true","noun","natural-preferred","ELEMENT — عنصر: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"4029","1","JOY","فرحة","approved","msa","high","true","true","false","false","noun","valid-alternative","JOY — فرحة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"1936","1","GUARANTEE","الضمان","approved","msa","high","true","true","false","false","noun","valid-alternative","GUARANTEE — الضمان: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"1801","2","WIND","ريح","approved","msa","high","true","true","true","true","noun","natural-preferred","WIND — ريح: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"2942","1","TROUBLE","المشاكل","approved","msa","high","true","true","false","false","noun","valid-alternative","TROUBLE — المشاكل: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"3505","1","SIT","الجلوس","approved","msa","high","true","true","false","false","verb","valid-alternative","SIT — الجلوس: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"2572","4","EAT","تناول الطعام","approved","msa","high","true","true","true","true","verb","natural-preferred","EAT — تناول الطعام: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"4927","1","JAM","المربى","approved","msa","high","true","true","false","false","noun","valid-alternative","JAM — المربى: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"1670","1","DIE","مت","approved","msa","high","true","true","false","false","verb","valid-alternative","DIE — مت: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"1883","1","MANUFACTURING","التصنيع","approved","msa","high","true","true","false","false","noun","valid-alternative","MANUFACTURING — التصنيع: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"3038","2","FOX","الثعلب","approved","msa","high","true","true","false","false","noun","valid-alternative","FOX — الثعلب: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"1858","3","ICE","جليد","approved","msa","high","true","true","true","true","noun","natural-preferred","ICE — جليد (frozen water): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","coverage-approved-reverse","frozen water"
"1778","1","DOCUMENTATION","الوثائق","approved","msa","high","true","true","false","false","noun","valid-alternative","DOCUMENTATION — الوثائق: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"2899","1","RAW","خام","approved","msa","high","true","true","true","true","adjective","natural-preferred","RAW — خام: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"3009","0","CONTINUES","يستمر","approved","msa","high","true","true","true","true","verb","natural-preferred","CONTINUES — يستمر: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"4751","2","SAD","محزن","approved","msa","high","true","true","false","false","adjective","valid-alternative","SAD — محزن: محزن means saddening/sad in a phrase such as sad news; it is a valid causal adjective sense.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"3046","1","ARM","الذراع","approved","msa","high","true","true","false","false","noun","valid-alternative","ARM — الذراع: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"5108","0","ODD","غريب","approved","msa","high","true","true","true","true","adjective","natural-preferred","ODD — غريب: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"3670","1","AFTERNOON","العصر","approved","msa","high","true","true","false","false","noun","valid-alternative","AFTERNOON — العصر: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","coverage-approved-reverse",""
"2046","1","LANGUAGES","اللغات","approved","msa","high","true","true","false","false","noun","valid-alternative","LANGUAGES — اللغات: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"3258","1","CONTRIBUTIONS","المساهمات","approved","msa","high","true","true","false","false","noun","valid-alternative","CONTRIBUTIONS — المساهمات: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"3093","2","REQUIREMENT","اشتراط","approved","msa","high","true","true","false","false","noun","valid-alternative","REQUIREMENT — اشتراط: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"1800","1","SOLD","بيعت","approved","msa","high","true","true","false","false","verb","valid-alternative","SOLD — بيعت: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"3156","4","QUALIFIED","مؤهلون","approved","msa","high","true","true","false","false","adjective","valid-alternative","QUALIFIED — مؤهلون: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"1728","0","BASKET","السلة","approved","msa","high","true","true","false","false","noun","valid-alternative","BASKET — السلة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"2689","0","BUILDINGS","المباني","approved","msa","high","true","true","false","false","noun","valid-alternative","BUILDINGS — المباني: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"1688","1","MONTHLY","شهرية","approved","msa","high","true","true","false","false","adjective","valid-alternative","MONTHLY — شهرية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"1701","2","BOTTOM","أسفل","approved","msa","high","true","true","false","false","noun","valid-alternative","BOTTOM — أسفل: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"1869","1","THINKING","التفكير","approved","msa","high","true","true","false","false","noun","valid-alternative","THINKING — التفكير: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"2760","0","OPTICAL","بصرية","approved","msa","high","true","true","false","false","adjective","valid-alternative","OPTICAL — بصرية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"1668","0","GALLERIES","المعارض","approved","msa","high","true","true","false","false","noun","valid-alternative","GALLERIES — المعارض: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","allowed-nonpreferred-reverse",""
"2322","3","CREDITS","أرصدة دائنة","approved","msa","high","true","true","true","true","noun","natural-preferred","CREDITS — أرصدة دائنة (accounting credit balances): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","accounting credit balances"
"2933","1","CONCERN","قلق","approved","msa","high","true","true","true","true","noun","natural-preferred","CONCERN — قلق (worry): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","worry"
"1664","1","HITS","يضرب","approved","msa","high","true","true","true","true","verb","natural-preferred","HITS — يضرب (strikes): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","strikes"
"2627","4","INSTANT","لحظة","approved","msa","high","true","true","true","true","noun","natural-preferred","INSTANT — لحظة (moment): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","moment"
"4628","1","LIE","الكذب","approved","msa","high","true","true","false","false","noun","valid-alternative","LIE — الكذب (falsehood): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","falsehood"
"3338","0","RESERVATION","حجز","approved","msa","high","true","true","true","true","noun","natural-preferred","RESERVATION — حجز (booking): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","booking"
"2142","2","OPENING","افتتاح","approved","msa","high","true","true","true","true","noun","natural-preferred","OPENING — افتتاح (inauguration): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","inauguration"
"2734","0","CIRCUIT","الدائرة","approved","msa","high","true","true","false","false","noun","valid-alternative","CIRCUIT — الدائرة (electrical circuit): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","electrical circuit"
"1984","0","HEARING","سماع","approved","msa","high","true","true","false","false","noun","valid-alternative","HEARING — سماع (hearing sounds): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","hearing sounds"
"1984","2","HEARING","جلسة استماع","approved","msa","high","true","true","false","false","noun","valid-alternative","HEARING — جلسة استماع (formal hearing): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","formal hearing"
"2058","2","FINDING","العثور على","approved","msa","high","true","true","true","true","noun","natural-preferred","FINDING — العثور على: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","multiword",""
"2196","0","HEADLINES","العناوين الرئيسية","approved","msa","high","true","true","true","true","noun","natural-preferred","HEADLINES — العناوين الرئيسية: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","multiword",""
"1973","1","PROVIDERS","مقدمو الخدمات","approved","msa","high","true","true","true","true","noun","natural-preferred","PROVIDERS — مقدمو الخدمات: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","multiword",""
"1826","0","RINGTONES","نغمات الرنين","approved","msa","high","true","true","true","true","noun","natural-preferred","RINGTONES — نغمات الرنين: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","multiword",""
"3643","1","ANNIVERSARY","الذكرى السنوية","approved","msa","high","true","true","true","true","noun","natural-preferred","ANNIVERSARY — الذكرى السنوية: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","multiword",""
"1765","1","MODULE","الوحدة النمطية","approved","msa","high","true","true","false","false","noun","valid-alternative","MODULE — الوحدة النمطية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","multiword",""
"3788","3","WELFARE","الرعاية الاجتماعية","approved","msa","high","true","true","true","true","noun","natural-preferred","WELFARE — الرعاية الاجتماعية (social assistance): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","multiword","social assistance"
"1886","1","FISHING","صيد الأسماك","approved","msa","high","true","true","true","true","noun","natural-preferred","FISHING — صيد الأسماك: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","multiword",""
"3860","2","APPOINTED","عين","approved","msa","high","true","true","true","true","verb","natural-preferred","APPOINTED — عين: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","verb",""
"1979","1","GROWING","ينمو","approved","msa","high","true","true","false","false","verb","valid-alternative","GROWING — ينمو: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","verb",""
"1752","2","SELLING","يبيع","approved","msa","high","true","true","false","false","verb","valid-alternative","SELLING — يبيع: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","verb",""
"2155","0","FOLLOWS","يلي","approved","msa","high","true","true","true","true","verb","natural-preferred","FOLLOWS — يلي: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","verb",""
"2525","2","DISPLAYED","عرض","approved","msa","high","true","true","false","false","verb","valid-alternative","DISPLAYED — عرض: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","verb",""
"3242","0","ENCOURAGE","نشجع","approved","msa","high","true","true","true","true","verb","natural-preferred","ENCOURAGE — نشجع: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","verb",""
"2275","2","PROFESSIONALS","المهنيين","approved","msa","high","true","true","false","false","noun","valid-alternative","PROFESSIONALS — المهنيين: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","approved-control",""
"1841","0","PARTICULARLY","خاصة","approved","msa","high","true","true","true","true","adverb","natural-preferred","PARTICULARLY — خاصة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","approved-control",""
"2966","1","DEALERS","تجار","approved","msa","high","true","true","true","true","noun","natural-preferred","DEALERS — تجار: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","approved-control",""
"1959","0","CLASSIFIEDS","إعلانات مبوبة","approved","msa","high","true","true","true","true","noun","natural-preferred","CLASSIFIEDS — إعلانات مبوبة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","approved-control",""
"2902","1","EXPLAIN","فسر","approved","msa","high","true","true","false","false","verb","valid-alternative","EXPLAIN — فسر: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","approved-control",""
"2288","0","NEWSLETTERS","النشرات الإخبارية","approved","msa","high","true","true","true","true","noun","natural-preferred","NEWSLETTERS — النشرات الإخبارية: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","approved-control",""
"2153","1","COUNTER","مضاد","approved","msa","high","true","true","true","true","adjective","natural-preferred","COUNTER — مضاد (opposing): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","approved-control","opposing"
"1664","2","HITS","الزيارات","approved","msa","high","true","true","false","false","noun","valid-alternative","HITS — الزيارات (web visits): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","approved-control","web visits"
"2142","1","OPENING","الافتتاح","approved","msa","high","true","true","false","false","noun","valid-alternative","OPENING — الافتتاح (inauguration): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","approved-control","inauguration"
"1663","0","TEN","العشرة","approved","msa","high","true","true","false","false","noun","valid-alternative","TEN — العشرة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","approved-control",""
"2038","1","COMPREHENSIVE","شامل","approved","msa","high","true","true","true","true","adjective","natural-preferred","COMPREHENSIVE — شامل: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","approved-control",""
"1791","0","CLIENTS","زبائن","approved","msa","high","true","true","false","false","noun","valid-alternative","CLIENTS — زبائن: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","approved-control",""
