"sourceId","english","arabic","before","after","reason","confidence","productionMetadataChanged"
"2525:2","DISPLAYED","عرض","valid-alternative","batch004-qa-independent-pass","عرض can be read عُرض, was displayed; the past verbal sense is natural.","high","false"
"3242:0","ENCOURAGE","نشجع","natural-preferred","batch004-qa-independent-pass","The finite first-person plural naturally expresses the action encourage.","high","false"
"2275:2","PROFESSIONALS","المهنيين","valid-alternative","batch004-qa-independent-pass","Natural plural professionals with case/article variation.","high","false"
"1841:0","PARTICULARLY","خاصة","natural-preferred","batch004-qa-independent-pass","خاصة naturally expresses particularly/especially as an adverb.","high","false"
"2966:1","DEALERS","تجار","natural-preferred","batch004-qa-independent-pass","Dealers as traders is a valid general noun mapping.","high","false"
"1959:0","CLASSIFIEDS","إعلانات مبوبة","natural-preferred","batch004-qa-independent-pass","Naturally spaced classified-advertisement phrase.","high","false"
"2902:1","EXPLAIN","فسر","valid-alternative","batch004-qa-independent-pass","فسر is a natural verb explain; other valid equivalents do not exclude it.","high","false"
"2288:0","NEWSLETTERS","النشرات الإخبارية","natural-preferred","batch004-qa-independent-pass","Standard plural newsletter phrase, preserved with spaces.","high","false"
"2153:1","COUNTER","مضاد","natural-preferred","batch004-qa-independent-pass","Counter as opposing is the adjective sense; record it to distinguish the counting-device noun under this headword.","high","false"
"2142:1","OPENING","الافتتاح","valid-alternative","batch004-qa-independent-pass","Article variant of the inauguration noun remains valid.","high","false"
"1663:0","TEN","العشرة","valid-alternative","batch004-qa-independent-pass","The nominal number ten is natural with an article; POS noun is appropriate here.","high","false"
"2038:1","COMPREHENSIVE","شامل","natural-preferred","batch004-qa-independent-pass","Comprehensive is naturally expressed by this adjective.","high","false"
"1791:0","CLIENTS","زبائن","valid-alternative","batch004-qa-independent-pass","Clients/customers is a natural MSA noun; competing synonyms are legitimate.","high","false"
