"sourceId","originalDecision","revisedDecision","reason","confidence"
"2217:0","{""headwordIndex"":2217,""translationIndex"":0,""english"":""BROTHER"",""original"":""اخي"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""BROTHER — اخي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2217,""translationIndex"":0,""english"":""BROTHER"",""original"":""اخي"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Missing hamza and the possessive suffix require review; preserve text."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Missing hamza and the possessive suffix require review; preserve text.","high"
"2295:1","{""headwordIndex"":2295,""translationIndex"":1,""english"":""ESTIMATED"",""original"":""تقديرات"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""construction-or-sense-review"",""reason"":""ESTIMATED — تقديرات: تقديرات means estimates as a noun, not estimated; a construction would be needed to license this mapping."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2295,""translationIndex"":1,""english"":""ESTIMATED"",""original"":""تقديرات"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Estimates is a noun while estimated is participial; a linking construction is not supplied."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Estimates is a noun while estimated is participial; a linking construction is not supplied.","high"
"2734:3","{""headwordIndex"":2734,""translationIndex"":3,""english"":""CIRCUIT"",""original"":""دائرة الدائرة"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""unsuitable-pending-review"",""reason"":""CIRCUIT — دائرة الدائرة: دائرة الدائرة is a duplicated genitive construction, not the natural circuit label; preserve pending repair."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2734,""translationIndex"":3,""english"":""CIRCUIT"",""original"":""دائرة الدائرة"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Duplicated circuit genitive is not a natural standalone label; retain for repair."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Duplicated circuit genitive is not a natural standalone label; retain for repair.","high"
"4458:1","{""headwordIndex"":4458,""translationIndex"":1,""english"":""TOE"",""original"":""اصبع القدم"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""TOE — اصبع القدم: The intended toe expression is recognizable but اصبع lacks its initial hamza; defer text correction."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":4458,""translationIndex"":1,""english"":""TOE"",""original"":""اصبع القدم"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Toe meaning is clear but the initial hamza is missing; do not silently correct it."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Toe meaning is clear but the initial hamza is missing; do not silently correct it.","high"
"1823:0","{""headwordIndex"":1823,""translationIndex"":0,""english"":""STONE"",""original"":""ستون"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""STONE — ستون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1823,""translationIndex"":0,""english"":""STONE"",""original"":""ستون"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""The form could be a name transliteration or Arabic sixty; neither establishes the material stone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The form could be a name transliteration or Arabic sixty; neither establishes the material stone.","high"
"3969:0","{""headwordIndex"":3969,""translationIndex"":0,""english"":""JET"",""original"":""جيت"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""JET — جيت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3969,""translationIndex"":0,""english"":""JET"",""original"":""جيت"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""This transliteration does not securely identify the standard jet-aircraft noun."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","This transliteration does not securely identify the standard jet-aircraft noun.","high"
"2609:1","{""headwordIndex"":2609,""translationIndex"":1,""english"":""TIP"",""original"":""تيب"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""register-review"",""reason"":""TIP — تيب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2609,""translationIndex"":1,""english"":""TIP"",""original"":""تيب"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Borrowing/register needs support before approval as an MSA tip equivalent."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Borrowing/register needs support before approval as an MSA tip equivalent.","high"
"1740:1","{""headwordIndex"":1740,""translationIndex"":1,""english"":""SKIP"",""original"":""سكيب"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""SKIP — سكيب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1740,""translationIndex"":1,""english"":""SKIP"",""original"":""سكيب"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""A transliteration is not enough evidence for a natural Arabic verb skip."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","A transliteration is not enough evidence for a natural Arabic verb skip.","high"
"2317:0","{""headwordIndex"":2317,""translationIndex"":0,""english"":""MIX"",""original"":""ميكس"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""register-review"",""reason"":""MIX — ميكس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2317,""translationIndex"":0,""english"":""MIX"",""original"":""ميكس"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""The borrowing may occur commercially; natural MSA status remains unresolved."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The borrowing may occur commercially; natural MSA status remains unresolved.","high"
"3509:0","{""headwordIndex"":3509,""translationIndex"":0,""english"":""WOW"",""original"":""واو"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""interjection"",""reasonCode"":""register-review"",""reason"":""WOW — واو: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3509,""translationIndex"":0,""english"":""WOW"",""original"":""واو"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""interjection"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""A common exclamation spelling, but register is not established by its popularity."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","A common exclamation spelling, but register is not established by its popularity.","high"
"2687:0","{""headwordIndex"":2687,""translationIndex"":0,""english"":""HEY"",""original"":""هيه"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""interjection"",""reasonCode"":""register-review"",""reason"":""HEY — هيه: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2687,""translationIndex"":0,""english"":""HEY"",""original"":""هيه"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""interjection"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Interjection/register needs evidence; do not infer dialect merely from informal use."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Interjection/register needs evidence; do not infer dialect merely from informal use.","high"
"5493:1","{""headwordIndex"":5493,""translationIndex"":1,""english"":""TIN"",""original"":""تن"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""TIN — تن: تن may be a borrowing/abbreviation; the metal sense is not established. Preserve as uncertain."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":5493,""translationIndex"":1,""english"":""TIN"",""original"":""تن"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""The intended metal reading is not established by this short form."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The intended metal reading is not established by this short form.","high"
"3784:0","{""headwordIndex"":3784,""translationIndex"":0,""english"":""MECHANISM"",""original"":""الالية"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""MECHANISM — الالية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3784,""translationIndex"":0,""english"":""MECHANISM"",""original"":""الالية"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Recognizable mechanism noun but initial madda is omitted."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Recognizable mechanism noun but initial madda is omitted.","high"
"2197:0","{""headwordIndex"":2197,""translationIndex"":0,""english"":""YESTERDAY"",""original"":""امس"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""adverb"",""reasonCode"":""orthography-review"",""reason"":""YESTERDAY — امس: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2197,""translationIndex"":0,""english"":""YESTERDAY"",""original"":""امس"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""adverb"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Yesterday is recognizable; the initial hamza is missing."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Yesterday is recognizable; the initial hamza is missing.","high"
"1836:1","{""headwordIndex"":1836,""translationIndex"":1,""english"":""AMATEUR"",""original"":""هاوية"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""construction-or-sense-review"",""reason"":""AMATEUR — هاوية: هاوية may be female amateur or abyss without vowels; the word is valid MSA but the isolated sense needs review."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1836,""translationIndex"":1,""english"":""AMATEUR"",""original"":""هاوية"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""هاوية is the regular feminine of amateur. The unrelated abyss homograph does not invalidate this person sense; crossings help."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","هاوية is the regular feminine of amateur. The unrelated abyss homograph does not invalidate this person sense; crossings help.","high"
"1927:1","{""headwordIndex"":1927,""translationIndex"":1,""english"":""BROUGHT"",""original"":""احضرت"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""verb"",""reasonCode"":""orthography-review"",""reason"":""BROUGHT — احضرت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1927,""translationIndex"":1,""english"":""BROUGHT"",""original"":""احضرت"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""verb"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Brought is semantically recognizable, but the initial hamza is missing."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Brought is semantically recognizable, but the initial hamza is missing.","high"
