"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","effectiveTranslation","sense"
"2324","0","FIX","اصلاح","review","msa","medium","","","","","verb","orthography-review","FIX — اصلاح: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2324:0","إصلاح","false","{""arabic"":""اصلاح"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"2324","1","FIX","اصلح","review","msa","medium","","","","","verb","orthography-review","FIX — اصلح: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2324:1","إصلاح","false","{""arabic"":""اصلح"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"3046","2","ARM","بذراع","review","msa","medium","","","","","noun","construction-or-sense-review","ARM — بذراع: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","3046:2","ذراع","false","{""arabic"":""بذراع"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2490","1","WON","وون","review","uncertain","medium","","","","","uncertain","register-review","WON — وون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2490:1","فاز","false","{""arabic"":""وون"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""uncertain""}",""
"2609","1","TIP","تيب","review","uncertain","medium","","","","","noun","register-review","TIP — تيب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2609:1","نصيحة","false","{""arabic"":""تيب"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"2687","0","HEY","هيه","review","uncertain","medium","","","","","interjection","register-review","HEY — هيه: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2687:0","مرحباً","false","{""arabic"":""هيه"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""interjection""}",""
"2687","1","HEY","يا","review","msa","medium","","","","","interjection","construction-or-sense-review","HEY — يا: يا normally introduces a vocative; the isolated interjection relationship needs context.","AI-assisted linguistic review","[]","2687:1","مرحباً","false","{""arabic"":""يا"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""interjection""}",""
"2687","3","HEY","هاي","review","uncertain","medium","","","","","interjection","register-review","HEY — هاي: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2687:3","مرحباً","false","{""arabic"":""هاي"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""interjection""}",""
"2701","2","TEA","شاى","review","msa","medium","","","","","noun","orthography-review","TEA — شاى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2701:2","شاي","false","{""arabic"":""شاى"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2742","2","HIP","هيب","review","uncertain","medium","","","","","noun","register-review","HIP — هيب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2742:2","الورك","false","{""arabic"":""هيب"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"2765","1","DOT","دوت","review","uncertain","medium","","","","","noun","register-review","DOT — دوت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2765:1","دوت","true","{""arabic"":""دوت"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"2811","0","DON","دون","review","uncertain","medium","","","","","uncertain","register-review","DON — دون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2811:0","دون","true","{""arabic"":""دون"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""uncertain""}",""
"2891","2","PIN","المسمار","review","msa","medium","","","","","noun","construction-or-sense-review","PIN — المسمار: المسمار often means nail/screw; a specialized pin sense needs support before learner approval.","AI-assisted linguistic review","[]","2891:2","دبوس","false","{""arabic"":""المسمار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1980","0","THOUSANDS","الاف","review","msa","medium","","","","","noun","orthography-review","THOUSANDS — الاف: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1980:0","آلاف","false","{""arabic"":""الاف"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1980","1","THOUSANDS","الالاف","review","msa","medium","","","","","noun","orthography-review","THOUSANDS — الالاف: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1980:1","آلاف","false","{""arabic"":""الالاف"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1985","3","EASTERN","شرق","review","msa","medium","","","","","adjective","construction-or-sense-review","EASTERN — شرق: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1985:3","الشرقية","false","{""arabic"":""شرق"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"3437","0","SIR","سير","review","uncertain","medium","","","","","noun","register-review","SIR — سير: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","3437:0","سيدي","false","{""arabic"":""سير"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"3437","2","SIR","سيدى","review","msa","medium","","","","","noun","orthography-review","SIR — سيدى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3437:2","سيدي","false","{""arabic"":""سيدى"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"3038","1","FOX","فوكس","review","uncertain","medium","","","","","noun","register-review","FOX — فوكس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","3038:1","الثعلب","false","{""arabic"":""فوكس"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"2229","2","THEATRE","المسرح المسرحي","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","THEATRE — المسرح المسرحي: المسرح المسرحي is tautological and not a natural isolated equivalent; preserve text pending repair.","AI-assisted linguistic review","[]","2229:2","المسرح المسرحي","true","{""arabic"":""المسرح المسرحي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}",""
"3265","0","PAN","بان","review","uncertain","medium","","","","","uncertain","register-review","PAN — بان: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","3265:0","عموم","false","{""arabic"":""بان"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""uncertain""}",""
"3265","1","PAN","عموم","review","msa","medium","","","","","uncertain","construction-or-sense-review","PAN — عموم: عموم may reflect the bound prefix pan- rather than the ordinary cookware verb/noun; leave unresolved.","AI-assisted linguistic review","[]","3265:1","عموم","true","{""arabic"":""عموم"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""uncertain""}",""
"1708","0","PET","الحيوانات الأليفة","review","msa","medium","","","","","noun","construction-or-sense-review","PET — الحيوانات الأليفة: The plural animals expression lacks the singular pet reading without context; review the relationship rather than reject mere morphology.","AI-assisted linguistic review","[]","1708:0","الحيوانات الأليفة","true","{""arabic"":""الحيوانات الأليفة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1724","3","CONNECT","للتواصل","review","msa","medium","","","","","verb","construction-or-sense-review","CONNECT — للتواصل: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1724:3","الاتصال","false","{""arabic"":""للتواصل"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1724","4","CONNECT","الاتصال","review","msa","medium","","","","","verb","construction-or-sense-review","CONNECT — الاتصال: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1724:4","الاتصال","true","{""arabic"":""الاتصال"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1729","1","APPLIED","تطبق","review","msa","medium","","","","","verb","construction-or-sense-review","APPLIED — تطبق: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1729:1","مطبق","false","{""arabic"":""تطبق"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1739","0","ADVANCE","المتقدم","review","msa","medium","","","","","adjective","construction-or-sense-review","ADVANCE — المتقدم: المتقدم usually means advanced, not advance; context for this adjectival mapping is needed.","AI-assisted linguistic review","[]","1739:0","سلفة","false","{""arabic"":""المتقدم"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1775","0","FASHION","ازياء","review","msa","medium","","","","","noun","orthography-review","FASHION — ازياء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1775:0","الموضة","false","{""arabic"":""ازياء"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1775","1","FASHION","الازياء","review","msa","medium","","","","","noun","orthography-review","FASHION — الازياء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1775:1","الموضة","false","{""arabic"":""الازياء"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1815","3","LEATHER","جلدية","review","msa","medium","","","","","adjective","construction-or-sense-review","LEATHER — جلدية: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1815:3","الجلود","false","{""arabic"":""جلدية"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"1831","1","SATELLITE","السواتل","review","msa","medium","","","","","noun","construction-or-sense-review","SATELLITE — السواتل: السواتل is plural satellites; retain for review of number and learner presentation.","AI-assisted linguistic review","[]","1831:1","ساتل","false","{""arabic"":""السواتل"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1836","2","AMATEUR","الهواة","review","msa","medium","","","","","noun","construction-or-sense-review","AMATEUR — الهواة: الهواة is collective/plural; review learner presentation without rejecting the legitimate root meaning.","AI-assisted linguistic review","[]","1836:2","الهواة","true","{""arabic"":""الهواة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1892","0","LETTERS","الاحرف","review","msa","medium","","","","","noun","orthography-review","LETTERS — الاحرف: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1892:0","حروف","false","{""arabic"":""الاحرف"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1892","2","LETTERS","احرف","review","msa","medium","","","","","noun","orthography-review","LETTERS — احرف: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1892:2","حروف","false","{""arabic"":""احرف"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"3509","0","WOW","واو","review","uncertain","medium","","","","","interjection","register-review","WOW — واو: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","3509:0","نجاح باهر","false","{""arabic"":""واو"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""interjection""}",""
"3509","1","WOW","نجاح باهر","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","WOW — نجاح باهر: نجاح باهر means resounding success; it is not the interjection wow. A colloquial English noun sense needs separate support.","AI-assisted linguistic review","[]","3509:1","نجاح باهر","true","{""arabic"":""نجاح باهر"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}",""
"1927","1","BROUGHT","احضرت","review","msa","medium","","","","","verb","orthography-review","BROUGHT — احضرت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1927:1","أحضر","false","{""arabic"":""احضرت"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1938","3","DIAMOND","دايموند","review","uncertain","medium","","","","","noun","register-review","DIAMOND — دايموند: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1938:3","الماس","false","{""arabic"":""دايموند"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"3579","0","FIG","فيج","review","uncertain","medium","","","","","uncertain","register-review","FIG — فيج: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","3579:0","التين","false","{""arabic"":""فيج"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""uncertain""}",""
"3615","0","TAB","تاب","review","uncertain","medium","","","","","uncertain","register-review","TAB — تاب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","3615:0","لسان","false","{""arabic"":""تاب"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""uncertain""}",""
"3615","1","TAB","لسان","review","msa","medium","","","","","noun","construction-or-sense-review","TAB — لسان: لسان can mean a projecting tab in a compound, but the bare tongue clue needs sense support.","AI-assisted linguistic review","[]","3615:1","لسان","true","{""arabic"":""لسان"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2114","1","BREAKFAST","الافطار","review","msa","medium","","","","","noun","orthography-review","BREAKFAST — الافطار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2114:1","الإفطار","false","{""arabic"":""الافطار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2114","3","BREAKFAST","افطار","review","msa","medium","","","","","noun","orthography-review","BREAKFAST — افطار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2114:3","الإفطار","false","{""arabic"":""افطار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2155","1","FOLLOWS","فيما يلي","review","msa","medium","","","","","verb","construction-or-sense-review","FOLLOWS — فيما يلي: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2155:1","فيما يلي","true","{""arabic"":""فيما يلي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"2160","0","AUTOMATICALLY","اليا","review","msa","medium","","","","","adverb","orthography-review","AUTOMATICALLY — اليا: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2160:0","تلقائيا","false","{""arabic"":""اليا"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adverb""}",""
"2769","1","FEELING","الاحساس","review","msa","medium","","","","","noun","orthography-review","FEELING — الاحساس: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2769:1","شعور","false","{""arabic"":""الاحساس"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2769","2","FEELING","اشعر","review","msa","medium","","","","","verb","orthography-review","FEELING — اشعر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2769:2","شعور","false","{""arabic"":""اشعر"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"2769","4","FEELING","احساس","review","msa","medium","","","","","noun","orthography-review","FEELING — احساس: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2769:4","شعور","false","{""arabic"":""احساس"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2197","0","YESTERDAY","امس","review","msa","medium","","","","","adverb","orthography-review","YESTERDAY — امس: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2197:0","أمس","false","{""arabic"":""امس"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adverb""}",""
"2197","2","YESTERDAY","البارحه","review","msa","medium","","","","","adverb","orthography-review","YESTERDAY — البارحه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2197:2","أمس","false","{""arabic"":""البارحه"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adverb""}",""
"2197","3","YESTERDAY","الامس","review","msa","medium","","","","","adverb","orthography-review","YESTERDAY — الامس: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2197:3","أمس","false","{""arabic"":""الامس"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adverb""}",""
"2200","0","WHOLESALE","جملة","review","msa","medium","","","","","noun","construction-or-sense-review","WHOLESALE — جملة: جملة alone has sentence/total meanings; the trade construction is better supported by بالجملة. Leave this isolated sense unresolved.","AI-assisted linguistic review","[]","2200:0","الجملة","false","{""arabic"":""جملة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2200","2","WHOLESALE","الجملة","review","msa","medium","","","","","noun","construction-or-sense-review","WHOLESALE — الجملة: الجملة needs the trading construction to establish wholesale rather than sentence; review rather than synonym restriction.","AI-assisted linguistic review","[]","2200:2","الجملة","true","{""arabic"":""الجملة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2616","0","ANNOUNCED","اعلن","review","msa","medium","","","","","verb","orthography-review","ANNOUNCED — اعلن: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2616:0","أعلن","false","{""arabic"":""اعلن"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"2616","1","ANNOUNCED","اعلنت","review","msa","medium","","","","","verb","orthography-review","ANNOUNCED — اعلنت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2616:1","أعلن","false","{""arabic"":""اعلنت"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"2217","0","BROTHER","اخي","review","msa","medium","","","","","noun","orthography-review","BROTHER — اخي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2217:0","اخي","true","{""arabic"":""اخي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2217","1","BROTHER","اخ","review","msa","medium","","","","","noun","orthography-review","BROTHER — اخ: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2217:1","اخي","false","{""arabic"":""اخ"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2217","2","BROTHER","الاخ","review","msa","medium","","","","","noun","orthography-review","BROTHER — الاخ: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2217:2","اخي","false","{""arabic"":""الاخ"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1817","0","TEMPERATURE","الحرارة","review","msa","medium","","","","","noun","construction-or-sense-review","TEMPERATURE — الحرارة: الحرارة may denote heat as distinct from measured temperature; درجة الحرارة is the precise natural equivalent.","AI-assisted linguistic review","[]","1817:0","درجة الحرارة","false","{""arabic"":""الحرارة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2296","2","BINDING","الزام","review","msa","medium","","","","","noun","orthography-review","BINDING — الزام: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2296:2","ملزم","false","{""arabic"":""الزام"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2296","4","BINDING","الملزمة","review","msa","medium","","","","","noun","construction-or-sense-review","BINDING — الملزمة: الملزمة also has booklet/vise readings; the intended adjective remains unclear without vocalization/context.","AI-assisted linguistic review","[]","2296:4","ملزم","false","{""arabic"":""الملزمة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2318","0","FRAMEWORK","اطار","review","msa","medium","","","","","noun","orthography-review","FRAMEWORK — اطار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2318:0","الإطار","false","{""arabic"":""اطار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2322","0","CREDITS","النقاط","review","msa","medium","","","","","noun","construction-or-sense-review","CREDITS — النقاط: Points may be educational credits only in a supported context; do not broadly approve an isolated points clue.","AI-assisted linguistic review","[]","2322:0","أرصدة دائنة","false","{""arabic"":""النقاط"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2322","1","CREDITS","نقاط","review","msa","medium","","","","","noun","construction-or-sense-review","CREDITS — نقاط: The academic-credit construction needs evidence; the bare points rendering is left unresolved.","AI-assisted linguistic review","[]","2322:1","أرصدة دائنة","false","{""arabic"":""نقاط"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"2322","2","CREDITS","الاعتمادات","review","msa","medium","","","","","noun","orthography-review","CREDITS — الاعتمادات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2322:2","أرصدة دائنة","false","{""arabic"":""الاعتمادات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
