"sourceId","english","arabic","before","after","reason","confidence","productionMetadataChanged"
"2533:1","SAMPLES","عينات","natural-preferred","batch005-qa-independent-pass","Natural learner-facing samples noun.","high","false"
"2832:2","EVIL","شر","natural-preferred","batch005-qa-independent-pass","شر naturally names evil as a noun.","high","false"
"2857:3","MIXED","المختلط","valid-alternative","batch005-qa-independent-pass","The definite mixed adjective is a valid variant.","high","false"
"3583:1","ACQUISITION","اقتناء","natural-preferred","batch005-qa-independent-pass","Acquisition as obtaining/possession is naturally expressed by اقتناء.","high","false"
"2607:0","RINGS","الحلقات","valid-alternative","batch005-qa-independent-pass","The rings/loops sense is legitimate and separate from finger jewelry.","high","false"
"4603:3","CHRONIC","المزمن","valid-alternative","batch005-qa-independent-pass","The definite chronic adjective is a valid form.","high","false"
"3158:3","LENS","العدسة","valid-alternative","batch005-qa-independent-pass","The definite lens noun is valid even when another article form is preferred.","high","false"
"4696:1","PLEASED","مسرور","natural-preferred","batch005-qa-independent-pass","مسرور naturally means pleased.","high","false"
"2812:0","PIECES","القطع","valid-alternative","batch005-qa-independent-pass","Standard plural pieces with article.","high","false"
"7624:1","ENSURES","يضمن","natural-preferred","batch005-qa-independent-pass","يضمن naturally expresses ensures; competing synonyms do not exclude it.","high","false"
"3131:1","LINEAR","خطي","natural-preferred","batch005-qa-independent-pass","خطي is a standard linear adjective, including ordinary mathematical use.","high","false"
"2244:4","DELETE","حذف","valid-alternative","batch005-qa-independent-pass","The Arabic action citation can express the English verb delete; no automatic morphology exclusion.","high","false"
"2293:0","ATOM","ذرة","natural-preferred","batch005-qa-independent-pass","Natural atom noun; also a homograph of corn, which crossings can disambiguate.","high","false"
"2212:1","FORT","الحصن","valid-alternative","batch005-qa-independent-pass","Standard fort noun with article.","high","false"
"1785:2","COUPLE","ثنائي","valid-alternative","batch005-qa-independent-pass","ثنائي can name a duo/couple, a legitimate noun relationship.","high","false"
"1943:2","ALONE","وحيد","natural-preferred","batch005-qa-independent-pass","وحيد is a natural alone/solitary adjective.","high","false"
"2289:2","ADULTS","بالغين","valid-alternative","batch005-qa-independent-pass","The oblique plural adults is natural MSA; case morphology does not exclude it.","high","false"
"2071:3","TOUCH","اللمس","valid-alternative","batch005-qa-independent-pass","The touching/touch noun is valid with article.","high","false"
"2919:2","EXPORT","تصدير","natural-preferred","batch005-qa-independent-pass","تصدير naturally names exporting/export as an activity.","high","false"
"1912:0","CLAIM","ادعاء","valid-alternative","batch005-qa-independent-pass","ادعاء is a correctly spelled MSA claim noun with hamzat-wasl.","high","false"
"3647:0","PEARL","اللؤلؤ","valid-alternative","batch005-qa-independent-pass","اللؤلؤ is the natural collective/material pearl noun.","high","false"
"2272:1","STATED","ذكر","valid-alternative","batch005-qa-independent-pass","ذكر means stated/mentioned; secondary equivalents remain valid.","high","false"
"1715:0","SWITCH","التبديل","valid-alternative","batch005-qa-independent-pass","التبديل names the act of switching, an English switch noun use.","high","false"
"1903:1","CRIME","الجريمة","valid-alternative","batch005-qa-independent-pass","Standard crime noun with article.","high","false"
"4937:3","ROUTINE","الروتينية","valid-alternative","batch005-qa-independent-pass","The feminine definite routine adjective is valid.","high","false"
"2550:4","SLEEP","النوم","valid-alternative","batch005-qa-independent-pass","Standard sleep activity noun with article.","high","false"
"3861:1","TASTE","ذوق","valid-alternative","batch005-qa-independent-pass","ذوق naturally expresses taste; do not force an aesthetic-only sense label.","high","false"
"3513:2","FLEXIBLE","مرن","natural-preferred","batch005-qa-independent-pass","Natural flexible adjective.","high","false"
"2821:1","TRENDS","الاتجاهات","valid-alternative","batch005-qa-independent-pass","The directions/tendencies noun legitimately expresses trends.","high","false"
"2881:0","NOISE","ضجيج","natural-preferred","batch005-qa-independent-pass","Natural noise noun; synonyms do not make it an unfair reverse clue.","high","false"
"1782:3","CALLS","مكالمات","natural-preferred","batch005-qa-independent-pass","مكالمات naturally supplies calls.","high","false"
"3256:1","PILOT","طيار","natural-preferred","batch005-qa-independent-pass","طيار naturally supplies a pilot.","high","false"
"2176:0","CONTACTS","الاتصالات","valid-alternative","batch005-qa-independent-pass","الاتصالات can express contacts/communications; the noun relationship remains valid.","high","false"
"1904:0","COUNT","كونت","natural-preferred","batch005-qa-independent-pass","كونت is the conventional noble-title borrowing, distinct from numerical count.","high","false"
"2953:2","AGES","العصور","valid-alternative","batch005-qa-independent-pass","The ages/eras noun is distinct from people's ages.","high","false"
"2607:2","RINGS","حلقات","valid-alternative","batch005-qa-independent-pass","حلقات expresses rings as loops rather than jewelry.","high","false"
"1970:3","DRUGS","المخدرات","valid-alternative","batch005-qa-independent-pass","المخدرات supplies the narcotics sense, distinct from therapeutic drugs.","high","false"
"2031:2","RECOVERY","التعافي","natural-preferred","batch005-qa-independent-pass","The recovery noun expresses return to health, distinguished from retrieval.","high","false"
"2953:1","AGES","عصور","natural-preferred","batch005-qa-independent-pass","عصور naturally names historical ages/eras.","high","false"
"1902:2","MASS","قداس","natural-preferred","batch005-qa-independent-pass","قداس is the religious-service sense of mass, not physical quantity.","high","false"
"2682:3","APPEAL","الاستئناف","valid-alternative","batch005-qa-independent-pass","The appeal noun is a legal challenge, distinct from a general request.","high","false"
"2031:5","RECOVERY","الاسترداد","valid-alternative","batch005-qa-independent-pass","الاسترداد expresses recovering/retrieving something rather than health recovery.","high","false"
"1989:1","DATES","المواعيد","valid-alternative","batch005-qa-independent-pass","المواعيد expresses dates as appointments, distinct from calendar dates.","high","false"
"2355:0","SIGNS","العلامات","valid-alternative","batch005-qa-independent-pass","Standard signs noun with article.","high","false"
"2706:4","DRESS","لباس","valid-alternative","batch005-qa-independent-pass","لباس names dress/clothing generally and is a valid noun sense.","high","false"
"6213:1","SILENCE","الصمت","valid-alternative","batch005-qa-independent-pass","Standard silence noun with article.","high","false"
"2227:1","BOAT","القارب","valid-alternative","batch005-qa-independent-pass","Standard boat noun with article.","high","false"
"2048:4","ORANGE","برتقالية","valid-alternative","batch005-qa-independent-pass","The feminine orange-color adjective is valid.","high","false"
"1662:1","IMPLEMENTATION","التنفيذ","valid-alternative","batch005-qa-independent-pass","Standard implementation noun with article.","high","false"
"4236:0","SHADOW","الظل","valid-alternative","batch005-qa-independent-pass","Standard shadow noun with article.","high","false"
"5337:0","HONEST","صادقة","valid-alternative","batch005-qa-independent-pass","The feminine honest adjective is valid, not a separate invented sense.","high","false"
"2052:2","THEME","الموضوع","valid-alternative","batch005-qa-independent-pass","الموضوع naturally expresses the subject/theme noun.","high","false"
"1761:1","ELEMENTS","العناصر","valid-alternative","batch005-qa-independent-pass","Standard plural elements with article.","high","false"
"2642:0","AHEAD","في المستقبل","natural-preferred","batch005-qa-independent-pass","In the future naturally expresses the temporal ahead sense.","high","false"
"7609:2","SUNRISE","شروق الشمس","natural-preferred","batch005-qa-independent-pass","The naturally spaced phrase explicitly means sunrise.","high","false"
"3068:2","POLL","استطلاع الرأي","natural-preferred","batch005-qa-independent-pass","The naturally spaced opinion-poll phrase is a good learner equivalent.","high","false"
"1950:3","FLIGHT","رحلة طيران","natural-preferred","batch005-qa-independent-pass","The phrase explicitly means an air flight.","high","false"
"3292:0","PATENT","براءة اختراع","natural-preferred","batch005-qa-independent-pass","The standard naturally spaced patent phrase is appropriate.","high","false"
"3008:0","ANYWAY","على أية حال","natural-preferred","batch005-qa-independent-pass","The phrase naturally expresses anyway/in any case.","high","false"
"1931:1","ENABLE","تمكين","valid-alternative","batch005-qa-independent-pass","The action citation تمكين is a natural equivalent for the English infinitive enable.","high","false"
"2110:0","DEFINE","عرف","natural-preferred","batch005-qa-independent-pass","عرف can be read عرّف, define; lack of vowel/shadda marks does not invalidate the verb.","high","false"
"3097:0","KILLED","قتل","natural-preferred","batch005-qa-independent-pass","قتل supports killed in the past verbal reading.","high","false"
"2071:1","TOUCH","لمس","natural-preferred","batch005-qa-independent-pass","لمس naturally expresses the touching action.","high","false"
"2244:0","DELETE","يحذف","natural-preferred","batch005-qa-independent-pass","يحذف naturally expresses the verb delete.","high","false"
"5188:3","ANNOUNCE","إعلان","valid-alternative","batch005-qa-independent-pass","إعلان is an accepted Arabic action citation for announce; English POS remains verb.","high","false"
"3017:1","CIRCLE","دائرة","natural-preferred","batch005-qa-independent-pass","Natural circle noun.","high","false"
"2729:4","FRAMES","إطارات","natural-preferred","batch005-qa-independent-pass","The correctly spelled frames plural is natural.","high","false"
"2151:1","PLACED","وضعت","valid-alternative","batch005-qa-independent-pass","The past verb placed has a natural Arabic finite form.","high","false"
"5785:2","INVEST","استثمار","valid-alternative","batch005-qa-independent-pass","استثمار naturally cites the investing action; surface infinitive morphology need not match.","high","false"
