"sourceId","originalDecision","revisedDecision","reason","confidence"
"7061:2","{""headwordIndex"":7061,""translationIndex"":2,""english"":""OOPS"",""original"":""أوبس"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""interjection"",""reasonCode"":""register-review"",""reason"":""OOPS — أوبس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":7061,""translationIndex"":2,""english"":""OOPS"",""original"":""أوبس"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""interjection"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The borrowed interjection is familiar but MSA register remains unresolved."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The borrowed interjection is familiar but MSA register remains unresolved.","high"
"2212:2","{""headwordIndex"":2212,""translationIndex"":2,""english"":""FORT"",""original"":""فورت"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""FORT — فورت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2212,""translationIndex"":2,""english"":""FORT"",""original"":""فورت"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Name-like transliteration does not establish a natural MSA fortress noun."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Name-like transliteration does not establish a natural MSA fortress noun.","high"
"5528:4","{""headwordIndex"":5528,""translationIndex"":4,""english"":""RAT"",""original"":""فأر"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""construction-or-sense-review"",""reason"":""RAT — فأر: فأر most directly supplies mouse; broader rodent usage needs evidence before approval as rat."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":5528,""translationIndex"":4,""english"":""RAT"",""original"":""فأر"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Mouse versus rat is a real learner distinction; broader rodent usage remains unresolved."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Mouse versus rat is a real learner distinction; broader rodent usage remains unresolved.","high"
"2914:0","{""headwordIndex"":2914,""translationIndex"":0,""english"":""LANE"",""original"":""لين"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""LANE — لين: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2914,""translationIndex"":0,""english"":""LANE"",""original"":""لين"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""لين can express softness or a name; it does not establish the lane/roadway sense."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","لين can express softness or a name; it does not establish the lane/roadway sense.","high"
"2267:2","{""headwordIndex"":2267,""translationIndex"":2,""english"":""FALLS"",""original"":""السقوط"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""construction-or-sense-review"",""reason"":""FALLS — السقوط: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2267,""translationIndex"":2,""english"":""FALLS"",""original"":""السقوط"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""falling"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Arabic السقوط naturally renders falls collectively, as in prevention of falls. Plural English versus Arabic action noun is not automatic exclusion; distinguish it from waterfalls."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Arabic السقوط naturally renders falls collectively, as in prevention of falls. Plural English versus Arabic action noun is not automatic exclusion; distinguish it from waterfalls.","high"
"1704:2","{""headwordIndex"":1704,""translationIndex"":2,""english"":""DETAIL"",""original"":""التفاصيل"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""construction-or-sense-review"",""reason"":""DETAIL — التفاصيل: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1704,""translationIndex"":2,""english"":""DETAIL"",""original"":""التفاصيل"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The singular/uncountable detail versus plural details relationship needs a supported construction before approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The singular/uncountable detail versus plural details relationship needs a supported construction before approval.","high"
"1731:4","{""headwordIndex"":1731,""translationIndex"":4,""english"":""INSTALLATION"",""original"":""تركيب التثبيت"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""unsuitable-pending-review"",""reason"":""INSTALLATION — تركيب التثبيت: تركيب التثبيت is a redundant compound, not a clean standalone installation label."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1731,""translationIndex"":4,""english"":""INSTALLATION"",""original"":""تركيب التثبيت"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The redundant installation compound is not a clean standalone label; preserve for review."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The redundant installation compound is not a clean standalone label; preserve for review.","high"
"2064:2","{""headwordIndex"":2064,""translationIndex"":2,""english"":""CLAIMS"",""original"":""2- المطالبات"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""unsuitable-pending-review"",""reason"":""CLAIMS — 2- المطالبات: The embedded 2- is an editorial enumeration marker, not part of the Arabic translation; do not silently strip it."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2064,""translationIndex"":2,""english"":""CLAIMS"",""original"":""2- المطالبات"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The numbered editorial prefix is extraneous translation data; no silent stripping."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The numbered editorial prefix is extraneous translation data; no silent stripping.","high"
"3202:0","{""headwordIndex"":3202,""translationIndex"":0,""english"":""GENRE"",""original"":""النوع"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""construction-or-sense-review"",""reason"":""GENRE — النوع: النوع broadly means type; an artistic genre context is needed before treating this as a direct learner clue."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3202,""translationIndex"":0,""english"":""GENRE"",""original"":""النوع"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""النوع legitimately expresses genre as kind/type. A broader valid Arabic equivalent is acceptable with crossings; allow both ways without forcing preference."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","النوع legitimately expresses genre as kind/type. A broader valid Arabic equivalent is acceptable with crossings; allow both ways without forcing preference.","high"
"2071:5","{""headwordIndex"":2071,""translationIndex"":5,""english"":""TOUCH"",""original"":""لمسة اللمس"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""unsuitable-pending-review"",""reason"":""TOUCH — لمسة اللمس: لمسة اللمس is a redundant genitive label rather than a natural standalone equivalent; preserve pending review."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2071,""translationIndex"":5,""english"":""TOUCH"",""original"":""لمسة اللمس"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The redundant genitive touch label is not a natural isolated equivalent."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The redundant genitive touch label is not a natural isolated equivalent.","high"
"2166:2","{""headwordIndex"":2166,""translationIndex"":2,""english"":""FILL"",""original"":""املا"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""verb"",""reasonCode"":""orthography-review"",""reason"":""FILL — املا: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2166,""translationIndex"":2,""english"":""FILL"",""original"":""املا"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""verb"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The intended fill imperative is recognizable, but its final hamza is missing."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The intended fill imperative is recognizable, but its final hamza is missing.","high"
"2808:1","{""headwordIndex"":2808,""translationIndex"":1,""english"":""IDEAL"",""original"":""ديال"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""unsuitable-pending-review"",""reason"":""IDEAL — ديال: ديال is not a clear MSA equivalent of ideal. Keep withheld pending identity/register clarification; no invented repair."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2808,""translationIndex"":1,""english"":""IDEAL"",""original"":""ديال"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""This is not an established MSA ideal equivalent; retain withheld without inventing a replacement."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","This is not an established MSA ideal equivalent; retain withheld without inventing a replacement.","high"
"1784:0","{""headwordIndex"":1784,""translationIndex"":0,""english"":""COVERAGE"",""original"":""الشمول"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""construction-or-sense-review"",""reason"":""COVERAGE — الشمول: الشمول means comprehensiveness/inclusion; coverage requires a supported context, unlike the direct التغطية."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1784,""translationIndex"":0,""english"":""COVERAGE"",""original"":""الشمول"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Comprehensiveness/inclusion is not necessarily coverage; a construction is needed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Comprehensiveness/inclusion is not necessarily coverage; a construction is needed.","high"
"1758:0","{""headwordIndex"":1758,""translationIndex"":0,""english"":""OLDER"",""original"":""الاقدم"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""adjective"",""reasonCode"":""orthography-review"",""reason"":""OLDER — الاقدم: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1758,""translationIndex"":0,""english"":""OLDER"",""original"":""الاقدم"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""adjective"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Recognizable older/earlier adjective, but the initial hamza is missing."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Recognizable older/earlier adjective, but the initial hamza is missing.","high"
"5758:1","{""headwordIndex"":5758,""translationIndex"":1,""english"":""BOMB"",""original"":""بله"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""uncertain"",""reasonCode"":""unsuitable-pending-review"",""reason"":""BOMB — بله: بله is not an established bomb equivalent; preserve the unidentified/corrupted form withheld."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":5758,""translationIndex"":1,""english"":""BOMB"",""original"":""بله"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""uncertain"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The supplied form does not establish a bomb meaning or a secure register."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The supplied form does not establish a bomb meaning or a secure register.","high"
"2341:0","{""headwordIndex"":2341,""translationIndex"":0,""english"":""REVENUE"",""original"":""ايرادات"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""REVENUE — ايرادات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2341,""translationIndex"":0,""english"":""REVENUE"",""original"":""ايرادات"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The revenue plural has omitted initial hamza; preserve for orthographic review."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The revenue plural has omitted initial hamza; preserve for orthographic review.","high"
