"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"1311","0","RATED","التصنيف","review","msa","medium","","","","","noun","construction-or-sense-review","RATED — التصنيف: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1311:0","التصنيف","true"
"1319","4","SELECTED","مختارات","review","msa","medium","","","","","noun","construction-or-sense-review","SELECTED — مختارات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1319:4","مختارات","true"
"1344","3","SON","إبني","review","msa","medium","","","","","noun","orthography-review","SON — إبني: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1344:3","إبني","true"
"1352","1","CATALOG","كتالوج","review","uncertain","medium","","","","","noun","register-review","CATALOG — كتالوج: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1352:1","كتالوج","true"
"1358","1","CONSIDERED","نظر فيها","review","msa","medium","","","","","verb","construction-or-sense-review","CONSIDERED — نظر فيها: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1358:1","نظر فيها","true"
"1359","1","TOLD","قال","review","msa","medium","","","","","verb","construction-or-sense-review","TOLD — قال: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1359:1","قال","true"
"1370","0","SENIOR","كبار","review","msa","medium","","","","","uncertain","construction-or-sense-review","SENIOR — كبار: كبار means seniors or senior plural in some constructions; the isolated POS remains unresolved.","AI-assisted linguistic review","[]","1370:0","كبار","true"
"1376","2","TESTING","اختبار الاختبار","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","TESTING — اختبار الاختبار: A potentially misleading or malformed relationship remains excluded pending review; a categorical rejection is not sufficiently established.","AI-assisted linguistic review","[]","1376:2","اختبار الاختبار","true"
"1417","1","VAN","فان","review","uncertain","medium","","","","","noun","register-review","VAN — فان: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1417:1","فان","true"
"1419","3","SESSION","الدورة الثانية","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","SESSION — الدورة الثانية: الدورة الثانية adds second to session. The second-pass check must establish whether this materially misleading qualifier warrants exclusion. Second pass: الدورة الثانية introduces the unsupported ordinal second. It misleadingly narrows a general session clue; no evidence for that specific headword sense is present.","AI-assisted linguistic review","[]","1419:3","الدورة الثانية","true"
"1439","3","DATING","التي يرجع تاريخها","review","msa","medium","","","","","uncertain","construction-or-sense-review","DATING — التي يرجع تاريخها: التي يرجع تاريخها is a relative-clause fragment for dating back; leave its English grammatical mapping unresolved.","AI-assisted linguistic review","[]","1439:3","التي يرجع تاريخها","true"
"1444","0","FILTER","فلتر","review","uncertain","medium","","","","","noun","register-review","FILTER — فلتر: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1444:0","فلتر","true"
"1445","0","MAILING","البريد","review","msa","medium","","","","","noun","construction-or-sense-review","MAILING — البريد: البريد denotes mail; an English mailing can be a dispatch, but the intended noun/action sense needs clarification.","AI-assisted linguistic review","[]","1445:0","البريد","true"
"1452","4","FLOOR","الطابق الأرضي","review","msa","medium","","","","","noun","construction-or-sense-review","FLOOR — الطابق الأرضي: الطابق الأرضي is ground floor, a specific narrower floor. Keep the qualifier question for review rather than assuming it is a synonym.","AI-assisted linguistic review","[]","1452:4","الطابق الأرضي","true"
"1461","1","OUTDOOR","الهواء الطلق","review","msa","medium","","","","","noun","construction-or-sense-review","OUTDOOR — الهواء الطلق: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1461:1","الهواء الطلق","true"
"1463","3","MORNING","صباح الخير","review","msa","medium","","","","","interjection","construction-or-sense-review","MORNING — صباح الخير: صباح الخير is good morning, an expanded greeting. An elliptical English morning greeting is possible but remains contextual.","AI-assisted linguistic review","[]","1463:3","صباح الخير","true"
"1486","3","STRING","سلسلة نص","review","msa","medium","","","","","noun","construction-or-sense-review","STRING — سلسلة نص: سلسلة نص is an awkward text-string phrase; do not rewrite it or approve without review.","AI-assisted linguistic review","[]","1486:3","سلسلة نص","true"
"1522","2","BATTERY","بطارية البطارية","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","BATTERY — بطارية البطارية: بطارية البطارية is an unexplained repeated possessive. Keep review with explicit exclusions; do not mechanically remove a repeated word.","AI-assisted linguistic review","[]","1522:2","بطارية البطارية","true"
"1532","3","CORE","الأساسية","review","msa","medium","","","","","adjective","orthography-review","CORE — الأساسية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1532:3","الأساسية","true"
"1540","1","DEFINED","تعريف","review","msa","medium","","","","","noun","construction-or-sense-review","DEFINED — تعريف: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1540:1","تعريف","true"
"1549","3","ESTABLISHED","المنشأة","review","msa","medium","","","","","uncertain","construction-or-sense-review","ESTABLISHED — المنشأة: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1549:3","المنشأة","true"
"1554","4","DARK","الظلام الداكن","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","DARK — الظلام الداكن: الظلام الداكن is an unnatural redundant dark darkness phrase. Keep it excluded pending review without changing text.","AI-assisted linguistic review","[]","1554:4","الظلام الداكن","true"
"1570","0","VARIETY","متنوعة","review","msa","medium","","","","","adjective","construction-or-sense-review","VARIETY — متنوعة: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1570:0","متنوعة","true"
"1578","1","INCREASED","زيادة","review","msa","medium","","","","","noun","construction-or-sense-review","INCREASED — زيادة: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1578:1","زيادة","true"
"1586","4","WRONG","خطأ","review","msa","medium","","","","","noun","construction-or-sense-review","WRONG — خطأ: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1586:4","خطأ","true"
"1589","0","ASSOCIATES","الزميلة","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","ASSOCIATES — الزميلة: الزميلة names a single feminine colleague, whereas associates is plural. A suitable nominal construction has not been established; preserve review and exclusions, not automatic categorical rejection.","AI-assisted linguistic review","[]","1589:0","الزميلة","true"
"1618","1","WORTH","قيمة","review","msa","medium","","","","","noun","construction-or-sense-review","WORTH — قيمة: قيمة is worth/value as a noun; review the intended lexical reading independently from WORTH meaning deserving.","AI-assisted linguistic review","[]","1618:1","قيمة","true"
"1635","3","BENEFIT","الاستحقاقات","review","msa","medium","","","","","noun","construction-or-sense-review","BENEFIT — الاستحقاقات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1635:3","الاستحقاقات","true"
"1639","3","LORD","مولاي","review","msa","medium","","","","","noun","construction-or-sense-review","LORD — مولاي: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1639:3","مولاي","true"
"1642","3","AGREE","موافق","review","msa","medium","","","","","adjective","construction-or-sense-review","AGREE — موافق: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1642:3","موافق","true"
"1643","0","FICTION","الخيال","review","msa","medium","","","","","noun","construction-or-sense-review","FICTION — الخيال: الخيال can mean imagination or fiction; retain the literary-sense question rather than restricting merely because fantasy is another synonym.","AI-assisted linguistic review","[]","1643:0","الخيال","true"
"1644","1","HEAR","اسمع","review","msa","medium","","","","","verb","orthography-review","HEAR — اسمع: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1644:1","اسمع","true"
"1647","2","CAREERS","وظائف","review","msa","medium","","","","","noun","construction-or-sense-review","CAREERS — وظائف: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1647:2","وظائف","true"
