"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","sense"
"1105","1","INVESTMENT","الاستثمارات","review","msa","medium","","","","","noun","construction-or-sense-review","INVESTMENT — الاستثمارات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1105:1","الاستثمار","false",""
"1105","2","INVESTMENT","استثمارات","review","msa","medium","","","","","noun","construction-or-sense-review","INVESTMENT — استثمارات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1105:2","الاستثمار","false",""
"1106","0","SENT","ارسلت","review","msa","medium","","","","","verb","orthography-review","SENT — ارسلت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1106:0","مرسلة","false",""
"1106","1","SENT","ارسل","review","msa","medium","","","","","verb","orthography-review","SENT — ارسل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1106:1","مرسلة","false",""
"1107","0","SHOWN","يظهر","review","msa","medium","","","","","verb","construction-or-sense-review","SHOWN — يظهر: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1107:0","يظهر","true",""
"1109","0","CHRISTMAS","الكريسماس","review","uncertain","medium","","","","","noun","register-review","CHRISTMAS — الكريسماس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1109:0","عيد الميلاد","false",""
"1109","1","CHRISTMAS","كريسماس","review","uncertain","medium","","","","","noun","register-review","CHRISTMAS — كريسماس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1109:1","عيد الميلاد","false",""
"1111","1","CULTURE","ثقافته","review","msa","medium","","","","","noun","construction-or-sense-review","CULTURE — ثقافته: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1111:1","الثقافة","false",""
"1113","2","FLASH","فلاش","review","uncertain","medium","","","","","noun","register-review","FLASH — فلاش: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1113:2","فلاش","true",""
"1117","0","WENT","رحت","review","uncertain","medium","","","","","verb","register-review","WENT — رحت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1117:0","ذهب","false",""
"1125","0","FOREIGN","اجنبي","review","msa","medium","","","","","adjective","orthography-review","FOREIGN — اجنبي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1125:0","الأجانب","false",""
"1125","1","FOREIGN","الاجنبي","review","msa","medium","","","","","adjective","orthography-review","FOREIGN — الاجنبي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1125:1","الأجانب","false",""
"1125","2","FOREIGN","اجنبية","review","msa","medium","","","","","adjective","orthography-review","FOREIGN — اجنبية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1125:2","الأجانب","false",""
"1125","3","FOREIGN","الأجانب","review","msa","medium","","","","","noun","construction-or-sense-review","FOREIGN — الأجانب: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1125:3","الأجانب","true",""
"1128","0","FURNITURE","اثاث","review","msa","medium","","","","","noun","orthography-review","FURNITURE — اثاث: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1128:0","الأثاث","false",""
"1128","1","FURNITURE","الاثاث","review","msa","medium","","","","","noun","orthography-review","FURNITURE — الاثاث: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1128:1","الأثاث","false",""
"1132","0","MODE","مود","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","MODE — مود: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1132:0","وضع","false",""
"1134","0","IDEAS","افكار","review","msa","medium","","","","","noun","orthography-review","IDEAS — افكار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1134:0","أفكار","false",""
"1134","1","IDEAS","الافكار","review","msa","medium","","","","","noun","orthography-review","IDEAS — الافكار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1134:1","أفكار","false",""
"1135","0","WEDNESDAY","الاربعاء","review","msa","medium","","","","","noun","orthography-review","WEDNESDAY — الاربعاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1135:0","الأربعاء، الأربعاء","false",""
"1138","3","SUMMER","سمر","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","SUMMER — سمر: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1138:3","الصيف","false",""
"1140","0","DEGREE","بدرجة","review","msa","medium","","","","","noun","construction-or-sense-review","DEGREE — بدرجة: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1140:0","الدرجة العلمية","false",""
"1143","0","RELEASES","اصدارات","review","msa","medium","","","","","noun","orthography-review","RELEASES — اصدارات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1143:0","إصدارات","false",""
"1143","1","RELEASES","الاصدارات","review","msa","medium","","","","","noun","orthography-review","RELEASES — الاصدارات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1143:1","إصدارات","false",""
"1146","0","SUPER","سوبر","review","uncertain","medium","","","","","adjective","register-review","SUPER — سوبر: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1146:0","سوبر","true",""
"1146","1","SUPER","السوبر","review","uncertain","medium","","","","","adjective","register-review","SUPER — السوبر: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1146:1","سوبر","false",""
"1147","3","MALE","الذكور","review","msa","medium","","","","","noun","construction-or-sense-review","MALE — الذكور: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1147:3","ذكر","false",""
"1147","4","MALE","ذكور","review","msa","medium","","","","","noun","construction-or-sense-review","MALE — ذكور: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1147:4","ذكر","false",""
"1148","0","MATTER","مسالة","review","msa","medium","","","","","noun","orthography-review","MATTER — مسالة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1148:0","المسألة","false",""
"1148","1","MATTER","المسالة","review","msa","medium","","","","","noun","orthography-review","MATTER — المسالة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1148:1","المسألة","false",""
"1152","0","TOOK","اخذت","review","msa","medium","","","","","verb","orthography-review","TOOK — اخذت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1152:0","أخذ","false",""
"1153","0","LOCATED","الموقع","review","msa","medium","","","","","uncertain","construction-or-sense-review","LOCATED — الموقع: الموقع could be vocalized as situated, or mean location/site. Leave both POS and the intended reading unresolved.","AI-assisted linguistic review","[]","1153:0","الموقع","true",""
"1154","1","MULTIPLE","تعدد","review","msa","medium","","","","","noun","construction-or-sense-review","MULTIPLE — تعدد: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1154:1","متعددة","false",""
"1161","0","POTENTIAL","امكانية","review","msa","medium","","","","","noun","orthography-review","POTENTIAL — امكانية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1161:0","الإمكانات المحتملة","false",""
"1161","1","POTENTIAL","الإمكانات المحتملة","review","msa","medium","","","","","noun","construction-or-sense-review","POTENTIAL — الإمكانات المحتملة: الإمكانات المحتملة is redundant potential possibilities; preserve for sense review without deleting words.","AI-assisted linguistic review","[]","1161:1","الإمكانات المحتملة","true",""
"1162","0","SONG","سونغ","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","SONG — سونغ: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1162:0","أغنية","false",""
"1162","1","SONG","الاغنيه","review","msa","medium","","","","","noun","orthography-review","SONG — الاغنيه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1162:1","أغنية","false",""
"1162","2","SONG","اغنيه","review","msa","medium","","","","","noun","orthography-review","SONG — اغنيه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1162:2","أغنية","false",""
"1162","3","SONG","الاغنية","review","msa","medium","","","","","noun","orthography-review","SONG — الاغنية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1162:3","أغنية","false",""
"1162","4","SONG","اغنية","review","msa","medium","","","","","noun","orthography-review","SONG — اغنية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1162:4","أغنية","false",""
"1166","0","LATE","اواخر","review","msa","medium","","","","","adverb","orthography-review","LATE — اواخر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1166:0","متأخر","false",""
"1166","1","LATE","تاخر","review","msa","medium","","","","","verb","orthography-review","LATE — تاخر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1166:1","متأخر","false",""
"1166","2","LATE","متاخرة","review","msa","medium","","","","","adjective","orthography-review","LATE — متاخرة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1166:2","متأخر","false",""
"1166","3","LATE","متاخر","review","msa","medium","","","","","adjective","orthography-review","LATE — متاخر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1166:3","متأخر","false",""
"1167","1","FALL","اسقط","review","msa","medium","","","","","verb","orthography-review","FALL — اسقط: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1167:1","سقوط","false",""
"1168","1","FEATURED","الموصى","review","msa","medium","","","","","adjective","construction-or-sense-review","FEATURED — الموصى: الموصى means recommended in context, not every featured sense; leave the relationship unresolved.","AI-assisted linguistic review","[]","1168:1","المميزات","false",""
"1168","2","FEATURED","المميزات","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","A potentially misleading or malformed relationship remains excluded pending review; a categorical rejection is not sufficiently established. Second pass: المميزات means features/advantages; a nominal featured-items construction is not established, but morphology alone is insufficient to reject. Keep excluded pending sense review.","AI-assisted linguistic review","[]","1168:2","المميزات","true",""
"1169","0","IDEA","فكره","review","msa","medium","","","","","noun","orthography-review","IDEA — فكره: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1169:0","فكرة","false",""
"1171","0","FEMALE","الانثى","review","msa","medium","","","","","adjective","orthography-review","FEMALE — الانثى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1171:0","أنثى","false",""
"1171","1","FEMALE","انثى","review","msa","medium","","","","","adjective","orthography-review","FEMALE — انثى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1171:1","أنثى","false",""
"1171","2","FEMALE","اناث","review","msa","medium","","","","","noun","construction-or-sense-review","FEMALE — اناث: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1171:2","أنثى","false",""
"1171","3","FEMALE","الاناث","review","msa","medium","","","","","noun","construction-or-sense-review","FEMALE — الاناث: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1171:3","أنثى","false",""
"1179","0","NUMBERS","الارقام","review","msa","medium","","","","","noun","orthography-review","NUMBERS — الارقام: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1179:0","أرقام","false",""
"1179","1","NUMBERS","الاعداد","review","msa","medium","","","","","noun","orthography-review","NUMBERS — الاعداد: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1179:1","أرقام","false",""
"1179","2","NUMBERS","ارقام","review","msa","medium","","","","","noun","orthography-review","NUMBERS — ارقام: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1179:2","أرقام","false",""
"1181","0","TOOL","الاداة","review","msa","medium","","","","","noun","orthography-review","TOOL — الاداة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1181:0","أداة","false",""
"1181","1","TOOL","اداة","review","msa","medium","","","","","noun","orthography-review","TOOL — اداة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1181:1","أداة","false",""
"1184","0","FOUNDATION","الاساس","review","msa","medium","","","","","noun","orthography-review","FOUNDATION — الاساس (base): Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1184:0","مؤسسة","false","base"
"1185","0","ANSWER","اجابة","review","msa","medium","","","","","noun","orthography-review","ANSWER — اجابة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1185:0","الإجابة","false",""
"1185","1","ANSWER","الاجابة","review","msa","medium","","","","","noun","orthography-review","ANSWER — الاجابة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1185:1","الإجابة","false",""
"1186","2","VOICE","صو","review","uncertain","high","false","false","false","false","uncertain","unsuitable-unclassified","VOICE — صو: صو is a truncated fragment and does not supply voice. Keep both directions excluded while its register is unclassifiable.","AI-assisted linguistic review","[]","1186:2","صوت","false",""
"1194","0","COMES","ياتي","review","msa","medium","","","","","verb","orthography-review","COMES — ياتي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1194:0","يأتي","false",""
"1195","0","POLICE","شرطه","review","msa","medium","","","","","noun","orthography-review","POLICE — شرطه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1195:0","الشرطة","false",""
"1195","1","POLICE","بوليس","review","uncertain","medium","","","","","noun","register-review","POLICE — بوليس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1195:1","الشرطة","false",""
"1200","0","BROWN","اسمر","review","msa","medium","","","","","adjective","orthography-review","BROWN — اسمر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1200:0","بني","false",""
"1200","3","BROWN","براون","review","uncertain","high","false","false","false","false","adjective","unsuitable-unclassified","BROWN — براون: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1200:3","بني","false",""
"1203","1","HILL","هيل","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","HILL — هيل: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1203:1","تلة","false",""
"1208","3","RATINGS","التصنيف","review","msa","medium","","","","","noun","construction-or-sense-review","RATINGS — التصنيف: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1208:3","تقييمات","false",""
"1210","0","FORMS","الاشكال","review","msa","medium","","","","","noun","orthography-review","FORMS — الاشكال: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1210:0","أشكال","false",""
"1210","1","FORMS","اشكال","review","msa","medium","","","","","noun","orthography-review","FORMS — اشكال: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1210:1","أشكال","false",""
"1212","0","HAPPY","يسعد","review","msa","medium","","","","","verb","construction-or-sense-review","HAPPY — يسعد: يسعد is a happiness-related finite verb; HAPPY can translate naturally through a finite construction, but no construction is established here.","AI-assisted linguistic review","[]","1212:0","سعيد","false",""
"1212","1","HAPPY","سعيده","review","msa","medium","","","","","adjective","orthography-review","HAPPY — سعيده: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1212:1","سعيد","false",""
"1212","2","HAPPY","هابي","review","uncertain","high","false","false","false","false","adjective","unsuitable-unclassified","HAPPY — هابي: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1212:2","سعيد","false",""
"1216","1","THANK","اشكر","review","msa","medium","","","","","verb","orthography-review","THANK — اشكر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1216:1","شكراً","false",""
"1216","2","THANK","شكراً","review","msa","medium","","","","","interjection","construction-or-sense-review","THANK — شكراً: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1216:2","شكراً","true",""
"1217","0","SAFE","امان","review","msa","medium","","","","","uncertain","construction-or-sense-review","SAFE — امان: امان denotes safety, with a missing hamza. An adjective-to-noun construction needs evidence; no automatic rejection or text correction.","AI-assisted linguistic review","[]","1217:0","آمنة","false",""
"1217","1","SAFE","امنة","review","msa","medium","","","","","adjective","orthography-review","SAFE — امنة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1217:1","آمنة","false",""
"1218","0","UNIQUE","فريدون","review","msa","medium","","","","","adjective","construction-or-sense-review","UNIQUE — فريدون: فريدون could be a plural adjectival form or a personal name; the grammatical/register interpretation needs review rather than guessed approval.","AI-assisted linguistic review","[]","1218:0","فريدة من نوعها","false",""
"1221","1","TELEPHONE","تلفون","review","uncertain","medium","","","","","noun","register-review","TELEPHONE — تلفون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1221:1","الهاتف","false",""
"1221","2","TELEPHONE","تليفون","review","uncertain","medium","","","","","noun","register-review","TELEPHONE — تليفون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1221:2","الهاتف","false",""
"1222","2","SPORT","سبورت","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","SPORT — سبورت: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1222:2","الرياضة","false",""
"1223","3","READY","استعداد","review","msa","medium","","","","","noun","construction-or-sense-review","READY — استعداد: استعداد denotes readiness/preparation. A natural ready construction may use it but the isolated relationship is unresolved.","AI-assisted linguistic review","[]","1223:3","جاهز","false",""
"1235","1","SIMPLY","ببساطه","review","msa","medium","","","","","adverb","orthography-review","SIMPLY — ببساطه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1235:1","ببساطة","false",""
"1236","0","EVIDENCE","الادلة","review","msa","medium","","","","","noun","orthography-review","EVIDENCE — الادلة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1236:0","الأدلة","false",""
"1236","3","EVIDENCE","ادلة","review","msa","medium","","","","","noun","orthography-review","EVIDENCE — ادلة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1236:3","الأدلة","false",""
"1238","3","CHRISTIAN","كريستيان","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","CHRISTIAN — كريستيان: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","1238:3","المسيحيّة","false",""
"1242","0","UNDERSTAND","افهم","review","msa","medium","","","","","verb","orthography-review","UNDERSTAND — افهم: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1242:0","فهم","false",""
"1242","1","UNDERSTAND","فاهم","review","msa","medium","","","","","adjective","construction-or-sense-review","UNDERSTAND — فاهم: فاهم can naturally express understanding as a participle, but the intended English citation construction needs review.","AI-assisted linguistic review","[]","1242:1","فهم","false",""
"1244","0","MASTER","معلمي","review","msa","medium","","","","","noun","construction-or-sense-review","MASTER — معلمي: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1244:0","سيدي","false",""
"1244","1","MASTER","ماجستير","review","msa","medium","","","","","noun","construction-or-sense-review","MASTER — ماجستير: ماجستير is a master's degree, while MASTER may occur as a degree title; review the exact sense rather than rejecting a secondary use automatically.","AI-assisted linguistic review","[]","1244:1","سيدي","false",""
