"size","mode","seed","type","observations","runs","zeroObservations","criticallySmall"
"13","ar_to_en","26","B_USED_EXHAUSTION","409","1","409","0"
"13","ar_to_en","26","A_TRUE_GAP","3515","1","1081","2434"
"13","ar_to_en","26","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","27","SUPPORTED_SMALL_DOMAIN","11382","1","0","11382"
"13","ar_to_en","27","B_USED_EXHAUSTION","410","1","404","6"
"13","ar_to_en","27","A_TRUE_GAP","3239","1","992","2247"
"13","ar_to_en","27","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","28","SUPPORTED_SMALL_DOMAIN","13200","1","0","13200"
"13","ar_to_en","28","B_USED_EXHAUSTION","537","1","537","0"
"13","ar_to_en","28","A_TRUE_GAP","3786","1","1055","2731"
"13","ar_to_en","28","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","29","SUPPORTED_SMALL_DOMAIN","11928","1","0","11928"
"13","ar_to_en","29","B_USED_EXHAUSTION","402","1","402","0"
"13","ar_to_en","29","A_TRUE_GAP","3203","1","905","2298"
"13","ar_to_en","29","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","30","SUPPORTED_SMALL_DOMAIN","12333","1","0","12333"
"13","ar_to_en","30","B_USED_EXHAUSTION","367","1","367","0"
"13","ar_to_en","30","A_TRUE_GAP","4176","1","1097","3079"
"13","ar_to_en","30","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","2","SUPPORTED_SMALL_DOMAIN","4204","1","0","4204"
"11","ar_to_en","2","B_USED_EXHAUSTION","7","1","7","0"
"11","ar_to_en","2","A_TRUE_GAP","1549","1","465","1084"
"11","ar_to_en","2","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","3","SUPPORTED_SMALL_DOMAIN","4361","1","0","4361"
"11","ar_to_en","3","B_USED_EXHAUSTION","23","1","22","1"
"11","ar_to_en","3","A_TRUE_GAP","1411","1","419","992"
"11","ar_to_en","3","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","5","SUPPORTED_SMALL_DOMAIN","3674","1","0","3674"
"11","ar_to_en","5","B_USED_EXHAUSTION","25","1","22","3"
"11","ar_to_en","5","A_TRUE_GAP","1431","1","438","993"
"11","ar_to_en","5","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","6","SUPPORTED_SMALL_DOMAIN","4810","1","0","4810"
"11","ar_to_en","6","B_USED_EXHAUSTION","64","1","64","0"
"11","ar_to_en","6","A_TRUE_GAP","1972","1","548","1424"
"11","ar_to_en","6","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","7","SUPPORTED_SMALL_DOMAIN","4349","1","0","4349"
"11","ar_to_en","7","B_USED_EXHAUSTION","26","1","25","1"
"11","ar_to_en","7","A_TRUE_GAP","1444","1","459","985"
"11","ar_to_en","7","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","9","SUPPORTED_SMALL_DOMAIN","4451","1","0","4451"
"11","ar_to_en","9","B_USED_EXHAUSTION","39","1","39","0"
"11","ar_to_en","9","A_TRUE_GAP","1780","1","587","1193"
"11","ar_to_en","9","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","11","SUPPORTED_SMALL_DOMAIN","4664","1","0","4664"
"11","ar_to_en","11","B_USED_EXHAUSTION","13","1","13","0"
"11","ar_to_en","11","A_TRUE_GAP","2427","1","668","1759"
"11","ar_to_en","11","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","12","SUPPORTED_SMALL_DOMAIN","3657","1","0","3657"
"11","ar_to_en","12","B_USED_EXHAUSTION","14","1","11","3"
"11","ar_to_en","12","A_TRUE_GAP","1096","1","267","829"
"11","ar_to_en","12","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","13","SUPPORTED_SMALL_DOMAIN","3692","1","0","3692"
"11","ar_to_en","13","B_USED_EXHAUSTION","18","1","16","2"
"11","ar_to_en","13","A_TRUE_GAP","1243","1","299","944"
"11","ar_to_en","13","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","14","SUPPORTED_SMALL_DOMAIN","3909","1","0","3909"
"11","ar_to_en","14","B_USED_EXHAUSTION","32","1","30","2"
"11","ar_to_en","14","A_TRUE_GAP","1435","1","379","1056"
"11","ar_to_en","14","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","15","SUPPORTED_SMALL_DOMAIN","4156","1","0","4156"
"11","ar_to_en","15","B_USED_EXHAUSTION","17","1","17","0"
"11","ar_to_en","15","A_TRUE_GAP","1590","1","456","1134"
"11","ar_to_en","15","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","16","SUPPORTED_SMALL_DOMAIN","3854","1","0","3854"
"11","ar_to_en","16","B_USED_EXHAUSTION","15","1","14","1"
"11","ar_to_en","16","A_TRUE_GAP","1174","1","287","887"
"11","ar_to_en","16","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","18","SUPPORTED_SMALL_DOMAIN","4302","1","0","4302"
"11","ar_to_en","18","B_USED_EXHAUSTION","32","1","28","4"
"11","ar_to_en","18","A_TRUE_GAP","1779","1","559","1220"
"11","ar_to_en","18","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","20","SUPPORTED_SMALL_DOMAIN","4980","1","0","4980"
"11","ar_to_en","20","B_USED_EXHAUSTION","23","1","23","0"
"11","ar_to_en","20","A_TRUE_GAP","2198","1","657","1541"
"11","ar_to_en","20","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","21","SUPPORTED_SMALL_DOMAIN","3386","1","0","3386"
"11","ar_to_en","21","B_USED_EXHAUSTION","17","1","15","2"
"11","ar_to_en","21","A_TRUE_GAP","943","1","225","718"
"11","ar_to_en","21","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","22","SUPPORTED_SMALL_DOMAIN","4123","1","0","4123"
"11","ar_to_en","22","B_USED_EXHAUSTION","39","1","26","13"
"11","ar_to_en","22","A_TRUE_GAP","1510","1","458","1052"
"11","ar_to_en","22","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","23","SUPPORTED_SMALL_DOMAIN","4167","1","0","4167"
"11","ar_to_en","23","B_USED_EXHAUSTION","27","1","25","2"
"11","ar_to_en","23","A_TRUE_GAP","1833","1","447","1386"
"11","ar_to_en","23","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","24","SUPPORTED_SMALL_DOMAIN","4647","1","0","4647"
"11","ar_to_en","24","B_USED_EXHAUSTION","31","1","29","2"
"11","ar_to_en","24","A_TRUE_GAP","2080","1","756","1324"
"11","ar_to_en","24","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","26","SUPPORTED_SMALL_DOMAIN","4175","1","0","4175"
"11","ar_to_en","26","B_USED_EXHAUSTION","28","1","27","1"
"11","ar_to_en","26","A_TRUE_GAP","1571","1","389","1182"
"11","ar_to_en","26","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","27","SUPPORTED_SMALL_DOMAIN","3617","1","0","3617"
"11","ar_to_en","27","B_USED_EXHAUSTION","19","1","19","0"
"11","ar_to_en","27","A_TRUE_GAP","1133","1","382","751"
"11","ar_to_en","27","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","28","SUPPORTED_SMALL_DOMAIN","3983","1","0","3983"
"11","ar_to_en","28","B_USED_EXHAUSTION","57","1","55","2"
"11","ar_to_en","28","A_TRUE_GAP","1371","1","416","955"
"11","ar_to_en","28","C_API_SAMPLING_LOSS","0","0","0","0"
"11","ar_to_en","29","SUPPORTED_SMALL_DOMAIN","3936","1","0","3936"
"11","ar_to_en","29","B_USED_EXHAUSTION","13","1","12","1"
"11","ar_to_en","29","A_TRUE_GAP","1604","1","443","1161"
"11","ar_to_en","29","C_API_SAMPLING_LOSS","0","0","0","0"
"13","en_to_ar","1","SUPPORTED_SMALL_DOMAIN","844","1","0","844"
"13","en_to_ar","1","B_USED_EXHAUSTION","20","1","20","0"
"13","en_to_ar","1","A_TRUE_GAP","31","1","13","18"
"13","en_to_ar","1","C_API_SAMPLING_LOSS","1","1","0","1"
"13","en_to_ar","2","SUPPORTED_SMALL_DOMAIN","233","1","0","233"
"13","en_to_ar","2","B_USED_EXHAUSTION","1","1","1","0"
"13","en_to_ar","2","A_TRUE_GAP","20","1","0","20"
"13","en_to_ar","2","C_API_SAMPLING_LOSS","2","1","0","2"
"13","en_to_ar","3","SUPPORTED_SMALL_DOMAIN","234","1","0","234"
"13","en_to_ar","3","B_USED_EXHAUSTION","2","1","2","0"
"13","en_to_ar","3","A_TRUE_GAP","19","1","0","19"
"13","en_to_ar","3","C_API_SAMPLING_LOSS","1","1","0","1"
"13","en_to_ar","4","SUPPORTED_SMALL_DOMAIN","202","1","0","202"
"13","en_to_ar","4","B_USED_EXHAUSTION","1","1","1","0"
"13","en_to_ar","4","A_TRUE_GAP","35","1","2","33"
"13","en_to_ar","4","C_API_SAMPLING_LOSS","18","1","4","14"
"13","en_to_ar","8","SUPPORTED_SMALL_DOMAIN","232","1","0","232"
"13","en_to_ar","8","B_USED_EXHAUSTION","13","1","13","0"
"13","en_to_ar","8","A_TRUE_GAP","11","1","0","11"
"13","en_to_ar","8","C_API_SAMPLING_LOSS","0","0","0","0"
"13","en_to_ar","9","SUPPORTED_SMALL_DOMAIN","205","1","0","205"
"13","en_to_ar","9","B_USED_EXHAUSTION","28","1","16","12"
"13","en_to_ar","9","A_TRUE_GAP","20","1","2","18"
"13","en_to_ar","9","C_API_SAMPLING_LOSS","3","1","1","2"
"13","en_to_ar","11","SUPPORTED_SMALL_DOMAIN","213","1","0","213"
"13","en_to_ar","11","B_USED_EXHAUSTION","17","1","9","8"
"13","en_to_ar","11","A_TRUE_GAP","18","1","7","11"
"13","en_to_ar","11","C_API_SAMPLING_LOSS","8","1","4","4"
"13","en_to_ar","14","SUPPORTED_SMALL_DOMAIN","181","1","0","181"
"13","en_to_ar","14","B_USED_EXHAUSTION","72","1","38","34"
"13","en_to_ar","14","A_TRUE_GAP","3","1","2","1"
"13","en_to_ar","14","C_API_SAMPLING_LOSS","0","0","0","0"
"13","en_to_ar","15","SUPPORTED_SMALL_DOMAIN","232","1","0","232"
"13","en_to_ar","15","B_USED_EXHAUSTION","4","1","2","2"
"13","en_to_ar","15","A_TRUE_GAP","11","1","1","10"
"13","en_to_ar","15","C_API_SAMPLING_LOSS","9","1","4","5"
"13","en_to_ar","20","SUPPORTED_SMALL_DOMAIN","220","1","0","220"
"13","en_to_ar","20","B_USED_EXHAUSTION","2","1","1","1"
"13","en_to_ar","20","A_TRUE_GAP","26","1","5","21"
"13","en_to_ar","20","C_API_SAMPLING_LOSS","8","1","6","2"
"13","en_to_ar","21","SUPPORTED_SMALL_DOMAIN","225","1","0","225"
"13","en_to_ar","21","B_USED_EXHAUSTION","13","1","8","5"
"13","en_to_ar","21","A_TRUE_GAP","14","1","6","8"
"13","en_to_ar","21","C_API_SAMPLING_LOSS","4","1","1","3"
"13","en_to_ar","24","SUPPORTED_SMALL_DOMAIN","222","1","0","222"
"13","en_to_ar","24","B_USED_EXHAUSTION","4","1","3","1"
"13","en_to_ar","24","A_TRUE_GAP","25","1","5","20"
"13","en_to_ar","24","C_API_SAMPLING_LOSS","5","1","1","4"
"13","en_to_ar","27","SUPPORTED_SMALL_DOMAIN","231","1","0","231"
"13","en_to_ar","27","B_USED_EXHAUSTION","13","1","13","0"
"13","en_to_ar","27","A_TRUE_GAP","10","1","2","8"
"13","en_to_ar","27","C_API_SAMPLING_LOSS","2","1","1","1"
"13","en_to_ar","28","SUPPORTED_SMALL_DOMAIN","217","1","0","217"
"13","en_to_ar","28","B_USED_EXHAUSTION","25","1","16","9"
"13","en_to_ar","28","A_TRUE_GAP","12","1","3","9"
"13","en_to_ar","28","C_API_SAMPLING_LOSS","2","1","1","1"
"13","en_to_ar","29","SUPPORTED_SMALL_DOMAIN","212","1","0","212"
"13","en_to_ar","29","B_USED_EXHAUSTION","29","1","17","12"
"13","en_to_ar","29","A_TRUE_GAP","13","1","6","7"
"13","en_to_ar","29","C_API_SAMPLING_LOSS","2","1","1","1"
"11","en_to_ar","6","SUPPORTED_SMALL_DOMAIN","15","1","0","15"
"11","en_to_ar","6","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","6","A_TRUE_GAP","5","1","5","0"
"11","en_to_ar","6","C_API_SAMPLING_LOSS","3","1","3","0"
"11","en_to_ar","7","SUPPORTED_SMALL_DOMAIN","17","1","0","17"
"11","en_to_ar","7","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","7","A_TRUE_GAP","8","1","8","0"
"11","en_to_ar","7","C_API_SAMPLING_LOSS","6","1","6","0"
"11","en_to_ar","9","SUPPORTED_SMALL_DOMAIN","16","1","0","16"
"11","en_to_ar","9","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","9","A_TRUE_GAP","26","1","26","0"
"11","en_to_ar","9","C_API_SAMPLING_LOSS","3","1","3","0"
"11","en_to_ar","11","SUPPORTED_SMALL_DOMAIN","15","1","0","15"
"11","en_to_ar","11","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","11","A_TRUE_GAP","38","1","38","0"
"11","en_to_ar","11","C_API_SAMPLING_LOSS","3","1","3","0"
"11","en_to_ar","12","SUPPORTED_SMALL_DOMAIN","19","1","0","19"
"11","en_to_ar","12","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","12","A_TRUE_GAP","23","1","23","0"
"11","en_to_ar","12","C_API_SAMPLING_LOSS","16","1","16","0"
"11","en_to_ar","13","SUPPORTED_SMALL_DOMAIN","13","1","0","13"
"11","en_to_ar","13","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","13","A_TRUE_GAP","8","1","8","0"
"11","en_to_ar","13","C_API_SAMPLING_LOSS","0","0","0","0"
"11","en_to_ar","14","SUPPORTED_SMALL_DOMAIN","15","1","0","15"
"11","en_to_ar","14","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","14","A_TRUE_GAP","31","1","31","0"
"11","en_to_ar","14","C_API_SAMPLING_LOSS","11","1","11","0"
"11","en_to_ar","21","SUPPORTED_SMALL_DOMAIN","26","1","0","26"
"11","en_to_ar","21","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","21","A_TRUE_GAP","19","1","19","0"
"11","en_to_ar","21","C_API_SAMPLING_LOSS","14","1","14","0"
"11","en_to_ar","22","SUPPORTED_SMALL_DOMAIN","12","1","0","12"
"11","en_to_ar","22","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","22","A_TRUE_GAP","12","1","12","0"
"11","en_to_ar","22","C_API_SAMPLING_LOSS","2","1","2","0"
"11","en_to_ar","26","SUPPORTED_SMALL_DOMAIN","22","1","0","22"
"11","en_to_ar","26","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","26","A_TRUE_GAP","14","1","14","0"
"11","en_to_ar","26","C_API_SAMPLING_LOSS","8","1","8","0"
"11","en_to_ar","29","SUPPORTED_SMALL_DOMAIN","15","1","0","15"
"11","en_to_ar","29","B_USED_EXHAUSTION","0","0","0","0"
"11","en_to_ar","29","A_TRUE_GAP","9","1","9","0"
"11","en_to_ar","29","C_API_SAMPLING_LOSS","3","1","3","0"
"9","en_to_ar","8","SUPPORTED_SMALL_DOMAIN","19","1","0","19"
"9","en_to_ar","8","B_USED_EXHAUSTION","3","1","3","0"
"9","en_to_ar","8","A_TRUE_GAP","15","1","15","0"
"9","en_to_ar","8","C_API_SAMPLING_LOSS","0","0","0","0"
"9","en_to_ar","13","SUPPORTED_SMALL_DOMAIN","37","1","0","37"
"9","en_to_ar","13","B_USED_EXHAUSTION","9","1","9","0"
"9","en_to_ar","13","A_TRUE_GAP","35","1","35","0"
"9","en_to_ar","13","C_API_SAMPLING_LOSS","3","1","3","0"
"9","en_to_ar","20","SUPPORTED_SMALL_DOMAIN","26","1","0","26"
"9","en_to_ar","20","B_USED_EXHAUSTION","26","1","26","0"
"9","en_to_ar","20","A_TRUE_GAP","43","1","43","0"
"9","en_to_ar","20","C_API_SAMPLING_LOSS","2","1","2","0"
