"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason","preferredForEnToAr","preferredForArToEn"
"56","0","NEWS","اخبار","review","uncertain","medium","needs-linguistic-confirmation","NEWS → اخبار: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h56:t0","review","uncertain","اخبار","اخبار","اخبار","اخبار","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"59","2","ANY","أي منها","review","uncertain","medium","needs-linguistic-confirmation","ANY → أي منها: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h59:t2","review","uncertain","أي منها","أيمنها","أيمنها","أي منها","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"63","0","SO","أجل.","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Means yes; does not establish a standalone equivalent for so.","AI-assisted linguistic review","","false","stage3a:h63:t0","review","uncertain","أجل.","أجل","أجل","أجل.","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"64","1","HIS","له","review","msa","medium","needs-linguistic-confirmation","HIS → له: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h64:t1","review","uncertain","له","له","له","له","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"74","3","GET","الحصول على","review","msa","medium","needs-linguistic-confirmation","GET → الحصول على: Verbal noun and incomplete imperative need an explicit learner dictionary convention.","AI-assisted linguistic review","","false","stage3a:h74:t3","review","uncertain","الحصول على","الحصولعلى","الحصولعلى","الحصول على","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"76","1","ONLINE","على الانترنت","review","uncertain","medium","needs-linguistic-confirmation","ONLINE → على الانترنت: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h76:t1","review","uncertain","على الانترنت","علىالانترنت","علىالانترنت","على الانترنت","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"77","4","FIRST","أولاً","review","uncertain","medium","needs-linguistic-confirmation","FIRST → أولاً: Ordinal and adverb senses plus missing hamza need a dedicated orthography/grammar decision.","AI-assisted linguistic review","","false","stage3a:h77:t4","review","uncertain","أولاً","أولا","أولا","أولاً","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"78","0","AM","أنا.","rejected","msa","high","incorrect-or-mismatched-equivalent","First-person pronoun “I”, not the verb am.","AI-assisted linguistic review","","false","stage3a:h78:t0","review","uncertain","أنا.","أنا","أنا","أنا.","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"79","0","BEEN","كان","review","msa","medium","needs-linguistic-confirmation","BEEN → كان: Past participle of be is not a standalone Arabic tense equivalent.","AI-assisted linguistic review","","false","stage3a:h79:t0","review","uncertain","كان","كان","كان","كان","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"80","0","WOULD","سوف","review","msa","medium","needs-linguistic-confirmation","WOULD → سوف: Conditional/habitual modal is not interchangeable with simple future سوف.","AI-assisted linguistic review","","false","stage3a:h80:t0","review","uncertain","سوف","سوف","سوف","سوف","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"83","0","ME","أنا.","rejected","msa","high","incorrect-or-mismatched-equivalent","Subject pronoun “I”, not an object-pronoun equivalent.","AI-assisted linguistic review","","false","stage3a:h83:t0","review","uncertain","أنا.","أنا","أنا","أنا.","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"87","5","CLICK","انقر فوق","review","uncertain","medium","needs-linguistic-confirmation","CLICK → انقر فوق: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h87:t5","review","uncertain","انقر فوق","انقرفوق","انقرفوق","انقر فوق","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"88","0","ITS","هاته","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Demonstrative form, not the third-person possessive its.","AI-assisted linguistic review","","false","stage3a:h88:t0","review","uncertain","هاته","هاته","هاته","هاته","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"92","3","FIND","العثور على","review","uncertain","medium","needs-linguistic-confirmation","FIND → العثور على: Imperative ambiguity and verbal-noun vs finite-verb distinction need context.","AI-assisted linguistic review","","false","stage3a:h92:t3","review","uncertain","العثور على","العثورعلى","العثورعلى","العثور على","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"95","3","BACK","عودة","review","uncertain","medium","needs-linguistic-confirmation","BACK → عودة: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h95:t3","review","uncertain","عودة","عودة","عودة","عودة","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"98","0","HAD","كان","review","msa","medium","needs-linguistic-confirmation","HAD → كان: Possession vs past-perfect auxiliary cannot be resolved by كان alone.","AI-assisted linguistic review","","false","stage3a:h98:t0","review","uncertain","كان","كان","كان","كان","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"113","0","GO","اذهبي","review","uncertain","medium","needs-linguistic-confirmation","GO → اذهبي: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h113:t0","review","uncertain","اذهبي","اذهبي","اذهبي","اذهبي","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"119","1","BUY","شراء","review","uncertain","medium","needs-linguistic-confirmation","BUY → شراء: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h119:t1","review","uncertain","شراء","شراء","شراء","شراء","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"121","0","MAKE","جعل","review","uncertain","medium","needs-linguistic-confirmation","MAKE → جعل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h121:t0","review","uncertain","جعل","جعل","جعل","جعل","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"122","0","THEM","هم","review","msa","medium","needs-linguistic-confirmation","THEM → هم: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h122:t0","review","uncertain","هم","هم","هم","هم.","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"126","4","POST","الوظائف","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural jobs/posts, not a singular post.","AI-assisted linguistic review","","false","stage3a:h126:t4","review","uncertain","الوظائف","الوظائف","الوظائف","الوظائف","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"129","4","ADD","إضافة","review","uncertain","medium","needs-linguistic-confirmation","ADD → إضافة: Arabic person/voice and verbal-noun distinctions need verification.","AI-assisted linguistic review","","false","stage3a:h129:t4","review","uncertain","إضافة","إضافة","إضافة","إضافة","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"140","5","SOFTWARE","البرامجيات","review","uncertain","medium","needs-linguistic-confirmation","SOFTWARE → البرامجيات: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h140:t5","review","uncertain","البرامجيات","البرامجيات","البرامجيات","البرامجيات","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"141","4","THEN","إذاً","review","uncertain","medium","needs-linguistic-confirmation","THEN → إذاً: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h141:t4","review","uncertain","إذاً","إذا","إذا","إذاً","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"154","0","EACH","لكل منها","review","uncertain","medium","needs-linguistic-confirmation","EACH → لكل منها: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h154:t0","review","uncertain","لكل منها","لكلمنها","لكلمنها","لكل منها","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"165","3","READ","قراءة","review","uncertain","medium","needs-linguistic-confirmation","READ → قراءة: Past/present English homograph and Arabic verbal-noun/imperative spelling need verification.","AI-assisted linguistic review","","false","stage3a:h165:t3","review","uncertain","قراءة","قراءة","قراءة","قراءة","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"172","0","DOES","لا يفعل","rejected","msa","high","incorrect-or-mismatched-equivalent","Negates the verb: does not do, instead of does.","AI-assisted linguistic review","","false","stage3a:h172:t0","review","uncertain","لا يفعل","لايفعل","لايفعل","لا يفعل","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"178","1","JANUARY","يناير كانون الثاني","review","uncertain","medium","needs-linguistic-confirmation","JANUARY → يناير كانون الثاني: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h178:t1","review","uncertain","يناير كانون الثاني","ينايركانونالثاني","ينايركانونالثاني","يناير كانون الثاني","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"182","3","REVIEWS","استعراض","review","uncertain","medium","needs-linguistic-confirmation","REVIEWS → استعراض: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h182:t3","review","uncertain","استعراض","استعراض","استعراض","استعراض","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"184","3","LIFE","حياته","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds a possessive: his life.","AI-assisted linguistic review","","false","stage3a:h184:t3","review","uncertain","حياته","حياته","حياته","حياته","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"186","3","GAMES","العاب","review","uncertain","medium","needs-linguistic-confirmation","GAMES → العاب: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h186:t3","review","uncertain","العاب","العاب","العاب","العاب","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"191","0","COULD","يمكن","review","uncertain","medium","needs-linguistic-confirmation","COULD → يمكن: Past ability and conditional possibility need sentence context.","AI-assisted linguistic review","","false","stage3a:h191:t0","review","uncertain","يمكن","يمكن","يمكن","يمكن","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"211","3","TERMS","الشروط والأحكام","review","uncertain","medium","needs-linguistic-confirmation","TERMS → الشروط والأحكام: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h211:t3","review","uncertain","الشروط والأحكام","الشروطوالأحكام","الشروطوالأحكام","الشروط والأحكام","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"215","1","SEND","ارسال","review","uncertain","medium","needs-linguistic-confirmation","SEND → ارسال: Missing hamza and verbal-noun vs verb distinction; no text correction in this batch.","AI-assisted linguistic review","","false","stage3a:h215:t1","review","uncertain","ارسال","ارسال","ارسال","ارسال","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"220","0","THOSE","هؤلاء","review","uncertain","medium","needs-linguistic-confirmation","THOSE → هؤلاء: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h220:t0","review","uncertain","هؤلاء","هؤلاء","هؤلاء","هؤلاء","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"236","1","WANT","تريد","review","uncertain","medium","needs-linguistic-confirmation","WANT → تريد: The Arabic is second/third-person feminine; defer a standalone headword convention.","AI-assisted linguistic review","","false","stage3a:h236:t1","review","uncertain","تريد","تريد","تريد","تريد","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"245","1","BASED","على أساس","review","msa","medium","needs-linguistic-confirmation","BASED → على أساس: Participle needs a complement; standalone Arabic phrase does not establish a fair clue.","AI-assisted linguistic review","","false","stage3a:h245:t1","review","uncertain","على أساس","علىأساس","علىأساس","على أساس","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"246","1","CODE","الكود","review","uncertain","medium","needs-linguistic-confirmation","CODE → الكود: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h246:t1","review","uncertain","الكود","الكود","الكود","الكود","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"255","1","BEING","يجري","review","msa","medium","needs-linguistic-confirmation","BEING → يجري: Copula, existence noun and inflection are not interchangeable.","AI-assisted linguistic review","","false","stage3a:h255:t1","review","uncertain","يجري","يجري","يجري","يجري","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"271","1","OWN","الخاصة بك","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds “your” and feminine agreement, not the isolated word own.","AI-assisted linguistic review","","false","stage3a:h271:t1","review","uncertain","الخاصة بك","الخاصةبك","الخاصةبك","الخاصة بك","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"272","2","FOUND","وجدت","review","uncertain","medium","needs-linguistic-confirmation","FOUND → وجدت: Past of find vs base found and Arabic tense/person ambiguity require context.","AI-assisted linguistic review","","false","stage3a:h272:t2","review","uncertain","وجدت","وجدت","وجدت","وجدت","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"294","0","FOLLOWING","تابع","review","uncertain","medium","needs-linguistic-confirmation","FOLLOWING → تابع: Follower, subsequent and participle senses are ambiguous here.","AI-assisted linguistic review","","false","stage3a:h294:t0","review","uncertain","تابع","تابع","تابع","تابع","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"296","1","HIM","هو","review","msa","medium","needs-linguistic-confirmation","HIM → هو: Subject/prepositional Arabic forms need an object-pronoun construction.","AI-assisted linguistic review","","false","stage3a:h296:t1","review","uncertain","هو","هو","هو","هو","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"313","3","PERSONAL","البيانات الشخصية","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Adds data: personal data, not personal alone.","AI-assisted linguistic review","","false","stage3a:h313:t3","review","uncertain","البيانات الشخصية","البياناتالشخصية","البياناتالشخصية","البيانات الشخصية","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"337","2","LEVEL","الرتبة","review","uncertain","medium","needs-linguistic-confirmation","LEVEL → الرتبة: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h337:t2","review","uncertain","الرتبة","الرتبة","الرتبة","الرتبة","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"356","0","SHALL","سوف:","review","uncertain","medium","needs-linguistic-confirmation","SHALL → سوف:: Modal and editorial punctuation need context-specific review.","AI-assisted linguistic review","","false","stage3a:h356:t0","review","uncertain","سوف:","سوف","سوف","سوف:","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"366","4","PRIVATE","القطاع الخاص","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds sector: private sector, not private alone.","AI-assisted linguistic review","","false","stage3a:h366:t4","review","uncertain","القطاع الخاص","القطاعالخاص","القطاعالخاص","القطاع الخاص","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"373","2","CUSTOMER","العملاء","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural clients/customers, not singular customer.","AI-assisted linguistic review","","false","stage3a:h373:t2","review","uncertain","العملاء","العملاء","العملاء","العملاء","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"374","1","DECEMBER","ديسمبر كانون الأول","review","uncertain","medium","needs-linguistic-confirmation","DECEMBER → ديسمبر كانون الأول: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h374:t1","review","uncertain","ديسمبر كانون الأول","ديسمبركانونالأول","ديسمبركانونالأول","ديسمبر كانون الأول","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"375","0","COMPARE","مقارنة","review","msa","medium","needs-linguistic-confirmation","COMPARE → مقارنة: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h375:t0","review","uncertain","مقارنة","مقارنة","مقارنة","مقارنة","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"385","1","PROVIDE","توفير","review","msa","medium","needs-linguistic-confirmation","PROVIDE → توفير: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h385:t1","review","uncertain","توفير","توفير","توفير","توفير","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"395","0","COURSE","بالطبع","rejected","msa","high","incorrect-or-mismatched-equivalent","Translates the idiom of course, not the standalone noun course.","AI-assisted linguistic review","","false","stage3a:h395:t0","review","uncertain","بالطبع","بالطبع","بالطبع","بالطبع","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"411","2","WEST","غربا","review","uncertain","medium","needs-linguistic-confirmation","WEST → غربا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h411:t2","review","uncertain","غربا","غربا","غربا","غربا","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"414","5","ENGLISH","العربية","rejected","msa","high","incorrect-or-mismatched-equivalent","Means Arabic, the wrong language.","AI-assisted linguistic review","","false","stage3a:h414:t5","review","uncertain","العربية","العربية","العربية","العربية","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"417","2","ESTATE","العقارات","review","uncertain","medium","needs-linguistic-confirmation","ESTATE → العقارات: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h417:t2","review","uncertain","العقارات","العقارات","العقارات","العقارات","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"428","6","LIVE","بث مباشر","review","msa","medium","needs-linguistic-confirmation","LIVE → بث مباشر: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h428:t6","review","uncertain","بث مباشر","بثمباشر","بثمباشر","بث مباشر","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"430","2","GALLERY","معرض الصور","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds pictures; a picture gallery is narrower than gallery alone.","AI-assisted linguistic review","","false","stage3a:h430:t2","review","uncertain","معرض الصور","معرضالصور","معرضالصور","معرض الصور","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"436","1","NOVEMBER","نوفمبر تشرين الثاني","review","uncertain","medium","needs-linguistic-confirmation","NOVEMBER → نوفمبر تشرين الثاني: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h436:t1","review","uncertain","نوفمبر تشرين الثاني","نوفمبرتشرينالثاني","نوفمبرتشرينالثاني","نوفمبر تشرين الثاني","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"438","2","LIBRARY","المكتبة العامة","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds public; public library is narrower than library alone.","AI-assisted linguistic review","","false","stage3a:h438:t2","review","uncertain","المكتبة العامة","المكتبةالعامة","المكتبةالعامة","المكتبة العامة","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"440","5","ACTION","الإجراء المتخذ","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds taken and definiteness: the action taken, not action alone.","AI-assisted linguistic review","","false","stage3a:h440:t5","review","uncertain","الإجراء المتخذ","الإجراءالمتخذ","الإجراءالمتخذ","الإجراء المتخذ","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"449","1","PROVIDED","المقدمة","review","msa","medium","needs-linguistic-confirmation","PROVIDED → المقدمة: Conditional provided that needs a complement; participial sense is also underspecified.","AI-assisted linguistic review","","false","stage3a:h449:t1","review","uncertain","المقدمة","المقدمة","المقدمة","المقدمة","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"450","4","YES","نعم فعلا","review","uncertain","medium","needs-linguistic-confirmation","YES → نعم فعلا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h450:t4","review","uncertain","نعم فعلا","نعمفعلا","نعمفعلا","نعم فعلا","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"465","3","GOING","جاري التنفيذ","rejected","msa","high","incorrect-or-mismatched-equivalent","Means underway/in progress; a contextual phrase, not a standalone equivalent of going.","AI-assisted linguistic review","","false","stage3a:h465:t3","review","uncertain","جاري التنفيذ","جاريالتنفيذ","جاريالتنفيذ","جاري التنفيذ","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"466","4","MEDICAL","الخدمات الطبية","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds services: medical services, not medical alone.","AI-assisted linguistic review","","false","stage3a:h466:t4","review","uncertain","الخدمات الطبية","الخدماتالطبية","الخدماتالطبية","الخدمات الطبية","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"474","2","CART","عربة التسوق","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds shopping; shopping cart is narrower than cart alone.","AI-assisted linguistic review","","false","stage3a:h474:t2","review","uncertain","عربة التسوق","عربةالتسوق","عربةالتسوق","عربة التسوق","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"480","6","PLAY","إلعب","review","uncertain","medium","needs-linguistic-confirmation","PLAY → إلعب: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h480:t6","review","uncertain","إلعب","إلعب","إلعب","إلعب","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"481","2","LOOKING","يبحث","review","uncertain","medium","needs-linguistic-confirmation","LOOKING → يبحث: Imperative, verbal noun and searching are not automatically the participle looking.","AI-assisted linguistic review","","false","stage3a:h481:t2","review","uncertain","يبحث","يبحث","يبحث","يبحث","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"486","1","COMPLETE","اكتمل","review","uncertain","medium","needs-linguistic-confirmation","COMPLETE → اكتمل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h486:t1","review","uncertain","اكتمل","اكتمل","اكتمل","اكتمل","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
