"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","preferredForEnToAr","preferredForArToEn","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason"
"225","1","NATIONAL","ناشيونال","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration, not a natural MSA adjective equivalent.","AI-assisted linguistic review","","false","false","false","stage3a:h225:t1","review","uncertain","ناشيونال","ناشيونال","ناشيونال","وطني","false",""
"243","0","FAMILY","عائلي","rejected","msa","high","incorrect-or-mismatched-equivalent","Adjective familial/family-related, not the family noun.","AI-assisted linguistic review","","false","false","false","stage3a:h243:t0","review","uncertain","عائلي","عائلي","عائلي","الأسرة","false",""
"244","0","LONG","لونغ","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration/name, not the adjective long.","AI-assisted linguistic review","","false","false","false","stage3a:h244:t0","review","uncertain","لونغ","لونغ","لونغ","طويل","false",""
"256","1","WOMEN","المراة","rejected","msa","high","incorrect-or-mismatched-equivalent","Singular woman, not plural women.","AI-assisted linguistic review","","false","false","false","stage3a:h256:t1","review","uncertain","المراة","المراة","المراة","النساء","false",""
"257","0","MUCH","ماتش","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Transliteration of match, not much.","AI-assisted linguistic review","","false","false","false","stage3a:h257:t0","review","uncertain","ماتش","ماتش","ماتش","الكثير","false",""
"258","3","SIGN","توقع","rejected","uncertain","high","incorrect-or-mismatched-equivalent","As written suggests expect or second-person signing; cannot serve as the isolated sign equivalent.","AI-assisted linguistic review","","false","false","false","stage3a:h258:t3","review","uncertain","توقع","توقع","توقع","علامة","false",""
"264","4","SOUTH","ساوث","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration, not the Arabic direction.","AI-assisted linguistic review","","false","false","false","stage3a:h264:t4","review","uncertain","ساوث","ساوث","ساوث","الجنوب","false",""
"271","1","OWN","الخاصة بك","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds “your” and feminine agreement, not the isolated word own.","AI-assisted linguistic review","","false","false","false","stage3a:h271:t1","review","uncertain","الخاصة بك","الخاصةبك","الخاصةبك","الخاصة بك","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"274","2","HOUSE","هاوس","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration/name, not natural MSA house.","AI-assisted linguistic review","","false","false","false","stage3a:h274:t2","review","uncertain","هاوس","هاوس","هاوس","منزل","false",""
"300","0","NORTH","نورث","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration, not the Arabic direction.","AI-assisted linguistic review","","false","false","false","stage3a:h300:t0","review","uncertain","نورث","نورث","نورث","الشمال","false",""
"312","1","ART","ارت","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration/name, not the noun art.","AI-assisted linguistic review","","false","false","false","stage3a:h312:t1","review","uncertain","ارت","ارت","ارت","الفن","false",""
"313","3","PERSONAL","البيانات الشخصية","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Adds data: personal data, not personal alone.","AI-assisted linguistic review","","false","false","false","stage3a:h313:t3","review","uncertain","البيانات الشخصية","البياناتالشخصية","البياناتالشخصية","البيانات الشخصية","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"323","0","TEXT","نصوص","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural texts, not singular text.","AI-assisted linguistic review","","false","false","false","stage3a:h323:t0","review","uncertain","نصوص","نصوص","نصوص","نص","false",""
"327","1","GOVERNMENT","الحكومات","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural governments, not singular government.","AI-assisted linguistic review","","false","false","false","stage3a:h327:t1","review","uncertain","الحكومات","الحكومات","الحكومات","الحكومة","false",""
"339","0","PROFILE","التشكيلة","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Means lineup/formation, not a clear general equivalent of profile.","AI-assisted linguistic review","","false","false","false","stage3a:h339:t0","review","uncertain","التشكيلة","التشكيلة","التشكيلة","الملف الشخصي","false",""
"359","0","STILL","لسه","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h359:t0","review","uncertain","لسه","لسه","لسه","لا يزال","false",""
"366","4","PRIVATE","القطاع الخاص","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds sector: private sector, not private alone.","AI-assisted linguistic review","","false","false","false","stage3a:h366:t4","review","uncertain","القطاع الخاص","القطاعالخاص","القطاعالخاص","القطاع الخاص","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"373","2","CUSTOMER","العملاء","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural clients/customers, not singular customer.","AI-assisted linguistic review","","false","false","false","stage3a:h373:t2","review","uncertain","العملاء","العملاء","العملاء","العملاء","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"378","2","COLLEGE","الجامعة","rejected","msa","high","incorrect-or-mismatched-equivalent","University is a different institution category; not a safe isolated college clue.","AI-assisted linguistic review","","false","false","false","stage3a:h378:t2","review","uncertain","الجامعة","الجامعة","الجامعة","كلية","false",""
"382","1","MAN","مان","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration/name, not the noun man.","AI-assisted linguistic review","","false","false","false","stage3a:h382:t1","review","uncertain","مان","مان","مان","رجل","false",""
"393","0","AROUND","حو","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Truncated fragment, not a natural Arabic word.","AI-assisted linguistic review","","false","false","false","stage3a:h393:t0","review","uncertain","حو","حو","حو","حول","false",""
"395","0","COURSE","بالطبع","rejected","msa","high","incorrect-or-mismatched-equivalent","Translates the idiom of course, not the standalone noun course.","AI-assisted linguistic review","","false","false","false","stage3a:h395:t0","review","uncertain","بالطبع","بالطبع","بالطبع","بالطبع","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"405","1","POINT","بوينت","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration, not the ordinary Arabic noun point.","AI-assisted linguistic review","","false","false","false","stage3a:h405:t1","review","uncertain","بوينت","بوينت","بوينت","النقطة","false",""
"411","0","WEST","ويست","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration/name, not the Arabic direction.","AI-assisted linguistic review","","false","false","false","stage3a:h411:t0","review","uncertain","ويست","ويست","ويست","غربا","false",""
"412","2","SALES","البيع","rejected","msa","high","incorrect-or-mismatched-equivalent","Singular selling/sale, not the plural sales form.","AI-assisted linguistic review","","false","false","false","stage3a:h412:t2","review","uncertain","البيع","البيع","البيع","المبيعات","false",""
"414","5","ENGLISH","العربية","rejected","msa","high","incorrect-or-mismatched-equivalent","Means Arabic, the wrong language.","AI-assisted linguistic review","","false","false","false","stage3a:h414:t5","review","uncertain","العربية","العربية","العربية","العربية","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"430","2","GALLERY","معرض الصور","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds pictures; a picture gallery is narrower than gallery alone.","AI-assisted linguistic review","","false","false","false","stage3a:h430:t2","review","uncertain","معرض الصور","معرضالصور","معرضالصور","معرض الصور","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"438","2","LIBRARY","المكتبة العامة","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds public; public library is narrower than library alone.","AI-assisted linguistic review","","false","false","false","stage3a:h438:t2","review","uncertain","المكتبة العامة","المكتبةالعامة","المكتبةالعامة","المكتبة العامة","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"440","5","ACTION","الإجراء المتخذ","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds taken and definiteness: the action taken, not action alone.","AI-assisted linguistic review","","false","false","false","stage3a:h440:t5","review","uncertain","الإجراء المتخذ","الإجراءالمتخذ","الإجراءالمتخذ","الإجراء المتخذ","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"452","2","SECOND","تاني","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h452:t2","review","uncertain","تاني","تاني","تاني","الثانية","false",""
"455","2","COST","التكاليف","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural costs, not singular cost.","AI-assisted linguistic review","","false","false","false","stage3a:h455:t2","review","uncertain","التكاليف","التكاليف","التكاليف","التكلفة","false",""
"465","3","GOING","جاري التنفيذ","rejected","msa","high","incorrect-or-mismatched-equivalent","Means underway/in progress; a contextual phrase, not a standalone equivalent of going.","AI-assisted linguistic review","","false","false","false","stage3a:h465:t3","review","uncertain","جاري التنفيذ","جاريالتنفيذ","جاريالتنفيذ","جاري التنفيذ","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"466","4","MEDICAL","الخدمات الطبية","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds services: medical services, not medical alone.","AI-assisted linguistic review","","false","false","false","stage3a:h466:t4","review","uncertain","الخدمات الطبية","الخدماتالطبية","الخدماتالطبية","الخدمات الطبية","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"468","2","FRIEND","صديقي","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds possessive my to friend.","AI-assisted linguistic review","","false","false","false","stage3a:h468:t2","review","uncertain","صديقي","صديقي","صديقي","صديق","false",""
"474","2","CART","عربة التسوق","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds shopping; shopping cart is narrower than cart alone.","AI-assisted linguistic review","","false","false","false","stage3a:h474:t2","review","uncertain","عربة التسوق","عربةالتسوق","عربةالتسوق","عربة التسوق","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"487","0","STREET","ستريت","rejected","uncertain","high","incorrect-or-mismatched-equivalent","English transliteration, not natural MSA street.","AI-assisted linguistic review","","false","false","false","stage3a:h487:t0","review","uncertain","ستريت","ستريت","ستريت","الشارع","false",""
"492","1","WORKING","اعمل","rejected","msa","high","incorrect-or-mismatched-equivalent","Imperative work, not the participial form working.","AI-assisted linguistic review","","false","false","false","stage3a:h492:t1","review","uncertain","اعمل","اعمل","اعمل","العمل","false",""
"495","0","TAX","ضريبي","rejected","msa","high","incorrect-or-mismatched-equivalent","Adjective tax-related, not the noun tax.","AI-assisted linguistic review","","false","false","false","stage3a:h495:t0","review","uncertain","ضريبي","ضريبي","ضريبي","الضريبة","false",""
"495","1","TAX","ضرائب","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural taxes, not singular tax.","AI-assisted linguistic review","","false","false","false","stage3a:h495:t1","review","uncertain","ضرائب","ضرائب","ضرائب","الضريبة","false",""
"495","2","TAX","الضرائب","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural taxes, not singular tax.","AI-assisted linguistic review","","false","false","false","stage3a:h495:t2","review","uncertain","الضرائب","الضرائب","الضرائب","الضريبة","false",""
"507","0","LET","فل","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Truncated fragment, not a natural equivalent of let.","AI-assisted linguistic review","","false","false","false","stage3a:h507:t0","review","uncertain","فل","فل","فل","دعونا","false",""
"512","1","RECENT","الأخيرة","rejected","msa","high","incorrect-or-mismatched-equivalent","Means the last/latest, not necessarily recent; unsafe isolated equivalence.","AI-assisted linguistic review","","false","false","false","stage3a:h512:t1","review","uncertain","الأخيرة","الأخيرة","الأخيرة","الأخيرة","true","Reference supports a relationship not certified by this review; reference is not authoritative."
