"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","preferredForEnToAr","preferredForArToEn","directionReason","partOfSpeech","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason","sense"
"9","0","THAT","هذا","review","uncertain","medium","needs-linguistic-confirmation","THAT → هذا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h9:t0","review","uncertain","هذا","هذا","هذا","هذا","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"9","1","THAT","ذلك","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THAT. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","demonstrative","stage3a:h9:t1","review","uncertain","ذلك","ذلك","ذلك","هذا","false","",""
"10","0","BY","بواسطة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BY. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","preposition","stage3a:h10:t0","review","uncertain","بواسطة","بواسطة","بواسطة","بواسطة","false","",""
"11","0","THIS","هذا","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THIS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to THAT. Does not restrict EN → AR.","demonstrative","stage3a:h11:t0","review","uncertain","هذا","هذا","هذا","هذا","false","",""
"11","1","THIS","هذه","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THIS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to THESE. Does not restrict EN → AR.","demonstrative","stage3a:h11:t1","review","uncertain","هذه","هذه","هذه","هذا","false","",""
"12","0","WITH","مع","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WITH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to BRIGHTER. Does not restrict EN → AR.","preposition","stage3a:h12:t0","review","uncertain","مع","مع","مع","مع","false","",""
"13","0","I","أولاً","rejected","msa","high","incorrect-or-mismatched-equivalent","Ordinal “first”, not the first-person pronoun.","AI-assisted linguistic review","","false","false","false","","","stage3a:h13:t0","review","uncertain","أولاً","أولا","أولا","أولاً","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"14","0","YOU","انت","review","uncertain","medium","needs-linguistic-confirmation","YOU → انت: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h14:t0","review","uncertain","انت","انت","انت","أنت.","false","",""
"14","1","YOU","انتي","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","","","stage3a:h14:t1","review","uncertain","انتي","انتي","انتي","أنت.","false","",""
"14","2","YOU","أنت.","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of YOU. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to THOU. Does not restrict EN → AR.","pronoun","stage3a:h14:t2","review","uncertain","أنت.","أنت","أنت","أنت.","false","",""
"17","0","OR","أو","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of OR. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","conjunction","stage3a:h17:t0","review","uncertain","أو","أو","أو","أو","false","",""
"18","0","ARE","نعم.","rejected","msa","high","incorrect-or-mismatched-equivalent","Affirmative “yes”, not a form of be.","AI-assisted linguistic review","","false","false","false","","","stage3a:h18:t0","review","uncertain","نعم.","نعم","نعم","نعم.","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"19","0","FROM","من","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of FROM. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to OF, THAN, WHO, WHOM. Does not restrict EN → AR.","preposition","stage3a:h19:t0","review","uncertain","من","من","من","من","false","",""
"20","0","AT","في","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of AT. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to IN. Does not restrict EN → AR.","preposition","stage3a:h20:t0","review","uncertain","في","في","في","في","false","",""
"21","0","AS","حسب","review","uncertain","medium","needs-linguistic-confirmation","AS → حسب: According to is context-specific; cannot certify it as a general standalone equivalent.","AI-assisted linguistic review","","false","","","","","stage3a:h21:t0","review","uncertain","حسب","حسب","حسب","حسب","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"22","0","YOUR","تك","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Detached suffix fragment; not a standalone natural Arabic equivalent.","AI-assisted linguistic review","","false","false","false","","","stage3a:h22:t0","review","uncertain","تك","تك","تك","الخاص بك","false","",""
"22","1","YOUR","الخاص بك","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of YOUR. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","possessive","stage3a:h22:t1","review","uncertain","الخاص بك","الخاصبك","الخاصبك","الخاص بك","false","",""
"23","0","ALL","كلهم","review","uncertain","medium","needs-linguistic-confirmation","ALL → كلهم: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h23:t0","review","uncertain","كلهم","كلهم","كلهم","الكل","false","",""
"23","1","ALL","كله","review","uncertain","medium","needs-linguistic-confirmation","ALL → كله: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h23:t1","review","uncertain","كله","كله","كله","الكل","false","",""
"23","2","ALL","جميع","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ALL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to EVERYBODY, EVERYONE. Does not restrict EN → AR.","determiner","stage3a:h23:t2","review","uncertain","جميع","جميع","جميع","الكل","false","",""
"23","3","ALL","كل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ALL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to EAT. Does not restrict EN → AR.","determiner","stage3a:h23:t3","review","uncertain","كل","كل","كل","الكل","false","",""
"23","4","ALL","الكل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ALL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to EAT. Does not restrict EN → AR.","determiner","stage3a:h23:t4","review","uncertain","الكل","الكل","الكل","الكل","false","",""
"24","0","HAVE","عندي","review","msa","medium","needs-linguistic-confirmation","HAVE → عندي: Possession and perfect auxiliary uses require sentence context; first-person عندي and auxiliary قد are not general equivalents.","AI-assisted linguistic review","","false","","","","","stage3a:h24:t0","review","uncertain","عندي","عندي","عندي","قد","false","",""
"24","1","HAVE","قد","review","msa","medium","needs-linguistic-confirmation","HAVE → قد: Possession and perfect auxiliary uses require sentence context; first-person عندي and auxiliary قد are not general equivalents.","AI-assisted linguistic review","","false","","","","","stage3a:h24:t1","review","uncertain","قد","قد","قد","قد","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"25","0","NEW","جديد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of NEW. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to NEWLY. Does not restrict EN → AR.","adjective","stage3a:h25:t0","review","uncertain","جديد","جديد","جديد","جديد","false","",""
"25","1","NEW","جدد","review","msa","medium","inflection-review","Valid masculine plural adjective in MSA; defer standalone inflection preference rather than reject a legitimate plural form.","AI-assisted linguistic review","","false","","","","","stage3a:h25:t1","review","uncertain","جدد","جدد","جدد","جديد","false","",""
"25","2","NEW","جديدة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of NEW. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","adjective","stage3a:h25:t2","review","uncertain","جديدة","جديدة","جديدة","جديد","false","",""
"25","3","NEW","الجديد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of NEW. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to NEWLY. Does not restrict EN → AR.","adjective","stage3a:h25:t3","review","uncertain","الجديد","الجديد","الجديد","جديد","false","",""
"26","0","MORE","المزيد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of MORE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to FURTHER. Does not restrict EN → AR.","quantifier","stage3a:h26:t0","review","uncertain","المزيد","المزيد","المزيد","المزيد","false","",""
"26","1","MORE","اكتر","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","","","stage3a:h26:t1","review","uncertain","اكتر","اكتر","اكتر","المزيد","false","",""
"26","2","MORE","اكثر","review","uncertain","medium","needs-linguistic-confirmation","MORE → اكثر: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h26:t2","review","uncertain","اكثر","اكثر","اكثر","المزيد","false","",""
"26","3","MORE","مزيد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of MORE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to FURTHER. Does not restrict EN → AR.","quantifier","stage3a:h26:t3","review","uncertain","مزيد","مزيد","مزيد","المزيد","false","",""
"27","0","AN","أداة تنكير","review","msa","medium","needs-linguistic-confirmation","AN → أداة تنكير: Arabic has no direct indefinite article; this is a grammatical explanation rather than a standalone equivalent.","AI-assisted linguistic review","","false","","","","","stage3a:h27:t0","review","uncertain","أداة تنكير","أداةتنكير","أداةتنكير","أداة تنكير","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"28","0","WAS","كانت","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WAS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WERE. Does not restrict EN → AR.","verb","stage3a:h28:t0","review","uncertain","كانت","كانت","كانت","كان","false","",""
"28","1","WAS","كان","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WAS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to BEEN, HAD. Does not restrict EN → AR.","verb","stage3a:h28:t1","review","uncertain","كان","كان","كان","كان","false","",""
"29","0","WE","نحن.","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","pronoun","stage3a:h29:t0","review","uncertain","نحن.","نحن","نحن","نحن.","false","",""
"30","0","WILL","ويل","review","uncertain","medium","needs-linguistic-confirmation","WILL → ويل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h30:t0","review","uncertain","ويل","ويل","ويل","ويل","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"30","1","WILL","راح","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","","","stage3a:h30:t1","review","uncertain","راح","راح","راح","ويل","false","",""
"30","2","WILL","سوف","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WILL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to SHALL, WOULD. Does not restrict EN → AR.","auxiliary verb","stage3a:h30:t2","review","uncertain","سوف","سوف","سوف","ويل","false","",""
"31","0","HOME","المنزل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HOME in the dwelling sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to HOUSE. Does not restrict EN → AR.","noun","stage3a:h31:t0","review","uncertain","المنزل","المنزل","المنزل","منزل","false","","dwelling"
"31","1","HOME","الوطن","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HOME in the homeland sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to HOMELAND. Does not restrict EN → AR.","noun","stage3a:h31:t1","review","uncertain","الوطن","الوطن","الوطن","منزل","false","","homeland"
"31","2","HOME","منزل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HOME in the dwelling sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to HOUSE. Does not restrict EN → AR.","noun","stage3a:h31:t2","review","uncertain","منزل","منزل","منزل","منزل","false","","dwelling"
"31","3","HOME","البيت","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HOME in the dwelling sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to HOUSE, PETE. Does not restrict EN → AR.","noun","stage3a:h31:t3","review","uncertain","البيت","البيت","البيت","منزل","false","","dwelling"
"32","0","CAN","يستطيع","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of CAN. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","auxiliary verb","stage3a:h32:t0","review","uncertain","يستطيع","يستطيع","يستطيع","يمكن","false","",""
"32","1","CAN","يمكن","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of CAN. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to COULD. Does not restrict EN → AR.","auxiliary verb","stage3a:h32:t1","review","uncertain","يمكن","يمكن","يمكن","يمكن","false","",""
"33","0","US","نحن","rejected","msa","high","incorrect-or-mismatched-equivalent","Subject pronoun “we”; does not represent the object pronoun us.","AI-assisted linguistic review","","false","false","false","","","stage3a:h33:t0","review","uncertain","نحن","نحن","نحن","نحن","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"34","0","ABOUT","حول","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ABOUT. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to AROUND. Does not restrict EN → AR.","preposition","stage3a:h34:t0","review","uncertain","حول","حول","حول","حول","false","",""
"34","1","ABOUT","بشان","review","uncertain","medium","needs-linguistic-confirmation","ABOUT → بشان: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h34:t1","review","uncertain","بشان","بشان","بشان","حول","false","",""
"34","2","ABOUT","بخصوص","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ABOUT. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","preposition","stage3a:h34:t2","review","uncertain","بخصوص","بخصوص","بخصوص","حول","false","",""
"34","3","ABOUT","عن","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ABOUT. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","preposition","stage3a:h34:t3","review","uncertain","عن","عن","عن","حول","false","",""
"35","0","IF","لو","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of IF. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to LOU. Does not restrict EN → AR.","conjunction","stage3a:h35:t0","review","uncertain","لو","لو","لو","لو","false","",""
"36","0","PAGE","صفحة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PAGE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","true","Reviewer selected a clear everyday reverse clue; no shared-expression conflict in the compatibility pool. Not a guarantee of unique translation in all language contexts.","noun","stage3a:h36:t0","review","uncertain","صفحة","صفحة","صفحة","الصفحة","false","",""
"36","1","PAGE","الصفحة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PAGE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h36:t1","review","uncertain","الصفحة","الصفحة","الصفحة","الصفحة","false","",""
"38","0","HAS","لديه","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HAS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","verb","stage3a:h38:t0","review","uncertain","لديه","لديه","لديه","لديه","false","",""
"39","0","SEARCH","ابحث","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SEARCH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to LOOKING, SEARCHING, SEEK. Does not restrict EN → AR.","verb","stage3a:h39:t0","review","uncertain","ابحث","ابحث","ابحث","البحث","false","",""
"39","1","SEARCH","البحث","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SEARCH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to RESEARCH, SEARCHED, SEARCHING, SEEKING. Does not restrict EN → AR.","noun","stage3a:h39:t1","review","uncertain","البحث","البحث","البحث","البحث","false","",""
"39","2","SEARCH","بحث","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SEARCH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to RESEARCH, SEARCHED, SEARCHING, SEEKING. Does not restrict EN → AR.","noun","stage3a:h39:t2","review","uncertain","بحث","بحث","بحث","البحث","false","",""
"40","0","FREE","مجانا","review","uncertain","medium","needs-linguistic-confirmation","FREE → مجانا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h40:t0","review","uncertain","مجانا","مجانا","مجانا","مجانا","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"40","1","FREE","حرة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of FREE in the not constrained sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","adjective","stage3a:h40:t1","review","uncertain","حرة","حرة","حرة","مجانا","false","","not constrained"
"40","2","FREE","مجاني","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of FREE in the without payment sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","adjective","stage3a:h40:t2","review","uncertain","مجاني","مجاني","مجاني","مجانا","false","","without payment"
"40","3","FREE","حر","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of FREE in the not constrained sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","adjective","stage3a:h40:t3","review","uncertain","حر","حر","حر","مجانا","false","","not constrained"
"41","0","BUT","لكن","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BUT. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","conjunction","stage3a:h41:t0","review","uncertain","لكن","لكن","لكن","لكن","false","",""
"41","1","BUT","بس","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","","","stage3a:h41:t1","review","uncertain","بس","بس","بس","لكن","false","",""
"41","2","BUT","ولكن","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BUT. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","conjunction","stage3a:h41:t2","review","uncertain","ولكن","ولكن","ولكن","لكن","false","",""
"42","0","ONE","احد","review","uncertain","medium","needs-linguistic-confirmation","ONE → احد: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h42:t0","review","uncertain","احد","احد","احد","واحد","false","",""
"42","1","ONE","واحدة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ONE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","numeral","stage3a:h42:t1","review","uncertain","واحدة","واحدة","واحدة","واحد","false","",""
"42","2","ONE","واحد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ONE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","numeral","stage3a:h42:t2","review","uncertain","واحد","واحد","واحد","واحد","false","",""
"42","3","ONE","واحده","review","uncertain","medium","needs-linguistic-confirmation","ONE → واحده: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h42:t3","review","uncertain","واحده","واحده","واحده","واحد","false","",""
"43","0","OTHER","اخرى","review","uncertain","medium","needs-linguistic-confirmation","OTHER → اخرى: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h43:t0","review","uncertain","اخرى","اخرى","اخرى","أخرى","false","",""
