"headwordIndex","english","referenceArabic","beforeStatus","status","relationships","approved","review","rejected","reason"
"24","HAVE","قد","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"25","NEW","جديد","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"26","MORE","المزيد","review","approved","4","2","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"27","AN","أداة تنكير","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"28","WAS","كان","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"29","WE","نحن.","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"30","WILL","ويل","review","approved","3","1","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"31","HOME","منزل","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"32","CAN","يمكن","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"33","US","نحن","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"34","ABOUT","حول","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"35","IF","لو","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"36","PAGE","الصفحة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"38","HAS","لديه","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"39","SEARCH","البحث","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"40","FREE","مجانا","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"41","BUT","لكن","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"42","ONE","واحد","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"43","OTHER","أخرى","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"44","DO","افعل","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"45","NO","لا","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"46","INFORMATION","معلومات","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"47","TIME","الوقت","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"48","THEY","هم.","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"49","SITE","الموقع","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"50","HE","هو.","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"51","UP","فوق","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"52","MAY","مايو","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"53","WHAT","ما هذا؟","review","approved","5","2","1","2","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"54","WHICH","التي","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"55","THEIR","لهم","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"56","NEWS","اخبار","review","review","4","0","4","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"58","USE","الاستخدام","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"59","ANY","أي منها","review","review","3","0","3","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"60","THERE","هناك.","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"61","SEE","انظر","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"62","ONLY","فقط","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"63","SO","أجل.","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"64","HIS","له","review","review","2","0","1","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"65","WHEN","متى","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"66","CONTACT","الاتصال","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"67","HERE","هنا","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"68","BUSINESS","الأعمال","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"69","WHO","مَن","review","approved","2","1","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"70","WEB","شبكة الإنترنت","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"71","ALSO","أيضا","review","approved","3","1","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"72","NOW","الآن","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"73","HELP","مساعدة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"74","GET","الحصول على","review","review","4","0","4","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"75","VIEW","عرض","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"76","ONLINE","على الانترنت","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"77","FIRST","أولاً","review","review","5","0","5","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"78","AM","أنا.","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"79","BEEN","كان","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"80","WOULD","سوف","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"82","WERE","كانت","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"83","ME","أنا.","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"84","SERVICES","الخدمات","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"85","SOME","بعض","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"86","THESE","هذه","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"87","CLICK","انقر فوق","review","approved","6","4","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"88","ITS","هاته","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"89","LIKE","مثل","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"90","SERVICE","الخدمة","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"92","FIND","العثور على","review","review","4","0","4","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"93","PRICE","السعر","review","approved","5","3","0","2","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"94","DATE","التاريخ","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"95","BACK","عودة","review","approved","6","2","4","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"96","TOP","أعلى","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"97","PEOPLE","الناس","review","approved","5","2","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"98","HAD","كان","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"99","LIST","قائمة","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"100","NAME","الاسم","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"101","JUST","فقط","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"102","OVER","أكثر من","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"103","STATE","الدولة","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"104","YEAR","السنة","review","approved","6","4","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"105","DAY","اليوم","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"106","INTO","إلى داخل","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"107","EMAIL","البريد الإلكتروني","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"108","TWO","اثنان","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"109","HEALTH","الصحة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"110","WORLD","العالم","review","approved","4","3","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"111","NEXT","التالي","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"112","USED","مستعمل","review","approved","5","2","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"113","GO","اذهبي","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"114","WORK","العمل","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"115","LAST","الأخير","review","approved","6","1","5","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"116","MOST","معظم","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"117","PRODUCTS","المنتجات","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"118","MUSIC","الموسيقى","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"119","BUY","شراء","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"120","DATA","البيانات","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"121","MAKE","جعل","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"122","THEM","هم.","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"123","SHOULD","ينبغي","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"124","PRODUCT","المنتج","review","approved","4","2","0","2","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"125","SYSTEM","نظام","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"126","POST","الوظائف","review","approved","5","2","2","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"127","HER","لها","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"128","CITY","المدينة","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"129","ADD","إضافة","review","review","5","0","5","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"130","POLICY","السياسة","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"131","NUMBER","الرقم","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"132","SUCH","مثل هذه","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"133","PLEASE","رجاءً","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"134","AVAILABLE","متاح","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"135","COPYRIGHT","حقوق النشر","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"136","SUPPORT","الدعم","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"137","MESSAGE","الرسالة","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"138","AFTER","بعد","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"139","BEST","أفضل","review","approved","5","1","3","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"140","SOFTWARE","البرامجيات","review","approved","6","4","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"141","THEN","إذاً","review","approved","5","2","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"143","GOOD","جيد","review","approved","5","2","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"144","VIDEO","فيديو","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"145","WELL","حسناً","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"146","WHERE","أين","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"148","RIGHTS","الحقوق","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"149","PUBLIC","الجمهور","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"150","BOOKS","الكتب","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"151","HIGH","مرتفع","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"152","SCHOOL","مدرسة","review","approved","4","2","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"153","THROUGH","عن طريق","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"154","EACH","لكل منها","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"155","LINKS","روابط","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"156","SHE","هي.","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"157","REVIEW","الاستعراض","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"158","YEARS","سنوات","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"159","ORDER","ترتيب","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"160","VERY","جدا","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"161","PRIVACY","الخصوصية","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"162","BOOK","الكتاب","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"163","ITEMS","البنود","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"164","COMPANY","الشركة","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"165","READ","قراءة","review","review","5","0","5","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"166","GROUP","المجموعة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"168","NEED","حاجة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"169","MANY","كثيرة","review","approved","6","4","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"170","USER","المستخدم","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"171","SAID","قال","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"172","DOES","لا يفعل","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"173","SET","مجموعة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"174","UNDER","تحت","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"175","GENERAL","عام","review","approved","6","4","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"176","RESEARCH","البحوث","review","approved","6","4","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"177","UNIVERSITY","الجامعة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"178","JANUARY","يناير كانون الثاني","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"179","MAIL","البريد الإلكتروني","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"180","FULL","كامل","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"181","MAP","خريطة","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"182","REVIEWS","استعراض","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"183","PROGRAM","البرنامج","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"184","LIFE","حياته","review","approved","4","2","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"185","KNOW","اعرف","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"186","GAMES","العاب","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"187","WAY","الطريقة","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"188","DAYS","أيام","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"189","MANAGEMENT","الإدارة","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"190","PART","جزء","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"191","COULD","يمكن","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"192","GREAT","عظيم","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"193","UNITED","المتحدة","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"194","HOTEL","فندق","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"195","REAL","حقيقي","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"196","ITEM","البند","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"197","INTERNATIONAL","الدولية","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"198","CENTER","المركز","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"200","MUST","يجب","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"201","STORE","متجر","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"202","TRAVEL","السفر","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"203","COMMENTS","تعليقات","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"204","MADE","مصنوع","review","approved","4","1","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"205","DEVELOPMENT","التنمية","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"206","REPORT","التقرير","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"207","OFF","قبالة","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"208","MEMBER","عضو","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"209","DETAILS","التفاصيل","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"210","LINE","خط","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"211","TERMS","الشروط والأحكام","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"212","BEFORE","قبل","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"213","HOTELS","فنادق","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"215","SEND","ارسال","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"216","RIGHT","يمين","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"217","TYPE","النوع","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"219","LOCAL","محلي","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"220","THOSE","هؤلاء","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"221","USING","استخدام","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"222","RESULTS","النتائج","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"223","OFFICE","مكتب","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"224","EDUCATION","التعليم","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"225","NATIONAL","وطني","review","approved","4","3","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"226","CAR","سيارة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"227","DESIGN","تصميم","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"228","TAKE","خذ","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"229","POSTED","منشورة","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"230","INTERNET","الإنترنت","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"231","ADDRESS","العنوان","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"232","COMMUNITY","المجتمع","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"233","WITHIN","داخل","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"234","STATES","الدول","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"235","AREA","المنطقة","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"236","WANT","تريد","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"237","PHONE","الهاتف","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"238","SHIPPING","الشحن","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"239","RESERVED","محجوز","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"240","SUBJECT","الموضوع","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"241","BETWEEN","بين","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"242","FORUM","المنتدى","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"243","FAMILY","الأسرة","review","approved","6","3","2","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"244","LONG","طويل","review","approved","5","3","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"245","BASED","على أساس","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"246","CODE","الكود","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"247","SHOW","عرض","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"248","EVEN","حتى","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"249","BLACK","أسود","review","approved","5","2","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"250","CHECK","تحقق","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"251","SPECIAL","خاص","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"252","PRICES","الأسعار","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"253","WEBSITE","الموقع الشبكي","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"254","INDEX","الفهرس","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"255","BEING","يجري","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"256","WOMEN","النساء","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"257","MUCH","الكثير","review","approved","2","1","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"258","SIGN","علامة","review","approved","5","2","2","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"259","FILE","ملف","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"260","LINK","رابط","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"261","OPEN","مفتوح","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"262","TODAY","اليوم","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"263","TECHNOLOGY","التكنولوجيا","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
