"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason"
"40","0","FREE","مجانا","review","uncertain","medium","needs-linguistic-confirmation","FREE → مجانا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h40:t0","review","uncertain","مجانا","مجانا","مجانا","مجانا","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"42","0","ONE","احد","review","uncertain","medium","needs-linguistic-confirmation","ONE → احد: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h42:t0","review","uncertain","احد","احد","احد","واحد","false",""
"42","3","ONE","واحده","review","uncertain","medium","needs-linguistic-confirmation","ONE → واحده: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h42:t3","review","uncertain","واحده","واحده","واحده","واحد","false",""
"43","0","OTHER","اخرى","review","uncertain","medium","needs-linguistic-confirmation","OTHER → اخرى: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h43:t0","review","uncertain","اخرى","اخرى","اخرى","أخرى","false",""
"46","0","INFORMATION","الاعلام","review","uncertain","medium","needs-linguistic-confirmation","INFORMATION → الاعلام: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h46:t0","review","uncertain","الاعلام","الاعلام","الاعلام","معلومات","false",""
"48","1","THEY","انهم","review","uncertain","medium","needs-linguistic-confirmation","THEY → انهم: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h48:t1","review","uncertain","انهم","انهم","انهم","هم.","false",""
"52","1","MAY","ماي","review","uncertain","medium","needs-linguistic-confirmation","MAY → ماي: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h52:t1","review","uncertain","ماي","ماي","ماي","مايو","false",""
"52","3","MAY","ايار","review","uncertain","medium","needs-linguistic-confirmation","MAY → ايار: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h52:t3","review","uncertain","ايار","ايار","ايار","مايو","false",""
"53","4","WHAT","ما هذا؟","review","uncertain","medium","needs-linguistic-confirmation","WHAT → ما هذا؟: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h53:t4","review","uncertain","ما هذا؟","ماهذا","ماهذا","ما هذا؟","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"54","0","WHICH","ايهما","review","uncertain","medium","needs-linguistic-confirmation","WHICH → ايهما: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h54:t0","review","uncertain","ايهما","ايهما","ايهما","التي","false",""
"54","2","WHICH","والذي","review","uncertain","medium","needs-linguistic-confirmation","WHICH → والذي: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h54:t2","review","uncertain","والذي","والذي","والذي","التي","false",""
"55","0","THEIR","لهم","review","msa","medium","needs-linguistic-confirmation","THEIR → لهم: Possessive vs prepositional pronoun construction needs context.","AI-assisted linguistic review","","false","stage3a:h55:t0","review","uncertain","لهم","لهم","لهم","لهم","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"56","0","NEWS","اخبار","review","uncertain","medium","needs-linguistic-confirmation","NEWS → اخبار: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h56:t0","review","uncertain","اخبار","اخبار","اخبار","اخبار","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"56","1","NEWS","الاخبار","review","uncertain","medium","needs-linguistic-confirmation","NEWS → الاخبار: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h56:t1","review","uncertain","الاخبار","الاخبار","الاخبار","اخبار","false",""
"56","2","NEWS","خبر","review","uncertain","medium","needs-linguistic-confirmation","NEWS → خبر: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h56:t2","review","uncertain","خبر","خبر","خبر","اخبار","false",""
"56","3","NEWS","انباء","review","uncertain","medium","needs-linguistic-confirmation","NEWS → انباء: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h56:t3","review","uncertain","انباء","انباء","انباء","اخبار","false",""
"59","0","ANY","اي","review","uncertain","medium","needs-linguistic-confirmation","ANY → اي: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h59:t0","review","uncertain","اي","اي","اي","أي منها","false",""
"59","1","ANY","اية","review","uncertain","medium","needs-linguistic-confirmation","ANY → اية: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h59:t1","review","uncertain","اية","اية","اية","أي منها","false",""
"59","2","ANY","أي منها","review","uncertain","medium","needs-linguistic-confirmation","ANY → أي منها: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h59:t2","review","uncertain","أي منها","أيمنها","أيمنها","أي منها","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"61","1","SEE","ترى","review","uncertain","medium","needs-linguistic-confirmation","SEE → ترى: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h61:t1","review","uncertain","ترى","ترى","ترى","انظر","false",""
"64","1","HIS","له","review","msa","medium","needs-linguistic-confirmation","HIS → له: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h64:t1","review","uncertain","له","له","له","له","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"66","0","CONTACT","للاتصال","review","uncertain","medium","needs-linguistic-confirmation","CONTACT → للاتصال: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h66:t0","review","uncertain","للاتصال","للاتصال","للاتصال","الاتصال","false",""
"68","1","BUSINESS","الاعمال","review","uncertain","medium","needs-linguistic-confirmation","BUSINESS → الاعمال: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h68:t1","review","uncertain","الاعمال","الاعمال","الاعمال","الأعمال","false",""
"71","0","ALSO","ايضا","review","uncertain","medium","needs-linguistic-confirmation","ALSO → ايضا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h71:t0","review","uncertain","ايضا","ايضا","ايضا","أيضا","false",""
"72","0","NOW","الان","review","uncertain","medium","needs-linguistic-confirmation","NOW → الان: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h72:t0","review","uncertain","الان","الان","الان","الآن","false",""
"72","1","NOW","والان","review","uncertain","medium","needs-linguistic-confirmation","NOW → والان: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h72:t1","review","uncertain","والان","والان","والان","الآن","false",""
"74","0","GET","احصل","review","uncertain","medium","needs-linguistic-confirmation","GET → احصل: Verbal noun and incomplete imperative need an explicit learner dictionary convention.","AI-assisted linguistic review","","false","stage3a:h74:t0","review","uncertain","احصل","احصل","احصل","الحصول على","false",""
"74","1","GET","الحصول","review","uncertain","medium","needs-linguistic-confirmation","GET → الحصول: Verbal noun and incomplete imperative need an explicit learner dictionary convention.","AI-assisted linguistic review","","false","stage3a:h74:t1","review","uncertain","الحصول","الحصول","الحصول","الحصول على","false",""
"74","2","GET","احضر","review","uncertain","medium","needs-linguistic-confirmation","GET → احضر: Verbal noun and incomplete imperative need an explicit learner dictionary convention.","AI-assisted linguistic review","","false","stage3a:h74:t2","review","uncertain","احضر","احضر","احضر","الحصول على","false",""
"74","3","GET","الحصول على","review","msa","medium","needs-linguistic-confirmation","GET → الحصول على: Verbal noun and incomplete imperative need an explicit learner dictionary convention.","AI-assisted linguistic review","","false","stage3a:h74:t3","review","uncertain","الحصول على","الحصولعلى","الحصولعلى","الحصول على","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"76","0","ONLINE","الانترنت","review","uncertain","medium","needs-linguistic-confirmation","ONLINE → الانترنت: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h76:t0","review","uncertain","الانترنت","الانترنت","الانترنت","على الانترنت","false",""
"76","1","ONLINE","على الانترنت","review","uncertain","medium","needs-linguistic-confirmation","ONLINE → على الانترنت: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h76:t1","review","uncertain","على الانترنت","علىالانترنت","علىالانترنت","على الانترنت","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"77","0","FIRST","اول","review","uncertain","medium","needs-linguistic-confirmation","FIRST → اول: Ordinal and adverb senses plus missing hamza need a dedicated orthography/grammar decision.","AI-assisted linguistic review","","false","stage3a:h77:t0","review","uncertain","اول","اول","اول","أولاً","false",""
"77","1","FIRST","اولا","review","uncertain","medium","needs-linguistic-confirmation","FIRST → اولا: Ordinal and adverb senses plus missing hamza need a dedicated orthography/grammar decision.","AI-assisted linguistic review","","false","stage3a:h77:t1","review","uncertain","اولا","اولا","اولا","أولاً","false",""
"77","2","FIRST","الاول","review","uncertain","medium","needs-linguistic-confirmation","FIRST → الاول: Ordinal and adverb senses plus missing hamza need a dedicated orthography/grammar decision.","AI-assisted linguistic review","","false","stage3a:h77:t2","review","uncertain","الاول","الاول","الاول","أولاً","false",""
"77","3","FIRST","الاولى","review","uncertain","medium","needs-linguistic-confirmation","FIRST → الاولى: Ordinal and adverb senses plus missing hamza need a dedicated orthography/grammar decision.","AI-assisted linguistic review","","false","stage3a:h77:t3","review","uncertain","الاولى","الاولى","الاولى","أولاً","false",""
"77","4","FIRST","أولاً","review","uncertain","medium","needs-linguistic-confirmation","FIRST → أولاً: Ordinal and adverb senses plus missing hamza need a dedicated orthography/grammar decision.","AI-assisted linguistic review","","false","stage3a:h77:t4","review","uncertain","أولاً","أولا","أولا","أولاً","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"79","0","BEEN","كان","review","msa","medium","needs-linguistic-confirmation","BEEN → كان: Past participle of be is not a standalone Arabic tense equivalent.","AI-assisted linguistic review","","false","stage3a:h79:t0","review","uncertain","كان","كان","كان","كان","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"80","0","WOULD","سوف","review","msa","medium","needs-linguistic-confirmation","WOULD → سوف: Conditional/habitual modal is not interchangeable with simple future سوف.","AI-assisted linguistic review","","false","stage3a:h80:t0","review","uncertain","سوف","سوف","سوف","سوف","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"87","0","CLICK","اضغط","review","uncertain","medium","needs-linguistic-confirmation","CLICK → اضغط: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h87:t0","review","uncertain","اضغط","اضغط","اضغط","انقر فوق","false",""
"87","5","CLICK","انقر فوق","review","uncertain","medium","needs-linguistic-confirmation","CLICK → انقر فوق: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h87:t5","review","uncertain","انقر فوق","انقرفوق","انقرفوق","انقر فوق","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"89","1","LIKE","لايك","review","uncertain","medium","needs-linguistic-confirmation","LIKE → لايك: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h89:t1","review","uncertain","لايك","لايك","لايك","مثل","false",""
"92","0","FIND","جد","review","uncertain","medium","needs-linguistic-confirmation","FIND → جد: Imperative ambiguity and verbal-noun vs finite-verb distinction need context.","AI-assisted linguistic review","","false","stage3a:h92:t0","review","uncertain","جد","جد","جد","العثور على","false",""
"92","1","FIND","العثور","review","uncertain","medium","needs-linguistic-confirmation","FIND → العثور: Imperative ambiguity and verbal-noun vs finite-verb distinction need context.","AI-assisted linguistic review","","false","stage3a:h92:t1","review","uncertain","العثور","العثور","العثور","العثور على","false",""
"92","2","FIND","ايجاد","review","uncertain","medium","needs-linguistic-confirmation","FIND → ايجاد: Imperative ambiguity and verbal-noun vs finite-verb distinction need context.","AI-assisted linguistic review","","false","stage3a:h92:t2","review","uncertain","ايجاد","ايجاد","ايجاد","العثور على","false",""
"92","3","FIND","العثور على","review","uncertain","medium","needs-linguistic-confirmation","FIND → العثور على: Imperative ambiguity and verbal-noun vs finite-verb distinction need context.","AI-assisted linguistic review","","false","stage3a:h92:t3","review","uncertain","العثور على","العثورعلى","العثورعلى","العثور على","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"95","1","BACK","عاد","review","uncertain","medium","needs-linguistic-confirmation","BACK → عاد: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h95:t1","review","uncertain","عاد","عاد","عاد","عودة","false",""
"95","2","BACK","العودة","review","uncertain","medium","needs-linguistic-confirmation","BACK → العودة: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h95:t2","review","uncertain","العودة","العودة","العودة","عودة","false",""
"95","3","BACK","عودة","review","uncertain","medium","needs-linguistic-confirmation","BACK → عودة: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h95:t3","review","uncertain","عودة","عودة","عودة","عودة","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"95","4","BACK","ارجع","review","uncertain","medium","needs-linguistic-confirmation","BACK → ارجع: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h95:t4","review","uncertain","ارجع","ارجع","ارجع","عودة","false",""
"96","1","TOP","توب","review","uncertain","medium","needs-linguistic-confirmation","TOP → توب: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h96:t1","review","uncertain","توب","توب","توب","أعلى","false",""
"96","3","TOP","الاعلى","review","uncertain","medium","needs-linguistic-confirmation","TOP → الاعلى: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h96:t3","review","uncertain","الاعلى","الاعلى","الاعلى","أعلى","false",""
"97","0","PEOPLE","اشخاص","review","uncertain","medium","needs-linguistic-confirmation","PEOPLE → اشخاص: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h97:t0","review","uncertain","اشخاص","اشخاص","اشخاص","الناس","false",""
"97","1","PEOPLE","اناس","review","uncertain","medium","needs-linguistic-confirmation","PEOPLE → اناس: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h97:t1","review","uncertain","اناس","اناس","اناس","الناس","false",""
"97","2","PEOPLE","الاشخاص","review","uncertain","medium","needs-linguistic-confirmation","PEOPLE → الاشخاص: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h97:t2","review","uncertain","الاشخاص","الاشخاص","الاشخاص","الناس","false",""
"98","0","HAD","كان","review","msa","medium","needs-linguistic-confirmation","HAD → كان: Possession vs past-perfect auxiliary cannot be resolved by كان alone.","AI-assisted linguistic review","","false","stage3a:h98:t0","review","uncertain","كان","كان","كان","كان","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"99","1","LIST","قائمه","review","uncertain","medium","needs-linguistic-confirmation","LIST → قائمه: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h99:t1","review","uncertain","قائمه","قائمه","قائمه","قائمة","false",""
"104","2","YEAR","السنه","review","uncertain","medium","needs-linguistic-confirmation","YEAR → السنه: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h104:t2","review","uncertain","السنه","السنه","السنه","السنة","false",""
"104","4","YEAR","سنه","review","uncertain","medium","needs-linguistic-confirmation","YEAR → سنه: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h104:t4","review","uncertain","سنه","سنه","سنه","السنة","false",""
"107","0","EMAIL","الايميل","review","uncertain","medium","needs-linguistic-confirmation","EMAIL → الايميل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h107:t0","review","uncertain","الايميل","الايميل","الايميل","البريد الإلكتروني","false",""
"107","1","EMAIL","ايميل","review","uncertain","medium","needs-linguistic-confirmation","EMAIL → ايميل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h107:t1","review","uncertain","ايميل","ايميل","ايميل","البريد الإلكتروني","false",""
"111","3","NEXT","التالى","review","uncertain","medium","needs-linguistic-confirmation","NEXT → التالى: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h111:t3","review","uncertain","التالى","التالى","التالى","التالي","false",""
"112","0","USED","استعمل","review","uncertain","medium","needs-linguistic-confirmation","USED → استعمل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h112:t0","review","uncertain","استعمل","استعمل","استعمل","مستعمل","false",""
"112","1","USED","استخدم","review","uncertain","medium","needs-linguistic-confirmation","USED → استخدم: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h112:t1","review","uncertain","استخدم","استخدم","استخدم","مستعمل","false",""
"112","3","USED","استخدمت","review","uncertain","medium","needs-linguistic-confirmation","USED → استخدمت: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h112:t3","review","uncertain","استخدمت","استخدمت","استخدمت","مستعمل","false",""
"113","0","GO","اذهبي","review","uncertain","medium","needs-linguistic-confirmation","GO → اذهبي: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h113:t0","review","uncertain","اذهبي","اذهبي","اذهبي","اذهبي","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"115","0","LAST","الاخيرة","review","uncertain","medium","needs-linguistic-confirmation","LAST → الاخيرة: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h115:t0","review","uncertain","الاخيرة","الاخيرة","الاخيرة","الأخير","false",""
"115","1","LAST","اخر","review","uncertain","medium","needs-linguistic-confirmation","LAST → اخر: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h115:t1","review","uncertain","اخر","اخر","اخر","الأخير","false",""
"115","2","LAST","اخير","review","uncertain","medium","needs-linguistic-confirmation","LAST → اخير: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h115:t2","review","uncertain","اخير","اخير","اخير","الأخير","false",""
"115","3","LAST","تدوم","review","uncertain","medium","needs-linguistic-confirmation","LAST → تدوم: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h115:t3","review","uncertain","تدوم","تدوم","تدوم","الأخير","false",""
"115","4","LAST","الاخير","review","uncertain","medium","needs-linguistic-confirmation","LAST → الاخير: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h115:t4","review","uncertain","الاخير","الاخير","الاخير","الأخير","false",""
"116","1","MOST","الاكثر","review","uncertain","medium","needs-linguistic-confirmation","MOST → الاكثر: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h116:t1","review","uncertain","الاكثر","الاكثر","الاكثر","معظم","false",""
"116","2","MOST","اغلب","review","uncertain","medium","needs-linguistic-confirmation","MOST → اغلب: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h116:t2","review","uncertain","اغلب","اغلب","اغلب","معظم","false",""
"118","1","MUSIC","موسيقي","review","uncertain","medium","needs-linguistic-confirmation","MUSIC → موسيقي: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h118:t1","review","uncertain","موسيقي","موسيقي","موسيقي","الموسيقى","false",""
"119","0","BUY","اشتري","review","uncertain","medium","needs-linguistic-confirmation","BUY → اشتري: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h119:t0","review","uncertain","اشتري","اشتري","اشتري","شراء","false",""
