template,slotA,slotB,positionA,positionB,lengthA,lengthB,row,col
91376b1a948f47c9,11,45,2,0,3,4,5,8
91376b1a948f47c9,14,45,1,1,6,4,6,8
91376b1a948f47c9,16,45,1,2,6,4,7,8
91376b1a948f47c9,18,45,3,3,6,4,8,8
91376b1a948f47c9,22,46,8,0,13,3,10,8
91376b1a948f47c9,24,46,1,1,6,3,11,8
91376b1a948f47c9,26,46,1,2,6,3,12,8
91376b1a948f47c9,1,47,4,0,6,5,0,9
91376b1a948f47c9,3,47,4,1,8,5,1,9
91376b1a948f47c9,4,47,9,2,13,5,2,9
91376b1a948f47c9,6,47,0,3,4,5,3,9
91376b1a948f47c9,9,47,0,4,3,5,4,9
91376b1a948f47c9,14,48,2,0,6,7,6,9
91376b1a948f47c9,16,48,2,1,6,7,7,9
91376b1a948f47c9,18,48,4,2,6,7,8,9
91376b1a948f47c9,21,48,0,3,3,7,9,9
91376b1a948f47c9,22,48,9,4,13,7,10,9
91376b1a948f47c9,24,48,2,5,6,7,11,9
91376b1a948f47c9,26,48,2,6,6,7,12,9
91376b1a948f47c9,1,49,5,0,6,13,0,10
91376b1a948f47c9,3,49,5,1,8,13,1,10
91376b1a948f47c9,4,49,10,2,13,13,2,10
91376b1a948f47c9,6,49,1,3,4,13,3,10
91376b1a948f47c9,9,49,1,4,3,13,4,10
91376b1a948f47c9,12,49,0,5,3,13,5,10
91376b1a948f47c9,14,49,3,6,6,13,6,10
91376b1a948f47c9,16,49,3,7,6,13,7,10
91376b1a948f47c9,18,49,5,8,6,13,8,10
91376b1a948f47c9,21,49,1,9,3,13,9,10
91376b1a948f47c9,22,49,10,10,13,13,10,10
91376b1a948f47c9,24,49,3,11,6,13,11,10
91376b1a948f47c9,26,49,3,12,6,13,12,10
91376b1a948f47c9,3,50,6,0,8,7,1,11
91376b1a948f47c9,4,50,11,1,13,7,2,11
91376b1a948f47c9,6,50,2,2,4,7,3,11
91376b1a948f47c9,9,50,2,3,3,7,4,11
91376b1a948f47c9,12,50,1,4,3,7,5,11
91376b1a948f47c9,14,50,4,5,6,7,6,11
91376b1a948f47c9,16,50,4,6,6,7,7,11
91376b1a948f47c9,21,51,2,0,3,4,9,11
91376b1a948f47c9,22,51,11,1,13,4,10,11
91376b1a948f47c9,24,51,4,2,6,4,11,11
91376b1a948f47c9,26,51,4,3,6,4,12,11
91376b1a948f47c9,3,52,7,0,8,3,1,12
91376b1a948f47c9,4,52,12,1,13,3,2,12
91376b1a948f47c9,6,52,3,2,4,3,3,12
91376b1a948f47c9,12,53,2,0,3,3,5,12
91376b1a948f47c9,14,53,5,1,6,3,6,12
91376b1a948f47c9,16,53,5,2,6,3,7,12
91376b1a948f47c9,22,54,12,0,13,3,10,12
91376b1a948f47c9,24,54,5,1,6,3,11,12
91376b1a948f47c9,26,54,5,2,6,3,12,12
687de7c97c7a27bb,6,32,0,0,13,5,2,0
687de7c97c7a27bb,7,32,0,1,5,5,3,0
687de7c97c7a27bb,10,32,0,2,6,5,4,0
687de7c97c7a27bb,12,32,0,3,3,5,5,0
687de7c97c7a27bb,15,32,0,4,4,5,6,0
687de7c97c7a27bb,24,33,0,0,3,3,9,0
687de7c97c7a27bb,27,33,0,1,13,3,10,0
687de7c97c7a27bb,28,33,0,2,6,3,11,0
687de7c97c7a27bb,0,34,0,0,3,7,0,1
687de7c97c7a27bb,3,34,0,1,3,7,1,1
687de7c97c7a27bb,6,34,1,2,13,7,2,1
687de7c97c7a27bb,7,34,1,3,5,7,3,1
687de7c97c7a27bb,10,34,1,4,6,7,4,1
687de7c97c7a27bb,12,34,1,5,3,7,5,1
687de7c97c7a27bb,15,34,1,6,4,7,6,1
687de7c97c7a27bb,24,35,1,0,3,3,9,1
687de7c97c7a27bb,27,35,1,1,13,3,10,1
687de7c97c7a27bb,28,35,1,2,6,3,11,1
687de7c97c7a27bb,0,36,1,0,3,13,0,2
687de7c97c7a27bb,3,36,1,1,3,13,1,2
687de7c97c7a27bb,6,36,2,2,13,13,2,2
687de7c97c7a27bb,7,36,2,3,5,13,3,2
687de7c97c7a27bb,10,36,2,4,6,13,4,2
687de7c97c7a27bb,12,36,2,5,3,13,5,2
687de7c97c7a27bb,15,36,2,6,4,13,6,2
687de7c97c7a27bb,18,36,0,7,3,13,7,2
687de7c97c7a27bb,21,36,0,8,3,13,8,2
687de7c97c7a27bb,24,36,2,9,3,13,9,2
687de7c97c7a27bb,27,36,2,10,13,13,10,2
687de7c97c7a27bb,28,36,2,11,6,13,11,2
687de7c97c7a27bb,30,36,0,12,3,13,12,2
687de7c97c7a27bb,0,37,2,0,3,5,0,3
687de7c97c7a27bb,3,37,2,1,3,5,1,3
687de7c97c7a27bb,6,37,3,2,13,5,2,3
687de7c97c7a27bb,7,37,3,3,5,5,3,3
687de7c97c7a27bb,10,37,3,4,6,5,4,3
687de7c97c7a27bb,15,38,3,0,4,3,6,3
687de7c97c7a27bb,18,38,1,1,3,3,7,3
687de7c97c7a27bb,21,38,1,2,3,3,8,3
687de7c97c7a27bb,27,39,3,0,13,3,10,3
687de7c97c7a27bb,28,39,3,1,6,3,11,3
687de7c97c7a27bb,30,39,1,2,3,3,12,3
687de7c97c7a27bb,6,40,4,0,13,3,2,4
687de7c97c7a27bb,7,40,4,1,5,3,3,4
687de7c97c7a27bb,10,40,4,2,6,3,4,4
687de7c97c7a27bb,18,41,2,0,3,6,7,4
687de7c97c7a27bb,21,41,2,1,3,6,8,4
687de7c97c7a27bb,25,41,0,2,3,6,9,4
687de7c97c7a27bb,27,41,4,3,13,6,10,4
687de7c97c7a27bb,28,41,4,4,6,6,11,4
687de7c97c7a27bb,30,41,2,5,3,6,12,4
687de7c97c7a27bb,1,42,0,0,3,3,0,5
687de7c97c7a27bb,4,42,0,1,3,3,1,5
687de7c97c7a27bb,6,42,5,2,13,3,2,5
687de7c97c7a27bb,10,43,5,0,6,3,4,5
687de7c97c7a27bb,13,43,0,1,3,3,5,5
687de7c97c7a27bb,16,43,0,2,3,3,6,5
687de7c97c7a27bb,25,44,1,0,3,3,9,5
687de7c97c7a27bb,27,44,5,1,13,3,10,5
687de7c97c7a27bb,28,44,5,2,6,3,11,5
687de7c97c7a27bb,1,45,1,0,3,4,0,6
687de7c97c7a27bb,4,45,1,1,3,4,1,6
687de7c97c7a27bb,6,45,6,2,13,4,2,6
687de7c97c7a27bb,8,45,0,3,3,4,3,6
687de7c97c7a27bb,13,46,1,0,3,6,5,6
687de7c97c7a27bb,16,46,1,1,3,6,6,6
687de7c97c7a27bb,19,46,0,2,3,6,7,6
687de7c97c7a27bb,22,46,0,3,3,6,8,6
687de7c97c7a27bb,25,46,2,4,3,6,9,6
687de7c97c7a27bb,27,46,6,5,13,6,10,6
687de7c97c7a27bb,1,47,2,0,3,4,0,7
687de7c97c7a27bb,4,47,2,1,3,4,1,7
687de7c97c7a27bb,6,47,7,2,13,4,2,7
687de7c97c7a27bb,8,47,1,3,3,4,3,7
687de7c97c7a27bb,13,48,2,0,3,4,5,7
687de7c97c7a27bb,16,48,2,1,3,4,6,7
687de7c97c7a27bb,19,48,1,2,3,4,7,7
687de7c97c7a27bb,22,48,1,3,3,4,8,7
687de7c97c7a27bb,27,49,7,0,13,3,10,7
687de7c97c7a27bb,29,49,0,1,4,3,11,7
687de7c97c7a27bb,31,49,0,2,4,3,12,7
687de7c97c7a27bb,6,50,8,0,13,3,2,8
687de7c97c7a27bb,8,50,2,1,3,3,3,8
687de7c97c7a27bb,11,50,0,2,3,3,4,8
687de7c97c7a27bb,19,51,2,0,3,6,7,8
687de7c97c7a27bb,22,51,2,1,3,6,8,8
687de7c97c7a27bb,26,51,0,2,5,6,9,8
687de7c97c7a27bb,27,51,8,3,13,6,10,8
687de7c97c7a27bb,29,51,1,4,4,6,11,8
687de7c97c7a27bb,31,51,1,5,4,6,12,8
687de7c97c7a27bb,2,52,0,0,3,3,0,9
687de7c97c7a27bb,5,52,0,1,4,3,1,9
687de7c97c7a27bb,6,52,9,2,13,3,2,9
687de7c97c7a27bb,11,53,1,0,3,3,4,9
687de7c97c7a27bb,14,53,0,1,3,3,5,9
687de7c97c7a27bb,17,53,0,2,4,3,6,9
687de7c97c7a27bb,26,54,1,0,5,4,9,9
687de7c97c7a27bb,27,54,9,1,13,4,10,9
687de7c97c7a27bb,29,54,2,2,4,4,11,9
687de7c97c7a27bb,31,54,2,3,4,4,12,9
687de7c97c7a27bb,2,55,1,0,3,13,0,10
687de7c97c7a27bb,5,55,1,1,4,13,1,10
687de7c97c7a27bb,6,55,10,2,13,13,2,10
687de7c97c7a27bb,9,55,0,3,3,13,3,10
687de7c97c7a27bb,11,55,2,4,3,13,4,10
687de7c97c7a27bb,14,55,1,5,3,13,5,10
687de7c97c7a27bb,17,55,1,6,4,13,6,10
687de7c97c7a27bb,20,55,0,7,3,13,7,10
687de7c97c7a27bb,23,55,0,8,3,13,8,10
687de7c97c7a27bb,26,55,2,9,5,13,9,10
687de7c97c7a27bb,27,55,10,10,13,13,10,10
687de7c97c7a27bb,29,55,3,11,4,13,11,10
687de7c97c7a27bb,31,55,3,12,4,13,12,10
687de7c97c7a27bb,2,56,2,0,3,4,0,11
687de7c97c7a27bb,5,56,2,1,4,4,1,11
687de7c97c7a27bb,6,56,11,2,13,4,2,11
687de7c97c7a27bb,9,56,1,3,3,4,3,11
687de7c97c7a27bb,14,57,2,0,3,6,5,11
687de7c97c7a27bb,17,57,2,1,4,6,6,11
687de7c97c7a27bb,20,57,1,2,3,6,7,11
687de7c97c7a27bb,23,57,1,3,3,6,8,11
687de7c97c7a27bb,26,57,3,4,5,6,9,11
687de7c97c7a27bb,27,57,11,5,13,6,10,11
687de7c97c7a27bb,5,58,3,0,4,3,1,12
687de7c97c7a27bb,6,58,12,1,13,3,2,12
687de7c97c7a27bb,9,58,2,2,3,3,3,12
687de7c97c7a27bb,17,59,3,0,4,5,6,12
687de7c97c7a27bb,20,59,2,1,3,5,7,12
687de7c97c7a27bb,23,59,2,2,3,5,8,12
687de7c97c7a27bb,26,59,4,3,5,5,9,12
687de7c97c7a27bb,27,59,12,4,13,5,10,12
1e73c52a678cc5b1,4,26,0,0,13,3,2,0
1e73c52a678cc5b1,5,26,0,1,6,3,3,0
1e73c52a678cc5b1,7,26,0,2,4,3,4,0
1e73c52a678cc5b1,14,27,0,0,3,6,7,0
1e73c52a678cc5b1,16,27,0,1,3,6,8,0
1e73c52a678cc5b1,18,27,0,2,4,6,9,0
1e73c52a678cc5b1,20,27,0,3,13,6,10,0
1e73c52a678cc5b1,21,27,0,4,7,6,11,0
1e73c52a678cc5b1,23,27,0,5,3,6,12,0
1e73c52a678cc5b1,0,28,0,0,3,5,0,1
1e73c52a678cc5b1,2,28,0,1,4,5,1,1
1e73c52a678cc5b1,4,28,1,2,13,5,2,1
1e73c52a678cc5b1,5,28,1,3,6,5,3,1
1e73c52a678cc5b1,7,28,1,4,4,5,4,1
1e73c52a678cc5b1,14,29,1,0,3,6,7,1
1e73c52a678cc5b1,16,29,1,1,3,6,8,1
1e73c52a678cc5b1,18,29,1,2,4,6,9,1
1e73c52a678cc5b1,20,29,1,3,13,6,10,1
1e73c52a678cc5b1,21,29,1,4,7,6,11,1
1e73c52a678cc5b1,23,29,1,5,3,6,12,1
1e73c52a678cc5b1,0,30,1,0,3,13,0,2
1e73c52a678cc5b1,2,30,1,1,4,13,1,2
1e73c52a678cc5b1,4,30,2,2,13,13,2,2
1e73c52a678cc5b1,5,30,2,3,6,13,3,2
1e73c52a678cc5b1,7,30,2,4,4,13,4,2
1e73c52a678cc5b1,10,30,0,5,5,13,5,2
1e73c52a678cc5b1,12,30,0,6,3,13,6,2
1e73c52a678cc5b1,14,30,2,7,3,13,7,2
1e73c52a678cc5b1,16,30,2,8,3,13,8,2
1e73c52a678cc5b1,18,30,2,9,4,13,9,2
1e73c52a678cc5b1,20,30,2,10,13,13,10,2
1e73c52a678cc5b1,21,30,2,11,7,13,11,2
1e73c52a678cc5b1,23,30,2,12,3,13,12,2
1e73c52a678cc5b1,0,31,2,0,3,7,0,3
1e73c52a678cc5b1,2,31,2,1,4,7,1,3
1e73c52a678cc5b1,4,31,3,2,13,7,2,3
1e73c52a678cc5b1,5,31,3,3,6,7,3,3
1e73c52a678cc5b1,7,31,3,4,4,7,4,3
1e73c52a678cc5b1,10,31,1,5,5,7,5,3
1e73c52a678cc5b1,12,31,1,6,3,7,6,3
1e73c52a678cc5b1,18,32,3,0,4,3,9,3
1e73c52a678cc5b1,20,32,3,1,13,3,10,3
1e73c52a678cc5b1,21,32,3,2,7,3,11,3
1e73c52a678cc5b1,2,33,3,0,4,3,1,4
1e73c52a678cc5b1,4,33,4,1,13,3,2,4
1e73c52a678cc5b1,5,33,4,2,6,3,3,4
1e73c52a678cc5b1,10,34,2,0,5,3,5,4
1e73c52a678cc5b1,12,34,2,1,3,3,6,4
1e73c52a678cc5b1,15,34,0,2,9,3,7,4
1e73c52a678cc5b1,20,35,4,0,13,3,10,4
1e73c52a678cc5b1,21,35,4,1,7,3,11,4
1e73c52a678cc5b1,24,35,0,2,3,3,12,4
1e73c52a678cc5b1,4,36,5,0,13,4,2,5
1e73c52a678cc5b1,5,36,5,1,6,4,3,5
1e73c52a678cc5b1,8,36,0,2,3,4,4,5
1e73c52a678cc5b1,10,36,3,3,5,4,5,5
1e73c52a678cc5b1,15,37,1,0,9,6,7,5
1e73c52a678cc5b1,17,37,0,1,6,6,8,5
1e73c52a678cc5b1,19,37,0,2,6,6,9,5
1e73c52a678cc5b1,20,37,5,3,13,6,10,5
1e73c52a678cc5b1,21,37,5,4,7,6,11,5
1e73c52a678cc5b1,24,37,1,5,3,6,12,5
1e73c52a678cc5b1,1,38,0,0,5,3,0,6
1e73c52a678cc5b1,3,38,0,1,5,3,1,6
1e73c52a678cc5b1,4,38,6,2,13,3,2,6
1e73c52a678cc5b1,8,39,1,0,3,9,4,6
1e73c52a678cc5b1,10,39,4,1,5,9,5,6
1e73c52a678cc5b1,13,39,0,2,7,9,6,6
1e73c52a678cc5b1,15,39,2,3,9,9,7,6
1e73c52a678cc5b1,17,39,1,4,6,9,8,6
1e73c52a678cc5b1,19,39,1,5,6,9,9,6
1e73c52a678cc5b1,20,39,6,6,13,9,10,6
1e73c52a678cc5b1,21,39,6,7,7,9,11,6
1e73c52a678cc5b1,24,39,2,8,3,9,12,6
1e73c52a678cc5b1,1,40,1,0,5,5,0,7
1e73c52a678cc5b1,3,40,1,1,5,5,1,7
1e73c52a678cc5b1,4,40,7,2,13,5,2,7
1e73c52a678cc5b1,6,40,0,3,6,5,3,7
1e73c52a678cc5b1,8,40,2,4,3,5,4,7
1e73c52a678cc5b1,13,41,1,0,7,5,6,7
1e73c52a678cc5b1,15,41,3,1,9,5,7,7
1e73c52a678cc5b1,17,41,2,2,6,5,8,7
1e73c52a678cc5b1,19,41,2,3,6,5,9,7
1e73c52a678cc5b1,20,41,7,4,13,5,10,7
1e73c52a678cc5b1,1,42,2,0,5,4,0,8
1e73c52a678cc5b1,3,42,2,1,5,4,1,8
1e73c52a678cc5b1,4,42,8,2,13,4,2,8
1e73c52a678cc5b1,6,42,1,3,6,4,3,8
1e73c52a678cc5b1,13,43,2,0,7,5,6,8
1e73c52a678cc5b1,15,43,4,1,9,5,7,8
1e73c52a678cc5b1,17,43,3,2,6,5,8,8
1e73c52a678cc5b1,19,43,3,3,6,5,9,8
1e73c52a678cc5b1,20,43,8,4,13,5,10,8
1e73c52a678cc5b1,1,44,3,0,5,4,0,9
1e73c52a678cc5b1,3,44,3,1,5,4,1,9
1e73c52a678cc5b1,4,44,9,2,13,4,2,9
1e73c52a678cc5b1,6,44,2,3,6,4,3,9
1e73c52a678cc5b1,11,45,0,0,4,8,5,9
1e73c52a678cc5b1,13,45,3,1,7,8,6,9
1e73c52a678cc5b1,15,45,5,2,9,8,7,9
1e73c52a678cc5b1,17,45,4,3,6,8,8,9
1e73c52a678cc5b1,19,45,4,4,6,8,9,9
1e73c52a678cc5b1,20,45,9,5,13,8,10,9
1e73c52a678cc5b1,22,45,0,6,4,8,11,9
1e73c52a678cc5b1,25,45,0,7,4,8,12,9
1e73c52a678cc5b1,1,46,4,0,5,13,0,10
1e73c52a678cc5b1,3,46,4,1,5,13,1,10
1e73c52a678cc5b1,4,46,10,2,13,13,2,10
1e73c52a678cc5b1,6,46,3,3,6,13,3,10
1e73c52a678cc5b1,9,46,0,4,3,13,4,10
1e73c52a678cc5b1,11,46,1,5,4,13,5,10
1e73c52a678cc5b1,13,46,4,6,7,13,6,10
1e73c52a678cc5b1,15,46,6,7,9,13,7,10
1e73c52a678cc5b1,17,46,5,8,6,13,8,10
1e73c52a678cc5b1,19,46,5,9,6,13,9,10
1e73c52a678cc5b1,20,46,10,10,13,13,10,10
1e73c52a678cc5b1,22,46,1,11,4,13,11,10
1e73c52a678cc5b1,25,46,1,12,4,13,12,10
1e73c52a678cc5b1,4,47,11,0,13,6,2,11
1e73c52a678cc5b1,6,47,4,1,6,6,3,11
1e73c52a678cc5b1,9,47,1,2,3,6,4,11
1e73c52a678cc5b1,11,47,2,3,4,6,5,11
1e73c52a678cc5b1,13,47,5,4,7,6,6,11
1e73c52a678cc5b1,15,47,7,5,9,6,7,11
1e73c52a678cc5b1,20,48,11,0,13,3,10,11
1e73c52a678cc5b1,22,48,2,1,4,3,11,11
1e73c52a678cc5b1,25,48,2,2,4,3,12,11
1e73c52a678cc5b1,4,49,12,0,13,6,2,12
1e73c52a678cc5b1,6,49,5,1,6,6,3,12
1e73c52a678cc5b1,9,49,2,2,3,6,4,12
1e73c52a678cc5b1,11,49,3,3,4,6,5,12
1e73c52a678cc5b1,13,49,6,4,7,6,6,12
1e73c52a678cc5b1,15,49,8,5,9,6,7,12
1e73c52a678cc5b1,20,50,12,0,13,3,10,12
1e73c52a678cc5b1,22,50,3,1,4,3,11,12
1e73c52a678cc5b1,25,50,3,2,4,3,12,12
e3aa200e97d208d0,0,27,0,0,3,3,0,0
e3aa200e97d208d0,3,27,0,1,8,3,1,0
e3aa200e97d208d0,5,27,0,2,13,3,2,0
e3aa200e97d208d0,8,28,0,0,3,3,4,0
e3aa200e97d208d0,10,28,0,1,3,3,5,0
e3aa200e97d208d0,12,28,0,2,8,3,6,0
e3aa200e97d208d0,18,29,0,0,6,4,9,0
e3aa200e97d208d0,20,29,0,1,13,4,10,0
e3aa200e97d208d0,21,29,0,2,3,4,11,0
e3aa200e97d208d0,24,29,0,3,3,4,12,0
e3aa200e97d208d0,0,30,1,0,3,3,0,1
e3aa200e97d208d0,3,30,1,1,8,3,1,1
e3aa200e97d208d0,5,30,1,2,13,3,2,1
e3aa200e97d208d0,8,31,1,0,3,3,4,1
e3aa200e97d208d0,10,31,1,1,3,3,5,1
e3aa200e97d208d0,12,31,1,2,8,3,6,1
e3aa200e97d208d0,18,32,1,0,6,4,9,1
e3aa200e97d208d0,20,32,1,1,13,4,10,1
e3aa200e97d208d0,21,32,1,2,3,4,11,1
e3aa200e97d208d0,24,32,1,3,3,4,12,1
e3aa200e97d208d0,0,33,2,0,3,13,0,2
e3aa200e97d208d0,3,33,2,1,8,13,1,2
e3aa200e97d208d0,5,33,2,2,13,13,2,2
e3aa200e97d208d0,6,33,0,3,3,13,3,2
e3aa200e97d208d0,8,33,2,4,3,13,4,2
e3aa200e97d208d0,10,33,2,5,3,13,5,2
e3aa200e97d208d0,12,33,2,6,8,13,6,2
e3aa200e97d208d0,14,33,0,7,6,13,7,2
e3aa200e97d208d0,16,33,0,8,3,13,8,2
e3aa200e97d208d0,18,33,2,9,6,13,9,2
e3aa200e97d208d0,20,33,2,10,13,13,10,2
e3aa200e97d208d0,21,33,2,11,3,13,11,2
e3aa200e97d208d0,24,33,2,12,3,13,12,2
e3aa200e97d208d0,3,34,3,0,8,3,1,3
e3aa200e97d208d0,5,34,3,1,13,3,2,3
e3aa200e97d208d0,6,34,1,2,3,3,3,3
e3aa200e97d208d0,12,35,3,0,8,5,6,3
e3aa200e97d208d0,14,35,1,1,6,5,7,3
e3aa200e97d208d0,16,35,1,2,3,5,8,3
e3aa200e97d208d0,18,35,3,3,6,5,9,3
e3aa200e97d208d0,20,35,3,4,13,5,10,3
e3aa200e97d208d0,3,36,4,0,8,3,1,4
e3aa200e97d208d0,5,36,4,1,13,3,2,4
e3aa200e97d208d0,6,36,2,2,3,3,3,4
e3aa200e97d208d0,12,37,4,0,8,5,6,4
e3aa200e97d208d0,14,37,2,1,6,5,7,4
e3aa200e97d208d0,16,37,2,2,3,5,8,4
e3aa200e97d208d0,18,37,4,3,6,5,9,4
e3aa200e97d208d0,20,37,4,4,13,5,10,4
e3aa200e97d208d0,1,38,0,0,3,3,0,5
e3aa200e97d208d0,3,38,5,1,8,3,1,5
e3aa200e97d208d0,5,38,5,2,13,3,2,5
e3aa200e97d208d0,9,39,0,0,6,4,4,5
e3aa200e97d208d0,11,39,0,1,8,4,5,5
e3aa200e97d208d0,12,39,5,2,8,4,6,5
e3aa200e97d208d0,14,39,3,3,6,4,7,5
e3aa200e97d208d0,18,40,5,0,6,4,9,5
e3aa200e97d208d0,20,40,5,1,13,4,10,5
e3aa200e97d208d0,22,40,0,2,3,4,11,5
e3aa200e97d208d0,25,40,0,3,3,4,12,5
e3aa200e97d208d0,1,41,1,0,3,3,0,6
e3aa200e97d208d0,3,41,6,1,8,3,1,6
e3aa200e97d208d0,5,41,6,2,13,3,2,6
e3aa200e97d208d0,9,42,1,0,6,4,4,6
e3aa200e97d208d0,11,42,1,1,8,4,5,6
e3aa200e97d208d0,12,42,6,2,8,4,6,6
e3aa200e97d208d0,14,42,4,3,6,4,7,6
e3aa200e97d208d0,20,43,6,0,13,3,10,6
e3aa200e97d208d0,22,43,1,1,3,3,11,6
e3aa200e97d208d0,25,43,1,2,3,3,12,6
e3aa200e97d208d0,1,44,2,0,3,9,0,7
e3aa200e97d208d0,3,44,7,1,8,9,1,7
e3aa200e97d208d0,5,44,7,2,13,9,2,7
e3aa200e97d208d0,7,44,0,3,6,9,3,7
e3aa200e97d208d0,9,44,2,4,6,9,4,7
e3aa200e97d208d0,11,44,2,5,8,9,5,7
e3aa200e97d208d0,12,44,7,6,8,9,6,7
e3aa200e97d208d0,14,44,5,7,6,9,7,7
e3aa200e97d208d0,17,44,0,8,4,9,8,7
e3aa200e97d208d0,20,45,7,0,13,3,10,7
e3aa200e97d208d0,22,45,2,1,3,3,11,7
e3aa200e97d208d0,25,45,2,2,3,3,12,7
e3aa200e97d208d0,5,46,8,0,13,4,2,8
e3aa200e97d208d0,7,46,1,1,6,4,3,8
e3aa200e97d208d0,9,46,3,2,6,4,4,8
e3aa200e97d208d0,11,46,3,3,8,4,5,8
e3aa200e97d208d0,17,47,1,0,4,3,8,8
e3aa200e97d208d0,19,47,0,1,3,3,9,8
e3aa200e97d208d0,20,47,8,2,13,3,10,8
e3aa200e97d208d0,2,48,0,0,3,6,0,9
e3aa200e97d208d0,4,48,0,1,4,6,1,9
e3aa200e97d208d0,5,48,9,2,13,6,2,9
e3aa200e97d208d0,7,48,2,3,6,6,3,9
e3aa200e97d208d0,9,48,4,4,6,6,4,9
e3aa200e97d208d0,11,48,4,5,8,6,5,9
e3aa200e97d208d0,17,49,2,0,4,3,8,9
e3aa200e97d208d0,19,49,1,1,3,3,9,9
