template,slot,direction,row,col,length,cells,initialCanonicalDomainSize,initialDomainRef
91376b1a948f47c9,52,down,1,12,3,"[[1, 12], [2, 12], [3, 12]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,53,down,5,12,3,"[[5, 12], [6, 12], [7, 12]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,54,down,10,12,3,"[[10, 12], [11, 12], [12, 12]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,0,across,0,1,3,"[[0, 1], [0, 2], [0, 3]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,1,across,0,5,3,"[[0, 5], [0, 6], [0, 7]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,2,across,0,9,3,"[[0, 9], [0, 10], [0, 11]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,3,across,1,1,3,"[[1, 1], [1, 2], [1, 3]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,4,across,1,5,3,"[[1, 5], [1, 6], [1, 7]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,5,across,1,9,4,"[[1, 9], [1, 10], [1, 11], [1, 12]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,6,across,2,0,13,"[[2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12]]",33,initial_domains.json:canonicalByLength:13
687de7c97c7a27bb,7,across,3,0,5,"[[3, 0], [3, 1], [3, 2], [3, 3], [3, 4]]",398,initial_domains.json:canonicalByLength:5
687de7c97c7a27bb,8,across,3,6,3,"[[3, 6], [3, 7], [3, 8]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,9,across,3,10,3,"[[3, 10], [3, 11], [3, 12]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,10,across,4,0,6,"[[4, 0], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5]]",408,initial_domains.json:canonicalByLength:6
687de7c97c7a27bb,11,across,4,8,3,"[[4, 8], [4, 9], [4, 10]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,12,across,5,0,3,"[[5, 0], [5, 1], [5, 2]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,13,across,5,5,3,"[[5, 5], [5, 6], [5, 7]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,14,across,5,9,3,"[[5, 9], [5, 10], [5, 11]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,15,across,6,0,4,"[[6, 0], [6, 1], [6, 2], [6, 3]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,16,across,6,5,3,"[[6, 5], [6, 6], [6, 7]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,17,across,6,9,4,"[[6, 9], [6, 10], [6, 11], [6, 12]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,18,across,7,2,3,"[[7, 2], [7, 3], [7, 4]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,19,across,7,6,3,"[[7, 6], [7, 7], [7, 8]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,20,across,7,10,3,"[[7, 10], [7, 11], [7, 12]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,21,across,8,2,3,"[[8, 2], [8, 3], [8, 4]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,22,across,8,6,3,"[[8, 6], [8, 7], [8, 8]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,23,across,8,10,3,"[[8, 10], [8, 11], [8, 12]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,24,across,9,0,3,"[[9, 0], [9, 1], [9, 2]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,25,across,9,4,3,"[[9, 4], [9, 5], [9, 6]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,26,across,9,8,5,"[[9, 8], [9, 9], [9, 10], [9, 11], [9, 12]]",398,initial_domains.json:canonicalByLength:5
687de7c97c7a27bb,27,across,10,0,13,"[[10, 0], [10, 1], [10, 2], [10, 3], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12]]",33,initial_domains.json:canonicalByLength:13
687de7c97c7a27bb,28,across,11,0,6,"[[11, 0], [11, 1], [11, 2], [11, 3], [11, 4], [11, 5]]",408,initial_domains.json:canonicalByLength:6
687de7c97c7a27bb,29,across,11,7,4,"[[11, 7], [11, 8], [11, 9], [11, 10]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,30,across,12,2,3,"[[12, 2], [12, 3], [12, 4]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,31,across,12,7,4,"[[12, 7], [12, 8], [12, 9], [12, 10]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,32,down,2,0,5,"[[2, 0], [3, 0], [4, 0], [5, 0], [6, 0]]",398,initial_domains.json:canonicalByLength:5
687de7c97c7a27bb,33,down,9,0,3,"[[9, 0], [10, 0], [11, 0]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,34,down,0,1,7,"[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]",456,initial_domains.json:canonicalByLength:7
687de7c97c7a27bb,35,down,9,1,3,"[[9, 1], [10, 1], [11, 1]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,36,down,0,2,13,"[[0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [11, 2], [12, 2]]",33,initial_domains.json:canonicalByLength:13
687de7c97c7a27bb,37,down,0,3,5,"[[0, 3], [1, 3], [2, 3], [3, 3], [4, 3]]",398,initial_domains.json:canonicalByLength:5
687de7c97c7a27bb,38,down,6,3,3,"[[6, 3], [7, 3], [8, 3]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,39,down,10,3,3,"[[10, 3], [11, 3], [12, 3]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,40,down,2,4,3,"[[2, 4], [3, 4], [4, 4]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,41,down,7,4,6,"[[7, 4], [8, 4], [9, 4], [10, 4], [11, 4], [12, 4]]",408,initial_domains.json:canonicalByLength:6
687de7c97c7a27bb,42,down,0,5,3,"[[0, 5], [1, 5], [2, 5]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,43,down,4,5,3,"[[4, 5], [5, 5], [6, 5]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,44,down,9,5,3,"[[9, 5], [10, 5], [11, 5]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,45,down,0,6,4,"[[0, 6], [1, 6], [2, 6], [3, 6]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,46,down,5,6,6,"[[5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [10, 6]]",408,initial_domains.json:canonicalByLength:6
687de7c97c7a27bb,47,down,0,7,4,"[[0, 7], [1, 7], [2, 7], [3, 7]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,48,down,5,7,4,"[[5, 7], [6, 7], [7, 7], [8, 7]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,49,down,10,7,3,"[[10, 7], [11, 7], [12, 7]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,50,down,2,8,3,"[[2, 8], [3, 8], [4, 8]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,51,down,7,8,6,"[[7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [12, 8]]",408,initial_domains.json:canonicalByLength:6
687de7c97c7a27bb,52,down,0,9,3,"[[0, 9], [1, 9], [2, 9]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,53,down,4,9,3,"[[4, 9], [5, 9], [6, 9]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,54,down,9,9,4,"[[9, 9], [10, 9], [11, 9], [12, 9]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,55,down,0,10,13,"[[0, 10], [1, 10], [2, 10], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [10, 10], [11, 10], [12, 10]]",33,initial_domains.json:canonicalByLength:13
687de7c97c7a27bb,56,down,0,11,4,"[[0, 11], [1, 11], [2, 11], [3, 11]]",392,initial_domains.json:canonicalByLength:4
687de7c97c7a27bb,57,down,5,11,6,"[[5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11]]",408,initial_domains.json:canonicalByLength:6
687de7c97c7a27bb,58,down,1,12,3,"[[1, 12], [2, 12], [3, 12]]",182,initial_domains.json:canonicalByLength:3
687de7c97c7a27bb,59,down,6,12,5,"[[6, 12], [7, 12], [8, 12], [9, 12], [10, 12]]",398,initial_domains.json:canonicalByLength:5
1e73c52a678cc5b1,0,across,0,1,3,"[[0, 1], [0, 2], [0, 3]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,1,across,0,6,5,"[[0, 6], [0, 7], [0, 8], [0, 9], [0, 10]]",398,initial_domains.json:canonicalByLength:5
1e73c52a678cc5b1,2,across,1,1,4,"[[1, 1], [1, 2], [1, 3], [1, 4]]",392,initial_domains.json:canonicalByLength:4
1e73c52a678cc5b1,3,across,1,6,5,"[[1, 6], [1, 7], [1, 8], [1, 9], [1, 10]]",398,initial_domains.json:canonicalByLength:5
1e73c52a678cc5b1,4,across,2,0,13,"[[2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12]]",33,initial_domains.json:canonicalByLength:13
1e73c52a678cc5b1,5,across,3,0,6,"[[3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5]]",408,initial_domains.json:canonicalByLength:6
1e73c52a678cc5b1,6,across,3,7,6,"[[3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [3, 12]]",408,initial_domains.json:canonicalByLength:6
1e73c52a678cc5b1,7,across,4,0,4,"[[4, 0], [4, 1], [4, 2], [4, 3]]",392,initial_domains.json:canonicalByLength:4
1e73c52a678cc5b1,8,across,4,5,3,"[[4, 5], [4, 6], [4, 7]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,9,across,4,10,3,"[[4, 10], [4, 11], [4, 12]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,10,across,5,2,5,"[[5, 2], [5, 3], [5, 4], [5, 5], [5, 6]]",398,initial_domains.json:canonicalByLength:5
1e73c52a678cc5b1,11,across,5,9,4,"[[5, 9], [5, 10], [5, 11], [5, 12]]",392,initial_domains.json:canonicalByLength:4
1e73c52a678cc5b1,12,across,6,2,3,"[[6, 2], [6, 3], [6, 4]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,13,across,6,6,7,"[[6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12]]",456,initial_domains.json:canonicalByLength:7
1e73c52a678cc5b1,14,across,7,0,3,"[[7, 0], [7, 1], [7, 2]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,15,across,7,4,9,"[[7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12]]",201,initial_domains.json:canonicalByLength:9
1e73c52a678cc5b1,16,across,8,0,3,"[[8, 0], [8, 1], [8, 2]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,17,across,8,5,6,"[[8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10]]",408,initial_domains.json:canonicalByLength:6
1e73c52a678cc5b1,18,across,9,0,4,"[[9, 0], [9, 1], [9, 2], [9, 3]]",392,initial_domains.json:canonicalByLength:4
1e73c52a678cc5b1,19,across,9,5,6,"[[9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10]]",408,initial_domains.json:canonicalByLength:6
1e73c52a678cc5b1,20,across,10,0,13,"[[10, 0], [10, 1], [10, 2], [10, 3], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12]]",33,initial_domains.json:canonicalByLength:13
1e73c52a678cc5b1,21,across,11,0,7,"[[11, 0], [11, 1], [11, 2], [11, 3], [11, 4], [11, 5], [11, 6]]",456,initial_domains.json:canonicalByLength:7
1e73c52a678cc5b1,22,across,11,9,4,"[[11, 9], [11, 10], [11, 11], [11, 12]]",392,initial_domains.json:canonicalByLength:4
1e73c52a678cc5b1,23,across,12,0,3,"[[12, 0], [12, 1], [12, 2]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,24,across,12,4,3,"[[12, 4], [12, 5], [12, 6]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,25,across,12,9,4,"[[12, 9], [12, 10], [12, 11], [12, 12]]",392,initial_domains.json:canonicalByLength:4
1e73c52a678cc5b1,26,down,2,0,3,"[[2, 0], [3, 0], [4, 0]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,27,down,7,0,6,"[[7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0]]",408,initial_domains.json:canonicalByLength:6
1e73c52a678cc5b1,28,down,0,1,5,"[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1]]",398,initial_domains.json:canonicalByLength:5
1e73c52a678cc5b1,29,down,7,1,6,"[[7, 1], [8, 1], [9, 1], [10, 1], [11, 1], [12, 1]]",408,initial_domains.json:canonicalByLength:6
1e73c52a678cc5b1,30,down,0,2,13,"[[0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [11, 2], [12, 2]]",33,initial_domains.json:canonicalByLength:13
1e73c52a678cc5b1,31,down,0,3,7,"[[0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3]]",456,initial_domains.json:canonicalByLength:7
1e73c52a678cc5b1,32,down,9,3,3,"[[9, 3], [10, 3], [11, 3]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,33,down,1,4,3,"[[1, 4], [2, 4], [3, 4]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,34,down,5,4,3,"[[5, 4], [6, 4], [7, 4]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,35,down,10,4,3,"[[10, 4], [11, 4], [12, 4]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,36,down,2,5,4,"[[2, 5], [3, 5], [4, 5], [5, 5]]",392,initial_domains.json:canonicalByLength:4
1e73c52a678cc5b1,37,down,7,5,6,"[[7, 5], [8, 5], [9, 5], [10, 5], [11, 5], [12, 5]]",408,initial_domains.json:canonicalByLength:6
1e73c52a678cc5b1,38,down,0,6,3,"[[0, 6], [1, 6], [2, 6]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,39,down,4,6,9,"[[4, 6], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [10, 6], [11, 6], [12, 6]]",201,initial_domains.json:canonicalByLength:9
1e73c52a678cc5b1,40,down,0,7,5,"[[0, 7], [1, 7], [2, 7], [3, 7], [4, 7]]",398,initial_domains.json:canonicalByLength:5
1e73c52a678cc5b1,41,down,6,7,5,"[[6, 7], [7, 7], [8, 7], [9, 7], [10, 7]]",398,initial_domains.json:canonicalByLength:5
1e73c52a678cc5b1,42,down,0,8,4,"[[0, 8], [1, 8], [2, 8], [3, 8]]",392,initial_domains.json:canonicalByLength:4
1e73c52a678cc5b1,43,down,6,8,5,"[[6, 8], [7, 8], [8, 8], [9, 8], [10, 8]]",398,initial_domains.json:canonicalByLength:5
1e73c52a678cc5b1,44,down,0,9,4,"[[0, 9], [1, 9], [2, 9], [3, 9]]",392,initial_domains.json:canonicalByLength:4
1e73c52a678cc5b1,45,down,5,9,8,"[[5, 9], [6, 9], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [12, 9]]",220,initial_domains.json:canonicalByLength:8
1e73c52a678cc5b1,46,down,0,10,13,"[[0, 10], [1, 10], [2, 10], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [10, 10], [11, 10], [12, 10]]",33,initial_domains.json:canonicalByLength:13
1e73c52a678cc5b1,47,down,2,11,6,"[[2, 11], [3, 11], [4, 11], [5, 11], [6, 11], [7, 11]]",408,initial_domains.json:canonicalByLength:6
1e73c52a678cc5b1,48,down,10,11,3,"[[10, 11], [11, 11], [12, 11]]",182,initial_domains.json:canonicalByLength:3
1e73c52a678cc5b1,49,down,2,12,6,"[[2, 12], [3, 12], [4, 12], [5, 12], [6, 12], [7, 12]]",408,initial_domains.json:canonicalByLength:6
1e73c52a678cc5b1,50,down,10,12,3,"[[10, 12], [11, 12], [12, 12]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,0,across,0,0,3,"[[0, 0], [0, 1], [0, 2]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,1,across,0,5,3,"[[0, 5], [0, 6], [0, 7]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,2,across,0,9,3,"[[0, 9], [0, 10], [0, 11]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,3,across,1,0,8,"[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7]]",220,initial_domains.json:canonicalByLength:8
e3aa200e97d208d0,4,across,1,9,4,"[[1, 9], [1, 10], [1, 11], [1, 12]]",392,initial_domains.json:canonicalByLength:4
e3aa200e97d208d0,5,across,2,0,13,"[[2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12]]",33,initial_domains.json:canonicalByLength:13
e3aa200e97d208d0,6,across,3,2,3,"[[3, 2], [3, 3], [3, 4]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,7,across,3,7,6,"[[3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [3, 12]]",408,initial_domains.json:canonicalByLength:6
e3aa200e97d208d0,8,across,4,0,3,"[[4, 0], [4, 1], [4, 2]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,9,across,4,5,6,"[[4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10]]",408,initial_domains.json:canonicalByLength:6
e3aa200e97d208d0,10,across,5,0,3,"[[5, 0], [5, 1], [5, 2]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,11,across,5,5,8,"[[5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [5, 12]]",220,initial_domains.json:canonicalByLength:8
e3aa200e97d208d0,12,across,6,0,8,"[[6, 0], [6, 1], [6, 2], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7]]",220,initial_domains.json:canonicalByLength:8
e3aa200e97d208d0,13,across,6,10,3,"[[6, 10], [6, 11], [6, 12]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,14,across,7,2,6,"[[7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7]]",408,initial_domains.json:canonicalByLength:6
e3aa200e97d208d0,15,across,7,10,3,"[[7, 10], [7, 11], [7, 12]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,16,across,8,2,3,"[[8, 2], [8, 3], [8, 4]]",182,initial_domains.json:canonicalByLength:3
e3aa200e97d208d0,17,across,8,7,4,"[[8, 7], [8, 8], [8, 9], [8, 10]]",392,initial_domains.json:canonicalByLength:4
e3aa200e97d208d0,18,across,9,0,6,"[[9, 0], [9, 1], [9, 2], [9, 3], [9, 4], [9, 5]]",408,initial_domains.json:canonicalByLength:6
