"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"2723","0","PROVISION","الحكم","review","msa","medium","","","","","noun","construction-or-sense-review","PROVISION — الحكم: الحكم may denote a legal provision in context but is not the general supply sense; leave this specialized relationship for review.","AI-assisted linguistic review","[]","2723:0","الحكم","true"
"1744","2","GEAR","والعتاد","review","msa","medium","","","","","noun","construction-or-sense-review","GEAR — والعتاد: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1744:2","والعتاد","true"
"1781","0","FOREST","الغابات","review","msa","medium","","","","","noun","construction-or-sense-review","FOREST — الغابات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1781:0","الغابات","true"
"2195","0","PARKING","موقف سيارات","review","msa","medium","","","","","noun","construction-or-sense-review","PARKING — موقف سيارات: موقف سيارات denotes a car park/parking place; parking can be the activity or provision of spaces, so leave the construction unresolved.","AI-assisted linguistic review","[]","2195:0","موقف سيارات","true"
"1807","1","LOWEST","أدنى مستوى","review","msa","medium","","","","","adjective","construction-or-sense-review","LOWEST — أدنى مستوى: أدنى مستوى adds level to the superlative; review the noun-phrase/adjective presentation.","AI-assisted linguistic review","[]","1807:1","أدنى مستوى","true"
"1813","1","LIVES","حياة","review","msa","medium","","","","","noun","construction-or-sense-review","LIVES — حياة: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1813:1","حياة","true"
"3823","2","DETECTION","كشف الكشف","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","DETECTION — كشف الكشف: كشف الكشف is a duplicated genitive label, not a natural isolated detection equivalent.","AI-assisted linguistic review","[]","3823:2","كشف الكشف","true"
"1865","1","SHOT","اطلاق النار","review","msa","medium","","","","","noun","orthography-review","SHOT — اطلاق النار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1865:1","اطلاق النار","true"
"5478","0","RAP","الراب","review","uncertain","medium","","","","","noun","register-review","RAP — الراب: Common music borrowing, but this pass does not independently establish the MSA register convention. Leave uncertain rather than reject as slang.","AI-assisted linguistic review","[]","5478:0","الراب","true"
"2292","1","GRAPHIC","الرسم البياني","review","msa","medium","","","","","noun","construction-or-sense-review","GRAPHIC — الرسم البياني: الرسم البياني is a graph/chart, a possible graphic but a narrower referent; leave sense review.","AI-assisted linguistic review","[]","2292:1","الرسم البياني","true"
"2295","1","ESTIMATED","تقديرات","review","msa","medium","","","","","noun","construction-or-sense-review","ESTIMATED — تقديرات: تقديرات means estimates as a noun, not estimated; a construction would be needed to license this mapping.","AI-assisted linguistic review","[]","2295:1","تقديرات","true"
