priority,category,english,arabic,source_ids,reason,suggestion
"1","consolidated-duplicate","THANKS","شكرًا","h826:t3 h826:t2","Consolidated; original display and reference retained in action log",""
"1","repeated-word","JAMES","جيمس جيمس","h834:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جيمس"
"1","repeated-word","MAGAZINE","مجلة مجلة","h846:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مجلة"
"1","repeated-word","LOAN","قرض قرض","h863:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قرض"
"1","consolidated-duplicate","INDIA","الهند.","h867:t3 h867:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","MICHAEL","مايكل مايكل","h873:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مايكل"
"1","repeated-word","STEP","خطوة خطوة","h877:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","خطوة"
"1","repeated-word","PAUL","بول بول","h885:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بول"
"1","consolidated-duplicate","LATER","لاحقاً","h891:t2 h891:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","JAPAN","اليابان اليابان","h942:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","اليابان"
"1","repeated-word","INSTITUTE","معهد معهد","h988:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","معهد"
"1","consolidated-duplicate","SOON","قريباً","h997:t1 h997:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","NOTHING","لاشيء","h1042:t0 h1042:t1","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","TUESDAY","الثلاثاء,","h1088:t1 h1088:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","BAND","الفرقة الفرقة","h1112:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الفرقة"
"1","repeated-word","ASIAN","الآسيوية الآسيوية","h1155:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الآسيوية"
"1","repeated-word","INDUSTRIAL","الصناعية الصناعية","h1159:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الصناعية"
"1","repeated-word","THOMAS","توماس توماس","h1176:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","توماس"
"1","repeated-word","SMITH","سميث سميث","h1213:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","سميث"
"1","repeated-word","STATION","محطة محطة","h1237:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","محطة"
"1","consolidated-duplicate","CHRISTIAN","المسيحيّة","h1238:t4 h1238:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","BLOOD","الدم الدم","h1253:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الدم"
"1","repeated-word","HALL","قاعة قاعة","h1259:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قاعة"
"1","possibly-malformed","ITALY","إيطاليا”","h1284:t1","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","PETER","بيتر بيتر","h1299:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بيتر"
"1","repeated-word","BIN","بن بن","h1368:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بن"
"1","consolidated-duplicate","CANADIAN","الكنديّة","h1381:t4 h1381:t3","Consolidated; original display and reference retained in action log",""
"1","repeated-word","CHINESE","الصينية الصينية","h1393:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الصينية"
"1","repeated-word","ASIA","آسيا آسيا","h1395:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","آسيا"
"1","repeated-word","INDIAN","هندي هندي","h1432:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","هندي"
"1","repeated-word","MARY","ماري ماري","h1435:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ماري"
"1","possibly-malformed","IRAQ","العراق”","h1459:t2","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","PLANT","مصنع مصنع","h1468:t5","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مصنع"
"1","repeated-word","MINI","ميني ميني","h1474:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ميني"
"1","repeated-word","PACK","حزمة حزمة","h1489:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حزمة"
"1","repeated-word","INTERNAL","داخلي داخلي","h1492:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","داخلي"
"1","repeated-word","RICHARD","ريتشارد ريتشارد","h1497:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ريتشارد"
"1","possibly-malformed","SPAIN","إسبانيا”","h1516:t1","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","MARTIN","مارتن مارتن","h1573:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مارتن"
"1","repeated-word","PARIS","باريس باريس","h1594:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","باريس"
"1","repeated-word","JERSEY","جيرسي جيرسي","h1600:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جيرسي"
"1","repeated-word","ELECTRIC","كهربائي كهربائي","h1604:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كهربائي"
"1","repeated-word","MIKE","مايك مايك","h1616:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مايك"
"1","consolidated-duplicate","TEN","عشرة.","h1663:t4 h1663:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","ROYAL","الملكي الملكي","h1713:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الملكي"
"1","repeated-word","SQUARE","مربع مربع","h1736:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مربع"
"1","repeated-word","CHRIS","كريس كريس","h1737:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كريس"
"1","repeated-word","CHARLES","تشارلز تشارلز","h1750:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تشارلز"
"1","repeated-word","PIECE","قطعة قطعة","h1754:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قطعة"
"1","repeated-word","SEVEN","سبعة سبعة","h1757:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","سبعة"
"1","repeated-word","CLINICAL","السريرية السريرية","h1803:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","السريرية"
"1","repeated-word","SCIENTIFIC","العلمية العلمية","h1830:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","العلمية"
"1","repeated-word","STEVE","ستيف ستيف","h1848:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ستيف"
"1","repeated-word","SCOTT","سكوت سكوت","h1870:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","سكوت"
"1","repeated-word","BAG","حقيبة حقيبة","h1890:t5","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حقيبة"
"1","repeated-word","WILD","البرية البرية","h1918:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","البرية"
"1","possibly-malformed","ISRAEL","إسرائيل”","h1939:t1","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","POCKET","جيب جيب","h1962:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جيب"
"1","repeated-word","LOUIS","لويس لويس","h1999:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","لويس"
"1","consolidated-duplicate","IMMEDIATELY","فوراً","h2022:t1 h2022:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","SOLID","الصلبة الصلبة","h2043:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الصلبة"
"1","repeated-word","MOUNT","جبل جبل","h2084:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جبل"
"1","repeated-word","LATIN","اللاتينية اللاتينية","h2089:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","اللاتينية"
"1","repeated-word","KONG","كونغ كونغ","h2115:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كونغ"
"1","repeated-word","RUSSIA","روسيا روسيا","h2202:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","روسيا"
"1","repeated-word","ELECTRICAL","الكهربائية الكهربائية","h2222:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الكهربائية"
"1","repeated-word","PATTERN","نمط نمط","h2226:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","نمط"
"1","repeated-word","HARRY","هاري هاري","h2240:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","هاري"
"1","consolidated-duplicate","EVENING","مساءً","h2245:t2 h2245:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","ASSEMBLY","الجمعية الجمعية","h2246:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الجمعية"
"1","consolidated-duplicate","EIGHT","ثمانية.","h2300:t3 h2300:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","STRAIGHT","مستقيم مستقيم","h2303:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مستقيم"
"1","repeated-word","ALERT","تنبيه تنبيه","h2311:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تنبيه"
"1","repeated-word","SWEET","الحلو الحلو","h2326:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الحلو"
"1","repeated-word","RAY","راي راي","h2339:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","راي"
"1","repeated-word","DRY","جاف جاف","h2365:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جاف"
"1","repeated-word","ZERO","صفر صفر","h2434:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","صفر"
"1","consolidated-duplicate","SPEAKER","المتكلم:","h2435:t4 h2435:t2","Consolidated; original display and reference retained in action log",""
"1","possibly-malformed","NETHERLANDS","هولندا”","h2437:t2","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","ROLL","لفة لفة","h2447:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","لفة"
"1","repeated-word","KELLY","كيلي كيلي","h2453:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كيلي"
"1","repeated-word","DELL","ديل ديل","h2575:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ديل"
"1","repeated-word","EXCLUSIVE","حصري حصري","h2583:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حصري"
"1","repeated-word","CAPE","الرأس الرأس","h2605:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الرأس"
"1","repeated-word","PROPER","السليم السليم","h2660:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","السليم"
"1","consolidated-duplicate","HEY","مرحباً","h2687:t4 h2687:t2","Consolidated; original display and reference retained in action log",""
"1","repeated-word","SLOW","بطيئة بطيئة","h2737:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بطيئة"
"1","repeated-word","NINE","تسعة تسعة","h2745:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تسعة"
"1","repeated-word","FACTORY","مصنع مصنع","h2755:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مصنع"
"1","repeated-word","INTERIOR","الداخلية الداخلية","h2756:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الداخلية"
"1","repeated-word","REASONABLE","معقول معقول","h2771:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","معقول"
"1","repeated-word","SERIAL","المسلسل المسلسل","h2773:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المسلسل"
"1","repeated-word","HOLE","ثقب ثقب","h2796:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ثقب"
"1","consolidated-duplicate","SPECIFICALLY","تحديداً","h2801:t2 h2801:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","SPECS","المواصفات المواصفات","h2809:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المواصفات"
"1","repeated-word","STATIONS","محطات محطات","h2840:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","محطات"
"1","repeated-word","COMPETITIVE","تنافسية تنافسية","h2861:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تنافسية"
"1","repeated-word","GREEK","اليونانية اليونانية","h2894:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","اليونانية"
"1","repeated-word","KILL","قتل قتل","h2916:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قتل"
"1","repeated-word","HOLDING","عقد عقد","h2941:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","عقد"
"1","repeated-word","ORGANIC","العضوية العضوية","h2986:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","العضوية"
"1","repeated-word","TONY","توني توني","h3001:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","توني"
"1","repeated-word","TEMPLATE","قالب قالب","h3015:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قالب"
"1","repeated-word","MATT","مات مات","h3033:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مات"
"1","repeated-word","HOLY","المقدسة المقدسة","h3054:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المقدسة"
"1","possible-dialect","MESH","مش","h3057:t0","Dialect-like token in an unverified sense; may be a name or transliteration",""
"1","repeated-word","TRAIL","درب درب","h3058:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","درب"
"1","repeated-word","JEAN","جين جين","h3135:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جين"
"1","repeated-word","GUN","بندقية بندقية","h3147:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بندقية"
"1","repeated-word","WARM","دافئ دافئ","h3170:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","دافئ"
"1","repeated-word","LEWIS","لويس لويس","h3172:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","لويس"
"1","consolidated-duplicate","ENABLED","مكّن","h3201:t1 h3201:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","REAR","الخلفية الخلفية","h3207:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الخلفية"
"1","repeated-word","FORMAL","رسمي رسمي","h3217:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","رسمي"
"1","repeated-word","LOCK","قفل قفل","h3220:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قفل"
"1","repeated-word","STORM","عاصفة عاصفة","h3222:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","عاصفة"
"1","repeated-word","SUPREME","العليا العليا","h3233:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","العليا"
"1","repeated-word","PAINT","الطلاء الطلاء","h3254:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الطلاء"
"1","repeated-word","OUTLET","منفذ منفذ","h3257:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","منفذ"
"1","repeated-word","DISH","طبق طبق","h3276:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","طبق"
"1","consolidated-duplicate","TOMORROW","غداً","h3364:t5 h3364:t4","Consolidated; original display and reference retained in action log",""
"1","repeated-word","MILK","حليب حليب","h3366:t5","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حليب"
"1","consolidated-duplicate","YOURS","لكِ","h3396:t2 h3396:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","CHICKEN","دجاج دجاج","h3401:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","دجاج"
"1","repeated-word","MOORE","مور مور","h3532:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مور"
"1","consolidated-duplicate","GRANTED","مُنحت","h3533:t2 h3533:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","MAGNETIC","المغناطيسي المغناطيسي","h3538:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المغناطيسي"
"1","repeated-word","BRIGHT","مشرق مشرق","h3548:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مشرق"
"1","repeated-word","EXPERIMENTAL","تجريبي تجريبي","h3558:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تجريبي"
"1","repeated-word","DIRECTORIES","الدلائل الدلائل","h3586:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الدلائل"
"1","consolidated-duplicate","DUTCH","الهولنديّة","h3611:t3 h3611:t2","Consolidated; original display and reference retained in action log",""
"1","repeated-word","CONCRETE","ملموسة ملموسة","h3620:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ملموسة"
"1","consolidated-duplicate","FOLDER","مجلّد","h3623:t2 h3623:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","TECHNIQUE","تقنية تقنية","h3630:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تقنية"
"1","repeated-word","ACCIDENT","حادث حادث","h3648:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حادث"
"1","repeated-word","NICK","نيك نيك","h3649:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","نيك"
"1","repeated-word","PUMP","مضخة مضخة","h3659:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مضخة"
"1","repeated-word","NARROW","ضيق ضيق","h3669:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ضيق"
"1","repeated-word","CONTROLLER","تحكم تحكم","h3676:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تحكم"
"1","repeated-word","STABLE","مستقرة مستقرة","h3723:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مستقرة"
"1","consolidated-duplicate","ENHANCED","معزّز","h3735:t2 h3735:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","BOTTLE","زجاجة زجاجة","h3796:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","زجاجة"
"1","repeated-word","INNER","الداخلية الداخلية","h3825:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الداخلية"
"1","repeated-word","FORMATION","تشكيل تشكيل","h3826:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تشكيل"
"1","repeated-word","CORRESPONDING","المقابلة المقابلة","h3876:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المقابلة"
"1","repeated-word","ALARM","إنذار إنذار","h3903:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","إنذار"
"1","consolidated-duplicate","QUIET","هدوء.","h3958:t5 h3958:t4","Consolidated; original display and reference retained in action log",""
"1","repeated-word","GROSS","الإجمالي الإجمالي","h4003:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الإجمالي"
"1","repeated-word","VICTORY","النصر النصر","h4025:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","النصر"
"1","repeated-word","STRUCTURAL","الهيكلية الهيكلية","h4044:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الهيكلية"
"1","repeated-word","PROMISE","وعد وعد","h4090:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","وعد"
"1","repeated-word","TROPICAL","الاستوائية الاستوائية","h4103:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الاستوائية"
"1","repeated-word","MUTUAL","المتبادلة المتبادلة","h4124:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المتبادلة"
"1","consolidated-duplicate","TESTIMONIALS","الشهادات.","h4197:t2 h4197:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","OKAY","حسناً","h4216:t2 h4216:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","CRASH","تحطم تحطم","h4229:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تحطم"
"1","repeated-word","VENTURE","مشروع مشروع","h4244:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مشروع"
"1","consolidated-duplicate","KOREAN","الكوريّة","h4246:t4 h4246:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","SEAN","شون شون","h4283:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","شون"
"1","repeated-word","EAR","الأذن الأذن","h4321:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الأذن"
"1","repeated-word","RACK","رف رف","h4400:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","رف"
"1","repeated-word","ROSS","روس روس","h4429:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","روس"
"1","repeated-word","MARIA","ماريا ماريا","h4438:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ماريا"
"1","repeated-word","NOVA","نوفا نوفا","h4463:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","نوفا"
"1","repeated-word","ATHLETIC","رياضي رياضي","h4472:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","رياضي"
"1","repeated-word","ESSAYS","مقالات مقالات","h4474:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مقالات"
"1","repeated-word","INTELLIGENT","ذكي ذكي","h4482:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ذكي"
"1","repeated-word","TERRY","تيري تيري","h4525:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تيري"
"1","repeated-word","POLISH","البولندية البولندية","h4542:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","البولندية"
"1","repeated-word","JERRY","جيري جيري","h4546:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جيري"
"1","repeated-word","INDOOR","داخلي داخلي","h4551:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","داخلي"
"1","repeated-word","MILL","مطحنة مطحنة","h4600:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مطحنة"
"1","repeated-word","BILLY","بيلي بيلي","h4633:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بيلي"
"1","repeated-word","RECORDER","مسجل مسجل","h4655:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مسجل"
"1","repeated-word","MARC","مارك مارك","h4695:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مارك"
"1","repeated-word","EMOTIONAL","عاطفي عاطفي","h4711:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","عاطفي"
"1","repeated-word","PAD","وسادة وسادة","h4714:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","وسادة"
"1","repeated-word","WOLF","الذئب الذئب","h4753:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الذئب"
"1","repeated-word","INFANT","رضيع رضيع","h4762:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","رضيع"
"1","repeated-word","MARIE","ماري ماري","h4798:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ماري"
"1","repeated-word","FACIAL","الوجه الوجه","h4843:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الوجه"
"1","repeated-word","PHILIP","فيليب فيليب","h4856:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","فيليب"
"1","consolidated-duplicate","ENCOURAGED","شُجع","h4871:t2 h4871:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","WASH","غسل غسل","h4878:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","غسل"
"1","possibly-malformed","LEBANON","لبنان”","h4916:t2","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","CORP","كورب كورب","h4917:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كورب"
