SECRET|Pn Pj An Aj
SCHEME|An Pn
STICK|An An Pn
SWITCH|An Pn Pn|2=electrical switch
MANAGE|Ov Pv
SAND|An An Ru Pn An
CIRCLE|An Pn
JUMP|Pn
ANNOUNCE|Pv Ov Av Av
PLANTS|Pn An
REVENUE|On On On Pn
GARLIC|An Pn
NOTIFY|Pv
IGNORE|Av Ov Pv
STRATEGIC|Aj Pj Aj
TONE|Pn An Pn|2=musical sound
PLATES|Cn
NATIVE|Pj
ENABLE|Pv Av
ECHO|Pn An Ru
INSTITUTIONS|Pn An
KEPT|Pv
STEREO|Cn Rn
TEND|Pv
SUGGESTIONS|Pn An An An
ENGINEER|An Pn
CONSOLE|Pn
CONNECTIONS|An An Pn
COMEDY|An Cj Pn
CREATING|Pn
SHELL|Ru Pn An Pn|3=projectile
CONTACTS|An An Pn
GENRE|Cn
FEAR|Hu An Pn
TESTED|Cv
ENHANCE|Pv
ADOPTED|Av Aj Pv
ULTIMATE|Hn
STREAM|Pn
CRACK|Pn An An Rn
MAINTAINING|Pn
WAIT|Av Av An Pv
AUCTIONS|Pn Xn
SUNRISE|An An Pn
SIGNED|Pj Cn Av
MIXED|Pj Aj Aj Aj
GRACE|Ru Pn Ru Ru
SALT|An Ru Pn
TAXES|Pn An
SHOPS|Pn An An An An
CONSUMPTION|Pn An
DELAY|Pn
EXCEED|Pv
MARINE|Pj
ACID|Pn Cj
CREATION|Pn On On An An
MURDER|An Pn
EXPERIENCES|Pn An An
PLACED|Pj Av
ENHANCED|Pj Aj
CAST|Pn
DYNAMIC|Pj Aj Aj
ACTOR|An An Pn|1=agent
PATENT|Pn
SILENCE|An An Pn
ADULTS|An An An Pn
CLIPS|An Pn
MEASURES|An Pn
ACCOUNTING|An Pn
ALIVE|Aj Oj Aj Pj Aj
ORIENTATION|An Pn An An
LIVER|Xu An Pn
THEME|An An An Pn
MASSAGE|An Pn
AVATAR|Rn
LIP|Ru Cn
PLAYED|Pv
HANDLE|Pn
POUR|Pv
IMPORT|Cn Pn An
CLAIM|An An Pn Hn
BOMB|Pn Hu An
CONTEST|On An Pn
GOALS|On On An Pn
NEITHER|Hc
HEAT|On Ru Pn An
ELECTION|Pn An An An
GREY|Ru Pj
MAGIC|An Pn
TRIED|Av Av Pv
AVOID|Av Pv
AWARDED|Av Pv
MOON|Pn An
BLOGS|An Pn
NEARLY|Pb
EVALUATION|Pn An
TAGS|On On An An Pn
LAUNCH|An An On On Pn
IMPLEMENTATION|Pn An
FOREVER|Ob On Pb
MINUTE|An Pn
ZONE|Pn An
CYCLE|An Pn
ANALYST|Pn
REFERENCES|An Pn
CORNER|An An Pn An
DISCUSSIONS|Pn An An
AGENCIES|Pn An
RESPECTIVE|Cj
IRON|Cj Pn An
ANIME|On Rn
DRUGS|An Pn Pn An|2=narcotics;3=narcotics
FRESH|Pj Aj
STAND|Pv
SHARES|Cn Cn Pn|2=company equity
ATTACK|Pn An
DESTROYED|Pv Av
KILLED|Pv
LUXURY|An Pn An An Cj
DEFINITION|An Pn
AVENUE|Pn
POETRY|An An Pn
NETWORKING|Cn An Pn|2=computer networks
FLEXIBLE|Aj Aj Pj
AUSTRALIAN|On Oj Oj Oj
PERMISSION|An On Pn
SPOT|Pn An
LAWS|Pn An
SMILE|Pn An Pv
RIDING|An Pn An|2=horse riding
CHART|An An Pn
COUPLES|On On Pn
RAISE|Pv
RELEVANT|Pj
GUIDELINES|An On Pn
GUESS|Pv An
BIBLE|Cn On Pn
INFORMED|Cv
VANILLA|Pn An
WEEKLY|Ob Oj Oj Oj Oj Pj
INSTALLATION|An An An Pn Hn
HEAVY|Pj Aj Aj Aj
HONEY|An Pn
PIECES|An Pn Ou
AGES|On Pn An On Pn|1=eras;2=eras;4=ages of people
RAT|Pn An Ru On Cn
HONEST|Aj Pj Aj
PEOPLES|Pn An
CONTRACTORS|An Pn An
FAIL|Pv Av
BUTLER|Ru Ru
LOTS|Pq
DENTAL|Cj
OLDER|Oj Cj
AIRLINE|Cn
ENABLES|Cv
ELEMENTS|Pn An
DOLLS|Pn An
DATES|Pn An An An|0=calendar dates;1=appointments;2=appointments;3=calendar dates
RATIO|An Pn
PALACE|Pn An
DECLARE|Av Ov Av Pv Av
RANDOM|Aj Pj
TRIALS|An Pn
SAMPLES|An Pn
DIRECTIONS|Pn
TAP|Pv
DINING|Cn
PILOT|An Pn Pj
RISE|Pn
WHOSE|Xq
NOISE|Pn An An An
MENTAL|Aj Pj
FALLS|An Pn Cn
SCENE|Pn An
RURAL|Aj Cn Pj
LADY|An Pn
BATHROOM|Pn An Hu
ENDING|Cj On Pn
BIRTH|An An An Pn
AUTOMOTIVE|Cj Cn
SEPARATE|Pj Aj
HELLO|Ri Pi
EXPORT|An Pv Pn Cn
OFFICES|Pn An
FAITH|On Ru On On Pn
HIGHLY|Pb
CUTE|Pj Rj
DEFENCE|Pn An
SPAM|Pn
DEVELOPING|Pj An Aj
CHEST|Pn An
STAYED|Av Ov Pv
ARENA|An An Pn An Ru
MOVED|Av Av Pv
SEES|Cj Pv
ACTUAL|Aj Pj Aj
THEORETICAL|Pj Aj
HISTORICAL|Pj Aj Oj
EXTENDED|Av Pv Cn
MILE|Pn An Rn
COMMERCE|Pn An
PREPARATION|On Pn An On An
SORRY|Oj On Pi Oj
LEGEND|On On Pn
VIOLENCE|An Pn
TESTS|Pn An
FASTER|Pj
ACCOUNTS|Pn An
TOOTH|An Pn Cn
SETTINGS|On Hn
BUYER|An Pn
CULTURAL|Aj Pj Aj Aj
POLAR|Pj Hn
TASTE|Pv An An Pn
FUNCTIONAL|Aj Pj
DUAL|Pj
HOLIDAYS|Pn On On On An An
NOTICED|Pv
TRAIN|Pn An
MATCHING|Pn Aj An
INCHES|Cn On Pn
ARCHITECTURE|Pn An An
LABEL|Pn An Hn
DANGER|An Pn
ACQUISITION|An Pn An
OOPS|Ri Ci Ri
PROVIDER|Pn
OPTIONAL|Aj Pj
DICTIONARY|Pn An
REMAIN|Ov
GARAGE|An Pn
ONTO|Pp
SECTIONS|On On Pn
LIFT|Av Pv Pn
PHASE|An An Pn
ACHIEVE|Cv Pv
MOUSE|On On On Rn
ENFORCEMENT|Pn
FUNNY|Aj Pj Aj
PIE|An Pn
SPEAK|Pv
LOSE|Pv Cv
BAT|An Pn Pn|0=sports implement;1=sports implement;2=flying mammal
APPLICABLE|Cj
ISRAELI|Oj Oj Oj Oj
REFER|Ov
GANG|An Pn
SPEECH|An An An An Pn An
CHANNELS|Pn An
BLUES|Rn
FUR|An An Pn An
COUNT|Pn An An Pn|0=noble title;2=noble title
SHARED|Aj Av Pj
EXCEPTIONAL|Pj
TECHNIQUES|An Pn
WEBSITES|Pn
BETA|Rn
RELIGION|An Pn An
CENT|Pn
OCCUR|Pv
CHRONIC|Pj Aj Aj Aj
PATCH|An Pn Rn Cn
NULL|Pj Cq
MOSTLY|Ab Pb
MISS|Cv Cn
CHEMICAL|Aj Pj Aj
DOCTOR|An Pn An An An
SIGNS|An Pn
CALCIUM|Pn An
EXERCISE|An Pn
COMMITMENT|An Pn
SHELF|Pn Cn An Cn
SYMBOLS|Pn An
COTTON|Pn An
MEETINGS|An An An Pn
CONGRESS|Rn Pn Rn Rn
PROPOSAL|An Pn An An
VICE|Cn
USERNAME|Pn
PRODUCED|Ov Cj
LICENCE|An Pn An
YOURS|Pq Aq
FLAG|Pn An
MUSCLE|Cn An Pn Cn
ENSURES|Av Pv
LETS|Pv
SLIGHTLY|Pb
ASSIST|Pv
SAINT|Rn Pn An
CONDUCT|Pn An
EXAMINED|Cv
ARGUMENT|Pn An
STRESS|On On An Pn
SERVED|Av Pv
TREND|Pn An
DESERT|Pn An
BOXES|An Pn
