"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"2186","0","PROFIT","ارباح","review","msa","medium","","","","","noun","orthography-review","PROFIT — ارباح: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2186:0","الأرباح","false"
"2186","2","PROFIT","الارباح","review","msa","medium","","","","","noun","orthography-review","PROFIT — الارباح: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2186:2","الأرباح","false"
"2186","4","PROFIT","الأرباح","review","msa","medium","","","","","noun","construction-or-sense-review","PROFIT — الأرباح: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2186:4","الأرباح","true"
"2011","0","URBAN","الحضر","review","msa","medium","","","","","noun","construction-or-sense-review","URBAN — الحضر: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2011:0","الحضر","true"
"2708","3","DEALER","مروج","review","msa","medium","","","","","noun","construction-or-sense-review","DEALER — مروج: مروج denotes a promoter/peddler in some contexts; do not approve this broad isolated clue without a relevant dealer sense.","AI-assisted linguistic review","[]","2708:3","تاجر","false"
"3158","1","LENS","عدسات","review","msa","medium","","","","","noun","construction-or-sense-review","LENS — عدسات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","3158:1","عدسة","false"
"3158","2","LENS","العدسات","review","msa","medium","","","","","noun","construction-or-sense-review","LENS — العدسات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","3158:2","عدسة","false"
"2774","0","RELIEF","الاغاثة","review","msa","medium","","","","","noun","orthography-review","RELIEF — الاغاثة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2774:0","الإغاثة","false"
"2774","1","RELIEF","اغاثة","review","msa","medium","","","","","noun","orthography-review","RELIEF — اغاثة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2774:1","الإغاثة","false"
"2001","0","ERRORS","الاخطاء","review","msa","medium","","","","","noun","orthography-review","ERRORS — الاخطاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2001:0","أخطاء","false"
"2001","1","ERRORS","اخطاء","review","msa","medium","","","","","noun","orthography-review","ERRORS — اخطاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2001:1","أخطاء","false"
"2551","4","BIRD","بيرد","review","uncertain","medium","","","","","uncertain","register-review","BIRD — بيرد: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2551:4","الطيور","false"
"2551","5","BIRD","عصفور","review","msa","medium","","","","","noun","construction-or-sense-review","BIRD — عصفور: عصفور is a narrower small bird/sparrow referent; review this species/general-category mapping.","AI-assisted linguistic review","[]","2551:5","الطيور","false"
"2551","6","BIRD","الطيور","review","msa","medium","","","","","noun","construction-or-sense-review","BIRD — الطيور: الطيور is plural/class-level birds; presentation of an individual bird needs review.","AI-assisted linguistic review","[]","2551:6","الطيور","true"
"5333","1","SING","اغني","review","msa","medium","","","","","verb","orthography-review","SING — اغني: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","5333:1","الغناء","false"
"2508","1","POSTAL","البريد","review","msa","medium","","","","","noun","construction-or-sense-review","POSTAL — البريد: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2508:1","البريد","true"
"2071","5","TOUCH","لمسة اللمس","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","TOUCH — لمسة اللمس: لمسة اللمس is a redundant genitive label rather than a natural standalone equivalent; preserve pending review.","AI-assisted linguistic review","[]","2071:5","لمسة اللمس","true"
"1903","2","CRIME","الجرائم","review","msa","medium","","","","","noun","construction-or-sense-review","CRIME — الجرائم: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1903:2","الجريمة","false"
"2739","0","EASIER","اسهل","review","msa","medium","","","","","adjective","orthography-review","EASIER — اسهل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2739:0","أسهل","false"
"3959","2","LUCK","حظ سعيد","review","msa","medium","","","","","noun","construction-or-sense-review","LUCK — حظ سعيد: حظ سعيد adds good to luck; suitable as a wish but the isolated noun mapping needs context.","AI-assisted linguistic review","[]","3959:2","حظ سعيد","true"
"2304","4","SCRIPT","سكربت","review","uncertain","medium","","","","","noun","register-review","SCRIPT — سكربت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2304:4","سكربت","true"
"1943","0","ALONE","لوحدي","review","uncertain","medium","","","","","adverb","register-review","ALONE — لوحدي: The prefixed form لوحدي needs register/construction evidence. Informality alone is not a dialect verdict.","AI-assisted linguistic review","[]","1943:0","وحيد","false"
"1943","4","ALONE","وحدي","review","msa","medium","","","","","adverb","construction-or-sense-review","ALONE — وحدي: وحدي adds first-person reference; retain for contextual learner review rather than universal approval.","AI-assisted linguistic review","[]","1943:4","وحيد","false"
"3603","1","DEPOSIT","الودائع","review","msa","medium","","","","","noun","construction-or-sense-review","DEPOSIT — الودائع: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","3603:1","إيداع الودائع","false"
"3603","2","DEPOSIT","إيداع الودائع","review","msa","medium","","","","","noun","construction-or-sense-review","DEPOSIT — إيداع الودائع: إيداع الودائع describes depositing deposits; the redundancy and action/object relationship need review.","AI-assisted linguistic review","[]","3603:2","إيداع الودائع","true"
"3647","1","PEARL","بيرل","review","uncertain","medium","","","","","uncertain","register-review","PEARL — بيرل: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","3647:1","لؤلؤ","false"
"2243","1","ENDS","النهاية","review","msa","medium","","","","","noun","construction-or-sense-review","ENDS — النهاية: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2243:1","النهاية","true"
"3686","2","MISSED","اشتقت","review","msa","medium","","","","","verb","construction-or-sense-review","MISSED — اشتقت: اشتقت expresses missing someone longingly, normally with a complement; the past transitive missed mapping needs construction support.","AI-assisted linguistic review","[]","3686:2","غاب","false"
"2352","0","OCEAN","المحيطات","review","msa","medium","","","","","noun","construction-or-sense-review","OCEAN — المحيطات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2352:0","المحيط","false"
"4696","0","PLEASED","يسر","review","msa","medium","","","","","verb","construction-or-sense-review","PLEASED — يسر: يسر can be read pleases or is pleased depending on vocalization. The intended participial sense needs clarification.","AI-assisted linguistic review","[]","4696:0","يسر","true"
"2088","0","ONES","الواحدات","review","msa","medium","","","","","noun","construction-or-sense-review","ONES — الواحدات: الواحدات is not an established general substitute-pronoun equivalent without context; leave unresolved.","AI-assisted linguistic review","[]","2088:0","الواحدات","true"
"2064","2","CLAIMS","2- المطالبات","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","CLAIMS — 2- المطالبات: The embedded 2- is an editorial enumeration marker, not part of the Arabic translation; do not silently strip it.","AI-assisted linguistic review","[]","2064:2","2- المطالبات","true"
"3839","1","ROMAN","رومان","review","msa","medium","","","","","noun","construction-or-sense-review","ROMAN — رومان: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","3839:1","رومان","true"
"1950","0","FLIGHT","الرحلة","review","msa","medium","","","","","noun","construction-or-sense-review","FLIGHT — الرحلة: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1950:0","رحلة طيران","false"
"2158","0","CAMP","كامب","review","uncertain","medium","","","","","uncertain","register-review","CAMP — كامب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2158:0","المخيم","false"
"1704","1","DETAIL","تفاصيل","review","msa","medium","","","","","noun","construction-or-sense-review","DETAIL — تفاصيل: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1704:1","التفاصيل","false"
"1704","2","DETAIL","التفاصيل","review","msa","medium","","","","","noun","construction-or-sense-review","DETAIL — التفاصيل: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1704:2","التفاصيل","true"
"2717","0","HIDE","اخفاء","review","msa","medium","","","","","verb","orthography-review","HIDE — اخفاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2717:0","إخفاء","false"
"2717","2","HIDE","اخف","review","msa","medium","","","","","verb","orthography-review","HIDE — اخف: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2717:2","إخفاء","false"
"6749","1","UNCLE","عمي","review","msa","medium","","","","","noun","construction-or-sense-review","UNCLE — عمي: عمي adds my; leave possessive presentation for review rather than treat every bare uncle clue as first-person.","AI-assisted linguistic review","[]","6749:1","العم","false"
"2166","1","FILL","ملا","review","msa","medium","","","","","verb","orthography-review","FILL — ملا: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2166:1","ملء","false"
"2166","2","FILL","املا","review","msa","medium","","","","","verb","orthography-review","FILL — املا: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2166:2","ملء","false"
"2468","0","ASSETS","اصول","review","msa","medium","","","","","noun","orthography-review","ASSETS — اصول: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2468:0","الأصول","false"
"2468","2","ASSETS","الاصول","review","msa","medium","","","","","noun","orthography-review","ASSETS — الاصول: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2468:2","الأصول","false"
"2016","1","MYSELF","نفسى","review","msa","medium","","","","","pronoun","orthography-review","MYSELF — نفسى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2016:1","نفسي","false"
"3007","0","AGENDA","اجندة","review","msa","medium","","","","","noun","orthography-review","AGENDA — اجندة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3007:0","جدول الأعمال","false"
"2235","1","ICON","ايقونة","review","msa","medium","","","","","noun","orthography-review","ICON — ايقونة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2235:1","أيقونة","false"
"2075","0","HIRE","تأجير","review","msa","medium","","","","","verb","construction-or-sense-review","HIRE — تأجير: تأجير often denotes renting out rather than hiring/renting in. The direction of the transaction needs a supported context.","AI-assisted linguistic review","[]","2075:0","تأجير","true"
"9227","0","BORED","بالملل","review","msa","medium","","","","","adjective","construction-or-sense-review","BORED — بالملل: بالملل needs a feeling construction to express bored; the fragment alone is not a high-confidence adjective clue.","AI-assisted linguistic review","[]","9227:0","بالملل","true"
"9227","1","BORED","الملل","review","msa","medium","","","","","noun","construction-or-sense-review","BORED — الملل: الملل is boredom as a noun; an omitted feeling construction could license it, so leave review rather than categorical rejection.","AI-assisted linguistic review","[]","9227:1","بالملل","false"
"9227","2","BORED","ملل","review","msa","medium","","","","","noun","construction-or-sense-review","BORED — ملل: ملل denotes boredom, not the isolated adjective bored. Preserve pending construction review.","AI-assisted linguistic review","[]","9227:2","بالملل","false"
"2031","4","RECOVERY","الانعاش","review","msa","medium","","","","","noun","orthography-review","RECOVERY — الانعاش: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2031:4","الاسترداد","false"
"3073","1","STYLES","الانماط","review","msa","medium","","","","","noun","orthography-review","STYLES — الانماط: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3073:1","أنماط","false"
"3073","2","STYLES","انماط","review","msa","medium","","","","","noun","orthography-review","STYLES — انماط: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3073:2","أنماط","false"
"3073","3","STYLES","الاساليب","review","msa","medium","","","","","noun","orthography-review","STYLES — الاساليب: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3073:3","أنماط","false"
"3073","4","STYLES","اساليب","review","msa","medium","","","","","noun","orthography-review","STYLES — اساليب: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3073:4","أنماط","false"
"2138","1","INCH","انش","review","msa","medium","","","","","noun","orthography-review","INCH — انش: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2138:1","بوصة","false"
"6496","2","PRAY","اصلي","review","msa","medium","","","","","verb","orthography-review","PRAY — اصلي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","6496:2","صلوا","false"
"2257","2","DREAM","احلم","review","msa","medium","","","","","verb","orthography-review","DREAM — احلم: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2257:2","حلم","false"
"2995","1","HOSTED","استضافة","review","msa","medium","","","","","verb","construction-or-sense-review","HOSTED — استضافة: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2995:1","المستضافة","false"
"5779","0","PAL","بال","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","PAL — بال: بال means mind/state under standard readings, not friend; a transliteration interpretation does not establish a natural learner clue.","AI-assisted linguistic review","[]","5779:0","بال","true"
"1872","0","CANON","كانون","review","uncertain","medium","","","","","noun","register-review","CANON — كانون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1872:0","شريعة","false"
"1872","1","CANON","شريعة","review","msa","medium","","","","","noun","construction-or-sense-review","CANON — شريعة: شريعة is broader religious law. A specific canon/rule mapping needs support before approval.","AI-assisted linguistic review","[]","1872:1","شريعة","true"
"6940","0","RIP","ريب","review","uncertain","medium","","","","","uncertain","register-review","RIP — ريب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","6940:0","مزق","false"
"3298","1","PLANNED","المخطط لها","review","msa","medium","","","","","adjective","construction-or-sense-review","PLANNED — المخطط لها: المخطط لها includes a feminine pronominal complement; review the standalone participial presentation.","AI-assisted linguistic review","[]","3298:1","المخطط لها","true"
"2102","0","ABUSE","الاساءة","review","msa","medium","","","","","noun","orthography-review","ABUSE — الاساءة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2102:0","إساءة المعاملة","false"
"2102","1","ABUSE","اساءة","review","msa","medium","","","","","noun","orthography-review","ABUSE — اساءة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2102:1","إساءة المعاملة","false"
"2729","0","FRAMES","الاطارات","review","msa","medium","","","","","noun","orthography-review","FRAMES — الاطارات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2729:0","إطارات","false"
"2729","1","FRAMES","اطر","review","msa","medium","","","","","noun","orthography-review","FRAMES — اطر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2729:1","إطارات","false"
"2729","2","FRAMES","الاطر","review","msa","medium","","","","","noun","orthography-review","FRAMES — الاطر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2729:2","إطارات","false"
"2729","3","FRAMES","اطارات","review","msa","medium","","","","","noun","orthography-review","FRAMES — اطارات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2729:3","إطارات","false"
"2808","1","IDEAL","ديال","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","IDEAL — ديال: ديال is not a clear MSA equivalent of ideal. Keep withheld pending identity/register clarification; no invented repair.","AI-assisted linguistic review","[]","2808:1","مثالية","false"
"2042","1","DROP","اسقط","review","msa","medium","","","","","verb","orthography-review","DROP — اسقط: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2042:1","قطرة","false"
"2042","2","DROP","اسقاط","review","msa","medium","","","","","verb","orthography-review","DROP — اسقاط: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2042:2","قطرة","false"
"1964","0","ROSE","روز","review","uncertain","medium","","","","","uncertain","register-review","ROSE — روز: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1964:0","وردة","false"
"2268","1","SOUL","روحي","review","msa","medium","","","","","noun","construction-or-sense-review","SOUL — روحي: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2268:1","الروح","false"
"1786","1","GIVING","اعطاء","review","msa","medium","","","","","noun","orthography-review","GIVING — اعطاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1786:1","إعطاء","false"
"2780","2","RAIN","الامطار","review","msa","medium","","","","","noun","orthography-review","RAIN — الامطار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2780:2","المطر","false"
"2179","1","CLUBS","اندية","review","msa","medium","","","","","noun","orthography-review","CLUBS — اندية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2179:1","النوادي","false"
"2179","2","CLUBS","الاندية","review","msa","medium","","","","","noun","orthography-review","CLUBS — الاندية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2179:2","النوادي","false"
"2212","2","FORT","فورت","review","uncertain","medium","","","","","uncertain","register-review","FORT — فورت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2212:2","الحصن","false"
"1995","0","PRIME","رئيس الوزراء","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","PRIME — رئيس الوزراء: رئيس الوزراء supplies prime minister, not prime in isolation. Leave the shortened compound mapping withheld pending evidence.","AI-assisted linguistic review","[]","1995:0","رئيس الوزراء","true"
