"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","effectiveTranslation"
"8798","0","LANCE","لانس","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","LANCE — لانس: The displayed form reads as a personal-name transliteration and does not establish the general spear or incise sense. Both directions remain withheld pending review.","AI-assisted linguistic review","[]","8798:0","لانس","true","{""arabic"":""لانس"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"7636","0","MESA","ميسا","review","uncertain","medium","","","","","noun","register-review","MESA — ميسا: The transliteration alone does not establish an appropriate learner-facing landform meaning or MSA usage; preserve it unresolved.","AI-assisted linguistic review","[]","7636:0","ميسا","true","{""arabic"":""ميسا"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}"
"2872","3","ANGEL","انجل","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","ANGEL — انجل: Name-like transliteration does not supply the general angel meaning; register and intended identity remain unresolved.","AI-assisted linguistic review","[]","2872:3","ملاك","false","{""arabic"":""انجل"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"5609","0","DISCS","الاقراص","review","msa","medium","","","","","noun","orthography-review","DISCS — الاقراص: Discs and compact discs are valid related senses; spelling of the generic form needs separate attention.","AI-assisted linguistic review","[]","5609:0","الأقراص المضغوطة","false","{""arabic"":""الاقراص"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"5632","0","AFFORD","تحمل","review","msa","medium","","","","","verb","construction-or-sense-review","AFFORD — تحمل: Bearing costs can express afford, but the isolated Arabic also means endure; defer the contextual mapping rather than rejecting it.","AI-assisted linguistic review","[]","5632:0","تحمل","true","{""arabic"":""تحمل"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}"
"5644","2","INCLUSION","ادراج","review","msa","medium","","","","","noun","orthography-review","INCLUSION — ادراج: Including, incorporation and inclusion are valid nominal senses; hamza omission is flagged without changing source text.","AI-assisted linguistic review","[]","5644:2","إدراج","false","{""arabic"":""ادراج"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"6319","1","PRAISE","سبحان","review","msa","medium","","","","","noun","construction-or-sense-review","PRAISE — سبحان: The glorification formula has a religious constructional use; it is not automatically an interchangeable standalone praise noun.","AI-assisted linguistic review","[]","6319:1","الثناء","false","{""arabic"":""سبحان"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"2524","1","NOTED","ملاحظة","review","msa","medium","","","","","noun","construction-or-sense-review","NOTED — ملاحظة: A note/observation noun is not by itself a clear rendering of noted; context might justify a construction, so retain review.","AI-assisted linguistic review","[]","2524:1","ملاحظة","true","{""arabic"":""ملاحظة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"5764","0","RESET","استرجع","review","msa","medium","","","","","verb","construction-or-sense-review","RESET — استرجع: Retrieve/recover/go back does not unambiguously express resetting; retain review rather than overwriting the Arabic.","AI-assisted linguistic review","[]","5764:0","إعادة تعيين","false","{""arabic"":""استرجع"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}"
"6824","0","RETRO","الرجعية","review","msa","medium","","","","","adjective","construction-or-sense-review","RETRO — الرجعية: The political reactionary sense may mislead a learner expecting retrospective design/style; leave the sense unresolved.","AI-assisted linguistic review","[]","6824:0","الرجعية","true","{""arabic"":""الرجعية"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"6824","1","RETRO","رجعي","review","msa","medium","","","","","adjective","construction-or-sense-review","RETRO — رجعي: Reactionary/backward-looking and retro style are not automatically equivalent; secondary uses require evidence.","AI-assisted linguistic review","[]","6824:1","الرجعية","false","{""arabic"":""رجعي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"6824","2","RETRO","ريترو","review","uncertain","medium","","","","","adjective","register-review","RETRO — ريترو: Retrospective style is not automatically equivalent to political reactionary meaning; borrowing register also needs support.","AI-assisted linguistic review","[]","6824:2","الرجعية","false","{""arabic"":""ريترو"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""adjective""}"
"6599","0","TECHNO","كنو","review","uncertain","medium","","","","","noun","register-review","TECHNO — كنو: The music borrowing and apparently incomplete spelling need register/orthographic evidence before approval; no automatic repair.","AI-assisted linguistic review","[]","6599:0","تكنو","false","{""arabic"":""كنو"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}"
"6599","1","TECHNO","تكنو","review","uncertain","medium","","","","","noun","register-review","TECHNO — تكنو: The music borrowing and apparently incomplete spelling need register/orthographic evidence before approval; no automatic repair.","AI-assisted linguistic review","[]","6599:1","تكنو","true","{""arabic"":""تكنو"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}"
"4852","1","MINT","منت","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","MINT — منت: The herb noun is valid; the bare name-like borrowing does not establish a general herb or coinage equivalent.","AI-assisted linguistic review","[]","4852:1","النعناع","false","{""arabic"":""منت"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}"
