"sourceId","english","arabic","before","after","reason","confidence","productionMetadataChanged"
"4905:0","EARNED","كسبت","natural-preferred","batch006-qa-fresh-pass","The finite past naturally conveys earning; person and gender endings do not invalidate the mapping.","high","false"
"5072:1","INVITE","الدعوة","valid-alternative","batch006-qa-fresh-pass","English invite also has the noun use invitation; the definite Arabic invitation noun expresses that use. Assign noun to this relationship while retaining both allowances.","high","false"
"4112:0","SHAVED","حلقت","natural-preferred","batch006-qa-fresh-pass","The Arabic finite past expresses shaving and supports the verbal use of shaved.","high","false"
"2524:0","NOTED","لوحظ","natural-preferred","batch006-qa-fresh-pass","The passive Arabic past means was noted, a legitimate verbal mapping.","high","false"
"4074:1","DONATE","التبرع","valid-alternative","batch006-qa-fresh-pass","The definite verbal noun expresses the donating action; English donate is a verb, so the relationship remains verbal despite Arabic surface nominalization.","high","false"
"6980:0","ARRANGE","ترتيب","natural-preferred","batch006-qa-fresh-pass","Arranging/ordering is naturally expressed by the Arabic action noun; do not require an identical finite inflection.","high","false"
"5776:0","TONGUE","لسان","natural-preferred","batch006-qa-fresh-pass","Natural unmarked tongue noun, suitable in both directions.","high","false"
"6631:0","ADVISE","تقديم المشورة","natural-preferred","batch006-qa-fresh-pass","Giving advice is an idiomatic Arabic verbal-noun construction for advise; natural spacing remains required.","high","false"
"2964:1","INSTITUTION","المؤسسة","valid-alternative","batch006-qa-fresh-pass","Natural definite institution noun, allowed despite nonpreference.","high","false"
"7323:1","TRIO","ثلاثي","natural-preferred","batch006-qa-fresh-pass","The Arabic form can denote a group of three as a noun; do not force its other adjectival use onto this relationship.","high","false"
"4680:0","ODDS","الاحتمالات","valid-alternative","batch006-qa-fresh-pass","Natural definite expression for odds/chances; valid synonyms and number ambiguity remain acceptable with crossings.","high","false"
"9080:1","COMMISSIONERS","المفوضون","natural-preferred","batch006-qa-fresh-pass","Natural nominative plural commissioners; Arabic grammatical case does not change vocabulary identity.","high","false"
"2541:0","HELPS","يساعد","natural-preferred","batch006-qa-fresh-pass","Natural present-tense Arabic verb for helps.","high","false"
"4680:1","ODDS","احتمالات","natural-preferred","batch006-qa-fresh-pass","Natural unmarked odds/chances noun, preferred without requiring a unique reverse translation.","high","false"
"6190:0","RIPE","ناضج","natural-preferred","batch006-qa-fresh-pass","Natural adjective for ripe or mature; related English senses are legitimate.","high","false"
"4434:3","SOLO","منفرد","natural-preferred","batch006-qa-fresh-pass","Natural masculine adjective for solo or unaccompanied; gender agreement is not exclusion evidence.","high","false"
"6553:1","ANNEX","مرفق","natural-preferred","batch006-qa-fresh-pass","Natural noun for an annex or attachment; clue ambiguity alone is acceptable.","high","false"
