"sourceId","originalDecision","revisedDecision","reason","confidence"
"718:0","{""headwordIndex"":718,""translationIndex"":0,""english"":""UPON"",""original"":""بعد الظهر"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""preposition"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""UPON — بعد الظهر: بعد الظهر means afternoon and does not express the preposition upon."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":718,""translationIndex"":0,""english"":""UPON"",""original"":""بعد الظهر"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""preposition"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""بعد الظهر means afternoon, not upon."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","بعد الظهر means afternoon, not upon.","high"
"1065:0","{""headwordIndex"":1065,""translationIndex"":0,""english"":""CAREER"",""original"":""مسير"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""CAREER — مسير: مسير is a march/course without the professional sense needed for career; not a natural learner-facing career equivalent as stored."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1065,""translationIndex"":0,""english"":""CAREER"",""original"":""مسير"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""rejection-held-for-review"",""reason"":""مسير can denote a course/progress, overlapping a broad career trajectory. The professional reading is not established, so review with existing exclusions instead of categorical rejection."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","مسير can denote a course/progress, overlapping a broad career trajectory. The professional reading is not established, so review with existing exclusions instead of categorical rejection.","high"
"784:3","{""headwordIndex"":784,""translationIndex"":3,""english"":""MARK"",""original"":""علامة العلامة"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun/verb"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""MARK — علامة العلامة: علامة العلامة is an unexplained duplicated possessive phrase, not a normal learner equivalent of mark."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":784,""translationIndex"":3,""english"":""MARK"",""original"":""علامة العلامة"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun/verb"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""علامة العلامة is an unexplained repeated possessive phrase, not a natural mark entry."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","علامة العلامة is an unexplained repeated possessive phrase, not a natural mark entry.","high"
"702:0","{""headwordIndex"":702,""translationIndex"":0,""english"":""LOT"",""original"":""لوط"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun/determiner"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""LOT — لوط: لوط is the proper name Lot, not an approved general vocabulary meaning of LOT."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":702,""translationIndex"":0,""english"":""LOT"",""original"":""لوط"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun/determiner"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""لوط is Lot the proper name, not the general-vocabulary lot meaning selected here."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","لوط is Lot the proper name, not the general-vocabulary lot meaning selected here.","high"
"597:4","{""headwordIndex"":597,""translationIndex"":4,""english"":""STAR"",""original"":""ستار"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""STAR — ستار: ستار means curtain or covering, not the English star sense; phonetic resemblance does not validate the relationship."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":597,""translationIndex"":4,""english"":""STAR"",""original"":""ستار"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""ستار means curtain/covering rather than a star. Semantic mismatch is clear."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","ستار means curtain/covering rather than a star. Semantic mismatch is clear.","high"
"1046:2","{""headwordIndex"":1046,""translationIndex"":2,""english"":""LOWER"",""original"":""ادنى"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""adjective/verb"",""reasonCode"":""orthography-review"",""reason"":""LOWER — ادنى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1046,""translationIndex"":2,""english"":""LOWER"",""original"":""ادنى"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""adjective/verb"",""reasonCode"":""orthography-review"",""reason"":""ادنى lacks the hamza of أدنى; retain the original for spelling review, not dialect classification."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","ادنى lacks the hamza of أدنى; retain the original for spelling review, not dialect classification.","medium"
"758:1","{""headwordIndex"":758,""translationIndex"":1,""english"":""EITHER"",""original"":""اما"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""determiner/conjunction"",""reasonCode"":""orthography-review"",""reason"":""EITHER — اما: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":758,""translationIndex"":1,""english"":""EITHER"",""original"":""اما"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""determiner/conjunction"",""reasonCode"":""orthography-review"",""reason"":""اما lacks required hamza for the intended إما reading; preserve and review."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","اما lacks required hamza for the intended إما reading; preserve and review.","medium"
"668:0","{""headwordIndex"":668,""translationIndex"":0,""english"":""MONTHS"",""original"":""الاشهر"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""MONTHS — الاشهر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":668,""translationIndex"":0,""english"":""MONTHS"",""original"":""الاشهر"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""الاشهر lacks hamza in أشهر. The expression is MSA but its written learner form needs review."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","الاشهر lacks hamza in أشهر. The expression is MSA but its written learner form needs review.","medium"
"708:1","{""headwordIndex"":708,""translationIndex"":1,""english"":""MEANS"",""original"":""يعنى"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun/verb"",""reasonCode"":""orthography-review"",""reason"":""MEANS — يعنى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":708,""translationIndex"":1,""english"":""MEANS"",""original"":""يعنى"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun/verb"",""reasonCode"":""orthography-review"",""reason"":""يعنى differs from يعني in its final letter; do not silently normalize Arabic letters into a new answer."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","يعنى differs from يعني in its final letter; do not silently normalize Arabic letters into a new answer.","medium"
"580:0","{""headwordIndex"":580,""translationIndex"":0,""english"":""GIVEN"",""original"":""نظرا"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""preposition"",""reasonCode"":""construction-or-sense-review"",""reason"":""GIVEN — نظرا: نظرا can participate in given/considering constructions with additional grammatical material; do not certify bare equivalence without context."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":580,""translationIndex"":0,""english"":""GIVEN"",""original"":""نظرا"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""preposition"",""reasonCode"":""construction-or-sense-review"",""reason"":""نظرا can introduce considering/given with suitable complement structure; bare usage remains insufficiently supported."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","نظرا can introduce considering/given with suitable complement structure; bare usage remains insufficiently supported.","medium"
"711:3","{""headwordIndex"":711,""translationIndex"":3,""english"":""BEACH"",""original"":""بيتش"",""status"":""review"",""register"":""uncertain"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""unsuitable-unclassified"",""reason"":""BEACH — بيتش: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":711,""translationIndex"":3,""english"":""BEACH"",""original"":""بيتش"",""status"":""review"",""register"":""uncertain"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""unsuitable-unclassified"",""reason"":""بيتش is an unestablished phonetic English rendering for beach, not a certified MSA equivalent; retain review and exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","بيتش is an unestablished phonetic English rendering for beach, not a certified MSA equivalent; retain review and exclusion.","high"
"699:2","{""headwordIndex"":699,""translationIndex"":2,""english"":""CALLED"",""original"":""يسمى"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""verb"",""reasonCode"":""construction-or-sense-review"",""reason"":""CALLED — يسمى: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":699,""translationIndex"":2,""english"":""CALLED"",""original"":""يسمى"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""verb"",""reasonCode"":""construction-or-sense-review"",""reason"":""يسمى can mean is called, while CALLED may be passive participle or past. A natural cross-language citation is possible; keep construction review, not automatic exclusion for tense."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","يسمى can mean is called, while CALLED may be passive participle or past. A natural cross-language citation is possible; keep construction review, not automatic exclusion for tense.","medium"
"652:1","{""headwordIndex"":652,""translationIndex"":1,""english"":""COLOR"",""original"":""الالوان"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""COLOR — الالوان: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":652,""translationIndex"":1,""english"":""COLOR"",""original"":""الالوان"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""الالوان has missing hamza and plural/collective issues; review the original spelling."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","الالوان has missing hamza and plural/collective issues; review the original spelling.","medium"
"949:2","{""headwordIndex"":949,""translationIndex"":2,""english"":""ORDERS"",""original"":""اوامر"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""ORDERS — اوامر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":949,""translationIndex"":2,""english"":""ORDERS"",""original"":""اوامر"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""اوامر lacks hamza in أوامر. Meaning is recognizable but learner orthography is unresolved."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","اوامر lacks hamza in أوامر. Meaning is recognizable but learner orthography is unresolved.","medium"
"924:1","{""headwordIndex"":924,""translationIndex"":1,""english"":""EFFECTS"",""original"":""تاثيرات"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""EFFECTS — تاثيرات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":924,""translationIndex"":1,""english"":""EFFECTS"",""original"":""تاثيرات"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""تاثيرات lacks the hamza of تأثيرات; no silent correction."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","تاثيرات lacks the hamza of تأثيرات; no silent correction.","medium"
