"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","effectiveTranslation"
"563","1","ISSUE","اصدار","review","msa","medium","","","","","noun","orthography-review","ISSUE — اصدار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","563:1","المسألة","false","{""arabic"":""اصدار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"567","2","COURT","المحاكم","review","msa","medium","","","","","noun","construction-or-sense-review","COURT — المحاكم: المحاكم denotes multiple courts; a collective construction is possible but not established for this isolated singular headword.","AI-assisted linguistic review","[]","567:2","محكمة","false","{""arabic"":""المحاكم"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"577","0","BLUE","بلو","review","uncertain","high","false","false","false","false","adjective","unsuitable-unclassified","BLUE — بلو: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","577:0","أزرق","false","{""arabic"":""بلو"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""adjective"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"577","1","BLUE","ازرق","review","msa","medium","","","","","adjective","orthography-review","BLUE — ازرق: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","577:1","أزرق","false","{""arabic"":""ازرق"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"577","2","BLUE","الزرقاء","review","msa","medium","","","","","adjective","orthography-review","BLUE — الزرقاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","577:2","أزرق","false","{""arabic"":""الزرقاء"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"577","3","BLUE","الازرق","review","msa","medium","","","","","adjective","orthography-review","BLUE — الازرق: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","577:3","أزرق","false","{""arabic"":""الازرق"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"580","0","GIVEN","نظرا","review","msa","medium","","","","","preposition","construction-or-sense-review","GIVEN — نظرا: نظرا can participate in given/considering constructions with additional grammatical material; do not certify bare equivalence without context.","AI-assisted linguistic review","[]","580:0","نظرا","true","{""arabic"":""نظرا"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""preposition""}"
"583","0","RELEASE","الافراج","review","msa","medium","","","","","noun/verb","orthography-review","RELEASE — الافراج: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","583:0","إطلاق سراح","false","{""arabic"":""الافراج"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun/verb""}"
"584","2","ANALYSIS","تحليلات","review","msa","medium","","","","","noun","construction-or-sense-review","ANALYSIS — تحليلات: تحليلات is plural analyses; an English mass/collective reading may be possible but remains unresolved.","AI-assisted linguistic review","[]","584:2","تحليل","false","{""arabic"":""تحليلات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"589","2","PICTURE","الصوره","review","msa","medium","","","","","noun","orthography-review","PICTURE — الصوره: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","589:2","صورة","false","{""arabic"":""الصوره"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"589","3","PICTURE","صوره","review","msa","medium","","","","","noun","orthography-review","PICTURE — صوره: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","589:3","صورة","false","{""arabic"":""صوره"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"596","1","MAJOR","ماجور","review","uncertain","medium","","","","","noun/adjective","register-review","MAJOR — ماجور: ماجور may represent a rank borrowing or a name. Its register and sense are not sufficiently established here.","AI-assisted linguistic review","[]","596:1","الرئيسية","false","{""arabic"":""ماجور"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun/adjective""}"
"603","0","SUN","صن","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","SUN — صن: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","603:0","الشمس","false","{""arabic"":""صن"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"604","2","CARDS","كروت","review","uncertain","medium","","","","","noun","register-review","CARDS — كروت: كروت is widely used but MSA acceptability for a general learner needs evidence; do not infer dialect solely from informality.","AI-assisted linguistic review","[]","604:2","البطاقات","false","{""arabic"":""كروت"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}"
"609","4","BECOME","اصبح","review","msa","medium","","","","","verb","orthography-review","BECOME — اصبح: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","609:4","تصبح","false","{""arabic"":""اصبح"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}"
"614","0","ENTER","ادخال","review","msa","medium","","","","","verb","orthography-review","ENTER — ادخال: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","614:0","أدخل","false","{""arabic"":""ادخال"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}"
"622","0","ADDED","اضاف","review","msa","medium","","","","","verb/adjective","orthography-review","ADDED — اضاف: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","622:0","مضاف","false","{""arabic"":""اضاف"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb/adjective""}"
"622","1","ADDED","اضيف","review","msa","medium","","","","","verb/adjective","orthography-review","ADDED — اضيف: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","622:1","مضاف","false","{""arabic"":""اضيف"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb/adjective""}"
"622","2","ADDED","اضيفت","review","msa","medium","","","","","verb/adjective","orthography-review","ADDED — اضيفت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","622:2","مضاف","false","{""arabic"":""اضيفت"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb/adjective""}"
"626","0","BABY","حبيبي","review","msa","medium","","","","","noun","construction-or-sense-review","BABY — حبيبي: حبيبي is my beloved; baby as affectionate address is plausible but this construction requires sense/register review.","AI-assisted linguistic review","[]","626:0","طفل رضيع","false","{""arabic"":""حبيبي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"626","1","BABY","حبيبتي","review","msa","medium","","","","","noun","construction-or-sense-review","BABY — حبيبتي: حبيبتي is my beloved (feminine); keep the possible affectionate-address sense unresolved.","AI-assisted linguistic review","[]","626:1","طفل رضيع","false","{""arabic"":""حبيبتي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"629","0","RUN","اهرب","review","msa","medium","","","","","verb","construction-or-sense-review","RUN — اهرب: اهرب means flee; RUN can mean run away, but certifying the bare imperative sense needs context.","AI-assisted linguistic review","[]","629:0","تشغيل","false","{""arabic"":""اهرب"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}"
"630","3","DELIVERY","طلبية","review","msa","medium","","","","","noun","construction-or-sense-review","DELIVERY — طلبية: طلبية means an order/consignment. Delivery can denote delivered goods, but the intended isolated sense is unclear.","AI-assisted linguistic review","[]","630:3","التسليم","false","{""arabic"":""طلبية"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"636","1","PUT","حط","review","msa","medium","","","","","verb","construction-or-sense-review","PUT — حط: حط has standard as well as colloquial uses; do not call it dialect based solely on familiarity. Review the unvocalized put citation.","AI-assisted linguistic review","[]","636:1","ضع","false","{""arabic"":""حط"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}"
"642","1","CENTRAL","سنترال","review","uncertain","medium","","","","","adjective","register-review","CENTRAL — سنترال: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","642:1","المركزية","false","{""arabic"":""سنترال"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""adjective""}"
"642","2","CENTRAL","الوسطى","review","msa","medium","","","","","adjective","construction-or-sense-review","CENTRAL — الوسطى: الوسطى is middle/central feminine; the particular isolated construction needs confirmation.","AI-assisted linguistic review","[]","642:2","المركزية","false","{""arabic"":""الوسطى"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"645","0","NOTICE","الاشعار","review","msa","medium","","","","","noun/verb","orthography-review","NOTICE — الاشعار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","645:0","إشعار","false","{""arabic"":""الاشعار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun/verb""}"
"645","1","NOTICE","اشعار","review","msa","medium","","","","","noun/verb","orthography-review","NOTICE — اشعار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","645:1","إشعار","false","{""arabic"":""اشعار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun/verb""}"
"647","0","ORIGINAL","الاصلي","review","msa","medium","","","","","adjective","orthography-review","ORIGINAL — الاصلي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","647:0","الأصلي","false","{""arabic"":""الاصلي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"647","1","ORIGINAL","اصلي","review","msa","medium","","","","","adjective","orthography-review","ORIGINAL — اصلي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","647:1","الأصلي","false","{""arabic"":""اصلي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"647","2","ORIGINAL","الاصلية","review","msa","medium","","","","","adjective","orthography-review","ORIGINAL — الاصلية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","647:2","الأصلي","false","{""arabic"":""الاصلية"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"647","3","ORIGINAL","الاصل","review","msa","medium","","","","","adjective","orthography-review","ORIGINAL — الاصل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","647:3","الأصلي","false","{""arabic"":""الاصل"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"647","4","ORIGINAL","اصلية","review","msa","medium","","","","","adjective","orthography-review","ORIGINAL — اصلية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","647:4","الأصلي","false","{""arabic"":""اصلية"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"648","0","HEAD","راسي","review","msa","medium","","","","","noun","orthography-review","HEAD — راسي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","648:0","الرأس","false","{""arabic"":""راسي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"648","1","HEAD","راس","review","msa","medium","","","","","noun","orthography-review","HEAD — راس: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","648:1","الرأس","false","{""arabic"":""راس"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"648","2","HEAD","الراس","review","msa","medium","","","","","noun","orthography-review","HEAD — الراس: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","648:2","الرأس","false","{""arabic"":""الراس"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"649","3","RADIO","الاذاعة","review","msa","medium","","","","","noun","orthography-review","RADIO — الاذاعة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","649:3","الإذاعة","false","{""arabic"":""الاذاعة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"649","4","RADIO","اذاعة","review","msa","medium","","","","","noun","orthography-review","RADIO — اذاعة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","649:4","الإذاعة","false","{""arabic"":""اذاعة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"652","1","COLOR","الالوان","review","msa","medium","","","","","noun","orthography-review","COLOR — الالوان: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","652:1","اللون","false","{""arabic"":""الالوان"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"652","3","COLOR","الوان","review","msa","medium","","","","","noun","orthography-review","COLOR — الوان: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","652:3","اللون","false","{""arabic"":""الوان"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"653","0","SELF","الذاتي","review","msa","medium","","","","","noun","construction-or-sense-review","SELF — الذاتي: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","653:0","الذات","false","{""arabic"":""الذاتي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"653","1","SELF","ذاتي","review","msa","medium","","","","","noun","construction-or-sense-review","SELF — ذاتي: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","653:1","الذات","false","{""arabic"":""ذاتي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"653","3","SELF","سلف","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","SELF — سلف: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","653:3","الذات","false","{""arabic"":""سلف"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"657","2","TRACK","المقطوعة","review","msa","medium","","","","","noun","construction-or-sense-review","TRACK — المقطوعة: المقطوعة can be a musical piece/track; review whether the missing musical context makes this clue sufficiently informative.","AI-assisted linguistic review","[]","657:2","المسار","false","{""arabic"":""المقطوعة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"659","1","DISCUSSION","مناقشات","review","msa","medium","","","","","noun","construction-or-sense-review","DISCUSSION — مناقشات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","659:1","المناقشة","false","{""arabic"":""مناقشات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"659","3","DISCUSSION","المناقشات","review","msa","medium","","","","","noun","construction-or-sense-review","DISCUSSION — المناقشات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","659:3","المناقشة","false","{""arabic"":""المناقشات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"660","0","ARCHIVE","ارشيف","review","msa","medium","","","","","noun","orthography-review","ARCHIVE — ارشيف: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","660:0","أرشيف","false","{""arabic"":""ارشيف"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"660","1","ARCHIVE","الارشيف","review","msa","medium","","","","","noun","orthography-review","ARCHIVE — الارشيف: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","660:1","أرشيف","false","{""arabic"":""الارشيف"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"661","1","ONCE","مره","review","msa","medium","","","","","adverb","orthography-review","ONCE — مره: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","661:1","مرة واحدة","false","{""arabic"":""مره"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adverb""}"
"662","0","OTHERS","اخرون","review","msa","medium","","","","","pronoun","orthography-review","OTHERS — اخرون: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","662:0","أخرى","false","{""arabic"":""اخرون"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""pronoun""}"
"662","1","OTHERS","اخرين","review","msa","medium","","","","","pronoun","orthography-review","OTHERS — اخرين: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","662:1","أخرى","false","{""arabic"":""اخرين"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""pronoun""}"
"662","2","OTHERS","الاخرون","review","msa","medium","","","","","pronoun","orthography-review","OTHERS — الاخرون: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","662:2","أخرى","false","{""arabic"":""الاخرون"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""pronoun""}"
"662","3","OTHERS","أخرى","review","msa","medium","","","","","pronoun","construction-or-sense-review","OTHERS — أخرى: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","662:3","أخرى","true","{""arabic"":""أخرى"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""pronoun""}"
"663","1","ENTERTAINMENT","للترفيه","review","msa","medium","","","","","noun","construction-or-sense-review","ENTERTAINMENT — للترفيه: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","663:1","الترفيه","false","{""arabic"":""للترفيه"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"668","0","MONTHS","الاشهر","review","msa","medium","","","","","noun","orthography-review","MONTHS — الاشهر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","668:0","أشهر","false","{""arabic"":""الاشهر"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"668","3","MONTHS","اشهر","review","msa","medium","","","","","noun","orthography-review","MONTHS — اشهر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","668:3","أشهر","false","{""arabic"":""اشهر"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"670","2","SAFETY","الامان","review","msa","medium","","","","","noun","orthography-review","SAFETY — الامان: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","670:2","السلامة","false","{""arabic"":""الامان"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
