english,arabic
v,(ف)
shopping,التسوق
account,الحساب
times,مرات
sites,المواقع
level,الرتبة
digital,الرقمية
profile,الملف الشخصي
previous,السابق
form,الشكل
events,الأحداث
love,الحب
old,قديم
john,جون جون
main,الرئيسية
call,نداء
hours,ساعات
image,صورة
department,القسم
title,العنوان
description,الوصف
non,غير
k,ك ك
y,ص ع
insurance,التأمين
another,آخر
why,لماذا؟
shall,سوف:
property,الممتلكات
class,فئة
cd,مؤتمر نزع السلاح
still,لا يزال
money,المال
quality,الجودة
every,كل واحد
listing,القائمة
content,المحتوى
country,البلد
private,القطاع الخاص
little,القليل
visit,زيارة
save,احفظ
tools,أدوات
low,منخفض
reply,الرد
customer,العملاء
december,ديسمبر كانون الأول
compare,مقارنة
movies,أفلام
include,تشمل
college,كلية
value,القيمة
article,مقالة
york,يورك ،
man,رجل
card,بطاقة
jobs,وظائف
provide,توفير
j,ي ي
food,الأغذية
source,المصدر
author,المؤلف
different,مختلف
press,صحافة
u,ش ش
learn,تعلم
sale,بيع
around,حول
print,طباعة
course,بالطبع
job,الوظيفة
canada,كندا كندا
process,عملية
teen,مراهق
room,غرفة
stock,المخزون
training,التدريب
too,أيضا
credit,الائتمان
point,النقطة
join,انضم
science,العلوم
men,الرجال
categories,الفئات
advanced,متقدم
west,غربا
sales,المبيعات
look,نظرة
english,العربية
left,يسار
team,الفريق
estate,العقارات
box,مربع مربع
conditions,الشروط
select,اختر
windows,نوافذ
photos,الصور
gay,مثلي الجنس
thread,موضوع
week,الأسبوع
category,الفئة
note,ملاحظة
live,بث مباشر
large,كبير
gallery,معرض الصور
table,الجدول
register,التسجيل
however,ومع ذلك
june,حزيران/يونيه
october,أكتوبر / تشرين الأول
november,نوفمبر تشرين الثاني
market,السوق
library,المكتبة العامة
really,حقا حقا
action,الإجراء المتخذ
start,ابدأ
series,سلسلة
model,نموذج
features,المميزات
air,الهواء
industry,الصناعة
plan,الخطة
human,الإنسان
provided,المقدمة
tv,التلفزيون
yes,نعم فعلا
required,مطلوب
second,الثانية
hot,حار
accessories,إكسسوارات
cost,التكلفة
movie,فيلم
forums,المنتديات
march,مسيرة
la,لا لا
september,سبتمبر/أيلول
better,أفضل
say,قولي
questions,أسئلة
july,يوليو يوليو
yahoo,ياهو
going,جاري التنفيذ
medical,الخدمات الطبية
test,اختبار اختبار
friend,صديق
come,تعال
dec,كانون الأول/ديسمبر
server,خادوم
pc,الكمبيوتر الشخصي
study,دراسة
application,التطبيق
cart,عربة التسوق
staff,الموظفون
articles,مقالات
san,سان سان
feedback,ردود الفعل
again,مرة أخرى
play,إلعب
looking,يبحث
issues,المسائل
april,أبريل/نيسان
never,أبداً
users,المستخدمون
complete,اكتمل
street,الشارع
topic,الموضوع
comment,التعليق
financial,المالية
things,أشياء
working,العمل
against,ضد
standard,معيار
tax,الضريبة
person,شخص
below,أدناه
mobile,موبايل
less,أقل
got,حصلت عليه
blog,مدونة
party,حزب
payment,الدفع
equipment,المعدات
login,تسجيل الدخول
student,طالب
let,دعونا
programs,البرامج
offers,العروض
legal,قانوني
above,أعلاه
recent,الأخيرة
park,حديقة
stores,المخازن
side,الجانب
act,تصرف
problem,مشكلة
red,أحمر
give,إعطاء
memory,الذاكرة
performance,الأداء
social,الاجتماعية
q,ف
august,أغسطس/آب
quote,اقتباس
language,اللغة
story,القصة
sell,بيع
options,خيارات
experience,الخبرة
rates,المعدلات
create,إنشاء
key,مفتاح
body,الجسم
young,الشباب
america,الولايات المتحدة الأمريكية
important,مهم
field,حقل
few,عدد قليل
east,الشرق
paper,ورقة
single,أعزب
ii,ثانياً
age,العمر
activities,الأنشطة
club,النادي
example,مثال
girls,بنات
additional,إضافية
password,كلمة السر
z,زد
latest,آخر الأخبار
something,شيء ما
road,الطريق
gift,هدية
question,سؤال
changes,التغييرات
night,ليلة
ca,كا
hard,بجد
texas,تكساس
oct,أكتوبر تشرين الأول
pay,الدفع
four,أربعة
poker,بوكر
status,الحالة
browse,تصفح
issue,المسألة
range,نطاق
building,بناية
seller,البائع
court,محكمة
february,فبراير/شباط
always,دائما
result,نتيجة
audio,الصوت
light,ضوء
write,اكتب
war,الحرب
nov,نوف
offer,عرض
blue,أزرق
groups,المجموعات
al,ال
easy,سهل
given,نظرا
files,ملفات
event,الحدث
release,إطلاق سراح
analysis,تحليل
request,طلب
fax,الفاكس
china,الصين
making,صنع صنع
picture,صورة
needs,الاحتياجات
possible,ممكن
might,ربما
professional,المهنية
yet,حتى الآن
month,الشهر
major,الرئيسية
star,نجمة
areas,المناطق
future,المستقبل
space,الفضاء
committee,اللجنة
hand,اليد
sun,الشمس
cards,البطاقات
problems,مشاكل
london,لندن”
washington,واشنطن العاصمة
meeting,اجتماع
rss,آر إس إس
become,تصبح
interest,الفائدة
id,معرفه
child,طفل
keep,حافظ على
enter,أدخل
california,كاليفورنيا
share,حصة
similar,مماثل
garden,حديقة حديقة
schools,مدارس
million,مليون
added,مضاف
reference,مرجع
companies,شركات
listed,المدرجة
baby,طفل رضيع
learning,التعلم
energy,الطاقة
run,تشغيل
delivery,التسليم
net,الصافي
popular,شعبية
term,مصطلح
film,فيلم
stories,قصص قصص
put,ضع
computers,الحواسيب
journal,دفتر اليومية
reports,التقارير
co,شارك
try,حاول
welcome,ترحيب
central,المركزية
images,الصور
president,الرئيس
notice,إشعار
original,الأصلي
head,الرأس
radio,الإذاعة
until,حتى
cell,الخلية
color,اللون
self,الذات
council,المجلس
away,بعيداً
includes,يشمل
track,المسار
australia,أستراليا أستراليا”
discussion,المناقشة
archive,أرشيف
once,مرة واحدة
others,أخرى
entertainment,الترفيه
agreement,اتفاق
format,الشكل
least,الأقل
society,المجتمع
months,أشهر
log,سجل
safety,السلامة
friends,الأصدقاء
sure,متأكد
faq,أسئلة وأجوبة
trade,التجارة
edition,الطبعة
cars,السيارات
messages,الرسائل
marketing,التسويق
tell,أخبر
further,المزيد
updated,تحديث
association,جمعية
able,قادر
having,وجود
provides,يوفر
david,ديفيد دايفيد
fun,متعة
already,بالفعل
green,أخضر
studies,دراسات
close,إغلاق
common,مشترك
drive,محرك الأقراص
specific,محددة
several,عدة
gold,ذهبي
feb,فيب
living,المعيشة
sep,سيب
collection,جمع
called,يسمى
short,قصيرة
arts,الفنون
lot,الكثير
ask,اسأل
display,عرض
limited,محدودة
powered,مدعوم
solutions,الحلول
means,يعني
director,مدير
daily,يوميا
beach,الشاطئ
past,الماضي
natural,طبيعي
whether,ما إذا
due,المستحق
et,وآخرون
electronics,الإلكترونيات
five,خمسة.
upon,بعد الظهر
period,الفترة
planning,التخطيط
database,قاعدة بيانات
says,يقول
official,موظف رسمي
weather,الطقس
mar,مار
land,الأرض
average,المتوسط
done,أُنجز
technical,التقنية
window,نافذة
france,فرنسا”
pro,برو
region,المنطقة
island,الجزيرة
record,سجل
direct,مباشرة
microsoft,ميكروسوفت
conference,المؤتمر
environment,البيئة
records,السجلات
st,شارع.
district,منطقة حي
calendar,تقويم
costs,التكاليف
style,الاسلوب
url,URL
front,الجبهة
statement,بيان
update,تحديث
parts,أجزاء
aug,أوغ
ever,أبداً
downloads,التنزيلات
early,مبكر
miles,أميال
sound,الصوت
resource,مورد
present,الحاضر
applications,التطبيقات
either,إما
ago,منذ
document,الوثيقة
word,كلمة
works,أعمال
material,مواد
bill,بيل
apr,آب/أغسطس
written,كتابة
talk,الحديث
federal,الاتحادية
hosting,استضافة
rules,القواعد
final,نهائي
adult,الكبار
tickets,تذاكر
thing,شيء
centre,مركز
requirements,الاحتياجات
via,عبر
cheap,رخيصة رخيصة
kids,الأطفال
finance,التمويل
true,صحيح
minutes,دقائق
else,غير ذلك
mark,علامة العلامة
third,الثالثة
rock,روك
gifts,الهدايا
europe,أوروبا”
reading,القراءة
topics,مواضيع
bad,سيئة
individual,فرد
tips,نصائح
plus,زائد
auto,السيارات
cover,غطاء
usually,عادة
edit,حرّر
together,معاً
videos,فيديوهات
percent,النسبة المئوية
fast,سريع
function,وظيفة وظيفة
fact,حقيقة
unit,وحدة
getting,الحصول على
global,عالمي
tech,التكنولوجيا
meet,لقاء
far,بعيداً
economic,الاقتصادية
en,أون
player,لاعب
projects,المشاريع
lyrics,كلمات
often,في أغلب الأحيان
subscribe,الاشتراك
submit,قُدم
germany,ألمانيا ألمانيا
amount,المبلغ
watch,مشاهدة
included,وشملت
feel,شعور
though,مع ذلك
bank,مصرف
risk,المخاطر
thanks,شكرًا
everything,كل شيء
deals,صفقات
various,مختلف
words,الكلمات
linux,لينكس
jul,يوليو/تموز
production,الإنتاج
commercial,تجاري
james,جيمس جيمس
weight,الوزن
town,المدينة
heart,القلب
advertising,الإعلانات
received,وردت
choose,اختر
treatment,العلاج
newsletter,النشرة الإخبارية
archives,المحفوظات
points,النقاط
knowledge,المعرفة
magazine,مجلة مجلة
error,خطأ
camera,كاميرا الكاميرا
jun,جون جون
girl,فتاة
currently,حاليا
construction,البناء
toys,لعب اطفال
registered,مسجل
clear,واضح
golf,جولف
receive,تلقي
domain,المجال
methods,الأساليب
chapter,الفصل
makes,يجعل
protection,الحماية
policies,السياسات
loan,قرض قرض
wide,واسعة
beauty,الجمال
manager,مدير
india,الهند.
position,المنصب
taken,متخذ
sort,نوع
listings,القوائم
models,نماذج
michael,مايكل مايكل
known,معروف
half,نصف
cases,الحالات
step,خطوة خطوة
engineering,الهندسة الهندسية
florida,فلوريدا
simple,بسيطة
quick,بسرعة
none,لا أحد
wireless,لاسلكية
license,ترخيص الترخيص
paul,بول بول
friday,جمعة
lake,بحيرة
whole,كامل
annual,سنوي
published,منشورة
later,لاحقاً
basic,الأساسي
sony,سونيا
shows,العروض
corporate,الشركات
google,جوجل
church,الكنيسة
method,الطريقة
purchase,شراء
customers,العملاء
active,نشط
response,الرد
practice,الممارسة
hardware,الأجهزة
figure,الشكل
materials,مواد
fire,النار
holiday,عطلة
chat,دردشة
enough,يكفي
designed,مصممة
along,على طول
among,بين
death,الوفاة
writing,الكتابة
speed,السرعة
html,أتش تي أم أل
countries,البلدان
loss,الخسارة
face,وجه
brand,العلامة التجارية
discount,خصم
higher,أعلى
effects,الآثار
created,أنشئ
remember,تذكر
standards,المعايير
oil,النفط
bit,بت
yellow,أصفر
political,سياسي
increase,الزيادة
advertise,الإعلان
kingdom,مملكة
base,قاعدة
near,قريب
environmental,البيئة
thought,فكر
stuff,الاشياء
french,الفرنسية
storage,التخزين
oh,أوه
japan,اليابان اليابان
doing,القيام به
loans,القروض
shoes,أحذية
entry,إدخال
stay,البقاء
nature,الطبيعة
orders,أوامر
availability,التوافر
africa,أفريقيا ،
summary,موجز
turn,انعطف
mean,يعني
growth,النمو
notes,ملاحظات
agency,وكالة
king,الملك
monday,الأثنين
european,الأوروبيّة
activity,النشاط
copy,نسخ
although,على الرغم من
drug,المخدرات
pics,بلدان جزر المحيط الهادئ
western,الغربية
income,الإيرادات
force,القوة
cash,النقدية
employment,العمالة
overall,عموما
bay,خليج
river,نهر
commission,العمولة
ad,إعلانية
package,حزمة
contents,المحتويات
seen,شوهد
players,اللاعبون
engine,المحرك
port,ميناء
album,الألبوم
regional,الإقليمية
stop,توقف
supplies,اللوازم
started,بدأت
administration,الإدارة
bar,بار
institute,معهد معهد
views,المشاهدات
plans,الخطط
double,مزدوج
dog,كلب
build,بناء
screen,شاشة الشاشة
exchange,التبادل
types,أنواع
soon,قريباً
sponsored,برعاية
lines,خطوط
electronic,الإلكترونية
continue,تابع
across,عبر
benefits,الفوائد
needed,مطلوب
season,الموسم
apply,تطبق
someone,شخص ما
held,محتفظ بها
ny,ني ني
anything,أي شيء
printer,طابعة
condition,شرط
effective,فعالة
believe,آمن
organization,التنظيم
effect,تأثير
asked,سؤل
eur,أور
mind,العقل
sunday,الأحد:
selection,اختيار
casino,كازينو
pdf,قوات الدفاع الشعبي
lost,مفقود
tour,جولة سياحية
menu,القائمة
volume,الحجم
cross,الصليب
anyone,أي شخص
mortgage,الرهن العقاري
hope,الأمل
silver,فضة
corporation,شركة
wish,تمنياتي
inside,داخل
solution,الحل
mature,ناضجة
role,الدور
rather,بل بالأحرى
weeks,أسابيع
addition,إضافة
came,جاء
supply,العرض
nothing,لا شيء
certain,معينة
usr,أوسر
executive,تنفيذي
running,جاري التشغيل
lower,أقل
necessary,ضروري
union,الاتحاد
jewelry,مجوهرات
according,وفقا
dc,دي سي
clothing,ملابس
mon,مون.
com,كوم
particular,خاص
fine,لا بأس
names,الأسماء
robert,روبرت روبرت
homepage,الصفحة الرئيسية
hour,الساعة
gas,الغاز
skills,مهارات
six,ستة ستة
bush,بوش
islands,الجزر
advice,نصائح
career,مسيرته المهنية
military,الأفراد العسكريون
rental,تأجير
decision,مقرر
leave,الإجازة
british,البريطانيون
teens,مراهقون
pre,قبل
huge,ضخمة
sat,جلس
woman,امرأة
facilities,مرافق
zip,الرمز البريدي
bid,المزايدة
kind,النوع
sellers,البائعون
middle,وسط
move,تحركوا
cable,كابل
opportunities,الفرص
taking,أخذ
values,قيم
division,الشعبة
coming,قادمة
tuesday,"الثلاثاء,"
object,كائن
lesbian,مثلية
appropriate,مناسب
machine,آلة
logo,شعار
length,طول
actually,في الواقع
nice,لطيف
score,النتيجة
statistics,الإحصاءات
client,العميل
ok,موافق
returns,المرتجعات
capital,رأس المال
follow,تابع
sample,عينة
investment,الاستثمار
sent,مرسلة
shown,يظهر
saturday,يوم السبت
christmas,عيد الميلاد
england,إنجلاند
culture,الثقافة
band,الفرقة الفرقة
flash,فلاش
ms,مسز
lead,الرصاص
george,جورجي
choice,الاختيار
went,ذهب
starting,بدء التشغيل
registration,التسجيل
fri,فراى
thursday,خميس
courses,دورات
consumer,مستهلك
hi,مرحبا
airport,مطار
foreign,الأجانب
artist,فنان
outside,في الخارج
furniture,الأثاث
levels,المستويات
channel,قناة
letter,رسالة
mode,وضع
phones,هواتف
ideas,أفكار
wednesday,الأربعاء، الأربعاء
structure,هيكل
fund,الصندوق
summer,الصيف
allow,اسمح
degree,الدرجة العلمية
contract,العقد
button,زر
releases,إصدارات
wed,ويد
homes,منازل
super,سوبر
male,ذكر
matter,المسألة
custom,مخصص
virginia,فيرجينيا
almost,تقريبا
took,أخذ
located,الموقع
multiple,متعددة
asian,الآسيوية الآسيوية
distribution,التوزيع
editor,محرر
inn,النزل
industrial,الصناعية الصناعية
cause,السبب
potential,الإمكانات المحتملة
song,أغنية
cnet,سي نت
ltd,ت.ت.د
los,لوس لوس
hp,اتش بي
focus,التركيز
late,متأخر
fall,سقوط
featured,المميزات
idea,فكرة
rooms,غرف
female,أنثى
responsible,المسؤول
inc,إنك
communications,الاتصالات
win,الفوز
associated,المرتبطة
thomas,توماس توماس
primary,الابتدائي
cancer,السرطان
numbers,أرقام
reason,السبب
tool,أداة
browser,المتصفح
spring,الربيع
foundation,مؤسسة
answer,الإجابة
voice,صوت
eg,على سبيل المثال
friendly,ودية
schedule,الجدول الزمني
documents,الوثائق
communication,الاتصالات
purpose,الغرض
feature,ميزة
bed,سرير
comes,يأتي
police,الشرطة
everyone,الجميع
independent,مستقلة
ip,الملكية الفكرية
approach,النهج
cameras,كاميرات
brown,بني
physical,البدنية
operating,التشغيل
hill,تلة
maps,الخرائط
medicine,الطب
deal,صفقة
hold,عقد
ratings,تقييمات
chicago,شيكاغو
forms,أشكال
glass,زجاج
happy,سعيد
tue,ثلاثاء
smith,سميث سميث
wanted,مطلوب
developed,المتقدمة
thank,شكراً
safe,آمنة
unique,فريدة من نوعها
survey,مسح
prior,سابقة
telephone,الهاتف
sport,الرياضة
ready,جاهز
feed,تغذية
animal,حيوان
sources,مصادر
mexico,مكسيكية
population,السكان
pa,ع ع
regular,العادية
secure,آمن
navigation,الملاحة
operations,العمليات
therefore,ولذلك
simply,ببساطة
evidence,الأدلة
station,محطة محطة
christian,المسيحيّة
round,الجولة
paypal,باي بال
favorite,المفضلة
understand,فهم
option,الخيار
master,سيدي
valley,وادي
recently,مؤخرا
probably,ربما
thu,ثو
rentals,الإيجارات
sea,البحر
built,بنيت
publications,المنشورات
blood,الدم الدم
cut,قطع
worldwide,حول العالم
improve,تحسين
connection,اتصال
publisher,الناشر
hall,قاعة قاعة
larger,أكبر
anti,ضد
networks,الشبكات
earth,الأرض
parents,الآباء والأمهات
nokia,نوكيا
impact,الأثر
transfer,نقل
introduction,مقدمة
kitchen,مطبخ
strong,قوي
tel,الهاتف
carolina,كارولينا
wedding,حفل زفاف
properties,خصائص
hospital,مستشفى
ground,الأرض
overview,استعراض عام
ship,السفينة
accommodation,أماكن الإقامة
owners,المالكون
disease,مرض
tx,تكس
excellent,ممتاز
paid,المدفوع
italy,إيطاليا”
perfect,مثالي
hair,الشعر
opportunity,فرصة
kit,طقم عدة
classic,الكلاسيكية
basis,أساس
command,أمر
cities,المدن
william,ويليام وليم
express,صريح
award,قرار التحكيم
distance,المسافة
tree,شجرة
peter,بيتر بيتر
assessment,التقييم
ensure,ضمان
thus,وهكذا
wall,جدار
ie,أي.
involved,المعنية
el,إل إل
extra,إضافية
especially,خاصة
interface,واجهة
partners,الشركاء
budget,الميزانية
rated,التصنيف
guides,الأدلة الإرشادية
success,النجاح
maximum,الحد الأقصى
ma,ماما
operation,عملية التشغيل
existing,القائمة
quite,تماماً
selected,مختارات
boy,صبي
amazon,الامازون
patients,المرضى
restaurants,مطاعم
beautiful,جميلة
warning,تحذير
wine,نبيذ
locations,المواقع
horse,حصان
vote,التصويت
forward,إلى الأمام
flowers,الزهور
stars,نجوم
significant,هام
lists,قوائم
technologies,التكنولوجيات
owner,المالك
retail,التجزئة
animals,الحيوانات
useful,مفيدة
directly,مباشرة
manufacturer,الصانع
ways,طرق
est,احصائيات
son,إبني
providing,توفير
rule,القاعدة
mac,ماك ماك
housing,الإسكان
takes,يأخذ
iii,(iii)
gmt,غمت
bring,أحضر
catalog,كتالوج
searches,عمليات البحث
max,ماكس
trying,محاولة
mother,الأم
authority,السلطة
considered,نظر فيها
told,قال
xml,إكس مل
traffic,حركة المرور
programme,البرنامج
joined,انضم
input,المدخلات
strategy,الاستراتيجية
feet,أقدام
agent,وكيل
valid,صالح
bin,بن بن
modern,الحديثة
senior,كبار
ireland,إيريلاند
teaching,التدريس
door,باب
grand,غراند
testing,اختبار الاختبار
trial,المحاكمة
charge,تهمة
units,الوحدات
instead,بدلا من ذلك
canadian,الكنديّة
cool,بارد
normal,عادي
wrote,كتب
enterprise,المؤسسة
ships,السفن
entire,كامل
educational,التعليمية
md,د.م
leading,الرائدة
metal,معدن
positive,إيجابي
fl,فلورنس
fitness,اللياقة البدنية
chinese,الصينية الصينية
opinion,الرأي
mb,ميغابايت
asia,آسيا آسيا
football,كرة القدم
abstract,مجردة
uses,الاستخدامات
output,الإخراج
funds,الأموال
mr,د.
greater,أكبر
likely,محتمل
develop,تطوير
employees,الموظفون
artists,الفنانون
alternative,البديل
processing,تجهيز
responsibility,المسؤولية
resolution,القرار
java,جافا
guest,ضيف
seems,يبدو
publication,منشور
pass,تمريرة
relations,العلاقات
trust,الثقة
van,فان
contains,يحتوي على
session,الدورة الثانية
multi,متعددة
photography,التصوير الفوتوغرافي
republic,الجمهورية
fees,رسوم
components,المكونات
vacation,الإجازة
century,القرن
academic,أكاديمي
assistance,المساعدة
completed,اكتمل
skin,الجلد
graphics,الرسومات
indian,هندي هندي
prev,السابقه
ads,الإعلانات
mary,ماري ماري
il,ايل
expected,المتوقع
ring,خاتم
grade,الصف
dating,التي يرجع تاريخها
pacific,المحيط الهادئ
mountain,الجبل
organizations,المنظمات
pop,البوب
filter,فلتر
mailing,البريد
vehicle,مركبة
longer,أطول
consider,النظر
int,الدوليّة
northern,الشمالية
behind,خلف
panel,لوحة
floor,الطابق الأرضي
german,الألمانية
buying,شراء
match,مباراة
proposed,المقترح
default,الافتراضي
require,تتطلب
iraq,العراق”
boys,الأولاد
outdoor,الهواء الطلق
deep,عميق
morning,صباح الخير
otherwise,خلاف ذلك
allows,يسمح
rest,بقية
protein,البروتين
plant,مصنع مصنع
reported,المبلغ عنها
hit,ضرب
transportation,النقل
mm,ملم
pool,حوض السباحة
mini,ميني ميني
politics,السياسة
partner,شريك
disclaimer,إخلاء المسؤولية
authors,المؤلفون
boards,لوحات
faculty,أعضاء هيئة التدريس
parties,الأطراف
fish,سمك
membership,العضوية
mission,البعثة
eye,العين
string,سلسلة نص
sense,إحساس
modified,معدلة
pack,حزمة حزمة
released,أطلق سراحه
stage,مرحلة
internal,داخلي داخلي
goods,السلع
recommended,موصى به
born,ولد
unless,إلا إذا
richard,ريتشارد ريتشارد
detailed,مفصلة
japanese,ياباني
race,سباق
approved,الموافق عليها
background,الخلفية
target,الهدف
except,باستثناء
character,حرف
usb,الولايات المتحدة(ب)
maintenance,الصيانة
ability,القدرة
maybe,ربما
functions,وظائف
ed,إد.
moving,تتحرك
brands,العلامات التجارية
places,أماكن
php,بي إتش بي
pretty,جميلة
trademarks,العلامات التجارية
phentermine,فينترمين
spain,إسبانيا”
southern,الجنوبية
yourself,نفسك
etc,الخ
winter,الشتاء
battery,بطارية البطارية
youth,الشباب
pressure,الضغط
submitted,قُدمت
boston,بوستون
debt,الديون
keywords,الكلمات الرئيسية
medium,متوسطة
television,تلفاز
interested,مهتم
core,الأساسية
break,استراحة
purposes,الأغراض
throughout,في جميع أنحاء
sets,مجموعات
dance,الرقص
wood,خشب
msn,مسن
itself,نفسه
defined,تعريف
papers,أوراق
playing,اللعب
awards,الجوائز
fee,رسوم
studio,استوديو
reader,القارئ
virtual,الظاهري
device,الجهاز
established,المنشأة
answers,أجوبة
rent,إيجار
las,لاس فيغاس
remote,عن بعد
dark,الظلام الداكن
programming,البرمجة
external,خارجي
apple,تفاح
le,ليه
regarding,بشأن
instructions,تعليمات
min,دقيقة
offered,عرضت
theory,نظرية
enjoy,استمتع
remove,إزالة
aid,المعونة
surface,سطح
minimum,الحد الأدنى
visual,مرئي
host,المضيف
variety,متنوعة
teachers,المعلمون
isbn,إسبن
martin,مارتن مارتن
manual,دليل
block,كتلة
subjects,المواضيع
agents,الوكلاء
increased,زيادة
repair,إصلاح
fair,عادل
civil,مدني
steel,الصلب
understanding,الفهم
songs,أغاني
fixed,ثابت
wrong,خطأ
beginning,البداية
hands,الأيدي
associates,الزميلة
finally,أخيراً
az,آز
updates,التحديثات
desktop,سطح المكتب
classes,الفصول الدراسية
paris,باريس باريس
ohio,أوهيو
gets,يحصل
sector,القطاع
capacity,القدرة
requires,يتطلب
jersey,جيرسي جيرسي
un,م ع
fat,الدهون
fully,بالكامل
father,أب
electric,كهربائي كهربائي
saw,المنشار
instruments,الصكوك
quotes,اقتباسات
officer,ضابط
driver,سائق
businesses,الأعمال التجارية
