"seed","size","mode","template","attempt","row","col","direction","length","pattern","constraints","liveDomain","fullPoolMatches","fullPoolUnused","sampledUnused","reason","observerReason"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","2","down","13","??L??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""L""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""A"",""C"",""D"",""E"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","0","1","0","0","used-word exhaustion","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","1","0","across","4","????","[{""position"":0,""characters"":[""A"",""O"",""R"",""U""]},{""position"":1,""characters"":[""A"",""C"",""E"",""G"",""H"",""I"",""N"",""R"",""S"",""T"",""U"",""Y""]},{""position"":2,""characters"":[""A"",""I""]},{""position"":3,""characters"":[""A"",""E""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","1","down","3","?AO","[{""position"":0,""characters"":[""A"",""D"",""E"",""L"",""N""]},{""position"":1,""characters"":[""A""]},{""position"":2,""characters"":[""O""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","3","7","across","6","??????","[{""position"":0,""characters"":[""C"",""D"",""F"",""H"",""L"",""M"",""N"",""R"",""T"",""V"",""W""]},{""position"":1,""characters"":[""A"",""E"",""I"",""O"",""U""]},{""position"":2,""characters"":[""A"",""E""]},{""position"":3,""characters"":[""E"",""F"",""O"",""U""]},{""position"":4,""characters"":[""C"",""D"",""E"",""H"",""I"",""K"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""V"",""W""]},{""position"":5,""characters"":[""A"",""C"",""L"",""N"",""O"",""T"",""U"",""Y""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","3","2","across","3","R??","[{""position"":0,""characters"":[""R""]},{""position"":1,""characters"":[""C"",""D"",""F"",""G"",""H"",""L"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""W"",""Y""]},{""position"":2,""characters"":[""A"",""E"",""I"",""O"",""U""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","10","down","13","??P??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""P""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","0","1","0","0","used-word exhaustion","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","1","down","3","??O","[{""position"":0,""characters"":[""A"",""E"",""K"",""N"",""W""]},{""position"":1,""characters"":[""D"",""I"",""O""]},{""position"":2,""characters"":[""O""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","10","0","across","13","??I???????I??","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""I""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""N"",""O"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""I""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""U"",""Y""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","4","10","across","3","TY?","[{""position"":0,""characters"":[""T""]},{""position"":1,""characters"":[""Y""]},{""position"":2,""characters"":[""E"",""S"",""T"",""W""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","3","2","across","3","???","[{""position"":0,""characters"":[""M"",""S""]},{""position"":1,""characters"":[""A"",""C"",""E"",""T"",""Y""]},{""position"":2,""characters"":[""O"",""S""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","11","0","across","4","?AN?","[{""position"":0,""characters"":[""I"",""O"",""T""]},{""position"":1,""characters"":[""A""]},{""position"":2,""characters"":[""N""]},{""position"":3,""characters"":[""A"",""E"",""T""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","0","across","3","??C","[{""position"":0,""characters"":[""A"",""L"",""P"",""W""]},{""position"":1,""characters"":[""D"",""E"",""L""]},{""position"":2,""characters"":[""C""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","11","down","5","??NN?","[{""position"":0,""characters"":[""E"",""H"",""O"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""N"",""O"",""R"",""W""]},{""position"":2,""characters"":[""N""]},{""position"":3,""characters"":[""N""]},{""position"":4,""characters"":[""D"",""E"",""L"",""O"",""P"",""R""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","4","10","across","3","??S","[{""position"":0,""characters"":[""F"",""I"",""M"",""R""]},{""position"":1,""characters"":[""E"",""N""]},{""position"":2,""characters"":[""S""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","2","down","13","??S??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""S""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","0","1","0","0","used-word exhaustion","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","10","down","13","??S??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""S""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","0","1","0","0","used-word exhaustion","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","10","down","13","??A??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""A""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""C"",""D"",""E"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","0","1","0","0","used-word exhaustion","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","2","down","13","??A??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""A""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""C"",""D"",""E"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","0","1","0","0","used-word exhaustion","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","2","down","13","??D??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""D""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""A"",""C"",""E"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","0","1","0","0","used-word exhaustion","arc-support"
