"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"671","1","FRIENDS","الاصدقاء","review","msa","medium","","","","","noun","orthography-review","FRIENDS — الاصدقاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","671:1","الأصدقاء","false"
"671","2","FRIENDS","صديقان","review","msa","medium","","","","","noun","construction-or-sense-review","FRIENDS — صديقان: صديقان denotes two friends. Dual morphology is not intrinsically wrong, but the intended unqualified plural sense needs review.","AI-assisted linguistic review","[]","671:2","الأصدقاء","false"
"672","1","SURE","اكيد","review","msa","medium","","","","","adjective/adverb","orthography-review","SURE — اكيد: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","672:1","متأكد","false"
"672","2","SURE","متاكد","review","msa","medium","","","","","adjective/adverb","orthography-review","SURE — متاكد: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","672:2","متأكد","false"
"674","1","EDITION","اصدار","review","msa","medium","","","","","noun","orthography-review","EDITION — اصدار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","674:1","الطبعة","false"
"674","3","EDITION","الاصدار","review","msa","medium","","","","","noun","orthography-review","EDITION — الاصدار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","674:3","الطبعة","false"
"678","0","TELL","اخبر","review","msa","medium","","","","","verb","orthography-review","TELL — اخبر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","678:0","أخبر","false"
"680","1","UPDATED","تحديث","review","msa","medium","","","","","adjective","construction-or-sense-review","UPDATED — تحديث: تحديث is updating/update action; UPDATED may require a result-state reading. Defer rather than automatically reject Arabic masdar forms.","AI-assisted linguistic review","[]","680:1","تحديث","true"
"683","0","HAVING","وجود","review","msa","medium","","","","","verb","construction-or-sense-review","HAVING — وجود: وجود denotes presence/existence; having can express possession and this relationship needs construction evidence.","AI-assisted linguistic review","[]","683:0","وجود","true"
"688","0","GREEN","اخضر","review","msa","medium","","","","","adjective","orthography-review","GREEN — اخضر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","688:0","أخضر","false"
"688","3","GREEN","الاخضر","review","msa","medium","","","","","adjective","orthography-review","GREEN — الاخضر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","688:3","أخضر","false"
"690","3","CLOSE","اغلاق","review","msa","medium","","","","","adjective/verb","orthography-review","CLOSE — اغلاق: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","690:3","إغلاق","false"
"690","4","CLOSE","اغلق","review","msa","medium","","","","","adjective/verb","orthography-review","CLOSE — اغلق: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","690:4","إغلاق","false"
"695","1","GOLD","جولد","review","uncertain","high","false","false","false","false","noun/adjective","unsuitable-unclassified","GOLD — جولد: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","695:1","ذهبي","false"
"695","2","GOLD","غولد","review","uncertain","high","false","false","false","false","noun/adjective","unsuitable-unclassified","GOLD — غولد: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","695:2","ذهبي","false"
"699","2","CALLED","يسمى","review","msa","medium","","","","","verb","construction-or-sense-review","CALLED — يسمى: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","699:2","يسمى","true"
"700","3","SHORT","شورت","review","uncertain","high","false","false","false","false","adjective","unsuitable-unclassified","SHORT — شورت: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","700:3","قصيرة","false"
"703","0","ASK","اسال","review","msa","medium","","","","","verb","orthography-review","ASK — اسال: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","703:0","اسأل","false"
"705","4","LIMITED","محدودية","review","msa","medium","","","","","adjective","construction-or-sense-review","LIMITED — محدودية: محدودية is limitedness; a property noun may be natural in context, but the standalone adjective mapping is unresolved.","AI-assisted linguistic review","[]","705:4","محدودة","false"
"706","0","POWERED","مدعوم","review","msa","medium","","","","","adjective","construction-or-sense-review","POWERED — مدعوم: مدعوم is supported; powered by can have that figurative sense, but the intended construction remains unresolved.","AI-assisted linguistic review","[]","706:0","مدعوم","true"
"708","1","MEANS","يعنى","review","msa","medium","","","","","noun/verb","orthography-review","MEANS — يعنى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","708:1","يعني","false"
"711","1","BEACH","شاطيء","review","msa","medium","","","","","noun","orthography-review","BEACH — شاطيء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","711:1","الشاطئ","false"
"711","3","BEACH","بيتش","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","BEACH — بيتش: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","711:3","الشاطئ","false"
"711","4","BEACH","الشاطيء","review","msa","medium","","","","","noun","orthography-review","BEACH — الشاطيء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","711:4","الشاطئ","false"
"712","0","PAST","الماضى","review","msa","medium","","","","","noun/adjective","orthography-review","PAST — الماضى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","712:0","الماضي","false"
"716","0","ELECTRONICS","الالكترونيات","review","msa","medium","","","","","noun","orthography-review","ELECTRONICS — الالكترونيات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","716:0","الإلكترونيات","false"
"717","1","FIVE","خمسه","review","msa","medium","","","","","numeral","orthography-review","FIVE — خمسه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","717:1","خمسة.","false"
"726","0","LAND","ارض","review","msa","medium","","","","","noun","orthography-review","LAND — ارض: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","726:0","الأرض","false"
"726","1","LAND","اراض","review","msa","medium","","","","","noun","orthography-review","LAND — اراض: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","726:1","الأرض","false"
"726","2","LAND","الارض","review","msa","medium","","","","","noun","orthography-review","LAND — الارض: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","726:2","الأرض","false"
