"sampleIndex","sourceId","english","arabic","field","before","after","category","confidence","reason","applied"
"95","234:1","STATES","الولايات","preferredForArToEn","false","","preferred-direction issue","high","الولايات denotes states. A mandates reading is not a same-length competitor and should not alone prohibit STATES.","true"
"105","496:0","PERSON","شخص","preferredForArToEn","false","","preferred-direction issue","high","شخص is a person; SOMEONE is a pronoun with a different length. The restriction conflates lexical category and word length.","true"
"118","387:1","SOURCE","مصدر","preferredForArToEn","true","false","preferred-direction issue","high","مصدر may mean source or origin. SOURCE and ORIGIN both have six letters; absence of a collision in the dictionary does not establish fairness.","true"
"122","173:0","SET","ضبط","partOfSpeech","noun","verb","POS/sense issue","high","ضبط can represent set/adjust as a verb. Calling it a noun meaning adjustment under SET is the wrong POS linkage; label the verb sense explicitly.","true"
"122","173:0","SET","ضبط","sense","adjustment","adjust or set equipment","POS/sense issue","high","ضبط can represent set/adjust as a verb. Calling it a noun meaning adjustment under SET is the wrong POS linkage; label the verb sense explicitly.","true"
"123","344:3","OLD","قديم","preferredForArToEn","false","","preferred-direction issue","high","قديم means old. ANCIENT is a valid narrower meaning but has a different length; ordinary OLD remains fair.","true"
"131","21:0","AS","حسب","register","uncertain","msa","register issue","high","حسب is standard Arabic for according to/as depending on context. Context review is warranted, not uncertain register.","true"
"132","272:2","FOUND","وجدت","register","uncertain","msa","register issue","high","وجدت is a standard inflected found form; subject/tense ambiguity remains unresolved. It is not evidence of dialect.","true"
"134","417:2","ESTATE","العقارات","register","uncertain","msa","register issue","high","العقارات is standard real-property vocabulary. ESTATE can overlap but its particular sense needs specification; register is not uncertain.","true"
"139","337:2","LEVEL","الرتبة","register","uncertain","msa","register issue","high","الرتبة is standard rank/grade. Its overlap with LEVEL is context-dependent; keeping review is conservative and reasonable.","true"
"142","154:0","EACH","لكل منها","register","uncertain","msa","register issue","high","لكل منها means for each of them, with an added preposition and complement. Standard phrase, but not a certified bare EACH equivalent.","true"
"144","70:3","WEB","شبكة الإنترنت","status","approved","review","serious approval/rejection error","high","شبكة الإنترنت denotes the Internet network, not specifically the Web. Broad approval conflates related concepts; require a precise sense review.","true"
"144","70:3","WEB","شبكة الإنترنت","preferredForEnToAr","","false","preferred-direction issue","high","شبكة الإنترنت denotes the Internet network, not specifically the Web. Broad approval conflates related concepts; require a precise sense review.","true"
"144","70:3","WEB","شبكة الإنترنت","preferredForArToEn","","false","preferred-direction issue","high","شبكة الإنترنت denotes the Internet network, not specifically the Web. Broad approval conflates related concepts; require a precise sense review.","true"
