"sampleStratum","baselineStatus","baselineRegister","baselinePos","baselineSense","baselineEnPreference","baselineArPreference","baselineReverseReason","referenceConflict","sampleIndex","headwordIndex","translationIndex","english","arabic","headwordSuitability","semanticAssessment","naturalDisplayAssessment","qaStatus","qaRegister","statusAgreement","registerAgreement","posAgreement","senseAgreement","enPreferenceAgreement","arPreferenceAgreement","reverseClassification","reverseRestrictionAgreement","reason","reviewer","sources","changes"
"approved","approved","msa","noun","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CONFLUENCE, JUNCTION, RENDEZVOUS. Does not restrict EN → AR.","false","13","242","4","FORUM","الملتقى","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","probably too restrictive","false","الملتقى can name a forum or gathering; geographical confluence is a different sense, not proof every forum clue is unfair.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""الملتقى can name a forum or gathering; geographical confluence is a different sense, not proof every forum clue is unfair."",""applied"":false}]"
"approved","approved","msa","noun","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WORKS. Does not restrict EN → AR.","false","14","68","3","BUSINESS","الأعمال","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","probably too restrictive","false","الأعمال is idiomatic for business activities; plural Arabic is legitimate for this English mass/activity noun.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""الأعمال is idiomatic for business activities; plural Arabic is legitimate for this English mass/activity noun."",""applied"":false}]"
"approved","approved","msa","noun","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WAREHOUSES. Does not restrict EN → AR.","false","15","514","4","STORES","مخازن","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","probably too restrictive","false","مخازن denotes stores/storehouses, not just retail shops; this is a valid storage-place sense.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""مخازن denotes stores/storehouses, not just retail shops; this is a valid storage-place sense."",""applied"":false}]"
"approved","approved","msa","noun","method","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to MANNER, METHOD. Does not restrict EN → AR.","false","16","187","3","WAY","الطريقة","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","true","","","probably too restrictive","false","الطريقة means a method or way; ordinary equivalence, with different-length common English alternatives.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""الطريقة means a method or way; ordinary equivalence, with different-length common English alternatives."",""applied"":false}]"
"approved","approved","msa","noun","display","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DISPLAY, DISPLAYED, DISPLAYING, OFFER, OFFERING, PRESENTATION, PRESENTED, SHOW, SHOWCASE, SHOWING, SUPPLY, WIDTH. Does not restrict EN → AR.","false","17","75","0","VIEW","عرض","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","true","","","clearly justified","true","عرض works for a software/display view, but also SHOW of the same length; retain the display sense distinction.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","verb","","","","","false","18","461","1","SAY","نقول","suitable general vocabulary","context, inflection or written form requires review","standard Arabic expression","review","msa","false","true","true","","","","","","نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""status"",""before"":""approved"",""after"":""review"",""category"":""serious approval/rejection error"",""confidence"":""high"",""reason"":""نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first."",""applied"":true},{""field"":""preferredForEnToAr"",""before"":null,""after"":false,""category"":""preferred-direction issue"",""confidence"":""high"",""reason"":""نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first."",""applied"":true},{""field"":""preferredForArToEn"",""before"":null,""after"":false,""category"":""preferred-direction issue"",""confidence"":""high"",""reason"":""نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first."",""applied"":true}]"
"approved","approved","msa","noun","region","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DISTRICT, REGION, ZONE. Does not restrict EN → AR.","false","19","235","3","AREA","المنطقة","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","true","","","clearly justified","true","المنطقة is an area/region; ZONE is a genuine same-length alternative to AREA.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","conjunction","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to LOU. Does not restrict EN → AR.","false","20","35","0","IF","لو","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","clearly too restrictive","false","لو is valid for hypothetical/counterfactual if. A personal-name LOU collision is irrelevant to general vocabulary.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""high"",""reason"":""لو is valid for hypothetical/counterfactual if. A personal-name LOU collision is irrelevant to general vocabulary."",""applied"":true}]"
"approved","approved","msa","adjective","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to BEST, FINEST. Does not restrict EN → AR.","false","21","460","2","BETTER","أفضل","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","probably too restrictive","false","أفضل legitimately expresses better or best depending on construction; the English answer length resolves BETTER versus BEST.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""أفضل legitimately expresses better or best depending on construction; the English answer length resolves BETTER versus BEST."",""applied"":false}]"
"approved","approved","msa","noun","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WEBB. Does not restrict EN → AR.","false","22","70","1","WEB","الويب","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","clearly too restrictive","false","الويب is a standard modern borrowing for the Web; WEBB is a name, not another translation of the concept.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""high"",""reason"":""الويب is a standard modern borrowing for the Web; WEBB is a name, not another translation of the concept."",""applied"":true}]"
"approved","approved","msa","noun","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to GUY. Does not restrict EN → AR.","false","23","382","0","MAN","رجل","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","clearly justified","true","رجل is an adult man; GUY is a real same-length colloquial English synonym, so ambiguity is not invented.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","","","","false","24","361","2","QUALITY","الجودة","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","","","الجودة denotes quality or excellence, an ordinary mass noun.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","preposition / conjunction","","","","","false","25","138","0","AFTER","بعدما","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","false","","","","","","بعدما introduces a clause meaning after; its POS here is conjunction, not the preposition after before a noun.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""partOfSpeech"",""before"":""preposition / conjunction"",""after"":""conjunction"",""category"":""POS/sense issue"",""confidence"":""high"",""reason"":""بعدما introduces a clause meaning after; its POS here is conjunction, not the preposition after before a noun."",""applied"":true}]"
"approved","approved","msa","adjective","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to FINANCE, FINANCES. Does not restrict EN → AR.","false","26","490","2","FINANCIAL","المالية","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","probably too restrictive","false","المالية is a feminine definite financial adjective in context; FINANCE is a different grammatical reading and length.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""المالية is a feminine definite financial adjective in context; FINANCE is a different grammatical reading and length."",""applied"":false}]"
"approved","approved","msa","noun","","","","","false","27","526","3","STORY","القصة","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","","","القصة is an ordinary story noun; definiteness does not make the relationship invalid.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DESIGNING, LAYOUT, STYLING. Does not restrict EN → AR.","false","28","227","1","DESIGN","التصميم","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","clearly justified","true","التصميم denotes design. LAYOUT has the same length and can overlap in the relevant sense, so reverse caution is reasonable.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to VALUABLE, VALUED, WORTH. Does not restrict EN → AR.","false","29","379","1","VALUE","قيمة","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","clearly justified","true","قيمة is value or worth; VALUE and WORTH are genuine same-length alternatives.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","","","","false","30","148","1","RIGHTS","الحقوق","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","","","الحقوق is plural rights; it need not be changed to a singular abstract noun.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","","","","false","31","298","0","ACCESS","النفاذ","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","","","النفاذ can mean access, especially administrative/computing access; valid standard usage although not always the simplest learner choice.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CONDUCT, DISPOSITION. Does not restrict EN → AR.","false","32","516","3","ACT","تصرف","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","probably too restrictive","false","تصرف can name an act or behavior. CONDUCT and DISPOSITION are different lengths; collision counting overstates exclusion evidence.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""تصرف can name an act or behavior. CONDUCT and DISPOSITION are different lengths; collision counting overstates exclusion evidence."",""applied"":false}]"
"approved","approved","msa","noun","","","","","false","33","434","0","JUNE","حزيران","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","","","حزيران is a regional standard Arabic month name, not slang; it denotes June.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","adverb","","true","","","false","34","51","0","UP","فوق","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","","","فوق expresses up/above; suitable spatial adverb, with context-dependent alternatives.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DRAFT, VENTURE. Does not restrict EN → AR.","false","35","266","1","PROJECT","المشروع","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","probably too restrictive","false","المشروع is a project; its proposal/draft readings do not automatically make PROJECT an unfair answer.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""المشروع is a project; its proposal/draft readings do not automatically make PROJECT an unfair answer."",""applied"":false}]"
"approved","approved","msa","noun","","","","","false","36","435","2","OCTOBER","تشرين الأول","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","","","تشرين الأول is standard Arabic for October; multiword and regional-standard usage are both legitimate.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to LOCATED, SITE. Does not restrict EN → AR.","false","37","320","1","LOCATION","الموقع","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","probably too restrictive","false","الموقع can be a location or site; both ordinary meanings are valid, but word lengths differ.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""الموقع can be a location or site; both ordinary meanings are valid, but word lengths differ."",""applied"":false}]"
"approved","approved","msa","noun","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to SOUTHERN. Does not restrict EN → AR.","false","38","264","3","SOUTH","جنوب","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","clearly too restrictive","false","جنوب is the direction south. SOUTHERN is an adjective, so the logged collision is grammatically mismatched.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""high"",""reason"":""جنوب is the direction south. SOUTHERN is an adjective, so the logged collision is grammatically mismatched."",""applied"":true}]"
"approved","approved","msa","noun","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CLASSIFICATION, RATED, RATINGS. Does not restrict EN → AR.","false","39","325","3","RATING","تصنيف","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","probably too restrictive","false","تصنيف can be a rating/classification; RATED/RATINGS are not identical forms, and CLASSIFICATION differs in length.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""تصنيف can be a rating/classification; RATED/RATINGS are not identical forms, and CLASSIFICATION differs in length."",""applied"":false}]"
"rejected","rejected","uncertain","","","false","false","","false","40","257","0","MUCH","ماتش","suitable general vocabulary","incorrect as an isolated equivalent","not certified as natural MSA","rejected","uncertain","true","true","","","","","","","ماتش resembles match, not the quantity much. No sound general-vocabulary relationship is established.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"rejected","rejected","uncertain","","","false","false","","false","41","244","0","LONG","لونغ","suitable general vocabulary","incorrect as an isolated equivalent","not certified as natural MSA","rejected","uncertain","true","true","","","","","","","لونغ is a name/transliteration, not the MSA adjective طويل; reject the relationship without inventing a translation.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"rejected","rejected","msa","","","false","false","","false","42","495","1","TAX","ضرائب","suitable general vocabulary","incorrect as an isolated equivalent","standard Arabic expression","rejected","msa","true","true","","","","","","","ضرائب is plural taxes, while TAX is singular. Retain rejection under the explicit noun-number convention.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"rejected","rejected","msa","","","false","false","","true","43","474","2","CART","عربة التسوق","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","false","true","","","","","","","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[""https://dictionary.cambridge.org/us/dictionary/english-arabic/cart""]","[{""field"":""status"",""before"":""rejected"",""after"":""approved"",""category"":""serious approval/rejection error"",""confidence"":""high"",""reason"":""In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion."",""applied"":true},{""field"":""partOfSpeech"",""before"":null,""after"":""noun"",""category"":""POS/sense issue"",""confidence"":""high"",""reason"":""In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion."",""applied"":true},{""field"":""sense"",""before"":null,""after"":""shopping cart (US usage)"",""category"":""POS/sense issue"",""confidence"":""high"",""reason"":""In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion."",""applied"":true},{""field"":""preferredForEnToAr"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""high"",""reason"":""In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion."",""applied"":true},{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""high"",""reason"":""In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion."",""applied"":true}]"
"rejected","rejected","dialect","","","false","false","","false","44","53","3","WHAT","شنو","suitable general vocabulary","incorrect as an isolated equivalent","dialect","rejected","dialect","true","true","","","","","","","شنو is colloquial what, not standard ماذا/ما; rejection is appropriate for an MSA-only learning pool.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"rejected","rejected","msa","","","false","false","","true","45","438","2","LIBRARY","المكتبة العامة","suitable general vocabulary","context, inflection or written form requires review","standard Arabic expression","review","msa","false","true","","","","","","","المكتبة العامة is a real public-library subtype. Narrowness alone does not prove mistranslation; defer context/preference rather than label it categorically wrong.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""status"",""before"":""rejected"",""after"":""review"",""category"":""semantic translation issue"",""confidence"":""high"",""reason"":""المكتبة العامة is a real public-library subtype. Narrowness alone does not prove mistranslation; defer context/preference rather than label it categorically wrong."",""applied"":true}]"
