"sampleIndex","sourceId","english","arabic","field","before","after","category","confidence","reason","applied"
"38","264:3","SOUTH","جنوب","preferredForArToEn","false","","preferred-direction issue","high","جنوب is the direction south. SOUTHERN is an adjective, so the logged collision is grammatically mismatched.","true"
"39","325:3","RATING","تصنيف","preferredForArToEn","false","","preferred-direction issue","medium","تصنيف can be a rating/classification; RATED/RATINGS are not identical forms, and CLASSIFICATION differs in length.","false"
"43","474:2","CART","عربة التسوق","status","rejected","approved","serious approval/rejection error","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"43","474:2","CART","عربة التسوق","partOfSpeech","","noun","POS/sense issue","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"43","474:2","CART","عربة التسوق","sense","","shopping cart (US usage)","POS/sense issue","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"43","474:2","CART","عربة التسوق","preferredForEnToAr","false","","preferred-direction issue","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"43","474:2","CART","عربة التسوق","preferredForArToEn","false","","preferred-direction issue","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"45","438:2","LIBRARY","المكتبة العامة","status","rejected","review","semantic translation issue","high","المكتبة العامة is a real public-library subtype. Narrowness alone does not prove mistranslation; defer context/preference rather than label it categorically wrong.","true"
"46","430:2","GALLERY","معرض الصور","status","rejected","approved","serious approval/rejection error","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"46","430:2","GALLERY","معرض الصور","partOfSpeech","","noun","POS/sense issue","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"46","430:2","GALLERY","معرض الصور","sense","","display or collection of pictures","POS/sense issue","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"46","430:2","GALLERY","معرض الصور","preferredForEnToAr","false","","preferred-direction issue","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"46","430:2","GALLERY","معرض الصور","preferredForArToEn","false","","preferred-direction issue","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"50","63:0","SO","أجل.","register","uncertain","msa","register issue","high","أجل is standard affirmative yes, not a general translation of so. Register and semantic correctness must be assessed separately.","true"
"53","271:1","OWN","الخاصة بك","status","rejected","review","semantic translation issue","high","الخاصة بك can express your own in a possessive construction. It is context-bound, but categorical rejection solely for the possessive is too strong.","true"
"55","14:1","YOU","انتي","status","rejected","review","semantic translation issue","high","انتي may represent a colloquial spelling or a misspelling of standard أنتِ. Script alone does not establish dialect with high confidence; keep unresolved.","true"
"55","14:1","YOU","انتي","register","dialect","uncertain","register issue","high","انتي may represent a colloquial spelling or a misspelling of standard أنتِ. Script alone does not establish dialect with high confidence; keep unresolved.","true"
"60","279:3","AMERICAN","الامريكي","register","uncertain","msa","register issue","high","الامريكي has a recoverable hamza omission in a standard adjective. Keep orthography review, but the missing hamza is not evidence of uncertain register.","true"
"61","300:1","NORTH","شمالي","register","uncertain","msa","register issue","high","شمالي is northern/northerly. NORTH can be attributive, but that convention is not settled; the Arabic adjective itself is standard.","true"
"62","77:0","FIRST","اول","register","uncertain","msa","register issue","high","اول intends أول. Standard-register adjective with unresolved written hamza, not an unknown register.","true"
"63","252:0","PRICES","اسعار","register","uncertain","msa","register issue","high","اسعار intends أسعار, a standard plural noun; retain spelling review separately from register.","true"
"64","215:1","SEND","ارسال","register","uncertain","msa","register issue","high","ارسال intends إرسال, a verbal noun. Both hamza and verb-versus-masdar convention need review; register is standard.","true"
"65","369:0","SAVE","حفظ","register","uncertain","msa","register issue","high","حفظ can be saving/preservation or a past-form verb. It is standard Arabic, but bare SAVE needs a consistent verb-entry convention.","true"
"66","112:3","USED","استخدمت","register","uncertain","msa","register issue","high","استخدمت is a standard person-marked past form. USED can be past or adjective; context is missing, not register evidence.","true"
"68","176:2","RESEARCH","ابحاث","register","uncertain","msa","register issue","high","ابحاث intends أبحاث. It is a standard research noun with an orthographic omission, so register uncertainty conflates two different questions.","true"
"69","186:3","GAMES","العاب","register","uncertain","msa","register issue","high","العاب intends ألعاب; missing hamza merits spelling review, not a dialect/unknown-register conclusion.","true"
"70","25:1","NEW","جدد","status","review","approved","semantic translation issue","high","جدد is the legitimate masculine plural adjective new, as with new teachers. Gender/number alternatives were accepted elsewhere and should be treated consistently.","true"
"70","25:1","NEW","جدد","partOfSpeech","","adjective","POS/sense issue","high","جدد is the legitimate masculine plural adjective new, as with new teachers. Gender/number alternatives were accepted elsewhere and should be treated consistently.","true"
"71","452:0","SECOND","ثانيا","register","uncertain","msa","register issue","high","ثانيا is the adverb secondly rather than a simple ordinal noun. The Arabic is standard; grammatical correspondence still needs context.","true"
"72","354:1","ANOTHER","اخرى","register","uncertain","msa","register issue","high","اخرى intends أخرى, a standard feminine adjective. Orthography review remains appropriate.","true"
"73","26:2","MORE","اكثر","register","uncertain","msa","register issue","high","اكثر intends أكثر, a standard comparative/quantifier. Review the hamza without treating register as unknown.","true"
"74","321:3","CHANGE","غير","register","uncertain","msa","register issue","high","غير has standard adjective/noun/verb readings including other/change depending on vocalization. Unresolved POS is not uncertain register.","true"
"75","6:0","FOR","لاجل","register","uncertain","msa","register issue","high","لاجل intends لأجل, a standard prepositional expression. Keep orthography review; do not rewrite automatically.","true"
"76","96:3","TOP","الاعلى","register","uncertain","msa","register issue","high","الاعلى intends الأعلى, a standard superlative adjective. Missing hamza is a written-form issue.","true"
"77","491:0","THINGS","اشياء","register","uncertain","msa","register issue","high","اشياء intends أشياء, a standard plural noun. Retain spelling review with MSA register.","true"
"79","76:1","ONLINE","على الانترنت","register","uncertain","msa","register issue","high","على الانترنت is an ordinary online phrase with hamza omission. Multiword form is valid; only orthography remains uncertified.","true"
"80","93:3","PRICE","سعر","preferredForArToEn","false","","preferred-direction issue","high","سعر is the ordinary price noun; the past participle PRICED cannot by itself justify reverse exclusion.","true"
"82","285:3","CARE","الرعاية","preferredForArToEn","false","","preferred-direction issue","medium","الرعاية is care; sponsorship is a contextual extension, not enough alone to reject CARE as a clue answer.","false"
"83","28:1","WAS","كان","preferredForArToEn","false","","preferred-direction issue","high","كان is an ordinary was equivalent. HAD without possession/perfect context is not an independent same-sense competitor.","true"
"85","485:0","USERS","المستخدمون","preferredForArToEn","false","","preferred-direction issue","high","المستخدمون is users. An unvowelled employed reading does not justify rejecting the plural noun USERS categorically.","true"
"86","413:3","LOOK","انظر","preferredForArToEn","false","","preferred-direction issue","medium","انظر is a standard look imperative. SEE and archaic LO have different lengths; the logged list exaggerates ambiguity.","false"
"87","331:0","RETURN","العودة","preferredForArToEn","false","","preferred-direction issue","medium","العودة is return or comeback; the word-length distinction makes a blanket ban unnecessarily cautious.","false"
"88","302:1","CURRENT","تيار","preferredForArToEn","false","","preferred-direction issue","medium","تيار denotes a current or stream. The clue is broad, but these English nouns have different lengths.","false"
"89","145:0","WELL","حسنا","preferredForArToEn","false","","preferred-direction issue","medium","حسنا can be well/all right; OKAY alone is not grounds to ban a different-length WELL clue.","false"
"90","483:1","APRIL","نيسان","preferredForArToEn","false","","preferred-direction issue","high","نيسان is standard April. NISSAN is a brand and has a different length; neither is good evidence for excluding APRIL.","true"
"91","321:4","CHANGE","تغير","preferredForArToEn","false","","preferred-direction issue","high","تغير is a standard change noun when read تغيّر. The English past form CHANGED alone is not a valid exclusion argument.","true"
"94","399:0","TEEN","المراهق","preferredForArToEn","false","","preferred-direction issue","medium","المراهق is a teen/teenager, an age-category noun. Adolescent and teenager have different lengths, so the exclusion is excessive.","false"
"95","234:1","STATES","الولايات","preferredForArToEn","false","","preferred-direction issue","high","الولايات denotes states. A mandates reading is not a same-length competitor and should not alone prohibit STATES.","true"
"96","503:4","PAYMENT","دفع","preferredForArToEn","false","","preferred-direction issue","medium","دفع is payment in a financial sense but also pushing; PAY/PAYING/PAYMENTS do not share PAYMENT's length. A global hard restriction needs stronger context analysis.","false"
"97","96:4","TOP","أعلى","preferredForArToEn","false","","preferred-direction issue","medium","أعلى can mean top/higher/highest. The comparative/superlative distinction deserves context, but all logged competitors are longer than TOP.","false"
"98","391:1","LEARN","تعلم","preferredForArToEn","false","","preferred-direction issue","medium","تعلم can represent learn or learning depending on vocalization. The ambiguity deserves thought, but LEARNING alone has a different answer length.","false"
"102","201:3","STORE","متجر","preferredForArToEn","false","","preferred-direction issue","medium","متجر is a store/shop. Both are basic valid words; different lengths make blanket rejection unnecessarily strong.","false"
"103","404:2","CREDIT","رصيد","preferredForArToEn","false","","preferred-direction issue","medium","رصيد is an account balance or credit; ambiguity is real semantically, but the answer lengths differ.","false"
"105","496:0","PERSON","شخص","preferredForArToEn","false","","preferred-direction issue","high","شخص is a person; SOMEONE is a pronoun with a different length. The restriction conflates lexical category and word length.","true"
"106","351:0","TITLE","اللقب","preferredForArToEn","false","","preferred-direction issue","medium","اللقب can mean a title, nickname or surname; TITLE is a legitimate appellation sense, with longer competitors.","false"
"107","155:3","LINKS","الروابط","preferredForArToEn","false","","preferred-direction issue","medium","الروابط can mean links or ties. Their different lengths should be considered before exclusion.","false"
"108","275:0","RELATED","ذات صلة","preferredForArToEn","false","","preferred-direction issue","medium","ذات صلة is related/relevant. RELEVANT differs in length, and RELATE/RELATES differ in grammar; the phrase is useful.","false"
"109","219:2","LOCAL","المحلية","preferredForArToEn","false","","preferred-direction issue","medium","المحلية is a standard feminine local adjective. DOMESTIC is a different-length alternative, not sufficient exclusion evidence.","false"
"110","213:0","HOTELS","فنادق","preferredForArToEn","true","false","preferred-direction issue","medium","فنادق is hotels, but MOTELS has the same length and can share this broad Arabic rendering. The positive reverse preference deserves a cautious follow-up.","false"
"118","387:1","SOURCE","مصدر","preferredForArToEn","true","false","preferred-direction issue","high","مصدر may mean source or origin. SOURCE and ORIGIN both have six letters; absence of a collision in the dictionary does not establish fairness.","true"
"120","201:1","STORE","المخزن","preferredForArToEn","false","","preferred-direction issue","medium","المخزن is a store/storehouse. Storage and warehouse differ in length, so the valid storage-place sense should not be blanket-excluded.","false"
"122","173:0","SET","ضبط","partOfSpeech","noun","verb","POS/sense issue","high","ضبط can represent set/adjust as a verb. Calling it a noun meaning adjustment under SET is the wrong POS linkage; label the verb sense explicitly.","true"
"122","173:0","SET","ضبط","sense","adjustment","adjust or set equipment","POS/sense issue","high","ضبط can represent set/adjust as a verb. Calling it a noun meaning adjustment under SET is the wrong POS linkage; label the verb sense explicitly.","true"
"123","344:3","OLD","قديم","preferredForArToEn","false","","preferred-direction issue","high","قديم means old. ANCIENT is a valid narrower meaning but has a different length; ordinary OLD remains fair.","true"
"126","380:0","ARTICLE","مقالة","preferredForArToEn","false","","preferred-direction issue","medium","مقالة is an article or essay. The word-length distinction weakens the need for a categorical restriction.","false"
"131","21:0","AS","حسب","register","uncertain","msa","register issue","high","حسب is standard Arabic for according to/as depending on context. Context review is warranted, not uncertain register.","true"
"132","272:2","FOUND","وجدت","register","uncertain","msa","register issue","high","وجدت is a standard inflected found form; subject/tense ambiguity remains unresolved. It is not evidence of dialect.","true"
"134","417:2","ESTATE","العقارات","register","uncertain","msa","register issue","high","العقارات is standard real-property vocabulary. ESTATE can overlap but its particular sense needs specification; register is not uncertain.","true"
"139","337:2","LEVEL","الرتبة","register","uncertain","msa","register issue","high","الرتبة is standard rank/grade. Its overlap with LEVEL is context-dependent; keeping review is conservative and reasonable.","true"
"140","478:1","FEEDBACK","ردود الفعل","preferredForArToEn","false","","preferred-direction issue","medium","ردود الفعل can denote feedback as responses. REACTIONS is related but a different length; a global exclusion is probably excessive.","false"
"142","154:0","EACH","لكل منها","register","uncertain","msa","register issue","high","لكل منها means for each of them, with an added preposition and complement. Standard phrase, but not a certified bare EACH equivalent.","true"
"143","179:2","MAIL","البريد الإلكتروني","preferredForArToEn","false","","preferred-direction issue","medium","البريد الإلكتروني can denote mail in the electronic-mail sense. EMAIL has a different length; URLS is not a valid synonym.","false"
"144","70:3","WEB","شبكة الإنترنت","status","approved","review","serious approval/rejection error","high","شبكة الإنترنت denotes the Internet network, not specifically the Web. Broad approval conflates related concepts; require a precise sense review.","true"
"144","70:3","WEB","شبكة الإنترنت","preferredForEnToAr","","false","preferred-direction issue","high","شبكة الإنترنت denotes the Internet network, not specifically the Web. Broad approval conflates related concepts; require a precise sense review.","true"
"144","70:3","WEB","شبكة الإنترنت","preferredForArToEn","","false","preferred-direction issue","high","شبكة الإنترنت denotes the Internet network, not specifically the Web. Broad approval conflates related concepts; require a precise sense review.","true"
