"sourceId","english","original","categories","status","register","confidence","reasonCode","reason","proposedReplacement","applied","reviewer","sources","repetitionAssessment","headwordIndex","translationIndex","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","metadataChanged"
"h2941:t0","HOLDING","عقد عقد","[""repeated-word""]","review","uncertain","medium","wrong-or-incomplete-sense","HOLDING has possession, holding-company and ongoing-action senses; عقد does not establish the intended one.","","false","AI-assisted linguistic review","[]","wrong-or-incomplete","2941","0","review","uncertain","عقد عقد","عقدعقد","عقدعقد","false"
"h2986:t3","ORGANIC","العضوية العضوية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2986","3","review","uncertain","العضوية العضوية","العضويةالعضوية","العضويةالعضوية","false"
"h3033:t1","MATT","مات مات","[""repeated-word""]","review","uncertain","medium","unresolved-sense","MATT can describe a finish; مات is a different Arabic word or name rendering.","","false","AI-assisted linguistic review","[]","uncertain","3033","1","review","uncertain","مات مات","ماتمات","ماتمات","false"
"h3054:t3","HOLY","المقدسة المقدسة","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3054","3","review","uncertain","المقدسة المقدسة","المقدسةالمقدسة","المقدسةالمقدسة","false"
"h3057:t0","MESH","مش","[""possible-dialect""]","review","uncertain","medium","unresolved-sense","A dialect-like spelling may instead be a transliteration in this English sense; register cannot be inferred from the token alone.","","false","AI-assisted linguistic review","[]","","3057","0","review","uncertain","مش","مش","مش","false"
"h3135:t0","JEAN","جين جين","[""repeated-word""]","review","uncertain","medium","unresolved-sense","JEAN can be a fabric term or a personal name; the Arabic does not disambiguate.","","false","AI-assisted linguistic review","[]","uncertain","3135","0","review","uncertain","جين جين","جينجين","جينجين","false"
"h3172:t0","LEWIS","لويس لويس","[""repeated-word""]","review","uncertain","medium","unresolved-sense","LEWIS also has a technical noun sense; this repeated name rendering remains unresolved.","","false","AI-assisted linguistic review","[]","uncertain","3172","0","review","uncertain","لويس لويس","لويسلويس","لويسلويس","false"
"h3207:t0","REAR","الخلفية الخلفية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3207","0","review","uncertain","الخلفية الخلفية","الخلفيةالخلفية","الخلفيةالخلفية","false"
"h3233:t1","SUPREME","العليا العليا","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3233","1","review","uncertain","العليا العليا","العلياالعليا","العلياالعليا","false"
"h3538:t1","MAGNETIC","المغناطيسي المغناطيسي","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3538","1","review","uncertain","المغناطيسي المغناطيسي","المغناطيسيالمغناطيسي","المغناطيسيالمغناطيسي","false"
"h3586:t0","DIRECTORIES","الدلائل الدلائل","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3586","0","review","uncertain","الدلائل الدلائل","الدلائلالدلائل","الدلائلالدلائل","false"
"h3620:t3","CONCRETE","ملموسة ملموسة","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3620","3","review","uncertain","ملموسة ملموسة","ملموسةملموسة","ملموسةملموسة","false"
"h3676:t1","CONTROLLER","تحكم تحكم","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3676","1","review","uncertain","تحكم تحكم","تحكمتحكم","تحكمتحكم","false"
"h3723:t2","STABLE","مستقرة مستقرة","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3723","2","review","uncertain","مستقرة مستقرة","مستقرةمستقرة","مستقرةمستقرة","false"
"h3825:t4","INNER","الداخلية الداخلية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3825","4","review","uncertain","الداخلية الداخلية","الداخليةالداخلية","الداخليةالداخلية","false"
"h3876:t1","CORRESPONDING","المقابلة المقابلة","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","3876","1","review","uncertain","المقابلة المقابلة","المقابلةالمقابلة","المقابلةالمقابلة","false"
"h4003:t2","GROSS","الإجمالي الإجمالي","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","4003","2","review","uncertain","الإجمالي الإجمالي","الإجماليالإجمالي","الإجماليالإجمالي","false"
"h4044:t2","STRUCTURAL","الهيكلية الهيكلية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","4044","2","review","uncertain","الهيكلية الهيكلية","الهيكليةالهيكلية","الهيكليةالهيكلية","false"
"h4103:t1","TROPICAL","الاستوائية الاستوائية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","4103","1","review","uncertain","الاستوائية الاستوائية","الاستوائيةالاستوائية","الاستوائيةالاستوائية","false"
"h4124:t3","MUTUAL","المتبادلة المتبادلة","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","4124","3","review","uncertain","المتبادلة المتبادلة","المتبادلةالمتبادلة","المتبادلةالمتبادلة","false"
"h4463:t1","NOVA","نوفا نوفا","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","4463","1","review","uncertain","نوفا نوفا","نوفانوفا","نوفانوفا","false"
"h4542:t2","POLISH","البولندية البولندية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","4542","2","review","uncertain","البولندية البولندية","البولنديةالبولندية","البولنديةالبولندية","false"
"h4843:t0","FACIAL","الوجه الوجه","[""repeated-word""]","review","uncertain","medium","wrong-or-incomplete-sense","FACIAL is adjectival or a treatment noun; الوجه is simply the face. Removing repetition would not supply a verified sense.","وجهي","false","AI-assisted linguistic review","[]","wrong-or-incomplete","4843","0","review","uncertain","الوجه الوجه","الوجهالوجه","الوجهالوجه","false"
"h4917:t1","CORP","كورب كورب","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","4917","1","review","uncertain","كورب كورب","كوربكورب","كوربكورب","false"
"h4925:t2","COOPER","كوبر كوبر","[""repeated-word""]","review","uncertain","medium","unresolved-sense","COOPER can mean a barrel maker or a name; intended sense is unresolved.","","false","AI-assisted linguistic review","[]","uncertain","4925","2","review","uncertain","كوبر كوبر","كوبركوبر","كوبركوبر","false"
"h5109:t0","WRAP","التفاف التفاف","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","5109","0","review","uncertain","التفاف التفاف","التفافالتفاف","التفافالتفاف","false"
"h5177:t4","TURKISH","التركية التركية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","5177","4","review","uncertain","التركية التركية","التركيةالتركية","التركيةالتركية","false"
"h5239:t2","ROBIN","روبن روبن","[""repeated-word""]","review","uncertain","medium","unresolved-sense","ROBIN can be a bird or a name; doubled روبن is not enough to select a meaning.","","false","AI-assisted linguistic review","[]","uncertain","5239","2","review","uncertain","روبن روبن","روبنروبن","روبنروبن","false"
"h5289:t0","FREEWARE","مجانية مجانية","[""repeated-word""]","review","uncertain","medium","wrong-or-incomplete-sense","FREEWARE is software, while مجانية only says free-of-charge. A compound is needed, but no new semantic translation is applied without verification.","برمجيات مجانية","false","AI-assisted linguistic review","[]","wrong-or-incomplete","5289","0","review","uncertain","مجانية مجانية","مجانيةمجانية","مجانيةمجانية","false"
"h5320:t0","ADVERSE","السلبية السلبية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","5320","0","review","uncertain","السلبية السلبية","السلبيةالسلبية","السلبيةالسلبية","false"
"h5325:t2","DISCHARGE","التفريغ التفريغ","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","5325","2","review","uncertain","التفريغ التفريغ","التفريغالتفريغ","التفريغالتفريغ","false"
"h5336:t1","CAROL","كارول كارول","[""repeated-word""]","review","uncertain","medium","unresolved-sense","CAROL can mean a song or a name; do not simply approve a de-duplicated personal-name rendering.","","false","AI-assisted linguistic review","[]","uncertain","5336","1","review","uncertain","كارول كارول","كارولكارول","كارولكارول","false"
"h5347:t0","RESISTANT","مقاومة مقاومة","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","5347","0","review","uncertain","مقاومة مقاومة","مقاومةمقاومة","مقاومةمقاومة","false"
"h5424:t0","ACOUSTIC","الصوتية الصوتية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","5424","0","review","uncertain","الصوتية الصوتية","الصوتيةالصوتية","الصوتيةالصوتية","false"
"h5575:t0","TONER","الحبر الحبر","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","5575","0","review","uncertain","الحبر الحبر","الحبرالحبر","الحبرالحبر","false"
"h5865:t1","PERRY","بيري بيري","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","5865","1","review","uncertain","بيري بيري","بيريبيري","بيريبيري","false"
"h5883:t1","TAN","تان تان","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","5883","1","review","uncertain","تان تان","تانتان","تانتان","false"
"h6219:t0","VOCAL","الصوتية الصوتية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","6219","0","review","uncertain","الصوتية الصوتية","الصوتيةالصوتية","الصوتيةالصوتية","false"
"h6694:t1","COGNITIVE","المعرفي المعرفي","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","6694","1","review","uncertain","المعرفي المعرفي","المعرفيالمعرفي","المعرفيالمعرفي","false"
"h6721:t0","SCREW","المسمار المسمار","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","6721","0","review","uncertain","المسمار المسمار","المسمارالمسمار","المسمارالمسمار","false"
"h6731:t0","RESELLER","موزع موزع","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","6731","0","review","uncertain","موزع موزع","موزعموزع","موزعموزع","false"
"h6896:t2","BOOM","بوم بوم","[""repeated-word""]","review","uncertain","medium","meaningful-repetition","Repeated بوم can imitate successive booms; onomatopoeia/register and the intended noun sense need review.","","false","AI-assisted linguistic review","[]","meaningful","6896","2","review","uncertain","بوم بوم","بومبوم","بومبوم","false"
"h7426:t1","BAILEY","بيلي بيلي","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","7426","1","review","uncertain","بيلي بيلي","بيليبيلي","بيليبيلي","false"
"h7604:t0","YEA","نعم نعم","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","7604","0","review","uncertain","نعم نعم","نعمنعم","نعمنعم","false"
"h7610:t2","WRAPPING","التفاف التفاف","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","7610","2","review","uncertain","التفاف التفاف","التفافالتفاف","التفافالتفاف","false"
"h7743:t0","AQUA","أكوا أكوا","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","7743","0","review","uncertain","أكوا أكوا","أكواأكوا","أكواأكوا","false"
"h7842:t0","DEPT","قسم قسم","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","7842","0","review","uncertain","قسم قسم","قسمقسم","قسمقسم","false"
"h7887:t0","PUSHED","دفع دفع","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","7887","0","review","uncertain","دفع دفع","دفعدفع","دفعدفع","false"
"h7969:t3","STICKS","العصي العصي","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","7969","3","review","uncertain","العصي العصي","العصيالعصي","العصيالعصي","false"
"h8221:t0","COATED","المغلفة المغلفة","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","8221","0","review","uncertain","المغلفة المغلفة","المغلفةالمغلفة","المغلفةالمغلفة","false"
"h8269:t0","UNLOCK","فتح فتح","[""repeated-word""]","review","uncertain","medium","wrong-or-incomplete-sense","فتح can mean open; UNLOCK specifically releases a lock. Repetition removal alone does not settle that distinction.","","false","AI-assisted linguistic review","[]","wrong-or-incomplete","8269","0","review","uncertain","فتح فتح","فتحفتح","فتحفتح","false"
"h8363:t1","LEON","ليون ليون","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","8363","1","review","uncertain","ليون ليون","ليونليون","ليونليون","false"
"h8365:t3","MOLD","العفن العفن","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","8365","3","review","uncertain","العفن العفن","العفنالعفن","العفنالعفن","false"
"h8366:t0","DAME","سيدة سيدة","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","8366","0","review","uncertain","سيدة سيدة","سيدةسيدة","سيدةسيدة","false"
"h8477:t2","HYDRAULIC","الهيدروليكية الهيدروليكية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","8477","2","review","uncertain","الهيدروليكية الهيدروليكية","الهيدروليكيةالهيدروليكية","الهيدروليكيةالهيدروليكية","false"
"h8484:t1","BELLE","بيل بيل","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","8484","1","review","uncertain","بيل بيل","بيلبيل","بيلبيل","false"
"h8554:t3","INTIMATE","حميم حميم","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","8554","3","review","uncertain","حميم حميم","حميمحميم","حميمحميم","false"
"h8649:t1","BLACKS","السود”","[""possibly-malformed""]","review","msa","medium","register-or-sense-review","The proposed spelling/base may be MSA, but the English register, grammatical person or intended sense needs confirmation. No text change applied.","السود","false","AI-assisted linguistic review","[]","","8649","1","review","uncertain","السود”","السود”","السود”","true"
"h10560:t0","HECK","هيك","[""possible-dialect""]","review","uncertain","medium","unresolved-sense","A dialect-like spelling may instead be a transliteration in this English sense; register cannot be inferred from the token alone.","","false","AI-assisted linguistic review","[]","","10560","0","review","uncertain","هيك","هيك","هيك","false"
"h0:t0","THE","ال","[""abbreviation""]","review","msa","medium","unresolved-sense","ال is the valid Arabic definite-article prefix, but a bound prefix alone may be unsuitable as a standalone crossword vocabulary answer/clue; retain for product/linguistic review.","","false","AI-assisted linguistic review","[]","","0","0","review","uncertain","ال","ال","ال","true"
"h37:t1","MY","لي (ضمير ملكية)","[""editorial-note""]","review","uncertain","medium","unresolved-sense","The note identifies context/register, but deleting it alone does not verify the English sense or Arabic equivalence.","","false","AI-assisted linguistic review","[]","","37","1","review","uncertain","لي (ضمير ملكية)","ليضميرملكية","ليضميرملكية","false"
"h57:t0","OUT","اخرج","[""abbreviation""]","review","uncertain","medium","unresolved-sense","The English spelling admits abbreviation/name/lexical readings; this Arabic relationship needs a verified sense before approval.","","false","AI-assisted linguistic review","[]","","57","0","review","uncertain","اخرج","اخرج","اخرج","false"
"h57:t3","OUT","خرج","[""abbreviation""]","review","uncertain","medium","unresolved-sense","The English spelling admits abbreviation/name/lexical readings; this Arabic relationship needs a verified sense before approval.","","false","AI-assisted linguistic review","[]","","57","3","review","uncertain","خرج","خرج","خرج","false"
"h423:t0","GAY","شاذ","[""abbreviation""]","review","uncertain","medium","unresolved-sense","The English spelling admits abbreviation/name/lexical readings; this Arabic relationship needs a verified sense before approval.","","false","AI-assisted linguistic review","[]","","423","0","review","uncertain","شاذ","شاذ","شاذ","false"
