"english","headwordIndex","before","after","reason"
"WILLIAM","1293","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"AMAZON","1321","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"III","1350","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"ADS","1434","review","approved","All relationships individually reviewed and approved as MSA"
"ETC","1519","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"MIN","1560","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"AID","1565","review","approved","All relationships individually reviewed and approved as MSA"
"GEORGIA","1627","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"TOM","1631","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"CUP","1727","review","approved","All relationships individually reviewed and approved as MSA"
"EX","1837","review","approved","All relationships individually reviewed and approved as MSA"
"BUS","1877","review","approved","All relationships individually reviewed and approved as MSA"
"NOR","1929","review","approved","All relationships individually reviewed and approved as MSA"
"MID","1935","review","approved","All relationships individually reviewed and approved as MSA"
"JIM","1969","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"SAMSUNG","1996","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"DEL","2004","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"JOE","2032","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"CDS","2044","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"LAB","2144","review","approved","All relationships individually reviewed and approved as MSA"
"ROW","2538","review","approved","All relationships individually reviewed and approved as MSA"
"ANN","2606","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"TIM","2802","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"OP","2842","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"ELIZABETH","2888","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"BEN","2913","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"JORDAN","2951","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"PUB","3084","review","approved","All relationships individually reviewed and approved as MSA"
"SAM","3196","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"JENNIFER","3315","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"SARAH","3324","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"ISO","3389","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"SUM","3397","review","approved","All relationships individually reviewed and approved as MSA"
"PS","3433","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"KIM","3447","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"EGYPT","3487","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"NASA","3607","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"CSS","3625","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"BERLIN","3765","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"GAP","3872","review","approved","All relationships individually reviewed and approved as MSA"
"ERA","3928","review","approved","All relationships individually reviewed and approved as MSA"
"LOL","4070","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"BET","4105","review","approved","All relationships individually reviewed and approved as MSA"
"TOYOTA","4107","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"RON","4180","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"IAN","4338","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"REP","4404","review","approved","All relationships individually reviewed and approved as MSA"
"TOKYO","4568","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"EGG","4831","review","approved","All relationships individually reviewed and approved as MSA"
"RIO","4959","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"ARC","4990","review","approved","All relationships individually reviewed and approved as MSA"
"MRS","5006","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"APP","5017","review","approved","All relationships individually reviewed and approved as MSA"
"NIKE","5065","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"AMY","5146","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"PHD","5168","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"SEO","5407","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"GEL","5652","review","approved","All relationships individually reviewed and approved as MSA"
"TED","5810","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"KDE","5840","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"CAB","6121","review","approved","All relationships individually reviewed and approved as MSA"
"ALI","6298","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"VII","6435","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"COW","6663","review","approved","All relationships individually reviewed and approved as MSA"
"AVI","6774","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"LEO","6825","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"SIM","6872","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"XI","7064","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"AYE","7162","review","approved","All relationships individually reviewed and approved as MSA"
"COL","7189","review","approved","All relationships individually reviewed and approved as MSA"
"TEX","7227","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"LIT","7470","review","approved","All relationships individually reviewed and approved as MSA"
"FOO","7522","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"SIG","7541","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"DUO","7543","review","approved","All relationships individually reviewed and approved as MSA"
"FOG","7553","review","approved","All relationships individually reviewed and approved as MSA"
"RUG","7656","review","approved","All relationships individually reviewed and approved as MSA"
"DEM","7675","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"EVA","7751","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"SAO","8042","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"ANT","8138","review","approved","All relationships individually reviewed and approved as MSA"
"APT","8143","review","approved","All relationships individually reviewed and approved as MSA"
"GEM","8161","review","approved","All relationships individually reviewed and approved as MSA"
"LIZ","8309","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"ATE","8375","review","approved","All relationships individually reviewed and approved as MSA"
"PAM","8712","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"COP","8724","review","approved","All relationships individually reviewed and approved as MSA"
"CAIRO","9808","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"COCA","10265","review","approved","All relationships individually reviewed and approved as MSA"
"MUHAMMAD","10946","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"AHMED","11549","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"PEPSI","12804","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"ERE","15210","review","approved","All relationships individually reviewed and approved as MSA"
"RIYADH","15696","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
