"sourceId","english","arabic","field","before","after","confidence","applied","reason"
"213:0","HOTELS","فنادق","allowedForEnToAr","","true","high","true","فنادق means hotels. MOTELS may overlap, but synonym/type ambiguity alone is not pedagogical unsuitability."
"213:0","HOTELS","فنادق","allowedForArToEn","","true","high","true","فنادق means hotels. MOTELS may overlap, but synonym/type ambiguity alone is not pedagogical unsuitability."
"187:3","WAY","الطريقة","allowedForEnToAr","","true","high","true","الطريقة is a normal way/method expression; allow the intended sense."
"460:2","BETTER","أفضل","allowedForEnToAr","","true","high","true","أفضل can mean better or best depending on construction. A legitimate comparative reading remains usable."
"495:3","TAX","الضريبة","allowedForEnToAr","","true","high","true","الضريبة is a natural singular tax noun; levy synonyms do not undermine correctness."
"179:2","MAIL","البريد الإلكتروني","allowedForEnToAr","","true","high","true","البريد الإلكتروني is a valid electronic-mail sense of MAIL; EMAIL is also legitimate."
"358:1","CLASS","الفصل","allowedForEnToAr","","true","high","true","الفصل can denote a school class as well as a chapter. The school sense is valid."
"490:2","FINANCIAL","المالية","allowedForEnToAr","","true","high","true","المالية is a natural feminine definite financial adjective; the English adjective need not encode Arabic gender."
"413:3","LOOK","انظر","allowedForEnToAr","","true","high","true","انظر is the normal Arabic imperative for look; an English base verb may map to a natural imperative."
"391:1","LEARN","تعلم","allowedForEnToAr","","true","high","true","تعلم can be a learn imperative or finite form. The learning-event meaning is preserved without exact morphology."
"145:0","WELL","حسنا","allowedForEnToAr","","true","high","true","حسنا works for well/all right in a discourse or manner use; OKAY does not justify exclusion."
"219:2","LOCAL","المحلية","allowedForEnToAr","","true","high","true","المحلية is an inflected local adjective; agreement differences do not change the property."
"399:0","TEEN","المراهق","allowedForEnToAr","","true","high","true","المراهق is a teen/teenager noun. These are legitimate synonyms, not competing invalid answers."
"302:1","CURRENT","تيار","allowedForEnToAr","","true","high","true","تيار denotes a current/stream. Retain the flow sense without requiring uniqueness."
"96:4","TOP","أعلى","allowedForEnToAr","","true","high","true","أعلى can express top/highest in an attributive sense; superlative morphology is natural here."
"198:3","CENTER","الوسط","allowedForEnToAr","","true","high","true","الوسط is middle/center in the spatial sense; allow both equivalents."
"325:3","RATING","تصنيف","allowedForEnToAr","","true","high","true","تصنيف can denote a rating/classification; the classification sense is legitimate."
"112:3","USED","استخدمت","status","review","approved","high","true","استخدمت is a normal Arabic past finite form of use. USED has that legitimate past sense; implicit subject agreement is not an automatic ban."
"112:3","USED","استخدمت","allowedForEnToAr","","true","high","true","استخدمت is a normal Arabic past finite form of use. USED has that legitimate past sense; implicit subject agreement is not an automatic ban."
"112:3","USED","استخدمت","allowedForArToEn","","true","high","true","استخدمت is a normal Arabic past finite form of use. USED has that legitimate past sense; implicit subject agreement is not an automatic ban."
"112:3","USED","استخدمت","partOfSpeech","","verb","high","true","استخدمت is a normal Arabic past finite form of use. USED has that legitimate past sense; implicit subject agreement is not an automatic ban."
"112:3","USED","استخدمت","sense","","past tense of use","high","true","استخدمت is a normal Arabic past finite form of use. USED has that legitimate past sense; implicit subject agreement is not an automatic ban."
"272:2","FOUND","وجدت","status","review","approved","high","true","وجدت is a natural past finite form of find. FOUND has that legitimate past sense; person agreement does not materially change the event."
"272:2","FOUND","وجدت","allowedForEnToAr","","true","high","true","وجدت is a natural past finite form of find. FOUND has that legitimate past sense; person agreement does not materially change the event."
"272:2","FOUND","وجدت","allowedForArToEn","","true","high","true","وجدت is a natural past finite form of find. FOUND has that legitimate past sense; person agreement does not materially change the event."
"272:2","FOUND","وجدت","partOfSpeech","","verb","high","true","وجدت is a natural past finite form of find. FOUND has that legitimate past sense; person agreement does not materially change the event."
"272:2","FOUND","وجدت","sense","","past tense of find","high","true","وجدت is a natural past finite form of find. FOUND has that legitimate past sense; person agreement does not materially change the event."
"452:0","SECOND","ثانيا","status","review","approved","high","true","ثانيا is a standard sequencing adverb. SECOND has an adverbial use meaning secondly, so identical ordinal morphology is not required."
"452:0","SECOND","ثانيا","allowedForEnToAr","","true","high","true","ثانيا is a standard sequencing adverb. SECOND has an adverbial use meaning secondly, so identical ordinal morphology is not required."
"452:0","SECOND","ثانيا","allowedForArToEn","","true","high","true","ثانيا is a standard sequencing adverb. SECOND has an adverbial use meaning secondly, so identical ordinal morphology is not required."
"452:0","SECOND","ثانيا","partOfSpeech","","adverb","high","true","ثانيا is a standard sequencing adverb. SECOND has an adverbial use meaning secondly, so identical ordinal morphology is not required."
"452:0","SECOND","ثانيا","sense","","secondly in a sequence","high","true","ثانيا is a standard sequencing adverb. SECOND has an adverbial use meaning secondly, so identical ordinal morphology is not required."
"300:1","NORTH","شمالي","status","review","approved","high","true","شمالي is a natural north/northern attributive adjective, as in a north coast. English attributive nouns and Arabic adjectives need not have identical POS."
"300:1","NORTH","شمالي","allowedForEnToAr","","true","high","true","شمالي is a natural north/northern attributive adjective, as in a north coast. English attributive nouns and Arabic adjectives need not have identical POS."
"300:1","NORTH","شمالي","allowedForArToEn","","true","high","true","شمالي is a natural north/northern attributive adjective, as in a north coast. English attributive nouns and Arabic adjectives need not have identical POS."
"300:1","NORTH","شمالي","partOfSpeech","","attributive noun","high","true","شمالي is a natural north/northern attributive adjective, as in a north coast. English attributive nouns and Arabic adjectives need not have identical POS."
"300:1","NORTH","شمالي","sense","","attributive north direction","high","true","شمالي is a natural north/northern attributive adjective, as in a north coast. English attributive nouns and Arabic adjectives need not have identical POS."
"369:0","SAVE","حفظ","status","review","approved","high","true","حفظ is a natural save equivalent in preservation/file-saving use, as a verbal citation or event noun. Cross-language morphology is not grounds for exclusion."
"369:0","SAVE","حفظ","allowedForEnToAr","","true","high","true","حفظ is a natural save equivalent in preservation/file-saving use, as a verbal citation or event noun. Cross-language morphology is not grounds for exclusion."
"369:0","SAVE","حفظ","allowedForArToEn","","true","high","true","حفظ is a natural save equivalent in preservation/file-saving use, as a verbal citation or event noun. Cross-language morphology is not grounds for exclusion."
"369:0","SAVE","حفظ","partOfSpeech","","verb","high","true","حفظ is a natural save equivalent in preservation/file-saving use, as a verbal citation or event noun. Cross-language morphology is not grounds for exclusion."
"369:0","SAVE","حفظ","sense","","save or preserve, including file saving","high","true","حفظ is a natural save equivalent in preservation/file-saving use, as a verbal citation or event noun. Cross-language morphology is not grounds for exclusion."
"119:2","BUY","يشتري","allowedForEnToAr","","true","high","true","يشتري is the normal Arabic present finite citation form for buy. The inherent third-person inflection is not misleading."
"215:0","SEND","ارسل","register","uncertain","msa","high","true","ارسل could intend أرسل but needs hamza/reading confirmation. It is standard-register vocabulary with unresolved spelling."
"461:2","SAY","قولي","allowedForEnToAr","","true","high","true","قولي is a natural feminine imperative of say; grammatical addressee gender does not change the say event."
"461:2","SAY","قولي","allowedForArToEn","","true","high","true","قولي is a natural feminine imperative of say; grammatical addressee gender does not change the say event."
"65:1","WHEN","عندما","allowedForEnToAr","","true","high","true","عندما is a normal temporal when conjunction. A different Arabic interrogative when is another sense, not an exclusion reason."
"65:1","WHEN","عندما","allowedForArToEn","","true","high","true","عندما is a normal temporal when conjunction. A different Arabic interrogative when is another sense, not an exclusion reason."
"248:0","EVEN","حتى","allowedForEnToAr","","true","high","true","حتى legitimately expresses even as well as until; the even sense is allowed despite ambiguity."
"449:0","PROVIDED","شريطة","status","review","approved","high","true","شريطة is the conventional condition expression corresponding to PROVIDED as a conjunction. Both require a following condition; this is natural grammar."
"449:0","PROVIDED","شريطة","allowedForEnToAr","","true","high","true","شريطة is the conventional condition expression corresponding to PROVIDED as a conjunction. Both require a following condition; this is natural grammar."
"449:0","PROVIDED","شريطة","allowedForArToEn","","true","high","true","شريطة is the conventional condition expression corresponding to PROVIDED as a conjunction. Both require a following condition; this is natural grammar."
"449:0","PROVIDED","شريطة","partOfSpeech","","conjunction","high","true","شريطة is the conventional condition expression corresponding to PROVIDED as a conjunction. Both require a following condition; this is natural grammar."
"449:0","PROVIDED","شريطة","sense","","on condition that","high","true","شريطة is the conventional condition expression corresponding to PROVIDED as a conjunction. Both require a following condition; this is natural grammar."
"73:2","HELP","ساعد","allowedForEnToAr","","true","high","true","ساعد is a natural help imperative/finite citation; the core helping event is preserved."
"73:2","HELP","ساعد","allowedForArToEn","","true","high","true","ساعد is a natural help imperative/finite citation; the core helping event is preserved."
"369:1","SAVE","انقاذ","register","uncertain","msa","high","true","انقاذ intends إنقاذ. The save/rescue event is legitimate, but the hamza spelling needs review."
"108:0","TWO","اثنين","allowedForEnToAr","","true","high","true","اثنين is an oblique form of two. Case inflection is normal Arabic grammar, not a meaning mismatch."
"77:3","FIRST","الاولى","register","uncertain","msa","high","true","الاولى intends الأولى and has an unresolved hamza omission; feminine ordinal agreement itself is not a rejection reason."
"60:0","THERE","هناك","allowedForEnToAr","","true","high","true","هناك is a natural locative there; ordinary and learner-appropriate."
"60:0","THERE","هناك","allowedForArToEn","","true","high","true","هناك is a natural locative there; ordinary and learner-appropriate."
"33:0","US","نحن","status","rejected","review","high","true","نحن normally represents a subject pronoun, but English US can occur in constructions translated with Arabic subject forms. Do not categorically reject on case alone; bare-entry construction remains unresolved."
"441:3","START","ابدأ","allowedForEnToAr","","true","high","true","ابدأ is a natural start imperative; grammatical form is appropriate without matching an English finite ending."
"375:0","COMPARE","مقارنة","status","review","approved","high","true","مقارنة is the standard compare/comparison event noun, including interface/action labels. An Arabic masdar can naturally cite an English action verb."
"375:0","COMPARE","مقارنة","allowedForEnToAr","","true","high","true","مقارنة is the standard compare/comparison event noun, including interface/action labels. An Arabic masdar can naturally cite an English action verb."
"375:0","COMPARE","مقارنة","allowedForArToEn","","true","high","true","مقارنة is the standard compare/comparison event noun, including interface/action labels. An Arabic masdar can naturally cite an English action verb."
"375:0","COMPARE","مقارنة","partOfSpeech","","verb","high","true","مقارنة is the standard compare/comparison event noun, including interface/action labels. An Arabic masdar can naturally cite an English action verb."
"375:0","COMPARE","مقارنة","sense","","compare action expressed by Arabic masdar","high","true","مقارنة is the standard compare/comparison event noun, including interface/action labels. An Arabic masdar can naturally cite an English action verb."
"519:1","GIVE","اعطي","register","uncertain","msa","high","true","اعطي needs hamza and vowel/person disambiguation. Preserve spelling and review, rather than automatically reject the finite form."
"519:0","GIVE","اعطاء","register","uncertain","msa","high","true","اعطاء intends إعطاء; the give event is correct but the written hamza remains unresolved."
"461:0","SAY","قل","allowedForEnToAr","","true","high","true","قل is a natural say imperative; base-verb to imperative mapping is reasonable."
"461:0","SAY","قل","allowedForArToEn","","true","high","true","قل is a natural say imperative; base-verb to imperative mapping is reasonable."
"165:4","READ","اقرا","register","uncertain","msa","high","true","اقرا needs spelling review of اقرأ; verb morphology itself is not a reason to reject."
"169:0","MANY","كثير","allowedForEnToAr","","true","high","true","كثير expresses many/much with Arabic agreement. Surface number does not invalidate a quantity expression."
"221:0","USING","باستعمال","status","review","approved","high","true","باستعمال is a natural using/by using expression; an Arabic preposition plus masdar can correspond to an English participial construction."
"221:0","USING","باستعمال","register","uncertain","msa","high","true","باستعمال is a natural using/by using expression; an Arabic preposition plus masdar can correspond to an English participial construction."
"221:0","USING","باستعمال","allowedForEnToAr","","true","high","true","باستعمال is a natural using/by using expression; an Arabic preposition plus masdar can correspond to an English participial construction."
"221:0","USING","باستعمال","allowedForArToEn","","true","high","true","باستعمال is a natural using/by using expression; an Arabic preposition plus masdar can correspond to an English participial construction."
"221:0","USING","باستعمال","partOfSpeech","","participle","high","true","باستعمال is a natural using/by using expression; an Arabic preposition plus masdar can correspond to an English participial construction."
"221:0","USING","باستعمال","sense","","using expressed by preposition plus masdar","high","true","باستعمال is a natural using/by using expression; an Arabic preposition plus masdar can correspond to an English participial construction."
"121:1","MAKE","صنع","status","review","approved","high","true","صنع is a natural make/manufacture verbal citation or event noun. Arabic past citation morphology does not force an English past-tense headword."
"121:1","MAKE","صنع","register","uncertain","msa","high","true","صنع is a natural make/manufacture verbal citation or event noun. Arabic past citation morphology does not force an English past-tense headword."
"121:1","MAKE","صنع","allowedForEnToAr","","true","high","true","صنع is a natural make/manufacture verbal citation or event noun. Arabic past citation morphology does not force an English past-tense headword."
"121:1","MAKE","صنع","allowedForArToEn","","true","high","true","صنع is a natural make/manufacture verbal citation or event noun. Arabic past citation morphology does not force an English past-tense headword."
"121:1","MAKE","صنع","partOfSpeech","","verb","high","true","صنع is a natural make/manufacture verbal citation or event noun. Arabic past citation morphology does not force an English past-tense headword."
"121:1","MAKE","صنع","sense","","make or manufacture","high","true","صنع is a natural make/manufacture verbal citation or event noun. Arabic past citation morphology does not force an English past-tense headword."
"271:0","OWN","امتلك","allowedForEnToAr","","true","high","true","امتلك expresses own/possess as a finite citation; the possession sense is maintained."
"271:0","OWN","امتلك","allowedForArToEn","","true","high","true","امتلك expresses own/possess as a finite citation; the possession sense is maintained."
"465:0","GOING","ذهاب","allowedForEnToAr","","true","high","true","ذهاب names the going event. An English gerund may naturally correspond to an Arabic verbal noun."
"465:0","GOING","ذهاب","allowedForArToEn","","true","high","true","ذهاب names the going event. An English gerund may naturally correspond to an Arabic verbal noun."
"497:0","BELOW","تحت","allowedForEnToAr","","true","high","true","تحت is a natural below/under spatial relation. Synonyms are allowed in a crossword."
"228:0","TAKE","خذ","allowedForEnToAr","","true","high","true","خذ is the normal take imperative; semantic event is preserved."
"228:0","TAKE","خذ","allowedForArToEn","","true","high","true","خذ is the normal take imperative; semantic event is preserved."
"165:3","READ","قراءة","status","review","approved","high","true","قراءة naturally names the read event and can cite an action. Label the English reading/action sense without rejecting masdar morphology."
"165:3","READ","قراءة","register","uncertain","msa","high","true","قراءة naturally names the read event and can cite an action. Label the English reading/action sense without rejecting masdar morphology."
"165:3","READ","قراءة","allowedForEnToAr","","true","high","true","قراءة naturally names the read event and can cite an action. Label the English reading/action sense without rejecting masdar morphology."
"165:3","READ","قراءة","allowedForArToEn","","true","high","true","قراءة naturally names the read event and can cite an action. Label the English reading/action sense without rejecting masdar morphology."
"165:3","READ","قراءة","partOfSpeech","","verb","high","true","قراءة naturally names the read event and can cite an action. Label the English reading/action sense without rejecting masdar morphology."
"165:3","READ","قراءة","sense","","read action expressed by Arabic masdar","high","true","قراءة naturally names the read event and can cite an action. Label the English reading/action sense without rejecting masdar morphology."
"244:0","LONG","لونغ","status","rejected","review","high","true","لونغ is not an established MSA translation of the long property. Keep both directions disallowed; register remains uncertain and status becomes review under the revised register rule."
"313:3","PERSONAL","البيانات الشخصية","register","uncertain","msa","high","true","البيانات الشخصية names personal data, not the adjective PERSONAL. It introduces a substantive concept, not merely grammatical adaptation."
"468:2","FRIEND","صديقي","status","rejected","review","high","true","صديقي is my friend and can be natural when addressing someone as friend. Do not reject every possessive adaptation; this isolated sense needs confirmation."
"312:1","ART","ارت","status","rejected","review","high","true","ارت is a phonetic rendering/name, not a certified Arabic art concept. Withhold both directions while register remains unclassified."
"144:0","VIDEO","بالفيديو","status","rejected","review","high","true","بالفيديو can naturally occur where English VIDEO modifies a communication medium. Isolated use needs context, so rejection solely for a preposition is too strong."
"323:0","TEXT","نصوص","status","rejected","review","high","true","نصوص is plural texts, but TEXT can denote written material collectively. Defer the collective sense instead of automatically rejecting number differences."
"93:1","PRICE","الاسعار","status","rejected","review","high","true","الاسعار has both a hamza issue and a plural reading; contextual price/prices usage needs review, not automatic morphological rejection."
"257:0","MUCH","ماتش","status","rejected","review","high","true","ماتش points to match, not much. The semantic exclusion is clear even while its register classification remains uncertain."
"90:2","SERVICE","الخدمات","status","rejected","review","high","true","الخدمات may realize collective service in context. Bare-entry number/collective use needs review rather than blanket rejection."
"393:0","AROUND","حو","status","rejected","review","high","true","حو is a truncated fragment, not a certified MSA around equivalent. Keep both directions disallowed and retain register review."
"495:1","TAX","ضرائب","status","rejected","approved","high","true","ضرائب can express TAX in the collective taxation sense. English tax as a mass/activity term can naturally take an Arabic plural."
"495:1","TAX","ضرائب","allowedForEnToAr","false","true","high","true","ضرائب can express TAX in the collective taxation sense. English tax as a mass/activity term can naturally take an Arabic plural."
"495:1","TAX","ضرائب","allowedForArToEn","false","true","high","true","ضرائب can express TAX in the collective taxation sense. English tax as a mass/activity term can naturally take an Arabic plural."
"495:1","TAX","ضرائب","partOfSpeech","","noun","high","true","ضرائب can express TAX in the collective taxation sense. English tax as a mass/activity term can naturally take an Arabic plural."
"495:1","TAX","ضرائب","sense","","tax collectively or taxation","high","true","ضرائب can express TAX in the collective taxation sense. English tax as a mass/activity term can naturally take an Arabic plural."
"256:1","WOMEN","المراة","status","rejected","review","high","true","المراة has an orthographic defect; Arabic singular woman can denote women collectively in some constructions. Do not reject solely for singular/plural form, but do not approve the text yet."
"495:0","TAX","ضريبي","status","rejected","review","high","true","ضريبي can be tax-related in an attributive construction or my tax as written. The intended reading is unresolved, not automatically invalid because it is adjectival."
"373:2","CUSTOMER","العملاء","status","rejected","review","high","true","العملاء can occur naturally for attributive English CUSTOMER, as in customer service. Keep construction review instead of absolute singular/plural rejection."
"412:2","SALES","البيع","status","rejected","approved","high","true","البيع is the natural selling-activity sense of SALES. English lexical plural and Arabic mass noun need not match in form."
"412:2","SALES","البيع","allowedForEnToAr","false","true","high","true","البيع is the natural selling-activity sense of SALES. English lexical plural and Arabic mass noun need not match in form."
"412:2","SALES","البيع","allowedForArToEn","false","true","high","true","البيع is the natural selling-activity sense of SALES. English lexical plural and Arabic mass noun need not match in form."
"412:2","SALES","البيع","partOfSpeech","","noun","high","true","البيع is the natural selling-activity sense of SALES. English lexical plural and Arabic mass noun need not match in form."
"412:2","SALES","البيع","sense","","selling activity","high","true","البيع is the natural selling-activity sense of SALES. English lexical plural and Arabic mass noun need not match in form."
"339:0","PROFILE","التشكيلة","status","rejected","review","high","true","التشكيلة is a standard lineup/composition term. PROFILE might have a specialized overlap but is not certified here; review the sense rather than make an unsupported categorical rejection."
"339:0","PROFILE","التشكيلة","register","uncertain","msa","high","true","التشكيلة is a standard lineup/composition term. PROFILE might have a specialized overlap but is not certified here; review the sense rather than make an unsupported categorical rejection."
"405:1","POINT","بوينت","status","rejected","review","high","true","بوينت is not a certified natural MSA point noun in this relationship. Keep both directions disallowed pending lexical/register evidence."
"194:1","HOTEL","دق","register","uncertain","msa","high","true","دق is standard Arabic knocking/pounding, not HOTEL. Register can be MSA while the relationship is semantically wrong."
"382:1","MAN","مان","status","rejected","review","high","true","مان is not a certified Arabic man noun in this relationship; retain exclusion while register remains uncertain."
"430:2","GALLERY","معرض الصور","allowedForEnToAr","","true","high","true","معرض الصور is a valid picture-display/gallery sense; spaces and a specific legitimate sense do not invalidate it."
"430:2","GALLERY","معرض الصور","allowedForArToEn","","true","high","true","معرض الصور is a valid picture-display/gallery sense; spaces and a specific legitimate sense do not invalidate it."
"379:0","VALUE","القيمة","allowedForEnToAr","","true","high","true","القيمة is ordinary value/worth; synonym alternatives are expected."
"103:2","STATE","ولاية","allowedForEnToAr","","true","high","true","ولاية is a legitimate administrative state sense; other meanings of state are preserved separately."
"281:3","GAME","اللعبة","allowedForEnToAr","","true","high","true","اللعبة names a game; gender and definiteness are ordinary Arabic grammar."
"105:2","DAY","نهار","allowedForEnToAr","","true","high","true","نهار is day/daytime. The daylight period is a legitimate sense of day rather than a misleading substitute."
"241:0","BETWEEN","بين","allowedForEnToAr","","true","high","true","بين is the ordinary between relation; no special restriction is needed."
"410:0","ADVANCED","متقدم","allowedForEnToAr","","true","high","true","متقدم is a natural advanced participial adjective; cross-language participle/adjective morphology is appropriate."
"270:2","SECTION","الفرع","allowedForEnToAr","","true","high","true","الفرع can be a section/branch subdivision; the subdivision sense is legitimate."
"468:0","FRIEND","صديق","allowedForEnToAr","","true","high","true","صديق is an ordinary friend noun; synonyms such as companion are not exclusion evidence."
"26:3","MORE","مزيد","allowedForEnToAr","","true","high","true","مزيد naturally expresses more/additional quantity; allow it."
"70:2","WEB","ويب","allowedForEnToAr","","true","high","true","ويب is an established modern Web borrowing; not every borrowing is dialect."
"493:0","AGAINST","ضد","allowedForEnToAr","","true","high","true","ضد is the normal against relation; allow both directions."
"221:2","USING","استخدام","allowedForEnToAr","","true","high","true","استخدام is the standard using event noun; a gerund-to-masdar mapping is natural."
"514:0","STORES","متاجر","allowedForEnToAr","","true","high","true","متاجر is ordinary plural stores/shops; both English alternatives are legitimate."
"458:1","MARCH","مارس","allowedForEnToAr","","true","high","true","مارس identifies the calendar month March; the verb homograph is a different reading, not grounds to exclude this sense."
"524:2","QUOTE","الاقتباس","allowedForEnToAr","","true","high","true","الاقتباس names a quote/quotation; the noun reading is legitimate."
"341:3","FORM","النموذج","allowedForEnToAr","","true","high","true","النموذج can mean a form/template; this recorded sense is useful even with synonyms."
"429:0","LARGE","كبيرة","allowedForEnToAr","","true","high","true","كبيرة is the feminine large adjective; Arabic agreement does not alter the property."
"68:0","BUSINESS","العمل","allowedForEnToAr","","true","high","true","العمل can denote business/work activity; the activity sense is legitimate though broad."
"458:0","MARCH","المسيرة","allowedForEnToAr","","true","high","true","المسيرة names a march/procession; preserve the event sense."
"437:1","MARKET","السوق","allowedForEnToAr","","true","high","true","السوق is a normal market noun; no uniqueness requirement applies."
"450:3","YES","نعم","allowedForEnToAr","","true","high","true","نعم is the standard affirmative yes; allow both directions."
"480:4","PLAY","لعب","allowedForEnToAr","","true","high","true","لعب can name play or serve as a verb citation. The play-activity meaning is retained without exact POS symmetry."
"378:0","COLLEGE","كلية","allowedForEnToAr","","true","high","true","كلية is an ordinary college/faculty noun. Related institutional senses are legitimate."
"190:1","PART","الجزء","allowedForEnToAr","","true","high","true","الجزء is a part/portion; synonyms are expected in bilingual crosswords."
"232:2","COMMUNITY","الجماعة","allowedForEnToAr","","true","high","true","الجماعة can denote a community/group. This legitimate social-group sense is not excluded for breadth alone."
"265:2","CASE","قضية","allowedForEnToAr","","true","high","true","قضية is a case/matter, including a legal case; no legal advice or new sense is being added."
"451:1","REQUIRED","مطلوب","allowedForEnToAr","","true","high","true","مطلوب is a natural required participial adjective; morphology is appropriate."
"424:0","THREAD","خيط","allowedForEnToAr","","true","high","true","خيط means thread/string. Same-length synonyms are still acceptable with crossings."
"515:2","SIDE","الجانب","allowedForEnToAr","","true","high","true","الجانب is a side/aspect; both are legitimate senses."
"97:3","PEOPLE","الناس","allowedForEnToAr","","true","high","true","الناس is the ordinary people collective noun; surface number comparison is unnecessary."
"524:0","QUOTE","اقتبس","allowedForEnToAr","","true","high","true","اقتبس is a natural quote imperative/finite citation; it preserves the quoting event."
"476:1","ARTICLES","المقالات","allowedForEnToAr","","true","high","true","المقالات is plural articles in the writing sense; appropriate noun correspondence."
"221:1","USING","استعمال","allowedForEnToAr","","true","high","true","استعمال is a standard using/use event noun; gerund versus masdar is not an error."
"432:2","REGISTER","السجل","allowedForEnToAr","","true","high","true","السجل names a register/record book. This noun sense is distinct from the registering verb."
"120:0","DATA","البيانات","allowedForEnToAr","","true","high","true","البيانات is ordinary data; collective/plural morphology is natural."
"211:0","TERMS","المصطلحات","allowedForEnToAr","","true","high","true","المصطلحات is terms in the specialized-word sense; preserve that sense without excluding synonyms."
"130:1","POLICY","السياسة","allowedForEnToAr","","true","high","true","السياسة can denote a policy as well as politics. The policy sense is legitimate in context and remains allowed."
"20:0","AT","في","allowedForEnToAr","","true","high","true","في can naturally express AT for a location or time construction; broad function-word overlap is not sufficient exclusion evidence."
"506:2","STUDENT","تلميذ","allowedForEnToAr","","true","high","true","تلميذ is a student/pupil noun; both legitimate English words may be answers."
"407:0","SCIENCE","العلوم","allowedForEnToAr","","true","high","true","العلوم is natural for science/sciences as a collective field of study; identical number is not required."
"164:2","COMPANY","الشركة","allowedForEnToAr","","true","high","true","الشركة is a normal business-company noun; suitable learner vocabulary."
"170:2","USER","مستعمل","allowedForEnToAr","","true","high","true","مستعمل can be an active-participle user. The unvowelled used-adjective reading is another reading, not proof of a wrong user sense."
"340:0","PREVIOUS","سابق","allowedForEnToAr","","true","high","true","سابق is a natural previous/former adjective; synonyms are allowed."
"443:4","MODEL","النموذج","allowedForEnToAr","","true","high","true","النموذج is a model/example; the representation sense is valid."
"494:1","STANDARD","المعيار","allowedForEnToAr","","true","high","true","المعيار is a standard/criterion. The relationship remains useful despite alternative English equivalents."
"454:1","ACCESSORIES","الملحقات","allowedForEnToAr","","true","high","true","الملحقات is accessories/attachments; related legitimate nouns do not require exclusion."
"232:0","COMMUNITY","مجتمع","allowedForEnToAr","","true","high","true","مجتمع is an ordinary community/society noun; both mappings are valid."
"424:2","THREAD","موضوع","allowedForEnToAr","","true","high","true","موضوع is a conventional discussion-thread sense in online forums. Preserve that domain sense without claiming every topic is a thread."
"101:0","JUST","مجرد","allowedForEnToAr","","true","high","true","مجرد expresses just/merely in a limiting construction. This legitimate function-word sense is allowed."
"428:5","LIVE","عش","allowedForEnToAr","","true","high","true","عش can be the live imperative, despite the nest noun homograph without vowels. The verbal sense is legitimate and should be labelled."
"243:5","FAMILY","الأسرة","allowedForEnToAr","","true","high","true","الأسرة is a normal family/household noun; legitimate alternatives are expected."
"384:1","JOBS","وظائف","allowedForEnToAr","","true","high","true","وظائف is jobs/positions; the work-position sense is correct."
"490:0","FINANCIAL","مالي","allowedForEnToAr","","true","high","true","مالي is a natural financial adjective; adjective agreement need not mirror English surface form."
"324:1","SMALL","صغير","allowedForEnToAr","","true","high","true","صغير is the ordinary small adjective; no reverse uniqueness requirement."
