"sampleIndex","sourceId","english","arabic","oldDecision","revisedDecision","reason","confidence","fieldConfidence","sources","reviewer","stratum","effectiveDecision","proposalArAllowed","proposalAgreement"
"53","252:0","PRICES","اسعار","{""arabic"":""اسعار"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","اسعار has the correct prices meaning but unresolved hamza spelling; retain review.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""اسعار"",""status"":""review"",""register"":""msa""}","","true"
"55","215:1","SEND","ارسال","{""arabic"":""ارسال"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","ارسال has a hamza omission. A verbal noun may convey the send event, but the current spelling is not certified.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""ارسال"",""status"":""review"",""register"":""msa""}","","true"
"57","337:2","LEVEL","الرتبة","{""arabic"":""الرتبة"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","الرتبة is rank/grade and can overlap with level. Keep the sense unresolved rather than rejecting the less-common alternative.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""الرتبة"",""status"":""review"",""register"":""msa""}","","true"
"58","186:3","GAMES","العاب","{""arabic"":""العاب"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","العاب has a hamza omission in the ordinary games plural; keep spelling review.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""العاب"",""status"":""review"",""register"":""msa""}","","true"
"60","215:0","SEND","ارسل","{""arabic"":""ارسل"",""status"":""review"",""register"":""uncertain""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","ارسل could intend أرسل but needs hamza/reading confirmation. It is standard-register vocabulary with unresolved spelling.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""ارسل"",""status"":""review"",""register"":""msa""}","","true"
"61","24:0","HAVE","عندي","{""arabic"":""عندي"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","عندي naturally expresses first-person possession. HAVE may be translated this way in a sentence, but isolated clue suitability needs a construction label; no automatic rejection.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""عندي"",""status"":""review"",""register"":""msa""}","","true"
"67","369:1","SAVE","انقاذ","{""arabic"":""انقاذ"",""status"":""review"",""register"":""uncertain""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","انقاذ intends إنقاذ. The save/rescue event is legitimate, but the hamza spelling needs review.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""انقاذ"",""status"":""review"",""register"":""msa""}","","true"
"69","77:3","FIRST","الاولى","{""arabic"":""الاولى"",""status"":""review"",""register"":""uncertain""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","الاولى intends الأولى and has an unresolved hamza omission; feminine ordinal agreement itself is not a rejection reason.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""الاولى"",""status"":""review"",""register"":""msa""}","","true"
"71","33:0","US","نحن","{""arabic"":""نحن"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":false,""preferredForArToEn"":false}","نحن normally represents a subject pronoun, but English US can occur in constructions translated with Arabic subject forms. Do not categorically reject on case alone; bare-entry construction remains unresolved.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""نحن"",""status"":""review"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","false"
"74","519:1","GIVE","اعطي","{""arabic"":""اعطي"",""status"":""review"",""register"":""uncertain""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","اعطي needs hamza and vowel/person disambiguation. Preserve spelling and review, rather than automatically reject the finite form.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""اعطي"",""status"":""review"",""register"":""msa""}","","true"
"75","519:0","GIVE","اعطاء","{""arabic"":""اعطاء"",""status"":""review"",""register"":""uncertain""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","اعطاء intends إعطاء; the give event is correct but the written hamza remains unresolved.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""اعطاء"",""status"":""review"",""register"":""msa""}","","true"
"77","165:4","READ","اقرا","{""arabic"":""اقرا"",""status"":""review"",""register"":""uncertain""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","اقرا needs spelling review of اقرأ; verb morphology itself is not a reason to reject.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""اقرا"",""status"":""review"",""register"":""msa""}","","true"
"78","64:1","HIS","له","{""arabic"":""له"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","له can encode possession or to/for him. HIS may be natural in a full construction, but the isolated relationship needs clarification.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""له"",""status"":""review"",""register"":""msa""}","","true"
"83","79:0","BEEN","كان","{""arabic"":""كان"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","كان can participate in translations of BEEN, but the English perfect participle needs construction context. Retain review, not an automatic surface-form ban.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""كان"",""status"":""review"",""register"":""msa""}","","true"
"88","200:0","MUST","لازم","{""arabic"":""لازم"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","لازم has legitimate standard necessary/adherent readings and colloquial modal uses. MUST needs a context-specific usage decision; do not mark the whole word dialect.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","verb-inflection","{""arabic"":""لازم"",""status"":""review"",""register"":""msa""}","","true"
"89","244:0","LONG","لونغ","{""arabic"":""لونغ"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""uncertain"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}","لونغ is not an established MSA translation of the long property. Keep both directions disallowed; register remains uncertain and status becomes review under the revised register rule.","high","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""high"",""allowedForArToEn"":""high"",""preferredForEnToAr"":""high"",""preferredForArToEn"":""high""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","previous-rejection","{""arabic"":""لونغ"",""status"":""review"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","true"
"92","468:2","FRIEND","صديقي","{""arabic"":""صديقي"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":false,""preferredForArToEn"":false}","صديقي is my friend and can be natural when addressing someone as friend. Do not reject every possessive adaptation; this isolated sense needs confirmation.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","previous-rejection","{""arabic"":""صديقي"",""status"":""review"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","false"
"94","312:1","ART","ارت","{""arabic"":""ارت"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""uncertain"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}","ارت is a phonetic rendering/name, not a certified Arabic art concept. Withhold both directions while register remains unclassified.","high","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""high"",""allowedForArToEn"":""high"",""preferredForEnToAr"":""high"",""preferredForArToEn"":""high""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","previous-rejection","{""arabic"":""ارت"",""status"":""review"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","true"
"96","144:0","VIDEO","بالفيديو","{""arabic"":""بالفيديو"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":false,""preferredForArToEn"":false}","بالفيديو can naturally occur where English VIDEO modifies a communication medium. Isolated use needs context, so rejection solely for a preposition is too strong.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","previous-rejection","{""arabic"":""بالفيديو"",""status"":""review"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","false"
"97","323:0","TEXT","نصوص","{""arabic"":""نصوص"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":false,""preferredForArToEn"":false}","نصوص is plural texts, but TEXT can denote written material collectively. Defer the collective sense instead of automatically rejecting number differences.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","previous-rejection","{""arabic"":""نصوص"",""status"":""review"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","false"
"98","93:1","PRICE","الاسعار","{""arabic"":""الاسعار"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":false,""preferredForArToEn"":false}","الاسعار has both a hamza issue and a plural reading; contextual price/prices usage needs review, not automatic morphological rejection.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","previous-rejection","{""arabic"":""الاسعار"",""status"":""review"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","false"
"101","257:0","MUCH","ماتش","{""arabic"":""ماتش"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""uncertain"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}","ماتش points to match, not much. The semantic exclusion is clear even while its register classification remains uncertain.","high","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""high"",""allowedForArToEn"":""high"",""preferredForEnToAr"":""high"",""preferredForArToEn"":""high""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","previous-rejection","{""arabic"":""ماتش"",""status"":""review"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","true"
"102","90:2","SERVICE","الخدمات","{""arabic"":""الخدمات"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":false,""preferredForArToEn"":false}","الخدمات may realize collective service in context. Bare-entry number/collective use needs review rather than blanket rejection.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","previous-rejection","{""arabic"":""الخدمات"",""status"":""review"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","false"
"103","393:0","AROUND","حو","{""arabic"":""حو"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""uncertain"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}","حو is a truncated fragment, not a certified MSA around equivalent. Keep both directions disallowed and retain register review.","high","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""high"",""allowedForArToEn"":""high"",""preferredForEnToAr"":""high"",""preferredForArToEn"":""high""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","previous-rejection","{""arabic"":""حو"",""status"":""review"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","false","true"
