"sourceId","english","arabic","stratum","oldDecision"
"325:3","RATING","تصنيف","unapplied-qa","{""arabic"":""تصنيف"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"417:2","ESTATE","العقارات","register-disagreement","{""arabic"":""العقارات"",""status"":""review"",""register"":""msa""}"
"112:3","USED","استخدمت","register-disagreement","{""arabic"":""استخدمت"",""status"":""review"",""register"":""msa""}"
"354:1","ANOTHER","اخرى","register-disagreement","{""arabic"":""اخرى"",""status"":""review"",""register"":""msa""}"
"76:1","ONLINE","على الانترنت","register-disagreement","{""arabic"":""على الانترنت"",""status"":""review"",""register"":""msa""}"
"14:1","YOU","انتي","register-disagreement","{""arabic"":""انتي"",""status"":""review"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"77:0","FIRST","اول","register-disagreement","{""arabic"":""اول"",""status"":""review"",""register"":""msa""}"
"26:2","MORE","اكثر","register-disagreement","{""arabic"":""اكثر"",""status"":""review"",""register"":""msa""}"
"321:3","CHANGE","غير","register-disagreement","{""arabic"":""غير"",""status"":""review"",""register"":""msa""}"
"279:3","AMERICAN","الامريكي","register-disagreement","{""arabic"":""الامريكي"",""status"":""review"",""register"":""msa""}"
"63:0","SO","أجل.","register-disagreement","{""arabic"":""أجل."",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"154:0","EACH","لكل منها","register-disagreement","{""arabic"":""لكل منها"",""status"":""review"",""register"":""msa""}"
"272:2","FOUND","وجدت","register-disagreement","{""arabic"":""وجدت"",""status"":""review"",""register"":""msa""}"
"21:0","AS","حسب","register-disagreement","{""arabic"":""حسب"",""status"":""review"",""register"":""msa""}"
"6:0","FOR","لاجل","register-disagreement","{""arabic"":""لاجل"",""status"":""review"",""register"":""msa""}"
"452:0","SECOND","ثانيا","register-disagreement","{""arabic"":""ثانيا"",""status"":""review"",""register"":""msa""}"
"176:2","RESEARCH","ابحاث","register-disagreement","{""arabic"":""ابحاث"",""status"":""review"",""register"":""msa""}"
"491:0","THINGS","اشياء","register-disagreement","{""arabic"":""اشياء"",""status"":""review"",""register"":""msa""}"
"96:3","TOP","الاعلى","register-disagreement","{""arabic"":""الاعلى"",""status"":""review"",""register"":""msa""}"
"252:0","PRICES","اسعار","register-disagreement","{""arabic"":""اسعار"",""status"":""review"",""register"":""msa""}"
"300:1","NORTH","شمالي","register-disagreement","{""arabic"":""شمالي"",""status"":""review"",""register"":""msa""}"
"215:1","SEND","ارسال","register-disagreement","{""arabic"":""ارسال"",""status"":""review"",""register"":""msa""}"
"369:0","SAVE","حفظ","register-disagreement","{""arabic"":""حفظ"",""status"":""review"",""register"":""msa""}"
"337:2","LEVEL","الرتبة","register-disagreement","{""arabic"":""الرتبة"",""status"":""review"",""register"":""msa""}"
"186:3","GAMES","العاب","register-disagreement","{""arabic"":""العاب"",""status"":""review"",""register"":""msa""}"
"119:2","BUY","يشتري","verb-inflection","{""arabic"":""يشتري"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""verb""}"
"215:0","SEND","ارسل","verb-inflection","{""arabic"":""ارسل"",""status"":""review"",""register"":""uncertain""}"
"24:0","HAVE","عندي","verb-inflection","{""arabic"":""عندي"",""status"":""review"",""register"":""msa""}"
"461:2","SAY","قولي","verb-inflection","{""arabic"":""قولي"",""status"":""approved"",""register"":""msa"",""partOfSpeech"":""verb""}"
"65:1","WHEN","عندما","verb-inflection","{""arabic"":""عندما"",""status"":""approved"",""register"":""msa"",""partOfSpeech"":""adverb / conjunction"",""sense"":""temporal conjunction""}"
"248:0","EVEN","حتى","verb-inflection","{""arabic"":""حتى"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adverb""}"
"449:0","PROVIDED","شريطة","verb-inflection","{""arabic"":""شريطة"",""status"":""review"",""register"":""msa""}"
"73:2","HELP","ساعد","verb-inflection","{""arabic"":""ساعد"",""status"":""approved"",""register"":""msa"",""partOfSpeech"":""verb""}"
"369:1","SAVE","انقاذ","verb-inflection","{""arabic"":""انقاذ"",""status"":""review"",""register"":""uncertain""}"
"108:0","TWO","اثنين","verb-inflection","{""arabic"":""اثنين"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""numeral""}"
"77:3","FIRST","الاولى","verb-inflection","{""arabic"":""الاولى"",""status"":""review"",""register"":""uncertain""}"
"60:0","THERE","هناك","verb-inflection","{""arabic"":""هناك"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""partOfSpeech"":""adverb""}"
"33:0","US","نحن","verb-inflection","{""arabic"":""نحن"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"441:3","START","ابدأ","verb-inflection","{""arabic"":""ابدأ"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""verb""}"
"375:0","COMPARE","مقارنة","verb-inflection","{""arabic"":""مقارنة"",""status"":""review"",""register"":""msa""}"
"519:1","GIVE","اعطي","verb-inflection","{""arabic"":""اعطي"",""status"":""review"",""register"":""uncertain""}"
"519:0","GIVE","اعطاء","verb-inflection","{""arabic"":""اعطاء"",""status"":""review"",""register"":""uncertain""}"
"461:0","SAY","قل","verb-inflection","{""arabic"":""قل"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""partOfSpeech"":""verb""}"
"165:4","READ","اقرا","verb-inflection","{""arabic"":""اقرا"",""status"":""review"",""register"":""uncertain""}"
"64:1","HIS","له","verb-inflection","{""arabic"":""له"",""status"":""review"",""register"":""msa""}"
"169:0","MANY","كثير","verb-inflection","{""arabic"":""كثير"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""quantifier""}"
"221:0","USING","باستعمال","verb-inflection","{""arabic"":""باستعمال"",""status"":""review"",""register"":""uncertain""}"
"121:1","MAKE","صنع","verb-inflection","{""arabic"":""صنع"",""status"":""review"",""register"":""uncertain""}"
"271:0","OWN","امتلك","verb-inflection","{""arabic"":""امتلك"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""partOfSpeech"":""verb""}"
"79:0","BEEN","كان","verb-inflection","{""arabic"":""كان"",""status"":""review"",""register"":""msa""}"
"465:0","GOING","ذهاب","verb-inflection","{""arabic"":""ذهاب"",""status"":""approved"",""register"":""msa"",""partOfSpeech"":""verbal noun""}"
"497:0","BELOW","تحت","verb-inflection","{""arabic"":""تحت"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""adverb / preposition""}"
"228:0","TAKE","خذ","verb-inflection","{""arabic"":""خذ"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""partOfSpeech"":""verb""}"
"165:3","READ","قراءة","verb-inflection","{""arabic"":""قراءة"",""status"":""review"",""register"":""uncertain""}"
"200:0","MUST","لازم","verb-inflection","{""arabic"":""لازم"",""status"":""review"",""register"":""msa""}"
"244:0","LONG","لونغ","previous-rejection","{""arabic"":""لونغ"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"452:2","SECOND","تاني","previous-rejection","{""arabic"":""تاني"",""status"":""rejected"",""register"":""dialect"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"313:3","PERSONAL","البيانات الشخصية","previous-rejection","{""arabic"":""البيانات الشخصية"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"468:2","FRIEND","صديقي","previous-rejection","{""arabic"":""صديقي"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"30:1","WILL","راح","previous-rejection","{""arabic"":""راح"",""status"":""rejected"",""register"":""dialect"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"312:1","ART","ارت","previous-rejection","{""arabic"":""ارت"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"440:5","ACTION","الإجراء المتخذ","previous-rejection","{""arabic"":""الإجراء المتخذ"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"144:0","VIDEO","بالفيديو","previous-rejection","{""arabic"":""بالفيديو"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"323:0","TEXT","نصوص","previous-rejection","{""arabic"":""نصوص"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"93:1","PRICE","الاسعار","previous-rejection","{""arabic"":""الاسعار"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"41:1","BUT","بس","previous-rejection","{""arabic"":""بس"",""status"":""rejected"",""register"":""dialect"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"26:1","MORE","اكتر","previous-rejection","{""arabic"":""اكتر"",""status"":""rejected"",""register"":""dialect"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"257:0","MUCH","ماتش","previous-rejection","{""arabic"":""ماتش"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"90:2","SERVICE","الخدمات","previous-rejection","{""arabic"":""الخدمات"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"393:0","AROUND","حو","previous-rejection","{""arabic"":""حو"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"7:0","IS","هو كذلك","previous-rejection","{""arabic"":""هو كذلك"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"184:3","LIFE","حياته","previous-rejection","{""arabic"":""حياته"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"495:1","TAX","ضرائب","previous-rejection","{""arabic"":""ضرائب"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"53:3","WHAT","شنو","previous-rejection","{""arabic"":""شنو"",""status"":""rejected"",""register"":""dialect"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"256:1","WOMEN","المراة","previous-rejection","{""arabic"":""المراة"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"495:0","TAX","ضريبي","previous-rejection","{""arabic"":""ضريبي"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"373:2","CUSTOMER","العملاء","previous-rejection","{""arabic"":""العملاء"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"152:3","SCHOOL","المدارس","previous-rejection","{""arabic"":""المدارس"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"412:2","SALES","البيع","previous-rejection","{""arabic"":""البيع"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"339:0","PROFILE","التشكيلة","previous-rejection","{""arabic"":""التشكيلة"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"405:1","POINT","بوينت","previous-rejection","{""arabic"":""بوينت"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"194:1","HOTEL","دق","previous-rejection","{""arabic"":""دق"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"382:1","MAN","مان","previous-rejection","{""arabic"":""مان"",""status"":""rejected"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"327:1","GOVERNMENT","الحكومات","previous-rejection","{""arabic"":""الحكومات"",""status"":""rejected"",""register"":""msa"",""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"430:2","GALLERY","معرض الصور","previous-rejection","{""arabic"":""معرض الصور"",""status"":""approved"",""register"":""msa"",""partOfSpeech"":""noun"",""sense"":""display or collection of pictures""}"
"379:0","VALUE","القيمة","previous-reverse-restriction","{""arabic"":""القيمة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"103:2","STATE","ولاية","previous-reverse-restriction","{""arabic"":""ولاية"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""federal subdivision""}"
"281:3","GAME","اللعبة","previous-reverse-restriction","{""arabic"":""اللعبة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""activity with rules""}"
"105:2","DAY","نهار","previous-reverse-restriction","{""arabic"":""نهار"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"241:0","BETWEEN","بين","previous-reverse-restriction","{""arabic"":""بين"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""preposition""}"
"410:0","ADVANCED","متقدم","previous-reverse-restriction","{""arabic"":""متقدم"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"270:2","SECTION","الفرع","previous-reverse-restriction","{""arabic"":""الفرع"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"468:0","FRIEND","صديق","previous-reverse-restriction","{""arabic"":""صديق"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"26:3","MORE","مزيد","previous-reverse-restriction","{""arabic"":""مزيد"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""quantifier""}"
"70:2","WEB","ويب","previous-reverse-restriction","{""arabic"":""ويب"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"493:0","AGAINST","ضد","previous-reverse-restriction","{""arabic"":""ضد"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""preposition""}"
"221:2","USING","استخدام","previous-reverse-restriction","{""arabic"":""استخدام"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""verbal noun""}"
"514:0","STORES","متاجر","previous-reverse-restriction","{""arabic"":""متاجر"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"458:1","MARCH","مارس","previous-reverse-restriction","{""arabic"":""مارس"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""calendar month""}"
"524:2","QUOTE","الاقتباس","previous-reverse-restriction","{""arabic"":""الاقتباس"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"341:3","FORM","النموذج","previous-reverse-restriction","{""arabic"":""النموذج"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""template""}"
"429:0","LARGE","كبيرة","previous-reverse-restriction","{""arabic"":""كبيرة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"68:0","BUSINESS","العمل","previous-reverse-restriction","{""arabic"":""العمل"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"458:0","MARCH","المسيرة","previous-reverse-restriction","{""arabic"":""المسيرة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""procession""}"
"437:1","MARKET","السوق","previous-reverse-restriction","{""arabic"":""السوق"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"450:3","YES","نعم","previous-reverse-restriction","{""arabic"":""نعم"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""particle""}"
"480:4","PLAY","لعب","previous-reverse-restriction","{""arabic"":""لعب"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""playing""}"
"378:0","COLLEGE","كلية","previous-reverse-restriction","{""arabic"":""كلية"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"190:1","PART","الجزء","previous-reverse-restriction","{""arabic"":""الجزء"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"232:2","COMMUNITY","الجماعة","previous-reverse-restriction","{""arabic"":""الجماعة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"265:2","CASE","قضية","previous-reverse-restriction","{""arabic"":""قضية"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""matter or legal case""}"
"451:1","REQUIRED","مطلوب","previous-reverse-restriction","{""arabic"":""مطلوب"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"424:0","THREAD","خيط","previous-reverse-restriction","{""arabic"":""خيط"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""strand""}"
"515:2","SIDE","الجانب","previous-reverse-restriction","{""arabic"":""الجانب"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"97:3","PEOPLE","الناس","previous-reverse-restriction","{""arabic"":""الناس"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"524:0","QUOTE","اقتبس","previous-reverse-restriction","{""arabic"":""اقتبس"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""verb""}"
"476:1","ARTICLES","المقالات","previous-reverse-restriction","{""arabic"":""المقالات"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"221:1","USING","استعمال","previous-reverse-restriction","{""arabic"":""استعمال"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""verbal noun""}"
"432:2","REGISTER","السجل","previous-reverse-restriction","{""arabic"":""السجل"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"120:0","DATA","البيانات","previous-reverse-restriction","{""arabic"":""البيانات"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"211:0","TERMS","المصطلحات","previous-reverse-restriction","{""arabic"":""المصطلحات"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""specialized words""}"
"130:1","POLICY","السياسة","previous-reverse-restriction","{""arabic"":""السياسة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"20:0","AT","في","previous-reverse-restriction","{""arabic"":""في"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""preposition""}"
"506:2","STUDENT","تلميذ","previous-reverse-restriction","{""arabic"":""تلميذ"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"407:0","SCIENCE","العلوم","previous-reverse-restriction","{""arabic"":""العلوم"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"164:2","COMPANY","الشركة","previous-reverse-restriction","{""arabic"":""الشركة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""business organization""}"
"170:2","USER","مستعمل","previous-reverse-restriction","{""arabic"":""مستعمل"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"340:0","PREVIOUS","سابق","previous-reverse-restriction","{""arabic"":""سابق"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"443:4","MODEL","النموذج","previous-reverse-restriction","{""arabic"":""النموذج"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""representation or example""}"
"494:1","STANDARD","المعيار","previous-reverse-restriction","{""arabic"":""المعيار"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""criterion""}"
"454:1","ACCESSORIES","الملحقات","previous-reverse-restriction","{""arabic"":""الملحقات"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"232:0","COMMUNITY","مجتمع","previous-reverse-restriction","{""arabic"":""مجتمع"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"424:2","THREAD","موضوع","previous-reverse-restriction","{""arabic"":""موضوع"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""discussion thread""}"
