experiment,seed,size,mode,policy,success,reason,templatesDiscovered,viableTemplates,templatesAttempted,solverAttempts,constructEmpty,maximumDepth,slotSelections,selectedDomainTotal,lookups,examined,duplicateVisits,lookupMs,placementMs,validationMs,backtracks,forwardFailures,mrvDeadEnds,observedDeadlineExits,buildRejections,validationErrors
"baseline","2","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","6","6","1","2","2","21","29204","64313","1613260","null","null","1200.2522600023003","5.442246001417516","0","29209","34982","7","24","[]","[]"
"baseline","3","7","ar_to_en","compatibility","true","success","24","24","1","1","0","22","43","1025","581","null","null","2.145896000227367","0.006500000010419171","0.1254579999949783","21","36","0","0","[]","[]"
"baseline","3","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","24","24","19","87495","257310","1443456","null","null","2086.172913994422","18.62237699967227","0","87500","164490","25","123","[]","[]"
"baseline","3","9","ar_to_en","compatibility","true","success","24","24","14","14","13","32","33956","99613","729902","null","null","1591.4830990066403","7.168500999381649","0.11670800000138115","33923","57380","12","81","[]","[]"
"baseline","3","9","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","36","36","18","76125","217945","2005327","null","null","2723.3938840043556","16.91052000005584","0","76265","139568","176","89","[]","[]"
"baseline","3","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","19","48193","152674","1593531","null","null","3141.65456000821","11.914872000888863","0","48184","93729","15","138","[]","[]"
"baseline","3","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","175","175","14","44895","98620","1720116","null","null","3060.8108899824874","9.919614999489568","0","44986","52939","265","60","[]","[]"
"baseline","3","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","25","36501","115207","1707112","null","null","3127.297334988558","10.28827799751889","0","36488","70014","10","125","[]","[]"
"baseline","3","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","24","24","24","480","480","0","480","7680","73880","null","null","73.85917200069525","1.049820999862277","0","0","7680","0","0","[]","[]"
"baseline","3","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","6","6","1","2","2","40","15034","52720","592219","null","null","1285.1073929951235","3.4352360007032985","0","15032","36728","0","58","[]","[]"
"baseline","3","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","6","6","1","2","2","59","20773","58852","1013545","null","null","1257.1553629929258","4.141403000990977","0","20862","37777","91","52","[]","[]"
"budget4","1","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","28","28","16","447588","1292225","7230802","null","null","8291.735401995407","94.28046499910965","0","447649","840081","88","121","[]","[]"
"budget4","1","9","ar_to_en","compatibility","true","success","24","24","7","7","6","31","183282","430132","2310984","null","null","3089.7314669927364","26.96024999922338","0.6224579999980051","183356","242551","111","60","[]","[]"
"budget4","1","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","31","209524","629049","6824400","null","null","12604.103597999881","50.36347200016098","0","209552","409453","52","145","[]","[]"
"budget4","1","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","475","475","15","139275","306159","5226204","null","null","9210.12955997578","29.654414997748972","0","139410","166683","610","6","[]","[]"
"budget4","1","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","27","155178","473567","7220953","null","null","12506.980566035709","40.20005399904039","0","155189","311414","35","137","[]","[]"
"budget4","1","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","24","24","24","480","480","0","480","7680","75900","null","null","73.33098400154267","1.0616879996377975","0","0","7680","0","0","[]","[]"
"budget4","1","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","6","6","1","2","2","24","18974","61303","1091283","null","null","5180.7427590019215","4.695339000114473","0","18972","41778","0","37","[]","[]"
"budget4","1","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","6","6","5","86","86","12","35902","92831","2278928","null","null","5035.792901961424","7.155016997217899","0","35816","56969","0","6","[]","[]"
"budget4","2","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","27","27","18","443112","1221308","7283370","null","null","8312.295687017468","103.76299198892957","0","443235","774400","148","103","[]","[]"
"budget4","2","9","ar_to_en","compatibility","true","success","24","24","2","2","1","32","12282","32089","262232","null","null","582.8595079898951","2.800773002090864","0.2536670000117738","12249","18562","0","6","[]","[]"
"budget4","2","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","23","204340","613704","6779042","null","null","12636.556515118791","57.04481700436736","0","204397","399095","81","162","[]","[]"
"budget4","2","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","449","449","18","154506","344520","5765274","null","null","10020.652023010276","35.59037299643387","0","154663","189757","606","10","[]","[]"
"budget4","2","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","19","162712","488552","7545140","null","null","12446.095723041377","49.32047200904344","0","162786","318731","97","131","[]","[]"
"budget4","2","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","24","24","24","480","480","0","480","7680","75580","null","null","71.26730799849611","1.1845589990844019","0","0","7680","0","0","[]","[]"
"budget4","2","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","6","6","1","2","2","60","172014","562163","3366652","null","null","5106.943272046163","31.07375599021907","0","172012","389136","0","74","[]","[]"
"budget4","2","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","6","6","1","2","2","32","108548","259293","5977028","null","null","4898.087586022419","24.980574999121018","0","108629","150486","83","33","[]","[]"
"budget4","3","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","28","28","20","346928","983842","5705052","null","null","8353.51219595957","79.97725200597779","0","346972","632773","68","118","[]","[]"
"budget4","3","9","ar_to_en","compatibility","true","success","24","24","8","8","7","32","60669","173588","1402431","null","null","3626.409425996826","14.907756002183305","0.17916600001626648","60649","108264","19","43","[]","[]"
"budget4","3","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","23","202973","607564","6566861","null","null","12605.722287009557","55.65521499843453","0","202979","394504","30","153","[]","[]"
"budget4","3","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","473","473","14","138381","303896","5291558","null","null","9325.4816871144","33.76250298076775","0","138688","165145","780","9","[]","[]"
"budget4","3","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","25","150876","450752","7083480","null","null","12499.292641846114","46.587237013765844","0","150910","292265","58","134","[]","[]"
"budget4","3","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","24","24","24","480","480","0","480","7680","73880","null","null","73.85874099578359","1.173677000333555","0","0","7680","0","0","[]","[]"
"budget4","3","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","6","6","1","2","2","40","54623","188413","2022639","null","null","5143.9166499532585","13.70857799355872","0","54622","132839","0","57","[]","[]"
"budget4","3","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","6","6","1","2","2","61","95271","249519","3251621","null","null","5182.861429993674","18.013016996497754","0","96326","152969","1057","56","[]","[]"
"templates48","1","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","48","48","48","48","48","16","97098","285376","1585154","null","null","2066.856815985666","23.131549995217938","0","97112","176429","56","241","[]","[]"
"templates48","1","9","ar_to_en","compatibility","true","success","48","48","19","19","18","32","40347","104240","626652","null","null","1053.7211620294256","7.648281999689061","0.18537500000093132","40301","52460","3","133","[]","[]"
"templates48","1","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","48","48","48","48","48","20","48436","167080","1649806","null","null","3126.741065080947","13.707615006278502","0","48399","96982","10","283","[]","[]"
"templates48","1","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","48","48","48","207","207","15","43204","97901","1638771","null","null","3050.454318054195","10.422277000936447","0","43218","53157","221","110","[]","[]"
"templates48","1","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","48","48","48","48","48","20","35816","125964","1705164","null","null","3101.0635769806104","10.7590469957795","0","35801","72891","32","232","[]","[]"
"templates48","1","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","48","48","48","960","960","0","960","15360","152920","null","null","144.68762600203627","2.944846998056164","0","0","15360","0","0","[]","[]"
"templates48","1","13","en_to_ar","compatibility","true","success","48","48","1","1","0","84","715","2885","21459","null","null","98.74024700964219","0.17228500009514391","0.4391250000044238","631","1419","0","0","[]","[]"
"templates48","1","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","48","48","1","2","2","50","17510","53240","801094","null","null","1273.8877450475702","4.125330998329446","0","17510","35389","2","39","[]","[]"
"templates48","2","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","48","48","48","48","48","14","107300","310474","1781481","null","null","2060.469896094495","25.533863009448396","0","107272","191539","16","200","[]","[]"
"templates48","2","9","ar_to_en","compatibility","true","success","48","48","11","11","10","32","10188","36788","248149","null","null","592.6167169673136","2.9109410035889596","0.2010840000002645","10149","20133","2","56","[]","[]"
"templates48","2","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","48","48","48","48","48","22","45473","156858","1523981","null","null","3119.9698800498154","12.698510994145181","0","45461","89660","34","283","[]","[]"
"templates48","2","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","48","48","48","189","189","18","44262","99719","1691046","null","null","3037.4168660545256","10.754648999427445","0","44296","53820","221","119","[]","[]"
"templates48","2","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","48","48","48","48","48","20","38454","128663","1827071","null","null","3096.6694550226675","11.100854993972462","0","38454","72765","46","256","[]","[]"
"templates48","2","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","48","48","48","960","960","0","960","15360","150100","null","null","142.2166119532194","2.6032440004637465","0","0","15360","0","0","[]","[]"
"templates48","2","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","48","48","1","2","2","74","73029","296814","1397098","null","null","1244.551324042026","18.53204499190906","0","73027","222499","0","102","[]","[]"
"templates48","2","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","48","48","1","2","2","44","19564","52134","859950","null","null","1297.246571894153","4.643199004000053","0","19567","32085","4","48","[]","[]"
"templates48","3","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","48","48","48","48","48","16","89838","262321","1460198","null","null","2064.579415999702","20.474346014962066","0","89815","160910","20","220","[]","[]"
"templates48","3","9","ar_to_en","compatibility","true","success","48","48","25","25","24","31","35577","107928","765968","null","null","1410.7477339076577","8.979663999925833","0.18537500000093132","35537","57689","13","149","[]","[]"
"templates48","3","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","48","48","48","48","48","26","47004","163316","1553715","null","null","3118.8551747960155","13.194086988689378","0","46969","94556","10","294","[]","[]"
"templates48","3","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","48","48","48","196","196","14","43748","96549","1681508","null","null","3045.2234147778945","10.520618001231924","0","43826","51269","272","110","[]","[]"
"templates48","3","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","48","48","48","48","48","25","37469","128246","1741351","null","null","3093.0656761611463","12.053237009735312","0","37439","73095","15","270","[]","[]"
"templates48","3","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","48","48","48","960","960","0","960","15360","149060","null","null","143.7777609404875","2.313261999457609","0","0","15360","0","0","[]","[]"
"templates48","3","13","en_to_ar","compatibility","true","success","48","48","1","1","0","88","1667","5389","41966","null","null","78.717556020536","0.27679099974920973","0.3625420000171289","1584","3120","5","0","[]","[]"
"templates48","3","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","48","48","2","22","22","50","21307","50381","738386","null","null","1287.0938609560253","4.406356999475975","0","21442","28412","157","62","[]","[]"
"templates6","1","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","6","6","6","24","24","19","91604","258952","1462629","null","null","2082.476367063122","21.091427022358403","0","91633","161513","53","117","[]","[]"
"templates6","1","9","ar_to_en","compatibility","true","success","6","6","5","17","16","30","27316","87816","672835","null","null","2008.8187279560952","7.5244360086508095","0.12387499999022111","27272","50580","2","81","[]","[]"
"templates6","1","11","ar_to_en","compatibility","true","success","6","6","5","14","13","44","49295","145570","1477385","null","null","2468.577953914064","11.110095994372386","0.14883400005055591","49284","89699","46","114","[]","[]"
"templates6","1","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","6","6","6","116","116","12","38739","87376","1427591","null","null","2375.06137797836","9.255916996859014","0","38695","48620","72","5","[]","[]"
"templates6","1","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","6","6","6","18","18","17","32364","104445","1541480","null","null","3114.2818677027244","10.27920400223229","0","32392","65922","46","83","[]","[]"
"templates6","1","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","6","6","6","120","120","0","120","1920","17740","null","null","20.459878989728168","0.33102699945447966","0","0","1920","0","0","[]","[]"
"templates6","1","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","6","6","1","2","2","24","6466","22084","371312","null","null","1284.749993875972","1.5829849996953271","0","6464","15062","0","37","[]","[]"
"templates6","1","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","6","6","5","82","82","12","9199","24347","603078","null","null","1251.5752379010664","1.9323450027150102","0","9117","15157","0","12","[]","[]"
"templates6","2","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","6","6","6","24","24","20","96128","271367","1538842","null","null","2083.336768971989","22.650976009841543","0","96123","169404","16","121","[]","[]"
"templates6","2","9","ar_to_en","compatibility","true","success","6","6","1","1","0","32","4500","10571","70863","null","null","110.95536199893104","0.7018189964583144","0.10020799998892471","4468","5424","0","0","[]","[]"
"templates6","2","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","6","6","6","18","18","20","51834","160112","1681790","null","null","3155.9102731383173","13.630893998022657","0","51823","100135","6","130","[]","[]"
"templates6","2","11","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","6","6","6","120","120","9","32760","71400","1287060","null","null","2445.4850941239274","8.198703984904569","0","32920","38480","280","0","[]","[]"
"templates6","2","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","6","6","6","18","18","16","39936","130562","1867024","null","null","3108.1127160514006","11.515389987267554","0","39924","84359","6","99","[]","[]"
"templates6","2","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","6","6","6","120","120","0","120","1920","19340","null","null","19.70983899832936","0.3075740018975921","0","0","1920","0","0","[]","[]"
"templates6","2","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","6","6","1","2","2","57","37470","115475","822414","null","null","1275.0960259099957","7.1190080074593425","0","37468","76988","0","78","[]","[]"
"templates6","2","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","6","6","1","2","2","21","28928","63734","1597661","null","null","1204.1325929609593","6.390096999937668","0","28932","34687","6","22","[]","[]"
"templates6","3","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","6","6","6","24","24","11","86470","245465","1440391","null","null","2087.08898306411","20.97034799400717","0","86462","153654","15","95","[]","[]"
"templates6","3","9","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","6","6","6","24","24","27","57796","166079","1247009","null","null","2837.955619081098","13.295912973058876","0","57776","94089","3","160","[]","[]"
"templates6","3","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","6","6","6","18","18","25","48938","153643","1619662","null","null","3156.9129681193153","13.412602985277772","0","48930","96555","10","113","[]","[]"
"templates6","3","11","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","6","6","6","120","120","8","30220","63780","1150200","null","null","2165.5238556560944","7.188224001380149","0","30380","33400","280","0","[]","[]"
"templates6","3","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","6","6","6","18","18","27","43349","134029","1995901","null","null","3123.321966222138","13.21656099089887","0","43337","84208","4","104","[]","[]"
"templates6","3","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","6","6","6","120","120","0","120","1920","18740","null","null","18.98041399475187","0.30399500048952177","0","0","1920","0","0","[]","[]"
"templates6","3","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","6","6","1","2","2","40","14964","52480","589655","null","null","1281.189389918116","3.7694570024032146","0","14962","36545","0","60","[]","[]"
"templates6","3","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","6","6","1","2","2","59","20530","58213","1004654","null","null","1261.469223945809","4.318724003329407","0","20613","37375","85","54","[]","[]"
