experiment,seed,size,mode,policy,rank,slot,pattern,used,reason,depth,prefixCounts
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""across"",""length"":7}","??AWI??","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""WAS""]","forward_zero","14","[{""position"":2,""letter"":""A"",""remaining"":78},{""position"":3,""letter"":""W"",""remaining"":1},{""position"":4,""letter"":""I"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""across"",""length"":7}","??AHI??","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""HAS""]","forward_zero","14","[{""position"":2,""letter"":""A"",""remaining"":78},{""position"":3,""letter"":""H"",""remaining"":1},{""position"":4,""letter"":""I"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":1,""direction"":""down"",""length"":3}","EMA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""SAR"",""HEARING"",""HAR"",""AMR""]","forward_zero","17","[{""position"":0,""letter"":""E"",""remaining"":51},{""position"":1,""letter"":""M"",""remaining"":1},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":1,""direction"":""down"",""length"":3}","EIA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""SAR"",""HEARING"",""HAR"",""AIR""]","forward_zero","17","[{""position"":0,""letter"":""E"",""remaining"":51},{""position"":1,""letter"":""I"",""remaining"":2},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""down"",""length"":3}","U?R","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""SAN"",""URANIUM""]","forward_zero","15","[{""position"":0,""letter"":""U"",""remaining"":14},{""position"":2,""letter"":""R"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":1,""direction"":""down"",""length"":3}","EOA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""SAN"",""MEANING"",""MOR"",""ROO""]","forward_zero","17","[{""position"":0,""letter"":""E"",""remaining"":51},{""position"":1,""letter"":""O"",""remaining"":5},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":1,""direction"":""down"",""length"":3}","EAA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""SAN"",""MEANING"",""MOR"",""RAO""]","forward_zero","17","[{""position"":0,""letter"":""E"",""remaining"":51},{""position"":1,""letter"":""A"",""remaining"":3},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":1,""direction"":""down"",""length"":3}","EAA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""SAN"",""MEANING"",""REM"",""EAR""]","forward_zero","17","[{""position"":0,""letter"":""E"",""remaining"":50},{""position"":1,""letter"":""A"",""remaining"":2},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":1,""direction"":""down"",""length"":3}","ERA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""SAN"",""MEANING"",""REM"",""ERR""]","forward_zero","17","[{""position"":0,""letter"":""E"",""remaining"":50},{""position"":1,""letter"":""R"",""remaining"":3},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":1,""direction"":""down"",""length"":3}","EAA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""SAN"",""MEANING"",""MER"",""EAR""]","forward_zero","17","[{""position"":0,""letter"":""E"",""remaining"":50},{""position"":1,""letter"":""A"",""remaining"":2},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","EA?","[""EYE"",""TRY"",""ARC""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":14},{""position"":1,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","EC?","[""EYE"",""TRY"",""ARC""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":14},{""position"":1,""letter"":""C"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EA?????","[""EYE"",""TRY"",""ERA""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":40},{""position"":1,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","EA?","[""EYE"",""TRY"",""ERA""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":13},{""position"":1,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EE?????","[""EYE"",""TRY"",""ERE""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":40},{""position"":1,""letter"":""E"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EE?????","[""EYE"",""TRY"",""ERE""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":40},{""position"":1,""letter"":""E"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","EA?","[""EYE"",""TRY"",""ART""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":14},{""position"":1,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EA?????","[""EYE"",""TRY"",""ART""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":40},{""position"":1,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EFE????","[""EYE"",""YES"",""SUCCESS"",""SEE"",""FEE""]","forward_zero","5","[{""position"":0,""letter"":""E"",""remaining"":40},{""position"":1,""letter"":""F"",""remaining"":1},{""position"":2,""letter"":""E"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","ERE????","[""EYE"",""YES"",""SUCCESS"",""SHE"",""HER""]","forward_zero","5","[{""position"":0,""letter"":""E"",""remaining"":40},{""position"":1,""letter"":""R"",""remaining"":7},{""position"":2,""letter"":""E"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","E?I","[""EYE"",""YES"",""ISLANDS""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":14},{""position"":2,""letter"":""I"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EEU????","[""EYE"",""YES"",""USUALLY"",""USE"",""SEE""]","forward_zero","5","[{""position"":0,""letter"":""E"",""remaining"":40},{""position"":1,""letter"":""E"",""remaining"":0},{""position"":2,""letter"":""U"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EAU????","[""EYE"",""YES"",""USUALLY"",""USE"",""SEA""]","forward_zero","5","[{""position"":0,""letter"":""E"",""remaining"":40},{""position"":1,""letter"":""A"",""remaining"":0},{""position"":2,""letter"":""U"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","ETU????","[""EYE"",""YES"",""USUALLY"",""USE"",""SET""]","forward_zero","5","[{""position"":0,""letter"":""E"",""remaining"":40},{""position"":1,""letter"":""T"",""remaining"":2},{""position"":2,""letter"":""U"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EPA????","[""EYE"",""YES"",""DISEASE"",""INN"",""ERE"",""REP""]","forward_zero","6","[{""position"":0,""letter"":""E"",""remaining"":39},{""position"":1,""letter"":""P"",""remaining"":0},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EHA????","[""EYE"",""YES"",""DISEASE"",""INN"",""ERE"",""HER""]","forward_zero","6","[{""position"":0,""letter"":""E"",""remaining"":39},{""position"":1,""letter"":""H"",""remaining"":0},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EDA????","[""EYE"",""YES"",""DISEASE"",""INN"",""ERE"",""RED""]","forward_zero","6","[{""position"":0,""letter"":""E"",""remaining"":39},{""position"":1,""letter"":""D"",""remaining"":4},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EPA????","[""EYE"",""YES"",""DISEASE"",""INN"",""ERE"",""REP""]","forward_zero","6","[{""position"":0,""letter"":""E"",""remaining"":39},{""position"":1,""letter"":""P"",""remaining"":0},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EHA????","[""EYE"",""YES"",""DISEASE"",""INN"",""ERE"",""HER""]","forward_zero","6","[{""position"":0,""letter"":""E"",""remaining"":39},{""position"":1,""letter"":""H"",""remaining"":0},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","approved-only","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","EDA????","[""EYE"",""YES"",""DISEASE"",""INN"",""ERE"",""RED""]","forward_zero","6","[{""position"":0,""letter"":""E"",""remaining"":39},{""position"":1,""letter"":""D"",""remaining"":4},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","LS?","[""LINE"",""ADI"",""MAIDS""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":1,""letter"":""S"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":2,""direction"":""down"",""length"":9}","NM???????","[""LINE"",""ADI"",""ADMIN""]","forward_zero","3","[{""position"":0,""letter"":""N"",""remaining"":27},{""position"":1,""letter"":""M"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","LS?","[""LINE"",""ADI"",""LANDS""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":1,""letter"":""S"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","LS?","[""LINE"",""ADI"",""GOODS""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":1,""letter"":""S"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":2,""direction"":""down"",""length"":9}","ND???????","[""LINE"",""ADI"",""EDDIE""]","forward_zero","3","[{""position"":0,""letter"":""N"",""remaining"":27},{""position"":1,""letter"":""D"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","LS?","[""LINE"",""ADI"",""SENDS""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":1,""letter"":""S"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","LS?","[""LINE"",""ADI"",""PONDS""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":1,""letter"":""S"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":2,""direction"":""down"",""length"":9}","NAT??????","[""LINE"",""ADI"",""IDAHO"",""PORSCHE"",""LIP"",""PATCHWORK""]","forward_zero","6","[{""position"":0,""letter"":""N"",""remaining"":27},{""position"":1,""letter"":""A"",""remaining"":4},{""position"":2,""letter"":""T"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":2,""col"":0,""direction"":""across"",""length"":9}","EA?C?????","[""LINE"",""ADI"",""IDAHO"",""PORSCHE"",""LIE""]","forward_zero","5","[{""position"":0,""letter"":""E"",""remaining"":56},{""position"":1,""letter"":""A"",""remaining"":0},{""position"":3,""letter"":""C"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","LS?","[""LINE"",""ADI"",""NEEDS""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":1,""letter"":""S"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","LY?","[""LINE"",""ADI"",""RANDY""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":1,""letter"":""Y"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","LZ?","[""LINE"",""ADI"",""ZDNET""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":1,""letter"":""Z"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","LOL","[""LINE"",""ADI"",""GUIDO"",""RESIDUE"",""CATHEDRAL""]","forward_zero","5","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":1,""letter"":""O"",""remaining"":3},{""position"":2,""letter"":""L"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","L?I","[""LINE"",""INK"",""SWAROVSKI""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":2,""letter"":""I"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","L?I","[""LINE"",""INK"",""MEDIAWIKI""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":2,""letter"":""I"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":2,""direction"":""down"",""length"":9}","N?R??????","[""LINE"",""INK"",""UKRAINIAN""]","forward_zero","3","[{""position"":0,""letter"":""N"",""remaining"":26},{""position"":2,""letter"":""R"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":1,""col"":0,""direction"":""across"",""length"":5}","EO???","[""LINE"",""DOI"",""ADDRESSES"",""LEA""]","forward_zero","4","[{""position"":0,""letter"":""E"",""remaining"":48},{""position"":1,""letter"":""O"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","L?S","[""LINE"",""DOI"",""HIGHLANDS""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":2,""letter"":""S"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":3,""direction"":""down"",""length"":7}","E?W????","[""LINE"",""DOI"",""WORLDWIDE""]","forward_zero","3","[{""position"":0,""letter"":""E"",""remaining"":50},{""position"":2,""letter"":""W"",""remaining"":0}]"
"baseline","1","9","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","L?S","[""LINE"",""DOI"",""DOWNLOADS""]","forward_zero","3","[{""position"":0,""letter"":""L"",""remaining"":22},{""position"":2,""letter"":""S"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":1,""col"":0,""direction"":""down"",""length"":3}","CC?","[""COMPLETED"",""EMPLOYEES"",""COPYRIGHT""]","forward_zero","3","[{""position"":0,""letter"":""C"",""remaining"":9},{""position"":1,""letter"":""C"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":1,""col"":0,""direction"":""down"",""length"":3}","CI?","[""COMPLETED"",""EMPLOYEES"",""IMPORTANT""]","forward_zero","3","[{""position"":0,""letter"":""C"",""remaining"":9},{""position"":1,""letter"":""I"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":1,""col"":0,""direction"":""down"",""length"":3}","CD?","[""COMPLETED"",""EMPLOYEES"",""DEVELOPED""]","forward_zero","3","[{""position"":0,""letter"":""C"",""remaining"":9},{""position"":1,""letter"":""D"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":1,""col"":0,""direction"":""down"",""length"":3}","CS?","[""COMPLETED"",""EMPLOYEES"",""SEPTEMBER""]","forward_zero","3","[{""position"":0,""letter"":""C"",""remaining"":9},{""position"":1,""letter"":""S"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":0,""col"":1,""direction"":""down"",""length"":9}","?O??????A","[""COMPLETED"",""IMPORTANT"",""ATE""]","forward_zero","3","[{""position"":1,""letter"":""O"",""remaining"":19},{""position"":8,""letter"":""A"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":0,""col"":1,""direction"":""across"",""length"":3}","CI?","[""COMPLETED"",""IMPORTANT"",""ATE"",""COMMITTEE""]","forward_zero","4","[{""position"":0,""letter"":""C"",""remaining"":9},{""position"":1,""letter"":""I"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":2,""col"":0,""direction"":""across"",""length"":9}","?RP??????","[""COMPLETED"",""IMPORTANT"",""ATE"",""WORLDWIDE""]","forward_zero","4","[{""position"":1,""letter"":""R"",""remaining"":13},{""position"":2,""letter"":""P"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":2,""col"":0,""direction"":""across"",""length"":9}","?IP??????","[""COMPLETED"",""IMPORTANT"",""ATE"",""EDUCATION""]","forward_zero","4","[{""position"":1,""letter"":""I"",""remaining"":3},{""position"":2,""letter"":""P"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":0,""col"":1,""direction"":""down"",""length"":9}","?O??????A","[""COMPLETED"",""PROGRAMME"",""APP""]","forward_zero","3","[{""position"":1,""letter"":""O"",""remaining"":19},{""position"":8,""letter"":""A"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":0,""col"":1,""direction"":""down"",""length"":9}","?O??????P","[""COMPLETED"",""PROGRAMME"",""APP""]","forward_zero","3","[{""position"":1,""letter"":""O"",""remaining"":19},{""position"":8,""letter"":""P"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":0,""col"":1,""direction"":""down"",""length"":9}","?O??????A","[""COMPLETED"",""PROGRAMME"",""APT""]","forward_zero","3","[{""position"":1,""letter"":""O"",""remaining"":19},{""position"":8,""letter"":""A"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":0,""col"":1,""direction"":""across"",""length"":3}","CE?","[""COMPLETED"",""PROGRAMME"",""APT"",""COPYRIGHT""]","forward_zero","4","[{""position"":0,""letter"":""C"",""remaining"":9},{""position"":1,""letter"":""E"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":1,""col"":0,""direction"":""down"",""length"":3}","DT?","[""COMPLETED"",""EMPLOYEES"",""COPYRIGHT""]","forward_zero","3","[{""position"":0,""letter"":""D"",""remaining"":14},{""position"":1,""letter"":""T"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":1,""col"":0,""direction"":""down"",""length"":3}","DT?","[""COMPLETED"",""EMPLOYEES"",""IMPORTANT""]","forward_zero","3","[{""position"":0,""letter"":""D"",""remaining"":14},{""position"":1,""letter"":""T"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":1,""col"":0,""direction"":""down"",""length"":3}","DD?","[""COMPLETED"",""EMPLOYEES"",""DEVELOPED""]","forward_zero","3","[{""position"":0,""letter"":""D"",""remaining"":14},{""position"":1,""letter"":""D"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":1,""col"":0,""direction"":""down"",""length"":3}","DR?","[""COMPLETED"",""EMPLOYEES"",""SEPTEMBER""]","forward_zero","3","[{""position"":0,""letter"":""D"",""remaining"":14},{""position"":1,""letter"":""R"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":0,""col"":5,""direction"":""across"",""length"":3}","?IC","[""COMPLETED"",""IMPORTANT"",""ATE"",""COMMITTEE""]","forward_zero","4","[{""position"":1,""letter"":""I"",""remaining"":24},{""position"":2,""letter"":""C"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":2,""col"":0,""direction"":""across"",""length"":9}","??????PR?","[""COMPLETED"",""IMPORTANT"",""ATE"",""WORLDWIDE""]","forward_zero","4","[{""position"":6,""letter"":""P"",""remaining"":4},{""position"":7,""letter"":""R"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":2,""col"":0,""direction"":""across"",""length"":9}","??????PI?","[""COMPLETED"",""IMPORTANT"",""ATE"",""EDUCATION""]","forward_zero","4","[{""position"":6,""letter"":""P"",""remaining"":4},{""position"":7,""letter"":""I"",""remaining"":0}]"
"baseline","1","9","ar_to_en","approved-only","0","{""row"":0,""col"":7,""direction"":""down"",""length"":9}","?O??????A","[""COMPLETED"",""IMPORTANT"",""ATE""]","forward_zero","3","[{""position"":1,""letter"":""O"",""remaining"":19},{""position"":8,""letter"":""A"",""remaining"":0}]"
"baseline","1","11","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","S?C","[""SERVE"",""VODKA"",""CONDOLENCES""]","forward_zero","3","[{""position"":0,""letter"":""S"",""remaining"":28},{""position"":2,""letter"":""C"",""remaining"":0}]"
"baseline","1","11","ar_to_en","compatibility","0","{""row"":0,""col"":2,""direction"":""down"",""length"":11}","R?I????????","[""SERVE"",""VODKA"",""OUTSTANDING""]","forward_zero","3","[{""position"":0,""letter"":""R"",""remaining"":20},{""position"":2,""letter"":""I"",""remaining"":0}]"
"baseline","1","11","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","S?C","[""SERVE"",""VODKA"",""CONDITIONED""]","forward_zero","3","[{""position"":0,""letter"":""S"",""remaining"":28},{""position"":2,""letter"":""C"",""remaining"":0}]"
